,shortcode,username,display_url,edge_media_preview_like,comments_disabled,edge_media_to_comment,dimensions_height,dimensions_width,edge_media_to_caption,tags,taken_at_timestamp
0,BuLSId5BiDc,datascience,https://scontent-bom1-2.cdninstagram.com/vp/4e233946e5c0aa1d57fdb1ff1dd5239f/5DC62677/t51.2885-15/e35/52337797_365427200756184_2453675535080151039_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MTk4NDc1OTgwNzQ3NTA2NTA1Mg%3D%3D.2,40,False,1,750,750,Data Science and Technology Corporation at Kong Hua School,[],1550821828
1,Bi0L2wmh3bZ,datascience,https://scontent-bom1-2.cdninstagram.com/vp/809a0334ff65428ce7e2737fd23e2a0e/5DA256F7/t51.2885-15/e35/31571486_199789797205341_635650942150115328_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=8&ig_cache_key=MTc4MDA5OTg5NDI2NzU3Mzk3Nw%3D%3D.2,17,False,2,1080,1080,IRO Prelims souvenir shirt for everyone,[],1526424465
2,Bi0Lp2dhv4D,datascience,https://scontent-bom1-2.cdninstagram.com/vp/86038e086e080fbc17b76d26e6117a72/5D8E4C7E/t51.2885-15/e35/31975878_250200848860246_756466521055690752_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MTc4MDA5OTAwNzIwNTgwMTQ3NQ%3D%3D.2,16,False,0,640,640,2018 IRO Preliminaries and Summer Sumo Games,[],1526424359
3,BfU_DIBAaFo,datascience,https://scontent-bom1-2.cdninstagram.com/vp/96875b9f8da11d57d1ef5f37150b6ce4/5D8BB97E/t51.2885-15/e35/27878155_1648121365275720_2092063447301750784_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MTcxNzI3NDY0OTYzMDQ1MDAyNA%3D%3D.2,57,False,3,1080,1080,robot at work,[],1518935112
4,BeoWzd9nRSF,datascience,https://scontent-bom1-2.cdninstagram.com/vp/14b4de1d1a4846b6fccc1c2ffe9f4785/5D86DBA8/t51.2885-15/e35/26863469_181526879283490_8593302881447182336_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MTcwNDcxMjc1Mjg0ODUwODAzNw%3D%3D.2,33,False,1,1080,1080,"When you’re with talented and creative teachers, there are many things to celebrate here at Data Science and Technology Corporation. Thank you dear teachers for learning with us.",[],1517437617
5,BeoWiIPn4Hy,datascience,https://scontent-bom1-2.cdninstagram.com/vp/0f67462341ea58dbcbe784252396628d/5D8ECFFB/t51.2885-15/e35/26863445_211057822788123_2172781641028599808_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MTcwNDcxMTU2MTI5NzIzMjM3MA%3D%3D.2,31,False,0,640,640,A world of wonders waiting to be discovered @ Digital Science Camp in Espiritu Santo Parochial School using the Labdisc data logger,[],1517437475
6,BemQM09A0qL,datascience,https://scontent-bom1-2.cdninstagram.com/vp/8d4b620d81fa0e08a886a90e104167f7/5D8D9D29/t51.2885-15/e35/26870164_2174488409445387_5182101350858620928_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MTcwNDEyMDc1OTI0MjQxMDYzNQ%3D%3D.2,61,False,2,640,640,Innovative Robotics for Schools: Strategies to make robotics relevant and meaningful in the classrooms. #robotics #roboticseminar #creative #robotinnovation #datascience #dstc #robot,"['roboticseminar', 'robot', 'robotics', 'dstc', 'robotinnovation', 'datascience', 'creative']",1517367046
7,Bd9r-b8gwxa,datascience,https://scontent-bom1-2.cdninstagram.com/vp/b3b5d0ebf9003fc8f75df6784c836e2f/5DC4FB89/t51.2885-15/e35/26181087_609076766102188_2548527207106478080_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MTY5MjcwMjQ0MTU3NDk2MDIxOA%3D%3D.2,28,False,0,750,750,#roboticseminar #robotics,"['roboticseminar', 'robotics']",1516005877
8,Bd9rno9gZqu,datascience,https://scontent-bom1-2.cdninstagram.com/vp/d96184bdf04ecfa5631f9f24b5ff4b43/5D917CA2/t51.2885-15/e35/26068737_1614721641897360_7685958127832793088_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MTY5MjcwMDg3NTAwMjMyMTU4Mg%3D%3D.2,20,False,1,1080,1080,#internationalrobotolympid #20thIRO  #robotics,"['20thIRO', 'robotics', 'internationalrobotolympid']",1516005690
9,BatdcADgGNe,datascience,https://scontent-bom1-2.cdninstagram.com/vp/eed25741c2d5b4b985cafc6321037f75/5D84DCAE/t51.2885-15/e35/22802439_1420184141368718_4452993552435118080_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MTYzNDA5MTcwNzM1ODI3NDM5OA%3D%3D.2,15,False,1,1080,1080,#robotics #dstc #sembreak #sumobot,"['robotics', 'dstc', 'sembreak', 'sumobot']",1509018933
10,BatdXx4A2ZH,datascience,https://scontent-bom1-2.cdninstagram.com/vp/399fcd3936dfe10402fd5d4bef6ee9e6/5DAB893C/t51.2885-15/e35/22802234_140370983359691_1273084394512318464_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MTYzNDA5MTQxNzI1NTI0MTI4Nw%3D%3D.2,16,False,0,1080,1080,#robotics #sumobot #sembreak #dstc #robotics #,"['robotics', 'dstc', 'sembreak', 'sumobot']",1509018898
11,Baay1W6AV7x,datascience,https://scontent-bom1-2.cdninstagram.com/vp/861174e9cac3d35d167b4044212b528d/5D8DA0F8/t51.2885-15/e35/22580899_1505265269520075_7286632590004453376_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MTYyODgzNzc4NDMwMTE2NjMyMQ%3D%3D.2,18,False,0,750,750,the best sembreak 😀,[],1508392616
12,BZ8_fT0gpTH,datascience,https://scontent-bom1-2.cdninstagram.com/vp/8fc3d20b189f0e3a76a2520c9b7ff62b/5DC62598/t51.2885-15/e35/22159523_140790533322443_8169162023309934592_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MTYyMDQ0OTE5NDQ2MjU4MTk1OQ%3D%3D.2,31,False,0,480,480,Great things start from small beginnings... Malate Catholic School Robotics Beginners Workshop with Data Science and Technology Corporation #inex #inexrobots #worldrobotgames #dstc #robotgames #robotics,"['robotgames', 'robotics', 'dstc', 'inexrobots', 'inex', 'worldrobotgames']",1507392618
13,BS90TJEAiQp,datascience,https://scontent-bom1-2.cdninstagram.com/vp/8e247bf516c5256a1ffd5833d631bfe7/5DA41D3E/t51.2885-15/e35/17934688_626037790935288_8894505605021040640_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MTQ5NDU4MDY2NTE3NjQzMzcwNQ%3D%3D.2,22,False,1,1080,1080,NEUTRAL,,1492387920
14,BRntAqLAKuq,datascience,https://scontent-bom1-2.cdninstagram.com/vp/5488bbf7a6cc89e028644a67ef5d51fa/5DC1A0E7/t51.2885-15/e35/17333513_1900624343501495_7418443366792167424_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MTQ3MDM0MTc2MDczNDUwNTg5OA%3D%3D.2,9,False,0,718,1080,NEUTRAL,,1489498418
15,BRkKsooAOkU,datascience,https://scontent-bom1-2.cdninstagram.com/vp/4577bc34310f3b53f917eb7ebd053e1f/5DAB5FE0/t51.2885-15/e35/17126347_1423909704347975_3893516784447258624_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MTQ2OTM0NjQyNjE3MjUzMzAxMg%3D%3D.2,4,False,0,1080,1080,#DSTCSummerRobotics2017 #DSTCSummerSumoGames2017,"['DSTCSummerRobotics2017', 'DSTCSummerSumoGames2017']",1489379765
