,shortcode,username,display_url,edge_media_preview_like,comments_disabled,edge_media_to_comment,dimensions_height,dimensions_width,edge_media_to_caption,tags,taken_at_timestamp
0,BzDfDMQHad0,_nishu.gautam_,https://scontent-bom1-2.cdninstagram.com/vp/961bfce2de83261602697cb848e480e7/5DAF1D33/t51.2885-15/e35/64242069_2182277635201611_6809459860792385100_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=8&ig_cache_key=MjA3MjYzNjgxMjI3NjExNTMxNg%3D%3D.2,3532,False,185,1350,1080,"Tum RUh k Jese ho mEri💫
Jis diN cHod jaOge 
Mehj #laSh bChegi ♡",['laSh'],1561297583
1,ByyoGTPHhp3,_nishu.gautam_,https://scontent-bom1-2.cdninstagram.com/vp/5e3927f252984a618fe85ec9dd8960a6/5DAC99D3/t51.2885-15/e35/61740658_2914758168541302_7271510179283232242_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2Nzg5MTUzMzc0ODUwOTMwMw%3D%3D.2,886,False,4,640,640,"❤️curren masculino 8225❤️
#curren",['curren'],1560731902
2,ByCBdihH3H_,_nishu.gautam_,https://scontent-bom1-2.cdninstagram.com/vp/b588ebe7472306aa414dc34ce7280cf5/5DBE045C/t51.2885-15/e35/61539255_304223450492229_1778649043258586564_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1NDIxMDgwODAwODYzNDg3OQ%3D%3D.2,5750,False,261,937,750,💞💕,[],1559101032
3,ByAgJNJHV8u,_nishu.gautam_,https://scontent-bom1-2.cdninstagram.com/vp/a636c8e7745cada88b32c7604f4043f4/5DB8C5B3/t51.2885-15/e35/61214328_439730853487621_4089488266868483360_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1Mzc4MjgwMDE1NjE1NTY5NA%3D%3D.2,5026,False,195,752,750,"Jo meRa hoKar bHi tEra hoGya...
Vo kMina tUjhe hi muBark...
💞💕🖤",[],1559050010
4,Bx1e3qaHdDO,_nishu.gautam_,https://scontent-bom1-2.cdninstagram.com/vp/b4fc65fcd97856e6cdfc1f5c7e13e7ac/5DC01372/t51.2885-15/e35/60522846_1191678317660142_7827825466819984722_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1MDY4MDk3MTgzOTAwMDc4Mg%3D%3D.2,4272,False,224,656,750,🖤🖤,[],1558680243
5,Bx1JaHXHiz9,_nishu.gautam_,https://scontent-bom1-2.cdninstagram.com/vp/4a06cc24cdfa2dbdd8f3c50c6c8c3e39/5DB0E0E8/t51.2885-15/e35/59652722_130706381458760_8786346452541072063_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1MDU4NjU4MjM2NjE3MDM2NQ%3D%3D.2,2904,False,97,750,750,Happy birthday ji🎂🎂🎂🍰,[],1558668991
6,BxuiTuWnrRD,_nishu.gautam_,https://scontent-bom1-2.cdninstagram.com/vp/ff51ac63f7e58e86010f281eebc7382d/5DAEE2B5/t51.2885-15/e35/60574327_203245423988652_868702085209268549_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA0ODcyNTc2OTUyMzIxMzM3OQ%3D%3D.2,3132,False,166,640,640,AwesoME ends with ME and Ugly starts with You.,[],1558447165
7,Bxm-NjJnoYe,_nishu.gautam_,https://scontent-bom1-2.cdninstagram.com/vp/62e9057c2f74a740b338733cee9c7ced/5DA592A3/t51.2885-15/e35/60552599_125996601924886_1407966778264092838_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=8&ig_cache_key=MjA0NjU5NjY5MDY2NTcwMjk0Mg%3D%3D.2,5387,False,188,1350,1080,Frnds😘,[],1558193359
8,BxkgDImH2zY,_nishu.gautam_,https://scontent-bom1-2.cdninstagram.com/vp/44f8f35db94ac338f7ca76960372b91c/5DBEE647/t51.2885-15/e35/60144311_710116739407906_1286576460061763632_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA0NTkwMTA4MzYwOTM2MTYyNA%3D%3D.2,2980,False,105,750,750,"Love when you’re ready, not when you are alone..😑",[],1558110436
9,BxhvBe5HfNu,_nishu.gautam_,https://scontent-bom1-2.cdninstagram.com/vp/66386b1dc853b2dcd4262ddb1588a76f/5DC2DEBF/t51.2885-15/e35/60367858_291954945090671_1496203043345027686_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA0NTEyMjUxNTg3ODkzMzM1OA%3D%3D.2,2428,False,92,750,750,"U hate me...??
😇😈😝
Carry oN...🤪🤪",[],1558017623
10,BxfPVrGHtsW,_nishu.gautam_,https://scontent-bom1-2.cdninstagram.com/vp/cc8dcbfa9d84cc61e97abb7073e401ec/5DB5E96F/t51.2885-15/e35/60633974_424596424985818_2724952783025300953_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA0NDQyMDIxNTkyOTc1NjQzOA%3D%3D.2,4954,False,196,783,750,Invisible TEARS are the hardest to wipe away...,[],1557933903
11,BxWTVwYnbLI,_nishu.gautam_,https://scontent-bom1-2.cdninstagram.com/vp/27aa5cbc15301ec92037494967008019/5DACFDA6/t51.2885-15/e35/60284776_826039314444911_520682501083941789_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA0MTkwNDUzOTAwNDQxNjcxMg%3D%3D.2,2017,False,25,750,750,#9may 💕,['9may'],1557634011
12,Bw9s4wtBulO,_nishu.gautam_,https://scontent-bom1-2.cdninstagram.com/vp/7e9390d928bce2790913f24fde506399/5DB642E2/t51.2885-15/e35/58409973_147613562954967_2406551988037197737_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjAzNDk4MDAyMTI3MzU1MzIzMA%3D%3D.2,4273,False,170,800,640,"I am acTuaLLy reaLly niCe 
UnTiL u aNnoY mE 😘",[],1556808544
13,Bw12ggih6Sd,_nishu.gautam_,https://scontent-bom1-2.cdninstagram.com/vp/abdd49b7cc462904af0ee69fbbc097a7/5DAE0FD3/t51.2885-15/e35/57244848_167972714200291_8683948496250885184_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjAzMjc3MDUzNTMwMTU1NTM1Nw%3D%3D.2,7551,False,361,937,750,"BaT lfZon ki kahAn hOti hAi__##
BaT tO lehZon ki hOti hAi__ ##",[],1556545153
14,BwthtaDhlpZ,_nishu.gautam_,https://scontent-bom1-2.cdninstagram.com/vp/a3a0ba745b307d775c84e03405248597/5DB1DC27/t51.2885-15/e35/56781302_223805905247623_1309248072715746898_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjAzMDQyNzI2MjkwMTcwNTMwNQ%3D%3D.2,4979,False,196,1350,1080,💖,[],1556265813
15,BwrwCeihOAX,_nishu.gautam_,https://scontent-bom1-2.cdninstagram.com/vp/895893a00baa4b43f4b761203733e35c/5DA0B118/t51.2885-15/e35/58410253_3070346382979087_3013685541774073781_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjAyOTkyNzMzMzUyMzQxNTA2Mw%3D%3D.2,2419,False,84,750,750,NEUTRAL,,1556206216
16,Bwo5OX4hocG,_nishu.gautam_,https://scontent-bom1-2.cdninstagram.com/vp/07245f1e50af002ea90a47a094bb3737/5DBED14E/t51.2885-15/e35/58423726_2481515142067600_34916459409864411_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=8&ig_cache_key=MjAyOTEyMzMwODQ5ODYxODExOA%3D%3D.2,3108,False,119,1080,1080,The most important thing is to enjoy your life - to be happy - it's all that matters. ...,[],1556110369
