,shortcode,username,display_url,edge_media_preview_like,comments_disabled,edge_media_to_comment,dimensions_height,dimensions_width,edge_media_to_caption,tags,taken_at_timestamp
0,BzBFEVBlUgH,_semu_,https://scontent-bom1-2.cdninstagram.com/vp/5c751a9c0a23d1e809b500e7ad4dec78/5DB01053/t51.2885-15/e35/62253722_199657694285132_6005052412313814598_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3MTk1OTU5MTI1Mjc0MDEwMw%3D%3D.2,294,False,2,440,640,"#HealofyisBack
Join me on Healofy App, India's #1 Women Social Network with 10 million active women community.
Download the App from the Google Play Store and get a chance to win Hyundai i20 and more Gifts!! Hurry UP!
Install app: https://healofy.com/app","['1', 'HealofyisBack']",1561216852
1,By6hMg0FxmV,_semu_,https://scontent-bom1-2.cdninstagram.com/vp/3efb2d38d517f22bcfa37ad05f95ec7f/5DAD5DD5/t51.2885-15/e35/64978065_600887733766000_1244894311607344214_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3MDExMjk3NDEzMjQxODk2NQ%3D%3D.2,7841,True,238,800,640,😊😊,[],1560996718
2,By2t_5elJrt,_semu_,https://scontent-bom1-2.cdninstagram.com/vp/9fae6b30c729d0b39b41eb26ef337604/5DAB1AC3/t51.2885-15/e35/61760404_340281383554322_3815488740842751372_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2OTA0MzM4MTk1OTY5NTA4NQ%3D%3D.2,5349,False,235,800,640,💙💙,[],1560869213
3,Byu9wj2FWMD,_semu_,https://scontent-bom1-2.cdninstagram.com/vp/67b147851eedc93d86882cc90097e306/5DA0BF8B/t51.2885-15/e35/64650869_691621541266597_8905202615270823291_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2Njg2MDg5Njg3MDAzMjEzMQ%3D%3D.2,4474,False,184,600,480,😁,[],1560609040
4,Byh93Mylrsl,_semu_,https://scontent-bom1-2.cdninstagram.com/vp/c59cfc9cbf41ae466a15d89c87f40e00/5DBC716E/t51.2885-15/e35/62025834_181360282859728_1566268301118823672_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2MzIwMjE3ODQ1NDQzNjY0NQ%3D%3D.2,2635,False,61,480,480,NEUTRAL,,1560172887
5,BycfbkFFYC3,_semu_,https://scontent-bom1-2.cdninstagram.com/vp/c22ebb8384a4d8a2b075f56e1469d55e/5DB48DFC/t51.2885-15/e35/61063491_133681291064084_2647042042660715122_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA2MTY2MDk2MzAzNjU2MTU5MQ%3D%3D.2,4584,False,163,1080,1080,NEUTRAL,,1559989160
6,ByT3VxZlVWj,_semu_,https://scontent-bom1-2.cdninstagram.com/vp/76249f0f152b1059aa00fd6d722e33c3/5DA34AD9/t51.2885-15/e35/61697000_383333992282305_4242889633885716260_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1OTIzMjg0MzM0ODEzNzM3OQ%3D%3D.2,4794,False,172,600,480,#himachali,['himachali'],1559699705
7,BySFFmiFEoQ,_semu_,https://scontent-bom1-2.cdninstagram.com/vp/77e3acb6dc910731f913dc5c4123c5ab/5DB0F7BD/t51.2885-15/e35/61158025_159144818457878_1093413897499493515_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1ODczMDM1NDg2NTYyMTUyMA%3D%3D.2,3854,False,135,600,480,"❤❤
.
.
#indianarmy 
#army 
#love","['love', 'indianarmy', 'army']",1559639804
8,ByPvT6_lp1k,_semu_,https://scontent-bom1-2.cdninstagram.com/vp/f2df0feb441f11b2b604e8d8a5b7005d/5DA7FCA4/t51.2885-15/e35/61034867_1288025574693200_2517699971054478321_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1ODA3MTYzMTkzMTU0Njk4MA%3D%3D.2,8318,False,362,600,480,Old memories😂😂,[],1559561278
9,ByMR_tAFdEe,_semu_,https://scontent-bom1-2.cdninstagram.com/vp/f74f9f8eac971d6ebc231796a9328dee/5DB94A4B/t51.2885-15/e35/62000924_823390804713109_2236475611928080789_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1NzA5ODI3NDIzOTAwOTA1NA%3D%3D.2,6133,False,194,800,640,💙💙,[],1559445245
10,Bx-DkuxlPPS,_semu_,https://scontent-bom1-2.cdninstagram.com/vp/91776a26c03d149f248fcd9249eb8f23/5DBA0CD5/t51.2885-15/e35/60393986_333954390603075_6907206357412012672_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1MzA5NDE5ODM5MjE4OTkwNg%3D%3D.2,6397,False,243,800,640,😉,[],1558967922
11,Bx2UVlwlIzp,_semu_,https://scontent-bom1-2.cdninstagram.com/vp/99e9af1cda447ea905a8f574ca813540/5DB8F2C3/t51.2885-15/e35/61070207_1722606574509077_4185546783781012284_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1MDkxNjEyNDg5NjU2MjQwOQ%3D%3D.2,3904,False,115,600,480,"😉😉
.
.
#blackandwhite",['blackandwhite'],1558708275
12,Bxu0Ob4lsSl,_semu_,https://scontent-bom1-2.cdninstagram.com/vp/bb497c2e8a98ff03203d45f94d053f23/5DBA66C2/t51.2885-15/e35/59946044_488184611721316_3615691383927525719_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=8&ig_cache_key=MjA0ODgwNDU3MDkzMTg0MDE2NQ%3D%3D.2,6145,False,199,1350,1080,💙💙 🔁I need some Time alone with Myself.,[],1558456559
13,BxrNTucFgKW,_semu_,https://scontent-bom1-2.cdninstagram.com/vp/d108cac1a052c7bc67dab29cbd5b7861/5DC7252C/t51.2885-15/e35/60165896_2281894545236492_7661781494759289536_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=8&ig_cache_key=MjA0Nzc4ODk4NTcwODA1MzE0Mg%3D%3D.2,4605,False,181,1168,1080,NEUTRAL,,1558335491
14,BxoUjooFtvN,_semu_,https://scontent-bom1-2.cdninstagram.com/vp/dc18804bbcc3a55bc2d36dd8eb96299a/5DAE0635/t51.2885-15/e35/60319608_202708494024626_5946398211530308175_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA0Njk3NjQ0MDM3NDA1NzkzMw%3D%3D.2,5370,False,149,1350,1080,"😜😜
.
.
. .
.
.
. .
.
#himachal #india #foreignexchange #fortnite # #usa #america #love #uk #canada
 #newyork #travel #california #follow #fashion #dubai #instagood #like #instagram #photography #germany #london #australia #india #art #miami #nyc #trump #europe #a #russia #flor","['love', 'germany', 'miami', 'usa', 'california', 'europe', 'trump', 'fortnite', 'nyc', 'australia', 'a', 'uk', 'canada', 'flor', 'instagram', 'follow', 'like', 'fashion', 'himachal', 'india', 'travel', 'instagood', 'london', 'russia', 'newyork', 'dubai', 'photography', 'art', 'foreignexchange', 'america']",1558238628
15,BxkC8FUFt55,_semu_,https://scontent-bom1-2.cdninstagram.com/vp/8d6fe3136ce0cafae7892ec75b76cda2/5DB7A781/t51.2885-15/e35/59401042_137091980732959_3059957698636393682_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA0NTc3MzA1NTcwMDQyNjM2MQ%3D%3D.2,5529,False,228,600,480,😜😜,[],1558095174
