,shortcode,username,display_url,edge_media_preview_like,comments_disabled,edge_media_to_comment,dimensions_height,dimensions_width,edge_media_to_caption,tags,taken_at_timestamp
0,BzNmUsvgT_N,alexachung,https://scontent-bom1-2.cdninstagram.com/vp/6861dae177aed3db7f5f23625b50e3a9/5DA97B94/t51.2885-15/e35/s1080x1080/65113470_368999513755806_1531358483022579118_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3NTQ4MzU1MTQ4NjI2MzI0NQ%3D%3D.2,29708,False,86,1080,1080,Beauty is in the contact lens of the beholder RG @rachelbakewell,[],1561636941
1,BzL7MLxAYA8,alexachung,https://scontent-bom1-2.cdninstagram.com/vp/e7f29c6a593cf46d0d633c7e60d8fdff/5DA18B4A/t51.2885-15/e35/s1080x1080/65387337_739794239789969_2955221829597358801_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3NTAxMjM3NTM0NTQ2MzM1Ng%3D%3D.2,16120,False,39,1080,1080,#Ad Once upon a time in Procida. @superga_it,['Ad'],1561580772
2,BzLG5k3A4I2,alexachung,https://scontent-bom1-2.cdninstagram.com/vp/2f38bed23f296e3ccd18ec35f8ce7390/5DC739A3/t51.2885-15/e35/s1080x1080/64823124_321876898740731_86462650965446492_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3NDc4MjM5ODIwMTE2ODQzOA%3D%3D.2,24844,False,65,1080,1080,Met toile. We now live in a post sequin time. This was pre sequin/ vaguely Dr Evil when the beret was but a pizza base of fabric perched on restless noggin.,[],1561553357
3,BzH7J-rgg0j,alexachung,https://scontent-bom1-2.cdninstagram.com/vp/09c67cb44a1d8bfae463fece9da1a2b7/5DB01869/t51.2885-15/e35/p1080x1080/64500672_205937620391557_6492055239135681412_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3Mzg4NjMyMzk0ODc4NDkzMQ%3D%3D.2,19498,False,76,1349,1080,Mood but also excellent outfit. Rg @sheetnoise by Guy Bourdin.,[],1561446537
4,BzGEXemg0lD,alexachung,https://scontent-bom1-2.cdninstagram.com/vp/8d40eca0e2a693ca0d80135a84729fc0/5DA4E9F4/t51.2885-15/e35/s1080x1080/64777720_317166442527820_4983854554584159513_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3MzM2Mzg4NDA0MzA5NDMzOQ%3D%3D.2,43227,False,222,1080,1080,Croissants are really rock n roll 🤟 #glastonbury,['glastonbury'],1561384257
5,BzDjaXnANy0,alexachung,https://scontent-bom1-2.cdninstagram.com/vp/319db15e6a3c251629685d81a27f3524/5DBB2996/t51.2885-15/e35/s1080x1080/62209658_2313415662080174_1503670068946473495_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3MjY1NTk5NzIwNTI3Mzc4MA%3D%3D.2,24887,False,131,1080,1080,Patchy,[],1561299870
6,BzAPZTegnxA,alexachung,https://scontent-bom1-2.cdninstagram.com/vp/c5c8894e5da302bfb1b82f20682b10af/5DBA6E81/t51.2885-15/e35/61972336_2361727414070692_1939815640416496012_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3MTcyMzUzODE4Nzk3NTc0NA%3D%3D.2,14793,False,51,446,640,NEUTRAL,,1561188712
7,By_NkAwgmV7,alexachung,https://scontent-bom1-2.cdninstagram.com/vp/1dba9bbc89652514fac295e7df4b2c7d/5DC60399/t51.2885-15/e35/s1080x1080/64245638_1885512618217008_5603129863285743811_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3MTQzNDAwMjkzMzM3NjM3OQ%3D%3D.2,41308,False,169,1080,1080,📷 @deanmartindale,[],1561154197
8,By-F2Y9Ad6n,alexachung,https://scontent-bom1-2.cdninstagram.com/vp/8c4f587b8441dbcea2d29e7ed4ed90ae/5DAAA606/t51.2885-15/e35/s1080x1080/62104950_122243105674193_4154835628320730604_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3MTExODYwNjUxNDY0MjU5OQ%3D%3D.2,41697,False,215,1080,1080,Stag do,[],1561116599
9,By5AnRXAOcP,alexachung,https://scontent-bom1-2.cdninstagram.com/vp/ae1d9f86124c606ca028a326b0553c63/5DA6A636/t51.2885-15/e35/s1080x1080/64881638_115889582788072_8317018248880809833_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2OTY4ODIwMjQ1MjU5MjM5OQ%3D%3D.2,15937,False,58,1080,1080,Hiss RG @laurabaileylondon,[],1560946081
