,shortcode,username,display_url,edge_media_preview_like,comments_disabled,edge_media_to_comment,dimensions_height,dimensions_width,edge_media_to_caption,tags,taken_at_timestamp
0,By_RN71lFBE,benlowy,https://scontent-bom1-2.cdninstagram.com/vp/a46a239b9ac160e41b46de39f30f16ca/5DA82A24/t51.2885-15/e35/s1080x1080/62262177_154871655647837_7746085819303456880_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3MTQ1MDA3ODAwNzI4Mzc4MA%3D%3D.2,626,False,10,810,1080,"Last day of school for Kaleb. Summer adventures await.... or rather summer adventures on the iPad. Need to get them out of the house and into nature or they become electric zombies. Or Ezombies. (©️ me)

#homeiswheretheheartis #son #family #love #nature #outdoors @marvilacar @bonetiredmama","['love', 'homeiswheretheheartis', 'family', 'son', 'outdoors', 'nature']",1561156113
1,ByT7aigFQ1z,benlowy,https://scontent-bom1-2.cdninstagram.com/vp/8a3abf9310fc2ba0c68a99bf44b7164e/5DAFD6D8/t51.2885-15/e35/s1080x1080/60919539_450074365804827_1703025421243323657_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1OTI1MDc2MzEzNDQ3MTUzOQ%3D%3D.2,1874,False,105,1080,1080,"June 4, 2019. 
Turned 40 today. It’s hard moment. Halfway point. Reassessment day. Now I realize what a midlife crisis is all about. 
But the world always throws in something you don’t expect. A nest in my backyard. Brand new life that I’ve been looking at for weeks. A new beginning. 
#nature #40thbirthday #birds #nest #robin #nest #wildlifeconservation #midlifecrisis #homeiswheretheheartis","['birds', 'homeiswheretheheartis', 'nest', 'midlifecrisis', '40thbirthday', 'robin', 'wildlifeconservation', 'nature']",1559701842
2,ByQddGWl72f,benlowy,https://scontent-bom1-2.cdninstagram.com/vp/eb4396982bfc414d7b5cea83e3ebfd55/5DC20548/t51.2885-15/e35/s1080x1080/61068823_381315122490099_2959119846791258844_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1ODI3NDU3Mjc0MzQ1ODIwNw%3D%3D.2,675,False,15,721,1080,"Whale shark and a ballerina. 
Not something I usually see at the same time. 
These images are part of a larger project I’m developing dealing with habituated animals - creatures normally wild, that are used to, or influenced by human interaction. 
#onassignment #silhouette #whaleshark #aquarium #underwaterphotography #ocean #marinelife #conservation #marineconservation #ballerina #wildlifeconservation @sonyalpha @sealegacy #bealpha","['silhouette', 'onassignment', 'underwaterphotography', 'conservation', 'ballerina', 'whaleshark', 'bealpha', 'aquarium', 'marineconservation', 'wildlifeconservation', 'marinelife', 'ocean']",1559585471
3,ByOkX47FRmA,benlowy,https://scontent-bom1-2.cdninstagram.com/vp/ff7d1b8692206a2665eb02aa6092f39f/5DB29540/t51.2885-15/e35/s1080x1080/61739216_465679190851188_5360498700818870635_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1Nzc0MjA1MTA5ODA0MDcwNA%3D%3D.2,880,False,9,810,1080,"More and more flare. 
#onassignment In #atl 
#lensflare #reportage #silhouette #lightandshadow #streetleaks #streetstyle","['silhouette', 'atl', 'onassignment', 'lightandshadow', 'streetleaks', 'streetstyle', 'reportage', 'lensflare']",1559521989
4,ByLieP2F4Ez,benlowy,https://scontent-bom1-2.cdninstagram.com/vp/a8ddbf0ccc8857789aeada95ed085f84/5DA0F927/t51.2885-15/e35/s1080x1080/61008453_606020883239982_6710673220832364815_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1Njg4OTI2NzAwNDA4MDQzNQ%3D%3D.2,467,False,6,721,1080,"Whale Sharks yesterday. 
#onassignment #underwater #underwaterphotography
#whaleshark #shark #ocean #conservation #climatechange #environment #love","['love', 'onassignment', 'underwater', 'underwaterphotography', 'conservation', 'whaleshark', 'environment', 'shark', 'climatechange', 'ocean']",1559420329
5,ByGphZpl1mT,benlowy,https://scontent-bom1-2.cdninstagram.com/vp/5d4f03932cdb17dff8c12e618a38a88f/5DA6D49D/t51.2885-15/e35/s1080x1080/60597039_1073891432808612_8339255173251848006_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1NTUxMjg5NTEzMjIyNzk4Nw%3D%3D.2,1429,False,18,810,1080,"Atlanta for a few days. It’s hotter here. 
#onassignment #documentary #reportage #photojournalism #streetleaks #streetstyle #silhouette #water #love #instadaily","['love', 'silhouette', 'onassignment', 'documentary', 'instadaily', 'streetleaks', 'streetstyle', 'photojournalism', 'reportage', 'water']",1559256253
6,Bx970CsFIfP,benlowy,https://scontent-bom1-2.cdninstagram.com/vp/67b7b6757829c8aa19274caaf75d4dec/5DAABAE7/t51.2885-15/e35/s1080x1080/60390898_872748096418416_2861495651130178389_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1MzA2MDA2NjE5NDc4NjI1NQ%3D%3D.2,1107,False,15,810,1080,"Technicolor Noodle. 
Or
“Why did you put me in the hammock!”-Noodle

#homeiswheretheheartis #family #dog #maplewoodnj #daschund #daschundsofinstagram","['homeiswheretheheartis', 'daschund', 'family', 'daschundsofinstagram', 'dog', 'maplewoodnj']",1558963853
7,Bx5IrEDld8I,benlowy,https://scontent-bom1-2.cdninstagram.com/vp/4f446fe83caad91c8002574188b3a062/5DC23583/t51.2885-15/e35/s1080x1080/60992418_597197110800909_923692088539668617_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1MTcwOTI0ODkwODY4MDk2OA%3D%3D.2,424,False,6,808,1080,"Letters are words. 
#onassignment #streetstyle #streetleaks #streetphotography #documentary #reportage #sonyalpha #bealpha @sonyalpha","['onassignment', 'documentary', 'sonyalpha', 'streetphotography', 'streetstyle', 'streetleaks', 'reportage', 'bealpha']",1558802823
8,Bxz86u4F9hZ,benlowy,https://scontent-bom1-2.cdninstagram.com/vp/e31368317e68cbe998f13005bfc83a66/5DBEEE1C/t51.2885-15/e35/s1080x1080/60027007_301566227421392_6898892269682647744_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1MDI1MDE3NDIzNzIzNTI4OQ%3D%3D.2,545,False,8,810,1080,"Des Moines Dance. 
#streetleaks #streetstyle #documentary #reportage #streetphotography #onassignment #sonyalpha @sonyalpha","['onassignment', 'documentary', 'sonyalpha', 'streetphotography', 'streetstyle', 'streetleaks', 'reportage']",1558628888
9,BxxIfiVlEPl,benlowy,https://scontent-bom1-2.cdninstagram.com/vp/16b70d99ceca1b3f642e25a1a138c3f8/5DC5CBDD/t51.2885-15/e35/s1080x1080/60102235_286323195580641_6525098532335392860_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA0OTQ1NjY1Njk3NTQxNDI0NQ%3D%3D.2,535,False,7,720,1080,In Des Moines for a hot second.,[],1558534293
