,shortcode,username,display_url,edge_media_preview_like,comments_disabled,edge_media_to_comment,dimensions_height,dimensions_width,edge_media_to_caption,tags,taken_at_timestamp
0,BziA8iig1BY,bikewithgirl,https://scontent-bom1-2.cdninstagram.com/vp/9e0f04de08b588dea1a4dba1fd6f33a1/5DC3B070/t51.2885-15/e35/64873496_149051462913578_2755869354554739486_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA4MTIzMDEzODA1MzQ0Nzc2OA%3D%3D.2,28687,False,97,1080,1080,"Say whaaaaa? THIS the crazy @Tecnomobileindia Phantom?? No waaaay!🥳
Something rad is about to happen on the 10th of July 👽👽#TecnoPhantomIsComing #Ad","['Ad', 'TecnoPhantomIsComing']",1562321987
1,BzfEbaTgGo0,bikewithgirl,https://scontent-bom1-2.cdninstagram.com/vp/69b82eb25de85dcc58cc653bbe006ee2/5DB688F4/t51.2885-15/e35/64784404_2570692306310207_3769811797807720247_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA4MDQwMTAyODcyNDg0NTEwOA%3D%3D.2,26685,False,204,1080,1080,"TO THE TROLLS: 
I don't usually feed the trolls but there's people out there that have zero idea how this press event worked, so I thought I'd share.
This is the only riding shot I have of me from the S1000RR event. Its not some great knee dragging, lightening fast photo coz NO TIME! 
I got to the track on the day of the event with 2 fifteen minute riding slots scheduled for me. Unfortunately there were crashes and so the only display bike that was given to a group of about 65 journos + buyers was also taken away to ride on the track. We were now left with 6 bikes between us all to film statics and get to ride the bike on the track for the first time. The journos of course had to be given a lot more time.

Now, it unfortunately happened to also be my first time at BIC on a bike and its not a short track that my ""superbrain"" could grasp it in a lap. After I started to figure the bike out a little, my time was up and I didn't get to film any riding or cornering footage with my crew.  It was hella disappointing for me more than any of you because after my last S1000RR video, I had every hope to get some even better corners on video. 
So before you point fingers at any journo or content creator in the future for lack of a mad video, please know that we're putting in our all to bring that content out for you. I started BikeWithGirl 3yrs ago to share MY experiences of riding different machines and I'll keep trying my hardest  to bring you guys the best Moto content possible. And of course improve my skills along the way, coz like I keep saying, I aint no expert! 🙏🏼 #PSA",['PSA'],1562223150
2,BzaHsWYAb40,bikewithgirl,https://scontent-bom1-2.cdninstagram.com/vp/96453001849a91ecffeb1dedcd499392/5DC2FF40/t51.2885-15/e35/64998893_1105439762982276_7647583338123867384_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3OTAwODAxMTk5MjU0Njg2OA%3D%3D.2,54429,False,281,1080,1080,"I landed up at the BIC bright and early and after much convincing @vickyjaising handed over the @bmwmotorrad_in S1000RR (standard variant) to me. @okrishabh had to film some tracking shots of me for the YT video so it started off as a slow, painful ride behind an Innova. 😩
After a point I just couldn't take it that my first few laps on the brand new 2020 S1000RR had me experiencing it at a bugging 40kph on one of the fastest race tracks I know. So I just opened gas and flew off the back straight at the BIC. Before I knew it my time was up. But this was the sweaty grin that the new S1000RR left me with...and of course a yelling @okrishabh ""Dude where the hell did you go?"" 😂

Fast bikes.. they do that to you! 😂😂
. . ⚠️LINK IN BIO for YT ⚠️
.
. 📸 @didsomeonesaycars
#2020s1000rr #bmwmotorrad #S1000RR #S1000R #hooligan #bmws1000rr  #bmws1000rriders #bmws1000r #superbike #bmws1000xr #1000rr #s1k #s1000r #s1krr #skrr #hp4 #bmwhp4 #superbikes #supersport #bikergirl #bikegirl #motorcycles #akrapovic #love #bikewithgirl #racerchick #trackspec #instadaily #instagood","['bmws1000rr', 'instagood', 'bmws1000xr', 'bikergirl', 'bmws1000r', 'bikegirl', 'supersport', 'akrapovic', 'bikewithgirl', 'love', 's1k', 's1000r', 'S1000RR', '2020s1000rr', 'bmws1000rriders', 'hp4', 'instadaily', 'superbike', 'bmwmotorrad', 's1krr', 'bmwhp4', 'skrr', '1000rr', 'superbikes', 'trackspec', 'S1000R', 'motorcycles', 'hooligan', 'racerchick']",1562057089
3,BzYBW7Lg1I2,bikewithgirl,https://scontent-bom1-2.cdninstagram.com/vp/cfa89aa84cbf563e99b7ed95a2157341/5DA5CCF3/t51.2885-15/e35/64885905_1253596108133265_2395487490674625837_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3ODQxNzIwMTQ1MDQwNjQ1NA%3D%3D.2,54074,False,358,1279,1080,"For the 1st time I have everything to say to you about a brand new bike on Youtube before the gram!
Lets start with, where are the damn brake lamps on the 2020 @bmwmotorrad_in S1000RR? 😵😮
⚠️LINK IN BIO⚠️
.
.
📸 By the boy that don't talk @didsomeonesaycars
🎬📽️ By the 22yr old boy version of me @okrishabh

#2020s1000rr #bmwmotorrad #S1000RR #S1000R #hooligan #bmws1000rr  #bmws1000rriders #bmws1000r #superbike #bmws1000xr #1000rr #s1k #s1000r #s1krr #skrr #hp4 #bmwhp4 #superbikes #supersport #bikergirl #bikegirl #motorcycles #akrapovic #love #bikewithgirl #racerchick #trackspec #instadaily #instagood","['bmws1000rr', 'instagood', 'bmws1000xr', 'bikergirl', 'bmws1000r', 'bikegirl', 'supersport', 'akrapovic', 'bikewithgirl', 'love', 's1k', 's1000r', 'S1000RR', '2020s1000rr', 'bmws1000rriders', 'hp4', 'instadaily', 'superbike', 'bmwmotorrad', 's1krr', 'bmwhp4', 'skrr', '1000rr', 'superbikes', 'trackspec', 'S1000R', 'motorcycles', 'hooligan', 'racerchick']",1561986659
4,BzNXrB7gp-l,bikewithgirl,https://scontent-bom1-2.cdninstagram.com/vp/d79020fdf54be33a9d80025e9dcfdb46/5DC2119C/t51.2885-15/e35/64372750_167131671005001_6414149928210938744_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3NTQxOTExNTM2NzA3OTg0NQ%3D%3D.2,57970,False,294,1236,1080,"Meet the 2019 @bmwmotorrad_in S1000RR launched in 3 variants today - Standard, Pro and wait for it, M Sport!😵 Shockingly cool prices be 18.5L, 20.95L and 22.95L 🤤
I ride em tomorrow and you'll see a lot more tomorrow. 📺
.
.
#bmwmotorrad #S1000RR #S1000R #XR #hooligan #bmws1000rr  #bmws1000rriders #bmws1000r #superbike #bmws1000xr #1000rr #s1k #s1000r #s1krr #skrr #hp4 #bmwhp4 #superbikes #supersport #bikergirl #bikegirl #motorcycles #akrapovic #love #bikewithgirl #racerchick #trackspec #instadaily #instagood","['bmws1000rr', 'instagood', 'bmws1000xr', 'bikergirl', 'bmws1000r', 'bikegirl', 'supersport', 'akrapovic', 'bikewithgirl', 'XR', 'love', 's1k', 's1000r', 'S1000RR', 'bmws1000rriders', 'hp4', 'instadaily', 'superbike', 'bmwmotorrad', 's1krr', 'bmwhp4', 'skrr', '1000rr', 'superbikes', 'trackspec', 'S1000R', 'motorcycles', 'hooligan', 'racerchick']",1561629259
5,BzKgu0UASm3,bikewithgirl,https://scontent-bom1-2.cdninstagram.com/vp/1ff956106aaf7bd9ca48116e75cf8d12/5DACFE64/t51.2885-15/e35/64252104_205237807117845_8476556487079553748_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3NDYxNDUzMzExMjAxNTI4Nw%3D%3D.2,23044,False,40,1350,1080,"Happy birthday to my brother from the same mother @rishikochhar! 🎈
For everyone that's not seen him on my feed much, it's because he lives far far away in New Zealand. 🇳🇿
More info? Rides a Yamaha XJ, wants to own an RE dealership one day, owns the room the minute he walks in with his dance moves, Burp artist, Dhinchak Pooja Fan, ⭐ of the family and crazy protective of me! 😂
Gotta ride to South Island with you soon bhaiyya! I ❤️ you!

#HappyBirthday #Twins #Twinning #brother #dilonkashooterHaiMeraScooter 🤮#royalenfield  #interceptor #interceptor650 #continentalgt650 #royalenfield #continentalgt #travel #himalayan #India #weekend #retwins #chrome #thunderbird500 #thunderbird #thunderbird350 #royalenfield #royalenfieldbeasts #bullet #himalayan #royalenfieldclassic350 #bikes #royalenfieldcontinentalgt #cruise #royalenfield  #ride #mumbai #love","['mumbai', 'dilonkashooterHaiMeraScooter', 'royalenfield', 'thunderbird350', 'weekend', 'royalenfieldbeasts', 'brother', 'India', 'continentalgt', 'love', 'Twinning', 'royalenfieldcontinentalgt', 'thunderbird', 'interceptor650', 'retwins', 'royalenfieldclassic350', 'interceptor', 'bullet', 'himalayan', 'cruise', 'Twins', 'HappyBirthday', 'chrome', 'continentalgt650', 'travel', 'thunderbird500', 'bikes', 'ride']",1561533346
6,BzH7fY7AAVm,bikewithgirl,https://scontent-bom1-2.cdninstagram.com/vp/6de0345ec02bceb09800dda5489df373/5DA9BA15/t51.2885-15/e35/64616088_148644812977532_914413429067462053_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3Mzg4Nzc5NTIzNDk5NzYwNg%3D%3D.2,81261,False,349,1080,1080,"So here's what happened after the 20min chat about Benaras, Bullets and the 6R kitna deti hai?
Brijesh was looking at the bike with such a kid-like innocence that I asked him if he wanted to come up close see and hear the bike. I would've liked to take him for a quick spin but the ZX6R is unfortunately a single-seater. 😞
But what he wanted was a picture📸! So I quickly jumped off to swap places. Before I could reach the rickshaw, I was surprised to see him already sitting on the ZX6R, wide grin, brimming with pride, ready to take that picture!📸
This baby was only mine for a few days but she sure made Brijesh's week! ❤️
.
. 📸 By the master of candids @x_vishaldubey

#candid #rickshaw #tuktuk #zx6r #zx10r #ninjazx6r #z800 #kawasakiz800 #z800e #akrapovic #kawasaki #ninja1000 #zx10  #kwacker #ninja #zx #zxflux #zx10rr #zx10 #bikewithgirl #racespec #hooligan #superbike #superbikes #supersport #bikergirl #motorcycles #love  #racerchick #india","['zx10', 'zx10r', 'bikergirl', 'racespec', 'bikewithgirl', 'akrapovic', 'supersport', 'love', 'zx', 'kawasakiz800', 'ninjazx6r', 'zxflux', 'ninja', 'superbike', 'ninja1000', 'kawasaki', 'zx6r', 'superbikes', 'kwacker', 'rickshaw', 'india', 'tuktuk', 'z800', 'z800e', 'motorcycles', 'candid', 'hooligan', 'zx10rr', 'racerchick']",1561446712
7,BzALvo7glFL,bikewithgirl,https://scontent-bom1-2.cdninstagram.com/vp/62db6df03908ab193f5612a87c488d0a/5DBE7AAE/t51.2885-15/e35/65051879_233119604314181_4599820890107530095_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=8&ig_cache_key=MjA3MTcwNzQ4MDg2NTUyNjA5MQ%3D%3D.2,53550,False,381,1080,1080,"Link in Bio. 🆕📺
Happy Weekend!
.
.
I'm glad I didn't kill 📸 @naveenkrishnan2812 because that's how close I got to him 😑😑.
. 
#Dhoom #zx6r #zx10r #ninjazx6r #z800 #kawasakiz800 #z800e #akrapovic #kawasaki #ninja1000 #zx10  #kwacker #ninja #zx #zxflux #zx10rr #zx10 #bikewithgirl #racespec #hooligan #superbike #superbikes #supersport #bikergirl #motorcycles #love  #racerchick #india","['zx10', 'zx10r', 'Dhoom', 'bikergirl', 'racespec', 'bikewithgirl', 'akrapovic', 'supersport', 'love', 'zx', 'kawasakiz800', 'ninjazx6r', 'zxflux', 'ninja', 'superbike', 'ninja1000', 'kawasaki', 'zx6r', 'superbikes', 'kwacker', 'india', 'z800', 'z800e', 'motorcycles', 'hooligan', 'zx10rr', 'racerchick']",1561186798
8,By9oXTVA5r0,bikewithgirl,https://scontent-bom1-2.cdninstagram.com/vp/69298b8995046461c89c3fcc14a92633/5DC1D739/t51.2885-15/e35/64855121_458022078350167_3387052064487176132_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3MDk4ODkyNjgyMjM1Nzc0OA%3D%3D.2,72556,False,657,1332,1080,"This sweet-n-innocent autorickshaw driver Brijesh stopped to ask me the other day,
""Madam bahut badiya bike hai aapki👌🏼! Kitna Deti Hai? 😋"" (What a lovely green motorcycle you're riding. She fuel efficient?) Whoever guesses correctly what happened after our 20min chat gets a Shoutout on my Stories... 😉
.
.
📸 By the master of candids @x_vishaldubey

#candid #rickshaw #tuktuk #zx6r #zx10r #ninjazx6r #z800 #kawasakiz800 #z800e #akrapovic #kawasaki #ninja1000 #zx10  #kwacker #ninja #zx #zxflux #zx10rr #zx10 #bikewithgirl #racespec #hooligan #superbike #superbikes #supersport #bikergirl #motorcycles #love  #racerchick #india","['zx10', 'zx10r', 'bikergirl', 'racespec', 'bikewithgirl', 'akrapovic', 'supersport', 'love', 'zx', 'kawasakiz800', 'ninjazx6r', 'zxflux', 'ninja', 'superbike', 'ninja1000', 'kawasaki', 'zx6r', 'superbikes', 'kwacker', 'rickshaw', 'india', 'tuktuk', 'z800', 'z800e', 'motorcycles', 'candid', 'hooligan', 'zx10rr', 'racerchick']",1561101140
9,ByzVDcnAPOE,bikewithgirl,https://scontent-bom1-2.cdninstagram.com/vp/41e192c7cd01a638e5bf3acc681eda12/5DB5050C/t51.2885-15/e35/62110242_374118313238371_7502056675006483161_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA2ODA4OTI0OTc0NzQ5Nzg2MA%3D%3D.2,52124,False,285,1351,1080,"Uh-oh 🌧️
I laaaav riding in the rain but I've had my share of slipping, sliding and almost crashing on race bikes last year. Those were merely 200cc. THIS is a 600+cc mental thaang! 🤯
Should I GO FOR THAT CORNER ? 👽
Tell me what I should do?
.
.
📸 By @naveenkrishnan2812, the amaze dude at @nikonindiaofficial.

#rain #monsoon #zx6r #zx10r #ninjazx6r #z800 #kawasakiz800 #z800e #z800indonesia #akrapovic #kawasaki #ninja1000 #zx10  #kwacker #ninja #zx #zxflux #zx10rr #zx10 #bikewithgirl #racespec #hooligan #superbike #superbikes #supersport #bikergirl #bikegirl #motorcycles #love #bikewithgirl #racerchick #india","['zx10', 'zx10r', 'bikergirl', 'racespec', 'bikegirl', 'bikewithgirl', 'akrapovic', 'supersport', 'love', 'zx', 'kawasakiz800', 'ninjazx6r', 'zxflux', 'ninja', 'superbike', 'monsoon', 'ninja1000', 'kawasaki', 'zx6r', 'superbikes', 'kwacker', 'z800indonesia', 'india', 'rain', 'z800', 'z800e', 'motorcycles', 'hooligan', 'zx10rr', 'racerchick']",1560755471
