,shortcode,username,display_url,edge_media_preview_like,comments_disabled,edge_media_to_comment,dimensions_height,dimensions_width,edge_media_to_caption,tags,taken_at_timestamp
0,BzhqjgXBLSX,bmwindia_official,https://scontent-bom1-2.cdninstagram.com/vp/26dca5e1ca62333f966b99457f43d2e6/5DAF5F35/t51.2885-15/e35/65301889_346534359356404_1495581636110012894_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA4MTEzMTY2MDcwMjk1NDY0Nw%3D%3D.2,4043,False,4,1350,1080,Take charge of your drive. The BMW 5 Series. #BMW #5Series #BusinessAthlete #SheerDrivingPleasure,"['BusinessAthlete', 'SheerDrivingPleasure', '5Series', 'BMW']",1562310248
1,BzdKboqhY7I,bmwindia_official,https://scontent-bom1-2.cdninstagram.com/vp/6e2c89c48657d43d4e1c8743065de4f9/5DB6489D/t51.2885-15/e35/64656450_212098079760991_6100808194917747188_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3OTg2NDQ4MjQ2OTA4ODk2OA%3D%3D.2,5613,False,4,1350,1080,Creating an experience of mythical proportions. The BMW M2 Competition. #BMW #BMWM #BMWMRepost #SheerDrivingPleasure @arnaudtaquet,"['BMWMRepost', 'SheerDrivingPleasure', 'BMWM', 'BMW']",1562159189
2,Bzcz0QYhBOp,bmwindia_official,https://scontent-bom1-2.cdninstagram.com/vp/83395973d4754de14aa9ac70ca49c125/5DB921E8/t51.2885-15/e35/66447282_435683533950949_6310663931475336013_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3OTc2NTAxOTMxNDM2MTI1Nw%3D%3D.2,5161,False,5,1350,1080,A truly distinctive travel companion. The BMW 6 Series Gran Turismo. #BMW #6Series #SheerDrivingPleasure,"['SheerDrivingPleasure', '6Series', 'BMW']",1562147332
3,BzaD1uJh7s7,bmwindia_official,https://scontent-bom1-2.cdninstagram.com/vp/959558c8e4d898da3a5ba74cdd4f4e2d/5DAADBE1/t51.2885-15/e35/64769033_330248974556636_4367154078944382652_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3ODk5MTA2MzgwODcxOTY3NQ%3D%3D.2,5347,False,8,1350,1080,King of the hill. The BMW X3. #BMW #X3 #OnAMission #SheerDrivingPleasure,"['X3', 'OnAMission', 'SheerDrivingPleasure', 'BMW']",1562055069
4,BzIA3alBybk,bmwindia_official,https://scontent-bom1-2.cdninstagram.com/vp/46b28bd20d509e577d1f5bb98d0321f0/5DC25701/t51.2885-15/e35/64227679_622165538293411_8079362321006464336_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=8&ig_cache_key=MjA3MzkxMTQzNjUxMzg0NzAxMg%3D%3D.2,3077,False,5,1350,1080,"Taking the spotlight. 
The #BMW #5Series","['5Series', 'BMW']",1561449530
5,BzIAz61hAUf,bmwindia_official,https://scontent-bom1-2.cdninstagram.com/vp/5921e80739f2a2ed949588ac17a925f4/5DA871F3/t51.2885-15/e35/64454404_202194704008522_6769014955464835748_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=8&ig_cache_key=MjA3MzkxMTE5NjI3MjI5NzI0Nw%3D%3D.2,2028,False,2,1350,1080,"Taking the spotlight. 
The #BMW #5Series","['5Series', 'BMW']",1561449502
6,BzIAwn5hFgo,bmwindia_official,https://scontent-bom1-2.cdninstagram.com/vp/43b959186ce29e3f0c5c9c81d3a4cd0f/5DA2556D/t51.2885-15/e35/64608743_360895354612282_4871819002233835576_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=8&ig_cache_key=MjA3MzkxMDk2OTc3OTkwMjUwNA%3D%3D.2,3537,False,4,1350,1080,"Taking the spotlight. 
The #BMW #5Series","['5Series', 'BMW']",1561449475
7,BzFZzYqBZ79,bmwindia_official,https://scontent-bom1-2.cdninstagram.com/vp/71c28717374167cb865aa846429b20dd/5DB93881/t51.2885-15/e35/64345467_107102507141310_1582109036429560357_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3MzE3NjY4NTgwNDg4NzgwNQ%3D%3D.2,6985,False,14,937,750,"When a door closes, four more open. The BMW 6 Series Gran Turismo. #BMW #6Series #SheerDrivingPleasure","['SheerDrivingPleasure', '6Series', 'BMW']",1561361941
8,BzFZvw4hU5c,bmwindia_official,https://scontent-bom1-2.cdninstagram.com/vp/3fab87206ffef3598991c6ac82f7067c/5DB00C47/t51.2885-15/e35/65149814_375750416624587_5465849834200053330_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3MzE3NjQzNjk0MDAzMzYyOA%3D%3D.2,4990,False,6,936,750,"When a door closes, four more open. The BMW 6 Series Gran Turismo. #BMW #6Series #SheerDrivingPleasure","['SheerDrivingPleasure', '6Series', 'BMW']",1561361911
9,BzFZoNahNYz,bmwindia_official,https://scontent-bom1-2.cdninstagram.com/vp/ed45406b6ded4aca3f5daf7d9fe45b15/5DAFF50E/t51.2885-15/e35/62513448_454884798641046_7405981908242844836_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3MzE3NTkxNzgxOTM4NTM5NQ%3D%3D.2,4860,False,8,750,750,"When a door closes, four more open. The BMW 6 Series Gran Turismo. #BMW #6Series #SheerDrivingPleasure","['SheerDrivingPleasure', '6Series', 'BMW']",1561361849
