,shortcode,username,display_url,edge_media_preview_like,comments_disabled,edge_media_to_comment,dimensions_height,dimensions_width,edge_media_to_caption,tags,taken_at_timestamp
0,BzPOKdMBQGB,bonkers4memes,https://scontent-bom1-2.cdninstagram.com/vp/a36639f2e590835756b61949b3d8704a/5DBDA67A/t51.2885-15/e35/s1080x1080/65013752_534031267131831_1658907797545286820_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3NTk0MDI0NDQyNzE3ODM2OQ%3D%3D.2,1780,False,12,822,1080,stop watching me pee bro it’s cold and I’m nervous,[],1561691383
1,BzOD3D9h3lY,bonkers4memes,https://scontent-bom1-2.cdninstagram.com/vp/03390e57f1468fae2667a9ca5c8f82b2/5DAD777A/t51.2885-15/e35/s1080x1080/65142086_115904383014418_7734774399918695505_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3NTYxMzQ1NjIyODY0NTIwOA%3D%3D.2,5824,False,57,871,1080,"Just play Forensic Files on an endless loop, please.",[],1561652427
2,BzLoC4yBLMG,bonkers4memes,https://scontent-bom1-2.cdninstagram.com/vp/9ee26100c00c6d35cebfa064ec388c78/5DA38860/t51.2885-15/e35/p1080x1080/64239481_3206538852691392_7160059948345950361_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3NDkyODE3MzYwMjM1MzkyNg%3D%3D.2,4888,False,60,1092,1080,I’ll take one of the books that comes with rocks and the book that comes with the magic trick. Thanks. 😎,[],1561570735
3,BzJ55ZThBjJ,bonkers4memes,https://scontent-bom1-2.cdninstagram.com/vp/63cd23f25045336ba17ef8b39354b7bc/5DA713FD/t51.2885-15/e35/p1080x1080/64581263_361438894564127_6624501659405771770_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3NDQ0MzczNjIxMzEwMDc0NQ%3D%3D.2,4102,False,34,1220,1080,I know you haven’t finished your story but that reminds me of the time that I did the same exact thing with an entirely different ending.,[],1561512985
4,BzHYYdzh8kS,bonkers4memes,https://scontent-bom1-2.cdninstagram.com/vp/bb5c0af5f14c0a6b708674d846234671/5DAAC30A/t51.2885-15/e35/65135577_450431135755908_5879024678219305998_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3MzczMzM4NzgxNDE2MDY1OA%3D%3D.2,4815,False,76,732,750,si,[],1561428305
5,BzGgr1whGee,bonkers4memes,https://scontent-bom1-2.cdninstagram.com/vp/6438fd41b567f820ceabcebb2257bbec/5DBE2CE0/t51.2885-15/e35/s1080x1080/62223504_113907916551526_4045746405889378334_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3MzQ4ODQyODU5ODg0NzM5MA%3D%3D.2,6650,False,77,717,1080,The toilet is above the refrigerator @joeygllghr,[],1561399104
6,BzGI3t2hhk7,bonkers4memes,https://scontent-bom1-2.cdninstagram.com/vp/8652283c34d4b93b9b82441ee2e2c264/5DB37D60/t51.2885-15/e35/s1080x1080/64392577_151168209270483_4850343122568091073_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3MzM4MzY5MTYyNzE0MTQzNQ%3D%3D.2,4289,False,22,1046,1080,.rtf in the streets .doc in the sheets 🥴,[],1561386618
7,BzEbWNtB_FG,bonkers4memes,https://scontent-bom1-2.cdninstagram.com/vp/af72faf82c4ba6c016b8b5277942da01/5DB5D15C/t51.2885-15/e35/s1080x1080/65389050_1255930701233750_5244696497603268304_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3MjkwMjAwMjI5NTY5NzczNA%3D%3D.2,8260,False,56,1068,1080,looking good Earl,[],1561329196
8,BzDm-LSB0wM,bonkers4memes,https://scontent-bom1-2.cdninstagram.com/vp/d8cc74d5bc70279dc66d1e736b273b6d/5DB988C8/t51.2885-15/e35/s1080x1080/64875209_377584669564924_8260364921816219081_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3MjY3MTY1MjAwOTE2Nzg4NA%3D%3D.2,4551,False,87,802,1080,Birds aren’t real.,[],1561301736
9,BzBj7E5BvgT,bonkers4memes,https://scontent-bom1-2.cdninstagram.com/vp/ffd8a874bc8d2e197dde837df44f0aeb/5DAB4F5C/t51.2885-15/e35/s1080x1080/65270367_380054519529138_1179603498622159764_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3MjA5NTI5NDg5NTg4MDIxMQ%3D%3D.2,3065,False,38,780,1080,XxBonkers4memesxX,[],1561233029
10,By74yiKh18I,bonkers4memes,https://scontent-bom1-2.cdninstagram.com/vp/1e69ebf47b26dfd3f46359f2d4e12f69/5DAD298B/t51.2885-15/e35/62649724_148483742874209_2682462515844415387_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3MDQ5ODIxNjk2OTE5OTM2OA%3D%3D.2,3397,False,17,483,750,plop,[],1561042643
11,By5gzUXhMb0,bonkers4memes,https://scontent-bom1-2.cdninstagram.com/vp/d0b0a95a7bbe135e540e211232d76991/5DC1D9B8/t51.2885-15/e35/64995440_410152056245570_2373067836976039856_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2OTgyOTc2NzgwNDUzNjU2NA%3D%3D.2,7312,False,44,627,640,I’ll move the chairs 💪,[],1560962957
12,By4BpNxh-50,bonkers4memes,https://scontent-bom1-2.cdninstagram.com/vp/b6587de01397cd5303119bae84a8d41d/5DC4D09B/t51.2885-15/e35/62220725_144957300012194_5986300081676693727_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2OTQxMTI1OTExMTQzNTg5Mg%3D%3D.2,4272,False,28,483,640,See? That’s what happens.,[],1560913067
13,By1VsZfhZvW,bonkers4memes,https://scontent-bom1-2.cdninstagram.com/vp/4937b322f49a9c1b108e4c709b9ad5b5/5DB63673/t51.2885-15/e35/64955997_739452306470662_6715239331963999553_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2ODY1NTAxMzg1MjcxNTk5MA%3D%3D.2,3631,False,42,1256,1080,Definitely going right to sleep goodnight,[],1560822916
14,Byx90LQBBXf,bonkers4memes,https://scontent-bom1-2.cdninstagram.com/vp/9a8e287e1414184ae6fc3e402a46be68/5DC352B1/t51.2885-15/e35/s1080x1080/64494708_374977899808479_3721945574418817545_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2NzcwNTU3MDI2OTU5OTE5OQ%3D%3D.2,4943,False,44,850,1080,"Go on without me, I’m not gonna make it.",[],1560709733
