,shortcode,username,display_url,edge_media_preview_like,comments_disabled,edge_media_to_comment,dimensions_height,dimensions_width,edge_media_to_caption,tags,taken_at_timestamp
0,Bzii4hHgk8t,bren_garage,https://scontent-bom1-2.cdninstagram.com/vp/37b55cda6a73922851d8e18c33573a8c/5DB6195F/t51.2885-15/e35/s1080x1080/64809603_152472742574608_2258471359667514712_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA4MTM3OTM5NTIzMDEyNTg2OQ%3D%3D.2,15501,False,74,720,1080,"Looking forward to seeing you'll at the Ahmedabad Racquet Academy from 9 am - 10 am Tomorrow.
#ferrari #488pista #brengarage #gujrat #ahmedabad","['gujrat', '488pista', 'ferrari', 'ahmedabad', 'brengarage']",1562339780
1,BziCuRIAFqS,bren_garage,https://scontent-bom1-2.cdninstagram.com/vp/28840f8a564868c8625569274f4070a7/5DA9921A/t51.2885-15/e35/s1080x1080/65044629_838904066509468_3345959311289036269_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA4MTIzNzk1MzM3NTM5NDQ1MA%3D%3D.2,23658,False,157,720,1080,"At Rann, celebrating milestones while preparing for the road ahead. 
Thank you all for 100K🙏🏼.
#ferrari #488pista #brengarage #rannofkutch #friday #motivation","['488pista', 'ferrari', 'rannofkutch', 'motivation', 'friday', 'brengarage']",1562322919
2,BzdFTEUhkxR,bren_garage,https://scontent-bom1-2.cdninstagram.com/vp/869ff8385f7567420edd4d5006a4dc91/5DC5B420/t51.2885-15/e35/s1080x1080/65300446_2422290824494857_2593940996390498371_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3OTg0MTkwMzQ1Njk2MzY2NQ%3D%3D.2,19658,False,61,606,1080,"Your success is not about the end result, it's about what you learn along the way. 
#brengarage",['brengarage'],1562156497
3,BzVlclzAQT4,bren_garage,https://scontent-bom1-2.cdninstagram.com/vp/e096404c2cf3b207b8cf9b6467e2b016/5DBF6069/t51.2885-15/e35/s1080x1080/65847713_161396371573251_6317180237344344709_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3NzczMTQ5NTU1MTc2MzcwNA%3D%3D.2,7130,False,36,606,1080,Star performance 💫  #porsche #911gt2rs #brengarage #trackdays #trackitlikebren,"['trackitlikebren', 'trackdays', 'porsche', '911gt2rs', 'brengarage']",1561904917
4,BzOAX1vA9ij,bren_garage,https://scontent-bom1-2.cdninstagram.com/vp/07eb8a9eaed932491c23bae8f75fef05/5DABEDF4/t51.2885-15/e35/s1080x1080/65637678_453267328820265_6942301419953966266_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3NTU5ODExNjUwOTQ0MDE2Mw%3D%3D.2,17919,False,49,788,1080,Track day soon 😁 #chasinghappiness #joymachine #porsche #GT3,"['GT3', 'chasinghappiness', 'joymachine', 'porsche']",1561650598
5,BzD6q5ngb-u,bren_garage,https://scontent-bom1-2.cdninstagram.com/vp/7e9c642f488174e44c3880fccd513c84/5DAFCFFD/t51.2885-15/e35/s1080x1080/65492169_126035798612570_8024182831015157806_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3Mjc1ODI4ODMwMjMyNTY3OA%3D%3D.2,28674,False,135,606,1080,My first lambo ❤️ #lamborghini #huracan #brenacan #vorsteiner #novara #novitec #inconelraceexhaust #brenspec #brengarage,"['huracan', 'brenspec', 'vorsteiner', 'inconelraceexhaust', 'lamborghini', 'novitec', 'brenacan', 'brengarage', 'novara']",1561312064
6,BzDE-xIAsi2,bren_garage,https://scontent-bom1-2.cdninstagram.com/vp/df372fa49fcbd19085df6bf2ef59a556/5DBA97DB/t51.2885-15/e35/s1080x1080/62474918_2732794446793154_7666966202248331998_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3MjUyMjE1OTA2MTkxMTczNA%3D%3D.2,12224,False,43,622,1080,Sunday drive #lamborghini #aventadorsvj #violaaletheia #brenspec #brentador #sundayfunday #brengarage 📸@manishasrani87,"['brenspec', 'sundayfunday', 'brentador', 'aventadorsvj', 'lamborghini', 'violaaletheia', 'brengarage']",1561283915
7,BzA-Aojg0Pf,bren_garage,https://scontent-bom1-2.cdninstagram.com/vp/1ec2c446ff602b46377cf575bf871ab4/5DB3BB41/t51.2885-15/e35/s1080x1080/65181821_672522016494273_8130186002092283299_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3MTkyODU1MTAxOTU5NDcxOQ%3D%3D.2,23808,False,85,720,1080,"My first Supercar the Aston Martin and my first Lamborghini 
#astonmartin #dbs #carbonblack #lamborghini #huracan #brenacan #vorsteiner #brengarage","['huracan', 'vorsteiner', 'astonmartin', 'lamborghini', 'dbs', 'brenacan', 'carbonblack', 'brengarage']",1561213152
8,BzAPUfNAAmV,bren_garage,https://scontent-bom1-2.cdninstagram.com/vp/b84d80093fc03b260d5e4a0458bfa4a1/5DB5C28D/t51.2885-15/e35/s1080x1080/62210906_216087542686838_5235835244755619344_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3MTcyMzIwNzE4MTczMjI0NQ%3D%3D.2,5572,False,21,809,1080,Chasing Happiness #art #brengarage #davidgerstein,"['davidgerstein', 'art', 'brengarage']",1561188673
9,By-Ag7UgNBu,bren_garage,https://scontent-bom1-2.cdninstagram.com/vp/d0a2c38b71bc2eedfdfc28d5c02825b2/5DA0CDD6/t51.2885-15/e35/s1080x1080/65058208_2683572041670775_4654880399298863093_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3MTA5NTE0MTM1NTAxNjMwMg%3D%3D.2,17150,False,53,836,1080,Beauty and performance #brenspec #ferrari #488pista #brengarage #friday,"['brenspec', '488pista', 'ferrari', 'friday', 'brengarage']",1561113802
10,By7P2ZNA9cz,bren_garage,https://scontent-bom1-2.cdninstagram.com/vp/0e743ec3a8471e1a024d877288358bda/5DBB75EA/t51.2885-15/e35/s1080x1080/64500160_149706349483728_5948393543324794583_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3MDMxODE2MjMxODE4NjI5MQ%3D%3D.2,19919,False,91,720,1080,"Shillong. Scotland of the east. 
#drive #roads #greenery #mountainscapes #porsche #lamborghini #techart #brengarage #throwback","['mountainscapes', 'roads', 'drive', 'greenery', 'techart', 'throwback', 'lamborghini', 'porsche', 'brengarage']",1561021178
11,By22fNpAysg,bren_garage,https://scontent-bom1-2.cdninstagram.com/vp/cf4225017c54f59491bfc9fdae06fadf/5DBDF362/t51.2885-15/e35/p1080x1080/62400810_379876049400580_8756868842239767169_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2OTA4MDcxODI4NTQxNzI0OA%3D%3D.2,42433,False,70,1284,1080,For your eyes only #brengarage #brenspec #brentador 📸 @thegtproduction 👌,"['brentador', 'brenspec', 'brengarage']",1560873664
12,Byz6VmDACjn,bren_garage,https://scontent-bom1-2.cdninstagram.com/vp/28cc057e73b58c85f85c8bb4edba064d/5DB28555/t51.2885-15/e35/s1080x1080/62537833_2363636113918726_6452081424739301964_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2ODI1MzIyNDU1MjM3NjU1MQ%3D%3D.2,8584,False,20,1028,1080,"Everything that excites you are connected to your purpose.  Follow them.
#mondaymotivation #brengarage #enthusiasts","['mondaymotivation', 'enthusiasts', 'brengarage']",1560775019
13,ByscNV1gHgw,bren_garage,https://scontent-bom1-2.cdninstagram.com/vp/0aa25f00b14f9fa818ac004179e76f40/5DB240A1/t51.2885-15/e35/61906382_661944867610655_8903676794964164635_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=8&ig_cache_key=MjA2NjE1MDM5MTE1NzkxMzY0OA%3D%3D.2,16181,False,109,1080,1080,"You can start unknown, but finish unforgettable. 
The road that had me riding a Ducati 10years ago, has got me driving the best of cars today. Eventually, dreams do come true. 
I appreciate your love and support through this journey of my passion 🙏",[],1560524341
14,BykgAlAAueU,bren_garage,https://scontent-bom1-2.cdninstagram.com/vp/024d7d08b94e5c48f22f487ac48cd9d6/5DB7A195/t51.2885-15/e35/s1080x1080/62082105_695057614298576_2834842310843528976_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2MzkxNTMwNjQ1OTUyMjk2NA%3D%3D.2,27407,False,71,809,1080,Feels great to be back home 🏡 after a good holiday #brengarage #nosocialmedia #holiday,"['holiday', 'nosocialmedia', 'brengarage']",1560257899
15,Bx6o3dMgd-7,bren_garage,https://scontent-bom1-2.cdninstagram.com/vp/90e9d7ab6729923bfacaa2cd4e5a92ce/5DA65DF4/t51.2885-15/e35/s1080x1080/60060667_438524330057523_8048484270271399718_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1MjEzMjMxMzAwMDY5Nzc4Nw%3D%3D.2,10675,False,48,701,1080,Porsche ❤️ 💯 #brenspec #porsche #gt2rsweissach #trackitlikebren #brengarage,"['brenspec', 'trackitlikebren', 'gt2rsweissach', 'porsche', 'brengarage']",1558853256
16,Bx1uvwfAIx5,bren_garage,https://scontent-bom1-2.cdninstagram.com/vp/3dc96d619310d6c5b281346beff62f31/5DB32989/t51.2885-15/e35/s1080x1080/59485789_137161114125602_6823790166494251764_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1MDc1MDc5NzM1MTc4MzU0NQ%3D%3D.2,10082,False,40,606,1080,#ferrari #488pista #buddhinternationalcircuit #brenspec #brengarage,"['brenspec', 'buddhinternationalcircuit', '488pista', 'ferrari', 'brengarage']",1558688567
17,BxkKnOsAfFi,bren_garage,https://scontent-bom1-2.cdninstagram.com/vp/a83464b79011321a0c4dac91be598e51/5DBE99A2/t51.2885-15/e35/s1080x1080/60461346_463684400839338_694631572287830073_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA0NTgwNjgwNzAyODQ2MTkyMg%3D%3D.2,11982,False,36,1080,1080,"Sundowner #goa #sundowner #cheers #brengarage #chasinghappiness 
Pic courtesy @manuchandra","['goa', 'sundowner', 'chasinghappiness', 'cheers', 'brengarage']",1558099197
18,Bxb6SqeghtN,bren_garage,https://scontent-bom1-2.cdninstagram.com/vp/5f3ce7571cff5e9a75369f58fa85e6dc/5DB25186/t51.2885-15/e35/s1080x1080/59325963_138668600527111_9071665467876094008_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA0MzQ4MzIyNTE5OTg3Njk0MQ%3D%3D.2,29047,False,315,809,1080,"Top 3 track focused special edition supercars.
Porsche 911 GT2RS 
Lamborghini Aventador SVJ
Ferrari 488 Pista 
What’s your favourite and Bren’s of the three?

First ones to have arrived in India 🇮🇳 🙏
#porsche #911gt2rs #lamborghini #aventador #svj #ferrari #488pista #brenspec #brengarage 
#turbosandwich","['brenspec', 'turbosandwich', '488pista', 'ferrari', 'aventador', 'lamborghini', 'svj', 'porsche', '911gt2rs', 'brengarage']",1557822205
19,BxZq59aADKm,bren_garage,https://scontent-bom1-2.cdninstagram.com/vp/3a6994f524153f1e0e87f83566a0f2e6/5DAA77C7/t51.2885-15/e35/s1080x1080/58468612_118480869116351_5221068197465602600_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA0Mjg1MjYwNjg4NzM0Mjc1OA%3D%3D.2,19359,False,211,780,1080,"My first Mercedes 1996 import E300D W124.
I would drive it almost every day and have driven more than 50000kms on this from 1996-2001.
A lot of good memories
I will have to work on its restoration to make it look 💯

#brengarage #mercedes #w124 #e300d","['e300d', 'mercedes', 'w124', 'brengarage']",1557747029
20,BxPcDScgaLF,bren_garage,https://scontent-bom1-2.cdninstagram.com/vp/924d76f9db7229e13024ba9d37045bfb/5DA6CCE6/t51.2885-15/e35/s1080x1080/59438673_1282427415245616_4274419873880206132_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjAzOTk3MjUyNzQ4ODQ3NTg0NQ%3D%3D.2,12338,False,40,607,1080,"☹️ It is too 🥵 to hit the Race Track. 
#beastofthegreenhell #mercedesamg #amggtr #trackitlikebren #trackdays
#brengarage #throwback
📷 @supercarsinbangalore","['trackitlikebren', 'mercedesamg', 'trackdays', 'beastofthegreenhell', 'amggtr', 'throwback', 'brengarage']",1557403697
21,BxMVUIGAAwq,bren_garage,https://scontent-bom1-2.cdninstagram.com/vp/931fabe2673d318e24688cad51791b7b/5DC12958/t51.2885-15/e35/s1080x1080/59841864_190495488587394_2933514461338250670_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjAzOTA5ODQ3MzM0ODg2MDk3MA%3D%3D.2,17954,False,146,810,1080,"Don't look at the problems, look at the opportunities. BREN
#brengarage",['brengarage'],1557299502
22,BxG-N4XgZx4,bren_garage,https://scontent-bom1-2.cdninstagram.com/vp/65409cf544176bea2ac7ce740aff10c6/5DB66C3B/t51.2885-15/e35/59253119_1183488628498949_3803340948366746110_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjAzNzU4OTUxNDE5MjUyNjQ1Ng%3D%3D.2,17889,False,83,857,1080,"”When you stop working, you start to die.” Ferrucio Lamborghini
I work only for my cars
#lamborghini #aventadorsvj #violaalethia #ferruciolamborghini #mondaymotivation #brengarage #brenspec #brentador","['brenspec', 'mondaymotivation', 'brentador', 'ferruciolamborghini', 'aventadorsvj', 'lamborghini', 'violaalethia', 'brengarage']",1557119620
23,Bw6S--EAStE,bren_garage,https://scontent-bom1-2.cdninstagram.com/vp/9cb1443776f62efb9bd9b0fd96369a18/5DA42189/t51.2885-15/e35/57506183_294669151457916_1056762996293714228_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjAzNDAyMTY3Mzc5NTEzNjMyNA%3D%3D.2,25806,False,177,883,1080,"My favourite Top 2 Track cars in a similar spec.
What’s your favourite of the two?
#porsche #gt2rs
#ferrrari #488pista #trackcars
#brenspec #brengarage","['brenspec', 'trackcars', 'ferrrari', '488pista', 'gt2rs', 'porsche', 'brengarage']",1556694300
24,Bw1P3EaA4Vf,bren_garage,https://scontent-bom1-2.cdninstagram.com/vp/27ab109357095d2543d9dd92e265123b/5DA40665/t51.2885-15/e35/58410957_307394916822468_707331231186662565_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjAzMjYwMDU2MTgyNzkzOTY3OQ%3D%3D.2,19089,False,182,607,1080,"Love the North East of India 🇮🇳 🙏
Driving on these beautiful scenic roads was a pleasure for two days.
It was just not enough and I’ll be back soon to explore  much more. 
#explorewithbren #northeastindia #scenicroads #lamborghini #brenacan #huracan #porsche #techart #gtstreetr #brengarage","['huracan', 'gtstreetr', 'scenicroads', 'northeastindia', 'techart', 'lamborghini', 'porsche', 'brenacan', 'brengarage', 'explorewithbren']",1556524890
25,BwiqMeIA3U8,bren_garage,https://scontent-bom1-2.cdninstagram.com/vp/d8bde5bc526bdf8de639c888b0d39641/5DA82EF6/t51.2885-15/e35/57454703_392180894949636_9196724459974873276_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjAyNzM2ODM1NzIwNDAzMDc4MA%3D%3D.2,17754,False,64,607,1080,"🇮🇳 most loved car 
#lamborghini #svj #celebrity #brentador #brenspec #brengarage","['brenspec', 'brentador', 'lamborghini', 'svj', 'brengarage', 'celebrity']",1555901163
26,BwhINtcgyUt,bren_garage,https://scontent-bom1-2.cdninstagram.com/vp/1428d8264f7f70e2240f466488e5d590/5DB1FFF2/t51.2885-15/e35/58408895_133376787727424_7591304962564663992_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjAyNjkzNzQzMzgxNTQ1OTExNw%3D%3D.2,17218,False,75,714,1080,"Easter Sunday Drive 
Ferrari Pista is an amazing car to drive in the city and on the highway it is lightning fast 💨 🔪.
(200kms of driving) 
Lot of fun and wanted to just keep driving... I will be taking it to BIC this weekend to check it out on the race track. 
Drive video coming soon 
#Ferrari #488pista #brenspec #brengarage #eastersunday #morningdrives","['brenspec', '488pista', 'eastersunday', 'morningdrives', 'brengarage', 'Ferrari']",1555849793
27,BwfAnOagpgX,bren_garage,https://scontent-bom1-2.cdninstagram.com/vp/3d3550d09d3409523c477fa34de938dc/5DC4BB70/t51.2885-15/e35/56786338_1432351226890168_8116168393518287749_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjAyNjM0MTA1Mjg3Njc1NzAxNQ%3D%3D.2,16261,False,95,720,1080,"Has been with me in rain and shine 💕 
#astonmartin #dbs #carbonblackedition #rainandshine #brenspec #brengarage","['brenspec', 'rainandshine', 'astonmartin', 'carbonblackedition', 'dbs', 'brengarage']",1555778699
28,BwbRR03ACen,bren_garage,https://scontent-bom1-2.cdninstagram.com/vp/ab102fcf222e7495b15a7cd84634c06b/5DA9CABE/t51.2885-15/e35/56410080_2153492284732267_5785703429504513113_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjAyNTI4ODQ0OTIxMjI5NTA3OQ%3D%3D.2,17092,False,66,721,1080,"Have a great weekend!

#ferrari #488pista #brenspec #brengarage","['brenspec', '488pista', 'ferrari', 'brengarage']",1555653218
29,BwZkwVWAE-t,bren_garage,https://scontent-bom1-2.cdninstagram.com/vp/61221483da71c2d8eddef95548b9924a/5DAE6A03/t51.2885-15/e35/56935409_378308429428806_7348859710167525221_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjAyNDgxMTE1ODYwNjcyOTEzMw%3D%3D.2,14296,False,70,720,1080,"You need to have a vision before you hit the road, Courage to push the pedal and steer your way to the destination. 
#brengarage",['brengarage'],1555596321
30,BwV-5DCgI4I,bren_garage,https://scontent-bom1-2.cdninstagram.com/vp/da718d4512c15231b133079253154da9/5DA27F20/t51.2885-15/e35/56786357_128104654952757_8330661599231306781_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjAyMzgwMDIwNjcyOTk3MzI1Ng%3D%3D.2,11709,False,69,1181,1080,"Beautiful cars inspire me to be successful

#brentador #lamborghini #aventadorsvj #violaaletheia #brenspec #brengarage","['brenspec', 'brentador', 'aventadorsvj', 'lamborghini', 'violaaletheia', 'brengarage']",1555475806
