,shortcode,username,display_url,edge_media_preview_like,comments_disabled,edge_media_to_comment,dimensions_height,dimensions_width,edge_media_to_caption,tags,taken_at_timestamp
0,BzDfzjLB2OG,bucketlistjourney,https://scontent-bom1-2.cdninstagram.com/vp/a772966a2b9671321f6c703b06365137/5DAD6F05/t51.2885-15/e35/p1080x1080/64889523_144759350050322_4131409009568272709_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3MjY0MDEzNTQyMTcxNTMzNA%3D%3D.2,1341,False,102,1350,1080,How’d you like to be sitting at this pool right now? This spot was one of the highlights of my stay at Casablanca Resort & Casino in southern #Nevada. What was even better than a daytime dip was that at night this pool turns into a movie theater (complete with a big screen and popcorn!)🍿🎥 #TravelNevada #HowToTravelNevada,"['TravelNevada', 'Nevada', 'HowToTravelNevada']",1561297979
1,By7xmFZhSZF,bucketlistjourney,https://scontent-bom1-2.cdninstagram.com/vp/15c6e7f74e61b04812ba3bc54b30d1ff/5DABD127/t51.2885-15/e35/p1080x1080/64577702_158469631867338_4168841090423095664_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3MDQ2NjU3NTEyMjkwMDU0OQ%3D%3D.2,1633,False,108,1350,1080,"It was hot in #Nevada on this day (like 106!), but there was one hike at the Valley of Fire State Park that I didn’t want to miss—the Fire Wave Trail 🔥 I woke up really early to beat the heat, and so glad that I did 😍
.
Do you like to hike?
.
#HowToTravelNevada #TravelNevada #travelmindset","['HowToTravelNevada', 'Nevada', 'travelmindset', 'TravelNevada']",1561038871
2,By2vmr3h527,bucketlistjourney,https://scontent-bom1-2.cdninstagram.com/vp/af2cf34c7764dfd5b8c7cfc1a21e8284/5DC12D22/t51.2885-15/e35/p1080x1080/62019713_458608378300905_1427329164534838852_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2OTA1MDQ0NTQ1MTk5MjUwNw%3D%3D.2,1911,False,87,1350,1080,"On my drive from Mesquite to Boulder City in Nevada I made this cute roadside stop at Rogers Spring 💦 It’s a hot spring tucked just off the road. I was scared it’d be too hot 🥵 so I just dipped my big toe in, but it was only 85 degrees (cooler than it was outside!). #travelnevada
.
Have you ever been in a hot spring?",['travelnevada'],1560870055
3,ByxhUEYhOBF,bucketlistjourney,https://scontent-bom1-2.cdninstagram.com/vp/b26c90bd73b9e288189c6f7c964bd41a/5DA80E0B/t51.2885-15/e35/p1080x1080/61136251_473722993379441_1413188789173372919_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2NzU4MDIxODU3MDQ5ODExNw%3D%3D.2,2204,False,96,1350,1080,"I love a good road trip and this is what a lot of my southern Nevada drive has looked like 😲 Yep, my jaw dropped to the ground too! This portion is the drive from Vegas to the Valley of Fire 🔥 #TravelNevada
.
PS: I’m doing this trip totally solo (which I love 💕), so turning up the music and singing at the top of my lungs has been happening often 🎶 Do you sing in the car?",['TravelNevada'],1560694790
4,BysVzshhFeL,bucketlistjourney,https://scontent-bom1-2.cdninstagram.com/vp/38ef071edae574d89036f54ff66224c8/5DC4F880/t51.2885-15/e35/p1080x1080/61485063_630642570752980_3399263444764748381_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2NjEyMjI0MDUzMzIyMzMwNw%3D%3D.2,1909,False,102,1350,1080,"I just text this photo to my husband. It simply said “I am here. And it doesn’t suck.” 😜
.
I’m in #Nevada doing a Roadtrip through the southern portion of the state 🚗 hitting up lots of pretty parks (this one is Red Rock Canyon just a half hour from Vegas!), and searching for the best bucket list worthy things to see, do and eat!
.
You can follow along in IG stories 😊 and at hashtags #NeonToNature #TravelNevada #HowToTravelNevada","['TravelNevada', 'Nevada', 'NeonToNature', 'HowToTravelNevada']",1560520986
5,BynNZBjhPQF,bucketlistjourney,https://scontent-bom1-2.cdninstagram.com/vp/81d5cc0357182d272c9adc3818237a35/5DC4F33B/t51.2885-15/e35/p1080x1080/62457867_220887402127645_147760621744587701_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2NDY3Nzg0ODQzMzg4MjExNw%3D%3D.2,2049,False,74,1350,1080,"I’m back home in Northern California for just a few days, which is enough time to plant smooches on this guy 🥰
.
It was 100 degrees so we decided to make our way towards the beach with a pit stop @nickscove in Tomales Bay.
.
Next Up on the Bucket List: Nevada Roadtrip 🚗",[],1560348801
6,ByVEyXZBAZh,bucketlistjourney,https://scontent-bom1-2.cdninstagram.com/vp/c7cc24094a611f79c9eef8066bf0a6d6/5DC43EDC/t51.2885-15/e35/p1080x1080/60949328_658786531213766_8718476843163360546_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1OTU3MzQ1Nzg2NzUwNzI5Nw%3D%3D.2,2585,False,118,1350,1080,"Hiya from Michigan! I’m here exploring the Petoskey area in the northern part of the state (and it sure is pretty!). Best part is that my hubby got to come with me on this trip. Not only is he the most handsome co-pilot, but he takes the photos of me—like this one 💛 BTW—don’t you love the wing art that’s popping up all over? Everybody can be a butterfly 🦋 #PetoskeyArea @petoskeyarea #Petoskey #travelmindset","['PetoskeyArea', 'travelmindset', 'Petoskey']",1559740310
7,ByNiKvmh2yJ,bucketlistjourney,https://scontent-bom1-2.cdninstagram.com/vp/dc4432293a2a0265fe8174380e762085/5DBC1EF8/t51.2885-15/e35/p1080x1080/61043442_234936907492345_9213429219546410992_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1NzQ1MDg3NjY2NjYwNDY4MQ%3D%3D.2,2074,False,106,1350,1080,"Where the blogging magic happens 😜 For so many years I didn’t have an office or official workspace in my house and now that I do I still choose to work on the couch 🛋
.
Where’s your favorite spot at home to work?",[],1559487279
8,Bx-EOsOhs--,bucketlistjourney,https://scontent-bom1-2.cdninstagram.com/vp/d8dc4964f365bbcc4e3db4ed6bfb7a3a/5DA6B0F0/t51.2885-15/e35/p1080x1080/60629084_648890965580699_1057312200048056027_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1MzA5NzA4MTg3NDU5OTg3MA%3D%3D.2,2316,False,150,1350,1080,"For me, every morning starts with a cup of coffee (though I admittedly only drink decaf ☕️—too jittery otherwise). At Rathmullan House Cottages the perfect coffee spot was on the veranda 💛 #loveireland
.
Where’s your favorite spot for a cup of joe?",['loveireland'],1558968266
9,Bx2Q1kqBsL-,bucketlistjourney,https://scontent-bom1-2.cdninstagram.com/vp/d71262274d1d7cdf8b2a026588049337/5DAFF149/t51.2885-15/e35/p1080x1080/60157210_384036575654355_9064363662451834047_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1MDkwMDczMDU1MDA3NjE1OA%3D%3D.2,3121,False,175,1350,1080,"This was my favorite street in #Belfast, in the Cathedral Quarter. Do you see the hanging umbrellas? Zoom in! I’ve been on a few umbrella streets, but never one where the umbrellas were made of lights ☂💡 #loveireland #northernireland","['loveireland', 'northernireland', 'Belfast']",1558706440
10,Bxr5QlGBkI8,bucketlistjourney,https://scontent-bom1-2.cdninstagram.com/vp/58f25e0cc92998c88ebee192ca0fe34d/5DB9365C/t51.2885-15/e35/p1080x1080/60443895_350686972157698_2021871458017832903_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA0Nzk4MjI4MzU2MjMwNDA2MA%3D%3D.2,3161,False,162,1350,1080,"Is that a castle over my shoulder? I did lots of castle hopping on this trip to Ireland with @tourismIreland & @stellerstories, and I found some beauties 👸🏻🏰 You can read about my 15 favorite Irish castles in my new blog post (link in bio 🔝). Just a spoiler—this one, Glenveagh Castle in #Donegal county, was one of my favorites 💛 and it’s located inside the national park, which makes it extra special🌳 #loveireland","['loveireland', 'Donegal']",1558358534
11,BxhtMYxBC_a,bucketlistjourney,https://scontent-bom1-2.cdninstagram.com/vp/c39aadd9e593a75822794482de34a4e5/5DA26746/t51.2885-15/e35/p1080x1080/60070832_1021089168280609_8001829473419708915_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA0NTExNDQ2OTEyMTc5ODEwNg%3D%3D.2,2092,False,89,1344,1080,I couldn't go to Dublin without hitting up The Temple Bar Pub 🍻—Have you ever been? It's almost always hopping with live music and happy customers (myself included!) 🎶 #loveireland  #lovedublin,"['loveireland', 'lovedublin']",1558016664
12,BxXSjZmhUkc,bucketlistjourney,https://scontent-bom1-2.cdninstagram.com/vp/c0901ac77a9c9a306cffd9e987a83a45/5DB47BCA/t51.2885-15/e35/p1080x1080/59767226_464352457440775_6041614318666971112_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA0MjE4MjU1MzU0NDUwOTcyNA%3D%3D.2,1638,False,115,1349,1080,"Would you walk across this rope bridge? @wyattgallery caught me slowly crossing the 65 foot long carrick-a-rede in Northern Ireland ☘️ And I was barely shaking 😜 #loveireland #northernireland
.
🌸Happy Mother’s Day to all you mamas out there 🌸","['loveireland', 'northernireland']",1557667153
13,BxUtgmeBN8y,bucketlistjourney,https://scontent-bom1-2.cdninstagram.com/vp/099682a80937c2b015fd8c7d725763b1/5D9FCE0F/t51.2885-15/e35/p1080x1080/59653184_473330100071412_854043323488496358_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA0MTQ1NjY4MzUyNzc1NzYxOA%3D%3D.2,1487,False,86,1350,1080,"The best part about a road trip is being able to stop when you want! I was driving to Donegal (in the northern part of Ireland) and saw a sign that said Florence Court Forest Park. The tall trees were calling my name 🌳 #loveireland
.
Do you like to take road-trips?",['loveireland'],1557580622
14,BxPm91XhWr_,bucketlistjourney,https://scontent-bom1-2.cdninstagram.com/vp/5c0941594b46efc1199977308df989d0/5DA957AF/t51.2885-15/e35/p1080x1080/59121268_335244693724167_1568576480147494457_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA0MDAyMDUzMTE4MDU2MzE5OQ%3D%3D.2,1309,False,74,1350,1080,"Enniskillen Castle is a 600 year old treasure found right in the middle of the small Irish town of the same name 🏰 👑 I had to maneuver some heavy traffic to get there, but it was worth it! You can go inside where you’ll find the Fermanagh County Museum or do as I did and just walk the pretty perimeter path 💛 #loveireland @tourismireland @stellerstories
. 
#enniskillen #enniskillencastle #irishcastle #digitalireland #Irelandbucketlist #visitireland #discoverireland #wanderireland #tourismireland #wanderireland #irishpassion #beforeidie #BLJinIreland #bucketlist✔️#bucketlisters #bucketlistjourney #bucketlistjourneytravels #bucketlistravel #bucketlistadventures #bucketlistcheck #chaseyourdreams #dreamitdoit #femaletravelbloggers #girltraveler #keepdreaming #travelbloggerlife #travelblogging #travelbucketlist","['travelblogging', 'irishcastle', 'chaseyourdreams', 'visitireland', 'bucketlistravel', 'enniskillen', 'girltraveler', 'wanderireland', 'travelbloggerlife', 'discoverireland', 'tourismireland', 'bucketlistadventures', 'loveireland', 'femaletravelbloggers', 'dreamitdoit', 'bucketlistjourneytravels', 'digitalireland', 'beforeidie', 'bucketlistcheck', 'enniskillencastle', 'irishpassion', 'keepdreaming', 'bucketlisters', 'BLJinIreland', 'bucketlistjourney', '✔️', 'Irelandbucketlist', 'travelbucketlist']",1557409419
