,shortcode,username,display_url,edge_media_preview_like,comments_disabled,edge_media_to_comment,dimensions_height,dimensions_width,edge_media_to_caption,tags,taken_at_timestamp
0,BzkSmXFnHHl,bullet_lovers_._,https://scontent-bom1-2.cdninstagram.com/vp/b0ada286ce6e83dd582f276ce83a62ab/5DC474F5/t51.2885-15/e35/65074154_259709481582489_4338721462832047648_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA4MTg3MDcyODcxOTUyODQyMQ%3D%3D.2,3678,False,8,1312,1080,"♥
Pic:@fotosmdc
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
. .
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
. 
#royalenfield #bullet #bulletclub #royalenfieldindia #royalenfieldbullet #350 #500 #royalenfieldlovers @royalenfield @ducati_india @ferrari @mercedesbenz @harleydavidson_india @harleydavidson @bmw #motorcycles #motorcyclesofinstagram #dugdug #loveforroyalenfield #modified #model @bullet_lovers_._ #loveforbullet #camouflage #royal #classic350 #bike #ride #stayroyalliveenfield #staystrong #bulletlover #bulletride #staycool #auto #ktm #ktmlover #pdarmy #tour #royalenfield #bullet #bulletclub #royalenfieldindia #royalenfieldbullet #350 #500 #royalenfieldlovers @royalenfield @ducati_india @ferrari @mercedesbenz @harleydavidson_india @harleydavidson @bmw #motorcycles #motorcyclesofinstagram #dugdug #loveforroyalenfield #modified #model @bullet_lovers_._ #loveforbullet #camouflage #royal #classic350 #bike #ride #stayroyalliveenfield #staystrong #bulletlover #bulletride #staycool #auto #ktm #ktmlover #pdarmy #tour","['royalenfield', 'royalenfieldindia', 'ktmlover', 'bulletclub', 'tour', 'staystrong', 'dugdug', '500', 'pdarmy', 'ktm', 'auto', 'loveforroyalenfield', 'camouflage', 'royalenfieldlovers', 'model', 'bullet', 'loveforbullet', 'stayroyalliveenfield', 'royalenfieldbullet', 'modified', 'ride', 'classic350', 'bike', 'royal', 'staycool', '350', 'motorcycles', 'bulletlover', 'bulletride', 'motorcyclesofinstagram']",1562398352
1,BzjzIuVH7Co,bullet_lovers_._,https://scontent-bom1-2.cdninstagram.com/vp/3a5a628065bc66a7bcc06fe5ebe5b9c9/5DBA9D49/t51.2885-15/e35/65902123_457603155029666_440366730947903456_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA4MTczMjM1MjY0OTcwMzU5Mg%3D%3D.2,6106,False,14,1348,1080,"♥
Pic:@gokulbenny
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.

#royalenfield #bullet #bulletclub #royalenfieldindia #royalenfieldbullet #350 #500 #royalenfieldlovers @royalenfield @ducati_india @ferrari @mercedesbenz @harleydavidson_india @harleydavidson @bmw #motorcycles #motorcyclesofinstagram #dugdug #loveforroyalenfield #modified #model @bullet_lovers_._ #loveforbullet #camouflage #royal #classic350 #bike #ride #stayroyalliveenfield #staystrong #bulletlover #bulletride #staycool #auto #ktm #ktmlover #pdarmy #tour #royalenfield #bullet #bulletclub #royalenfieldindia #royalenfieldbullet #350 #500 #royalenfieldlovers @royalenfield @ducati_india @ferrari @mercedesbenz @harleydavidson_india @harleydavidson @bmw #motorcycles #motorcyclesofinstagram #dugdug #loveforroyalenfield #modified #model @bullet_lovers_._ #loveforbullet #camouflage #royal #classic350 #bike #ride #stayroyalliveenfield #staystrong #bulletlover #bulletride #staycool #auto #ktm #ktmlover #pdarmy #tour","['royalenfield', 'royalenfieldindia', 'ktmlover', 'bulletclub', 'tour', 'staystrong', 'dugdug', '500', 'pdarmy', 'ktm', 'auto', 'loveforroyalenfield', 'camouflage', 'royalenfieldlovers', 'model', 'bullet', 'loveforbullet', 'stayroyalliveenfield', 'royalenfieldbullet', 'modified', 'ride', 'classic350', 'bike', 'royal', 'staycool', '350', 'motorcycles', 'bulletlover', 'bulletride', 'motorcyclesofinstagram']",1562381856
2,BzilO40H2TQ,bullet_lovers_._,https://scontent-bom1-2.cdninstagram.com/vp/0c18dfaf3bcdedbde265c54ef28be7e2/5DA90A1B/t51.2885-15/e35/66406746_718586945242089_3432343125257337124_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA4MTM4OTcyODU5NjE5MDQxNg%3D%3D.2,6720,False,15,1328,1080,"Thunderbird ♥
Pic:@nishanth_s97 .
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
. .
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
. .
.
.
.

#royalenfield #bullet #bulletclub #royalenfieldindia #royalenfieldbullet #350 #500 #royalenfieldlovers @royalenfield @ducati_india @ferrari @mercedesbenz @harleydavidson_india @harleydavidson @bmw #motorcycles #motorcyclesofinstagram #dugdug #loveforroyalenfield #modified #model @bullet_lovers_._ #loveforbullet #camouflage #royal #classic350 #bike #ride #stayroyalliveenfield #staystrong #bulletlover #bulletride #staycool #auto #ktm #ktmlover #pdarmy #tour #royalenfield #bullet #bulletclub #royalenfieldindia #royalenfieldbullet #350 #500 #royalenfieldlovers @royalenfield @ducati_india @ferrari @mercedesbenz @harleydavidson_india @harleydavidson @bmw #motorcycles #motorcyclesofinstagram #dugdug #loveforroyalenfield #modified #model @bullet_lovers_._ #loveforbullet #camouflage #royal #classic350 #bike #ride #stayroyalliveenfield #staystrong #bulletlover #bulletride #staycool #auto #ktm #ktmlover #pdarmy #tour","['royalenfield', 'royalenfieldindia', 'ktmlover', 'bulletclub', 'tour', 'staystrong', 'dugdug', '500', 'pdarmy', 'ktm', 'auto', 'loveforroyalenfield', 'camouflage', 'royalenfieldlovers', 'model', 'bullet', 'loveforbullet', 'stayroyalliveenfield', 'royalenfieldbullet', 'modified', 'ride', 'classic350', 'bike', 'royal', 'staycool', '350', 'motorcycles', 'bulletlover', 'bulletride', 'motorcyclesofinstagram']",1562341012
3,BziOkEuni51,bullet_lovers_._,https://scontent-bom1-2.cdninstagram.com/vp/319d5fc1690e258b95d0a546a8b41f96/5DC2A875/t51.2885-15/e35/66123218_2342120036009054_8324292271334469696_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA4MTI5MDAyOTQyNzk5NDIyOQ%3D%3D.2,14895,False,32,1277,1080,"Black 🖤🔥
Pic:@mrhobijam
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.

#royalenfield #bullet #bulletclub #royalenfieldindia #royalenfieldbullet #350 #500 #royalenfieldlovers @royalenfield @ducati_india @ferrari @mercedesbenz @harleydavidson_india @harleydavidson @bmw #motorcycles #motorcyclesofinstagram #dugdug #loveforroyalenfield #modified #model @bullet_lovers_._ #loveforbullet #camouflage #royal #classic350 #bike #ride #stayroyalliveenfield #staystrong #bulletlover #bulletride #staycool #auto #ktm #ktmlover #pdarmy #tour #royalenfield #bullet #bulletclub #royalenfieldindia #royalenfieldbullet #350 #500 #royalenfieldlovers @royalenfield @ducati_india @ferrari @mercedesbenz @harleydavidson_india @harleydavidson @bmw #motorcycles #motorcyclesofinstagram #dugdug #loveforroyalenfield #modified #model @bullet_lovers_._ #loveforbullet #camouflage #royal #classic350 #bike #ride #stayroyalliveenfield #staystrong #bulletlover #bulletride #staycool #auto #ktm #ktmlover #pdarmy #tour","['royalenfield', 'royalenfieldindia', 'ktmlover', 'bulletclub', 'tour', 'staystrong', 'dugdug', '500', 'pdarmy', 'ktm', 'auto', 'loveforroyalenfield', 'camouflage', 'royalenfieldlovers', 'model', 'bullet', 'loveforbullet', 'stayroyalliveenfield', 'royalenfieldbullet', 'modified', 'ride', 'classic350', 'bike', 'royal', 'staycool', '350', 'motorcycles', 'bulletlover', 'bulletride', 'motorcyclesofinstagram']",1562329127
4,BzhMV-lnF6Q,bullet_lovers_._,https://scontent-bom1-2.cdninstagram.com/vp/a330145e33a63c45413be22813eb06cc/5DB4B325/t51.2885-15/e35/65455868_104113570809520_6946415614433330552_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA4MDk5ODc4OTY5MjAyMjQxNg%3D%3D.2,8596,False,12,1080,1080,"♥ .
.
.
.
.
.
.
.
.
Dm for credits
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
. 
#royalenfield #bullet #bulletclub #royalenfieldindia #royalenfieldbullet #350 #500 #royalenfieldlovers @royalenfield @ducati_india @ferrari @mercedesbenz @harleydavidson_india @harleydavidson @bmw #motorcycles #motorcyclesofinstagram #dugdug #loveforroyalenfield #modified #model @bullet_lovers_._ #loveforbullet #camouflage #royal #classic350 #bike #ride #stayroyalliveenfield #staystrong #bulletlover #bulletride #staycool #auto #ktm #ktmlover #pdarmy #tour #royalenfield #bullet #bulletclub #royalenfieldindia #royalenfieldbullet #350 #500 #royalenfieldlovers @royalenfield @ducati_india @ferrari @mercedesbenz @harleydavidson_india @harleydavidson @bmw #motorcycles #motorcyclesofinstagram #dugdug #loveforroyalenfield #modified #model @bullet_lovers_._ #loveforbullet #camouflage #royal #classic350 #bike #ride #stayroyalliveenfield #staystrong #bulletlover #bulletride #staycool #auto #ktm #ktmlover #pdarmy #tour","['royalenfield', 'royalenfieldindia', 'ktmlover', 'bulletclub', 'tour', 'staystrong', 'dugdug', '500', 'pdarmy', 'ktm', 'auto', 'loveforroyalenfield', 'camouflage', 'royalenfieldlovers', 'model', 'bullet', 'loveforbullet', 'stayroyalliveenfield', 'royalenfieldbullet', 'modified', 'ride', 'classic350', 'bike', 'royal', 'staycool', '350', 'motorcycles', 'bulletlover', 'bulletride', 'motorcyclesofinstagram']",1562294408
5,BzfoD1UndeV,bullet_lovers_._,https://scontent-bom1-2.cdninstagram.com/vp/852ac305c980d9a9cf71f275b5cb8530/5DB85FB1/t51.2885-15/e35/65194355_2211528585568101_6324066873864882769_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA4MDU1NzczODE0MTUzODE5Nw%3D%3D.2,9900,False,11,1341,1080,"🖤
Pic:@8800_mad_rider
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.

#royalenfield #bullet #bulletclub #royalenfieldindia #royalenfieldbullet #350 #500 #royalenfieldlovers @royalenfield @ducati_india @ferrari @mercedesbenz @harleydavidson_india @harleydavidson @bmw #motorcycles #motorcyclesofinstagram #dugdug #loveforroyalenfield #modified #model @bullet_lovers_._ #loveforbullet #camouflage #royal #classic350 #bike #ride #stayroyalliveenfield #staystrong #bulletlover #bulletride #staycool #auto #ktm #ktmlover #pdarmy #tour #royalenfield #bullet #bulletclub #royalenfieldindia #royalenfieldbullet #350 #500 #royalenfieldlovers @royalenfield @ducati_india @ferrari @mercedesbenz @harleydavidson_india @harleydavidson @bmw #motorcycles #motorcyclesofinstagram #dugdug #loveforroyalenfield #modified #model @bullet_lovers_._ #loveforbullet #camouflage #royal #classic350 #bike #ride #stayroyalliveenfield #staystrong #bulletlover #bulletride #staycool #auto #ktm #ktmlover #pdarmy #tour","['royalenfield', 'royalenfieldindia', 'ktmlover', 'bulletclub', 'tour', 'staystrong', 'dugdug', '500', 'pdarmy', 'ktm', 'auto', 'loveforroyalenfield', 'camouflage', 'royalenfieldlovers', 'model', 'bullet', 'loveforbullet', 'stayroyalliveenfield', 'royalenfieldbullet', 'modified', 'ride', 'classic350', 'bike', 'royal', 'staycool', '350', 'motorcycles', 'bulletlover', 'bulletride', 'motorcyclesofinstagram']",1562241831
6,BzeyH4Gn1LI,bullet_lovers_._,https://scontent-bom1-2.cdninstagram.com/vp/b78fab30a0929a05841d76641ddd94db/5DA2481A/t51.2885-15/e35/62090999_2336471553338984_7639731401418754390_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA4MDMyMDUyMTQ5NDI4NzA0OA%3D%3D.2,6847,False,12,1316,1080,"Gt 650 ♥
Pic:@theberlinbiker
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
. .
.
.
.
.
.
.

#royalenfield #bullet #bulletclub #royalenfieldindia #royalenfieldbullet #350 #500 #royalenfieldlovers @royalenfield @ducati_india @ferrari @mercedesbenz @harleydavidson_india @harleydavidson @bmw #motorcycles #motorcyclesofinstagram #dugdug #loveforroyalenfield #modified #model @bullet_lovers_._ #loveforbullet #camouflage #royal #classic350 #bike #ride #stayroyalliveenfield #staystrong #bulletlover #bulletride #staycool #auto #ktm #ktmlover #pdarmy #tour #royalenfield #bullet #bulletclub #royalenfieldindia #royalenfieldbullet #350 #500 #royalenfieldlovers @royalenfield @ducati_india @ferrari @mercedesbenz @harleydavidson_india @harleydavidson @bmw #motorcycles #motorcyclesofinstagram #dugdug #loveforroyalenfield #modified #model @bullet_lovers_._ #loveforbullet #camouflage #royal #classic350 #bike #ride #stayroyalliveenfield #staystrong #bulletlover #bulletride #staycool #auto #ktm #ktmlover #pdarmy #tour","['royalenfield', 'royalenfieldindia', 'ktmlover', 'bulletclub', 'tour', 'staystrong', 'dugdug', '500', 'pdarmy', 'ktm', 'auto', 'loveforroyalenfield', 'camouflage', 'royalenfieldlovers', 'model', 'bullet', 'loveforbullet', 'stayroyalliveenfield', 'royalenfieldbullet', 'modified', 'ride', 'classic350', 'bike', 'royal', 'staycool', '350', 'motorcycles', 'bulletlover', 'bulletride', 'motorcyclesofinstagram']",1562213553
7,BzdiEmhHGW-,bullet_lovers_._,https://scontent-bom1-2.cdninstagram.com/vp/b84e90c46e793d88070919d54e33e8bb/5DAAFA2F/t51.2885-15/e35/66417505_2534812676562118_4023820372769078327_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3OTk2ODQ1MjczMjAyMDE1OA%3D%3D.2,15748,False,43,750,750,"♥
.
.
.
.
.
.
.
DM for credits
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.

#royalenfield #bullet #bulletclub #royalenfieldindia #royalenfieldbullet #350 #500 #royalenfieldlovers @royalenfield @ducati_india @ferrari @mercedesbenz @harleydavidson_india @harleydavidson @bmw #motorcycles #motorcyclesofinstagram #dugdug #loveforroyalenfield #modified #model @bullet_lovers_._ #loveforbullet #camouflage #royal #classic350 #bike #ride #stayroyalliveenfield #staystrong #bulletlover #bulletride #staycool #auto #ktm #ktmlover #pdarmy #tour #royalenfield #bullet #bulletclub #royalenfieldindia #royalenfieldbullet #350 #500 #royalenfieldlovers @royalenfield @ducati_india @ferrari @mercedesbenz @harleydavidson_india @harleydavidson @bmw #motorcycles #motorcyclesofinstagram #dugdug #loveforroyalenfield #modified #model @bullet_lovers_._ #loveforbullet #camouflage #royal #classic350 #bike #ride #stayroyalliveenfield #staystrong #bulletlover #bulletride #staycool #auto #ktm #ktmlover #pdarmy #tour","['royalenfield', 'royalenfieldindia', 'ktmlover', 'bulletclub', 'tour', 'staystrong', 'dugdug', '500', 'pdarmy', 'ktm', 'auto', 'loveforroyalenfield', 'camouflage', 'royalenfieldlovers', 'model', 'bullet', 'loveforbullet', 'stayroyalliveenfield', 'royalenfieldbullet', 'modified', 'ride', 'classic350', 'bike', 'royal', 'staycool', '350', 'motorcycles', 'bulletlover', 'bulletride', 'motorcyclesofinstagram']",1562171583
8,BzcK0riHD8i,bullet_lovers_._,https://scontent-bom1-2.cdninstagram.com/vp/338fb194dbfad41f7a716073304ad38a/5DA4C01F/t51.2885-15/e35/65618004_172524197099634_1593813581552482356_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3OTU4NDcyODU1OTQwMjc4Ng%3D%3D.2,9381,False,10,869,1080,"🖤
.
.
.
.
.
.
.
DM for credits
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.

#royalenfield #bullet #bulletclub #royalenfieldindia #royalenfieldbullet #350 #500 #royalenfieldlovers @royalenfield @ducati_india @ferrari @mercedesbenz @harleydavidson_india @harleydavidson @bmw #motorcycles #motorcyclesofinstagram #dugdug #loveforroyalenfield #modified #model @bullet_lovers_._ #loveforbullet #camouflage #royal #classic350 #bike #ride #stayroyalliveenfield #staystrong #bulletlover #bulletride #staycool #auto #ktm #ktmlover #pdarmy #tour #royalenfield #bullet #bulletclub #royalenfieldindia #royalenfieldbullet #350 #500 #royalenfieldlovers @royalenfield @ducati_india @ferrari @mercedesbenz @harleydavidson_india @harleydavidson @bmw #motorcycles #motorcyclesofinstagram #dugdug #loveforroyalenfield #modified #model @bullet_lovers_._ #loveforbullet #camouflage #royal #classic350 #bike #ride #stayroyalliveenfield #staystrong #bulletlover #bulletride #staycool #auto #ktm #ktmlover #pdarmy #tour","['royalenfield', 'royalenfieldindia', 'ktmlover', 'bulletclub', 'tour', 'staystrong', 'dugdug', '500', 'pdarmy', 'ktm', 'auto', 'loveforroyalenfield', 'camouflage', 'royalenfieldlovers', 'model', 'bullet', 'loveforbullet', 'stayroyalliveenfield', 'royalenfieldbullet', 'modified', 'ride', 'classic350', 'bike', 'royal', 'staycool', '350', 'motorcycles', 'bulletlover', 'bulletride', 'motorcyclesofinstagram']",1562125839
9,Bzav-eejbjo,bullet_lovers_._,https://scontent-bom1-2.cdninstagram.com/vp/7883988ff4408d450cfae294bcc0904c/5DA26835/t51.2885-15/e35/65419732_203839670531295_2304122300926364953_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3OTE4NTE3OTUwMzM0Mzg0OA%3D%3D.2,6786,False,8,1080,1080,"Interceptor 650 ♥
Pic:@guscampos.rockingpics
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.

#royalenfield #bullet #bulletclub #royalenfieldindia #royalenfieldbullet #350 #500 #royalenfieldlovers @royalenfield @ducati_india @ferrari @mercedesbenz @harleydavidson_india @harleydavidson @bmw #motorcycles #motorcyclesofinstagram #dugdug #loveforroyalenfield #modified #model @bullet_lovers_._ #loveforbullet #camouflage #royal #classic350 #bike #ride #stayroyalliveenfield #staystrong #bulletlover #bulletride #staycool #auto #ktm #ktmlover #pdarmy #tour #royalenfield #bullet #bulletclub #royalenfieldindia #royalenfieldbullet #350 #500 #royalenfieldlovers @royalenfield @ducati_india @ferrari @mercedesbenz @harleydavidson_india @harleydavidson @bmw #motorcycles #motorcyclesofinstagram #dugdug #loveforroyalenfield #modified #model @bullet_lovers_._ #loveforbullet #camouflage #royal #classic350 #bike #ride #stayroyalliveenfield #staystrong #bulletlover #bulletride #staycool #auto #ktm #ktmlover #pdarmy #tour","['royalenfield', 'royalenfieldindia', 'ktmlover', 'bulletclub', 'tour', 'staystrong', 'dugdug', '500', 'pdarmy', 'ktm', 'auto', 'loveforroyalenfield', 'camouflage', 'royalenfieldlovers', 'model', 'bullet', 'loveforbullet', 'stayroyalliveenfield', 'royalenfieldbullet', 'modified', 'ride', 'classic350', 'bike', 'royal', 'staycool', '350', 'motorcycles', 'bulletlover', 'bulletride', 'motorcyclesofinstagram']",1562078209
