,shortcode,username,display_url,edge_media_preview_like,comments_disabled,edge_media_to_comment,dimensions_height,dimensions_width,edge_media_to_caption,tags,taken_at_timestamp
0,BzJD08iohPq,casachicks,https://scontent-bom1-2.cdninstagram.com/vp/ef0d26b3d2e74fbf3f8df59398a4c955/5DA8FEAC/t51.2885-15/e35/p1080x1080/64317015_319647382310044_52873036100489545_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3NDIwNTkzNTkzODcwNDM2Mg%3D%3D.2,2748,False,96,1319,1080,"Har du ferie nå? Hos oss har skoleferien startet, og da siger feriefølelsen raskt inn. I hvert fall for noen av oss🤣 Det blir noen dager på hytta også i sommer , og det ser jeg veldig frem til. Hva ser du frem til i sommer?☀️ ______________________________________________
#sommerpåfjellet #fjellsommer #hyttesommer #hytteinspirasjon #hyttelivet #fjellhytte #brokke #hytteliv #hytteinteriør #sommerglede #Sommer #terrasseliv #uterommet #interiordesign #balconygarden #cabin #cabinliving #cabinlife #woodcabin #wooden #woodenfurniture #woodenfurnituredesign #woodenfurnitures #outdoors #outdoorliving #outdoordecor #outdoordesign #interiør #interiores #interiorforinspo","['interiores', 'outdoordesign', 'fjellsommer', 'fjellhytte', 'interiorforinspo', 'woodcabin', 'interiordesign', 'woodenfurnitures', 'cabin', 'hyttesommer', 'cabinliving', 'brokke', 'woodenfurniture', 'outdoors', 'terrasseliv', 'interiør', 'cabinlife', 'sommerpåfjellet', 'wooden', 'outdoorliving', 'outdoordecor', 'hytteliv', 'uterommet', 'hytteinteriør', 'Sommer', 'hyttelivet', 'balconygarden', 'hytteinspirasjon', 'sommerglede', 'woodenfurnituredesign']",1561484637
1,BzAYL5TChDS,casachicks,https://scontent-bom1-2.cdninstagram.com/vp/20bed02f34c4da44861e28685bc92390/5DB87BD4/t51.2885-15/e35/62470419_153301062463994_8321444420271831789_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3MTc2MjE5OTE0MzY0OTQ5MA%3D%3D.2,1758,False,78,937,750,"I dag finner du meg på låven🍓🍾 Jeg MÅ bare få takke for ALLE de vanvittig fine tilbakemeldingene på storyene jeg har delt disse dagene. Det er rett og slett et eventyr å få holde på  med disse forberedelsene. Og jeg er så takknemlig for all god hjelp jeg har fått. Det beste gjenstår , og det er å få dele kvelden på låven med mine nærmeste, som jeg er så glad i❤️ Klyp meg armen🤩
Bilde hentet fra Pinterest!

______________________________________________
#låve #låvefest #landligehjem #landligstil #barn #uterommet #blomster #solsikke #solsikker #sunflower #sunflowers🌻 #sunflower🌻 #interiors #interior4you1 #interior_delux #låvedans #balconygarden #barndoors #barndoor #låvedør #summer #summervibes #summerevening #summertime #summerparty #sommerglede #sommerfest #sommer","['låvefest', 'interior4you1', 'sommer', 'interiors', 'summerevening', 'interior_delux', 'summervibes', 'låvedans', 'landligstil', 'låve', 'sunflowers', 'summer', 'låvedør', 'solsikker', 'sommerfest', 'barndoors', 'summerparty', 'solsikke', 'blomster', 'barn', 'uterommet', 'barndoor', 'landligehjem', 'sunflower', 'summertime', 'balconygarden', 'sommerglede']",1561193321
2,By9hUI4i4IB,casachicks,https://scontent-bom1-2.cdninstagram.com/vp/20fb2d84605199c21ddc7c6d179b589d/5DA5F04F/t51.2885-15/e35/p1080x1080/62077483_448634232592360_183020075700132659_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3MDk1NzkyMzEyMzI5ODgxNw%3D%3D.2,2669,False,73,1315,1080,"Det slo meg i går, at vi har ønsket utrolig mange av våre nærmeste velkommen inn denne døren de siste årene. Det har blitt lite besøk og hygge hjemme , etter at vi bygde hytten. Men DENNE helgen tar vi litt igjen for det! Koser oss med besøk og bursdagsforberdelser🌸🥂🍓 Ha en herlig start på DIN helg! Klem fra Renate💛

______________________________________________
#hytte #hytteinspirasjon #hytteinteriør #hytteliv #hyttepåfjellet #inngangsparti #inngangsdør #inngang #entrance #entrance #entrancehall #hallway #hallwayinspo #cabin #cabinliving #cabinstyle #cabinliving #interior2you #interiors #inspireme_meretewest #kristinaj_inspo #whiteinterioryes #inspirasjonsguidennorge #homedesign #hytta #hyttavår #hyttami #hyttapåfjellet","['cabinstyle', 'inngang', 'interiors', 'inspirasjonsguidennorge', 'inspireme_meretewest', 'kristinaj_inspo', 'hytte', 'cabin', 'cabinliving', 'hyttami', 'hyttapåfjellet', 'hallway', 'hytta', 'hyttepåfjellet', 'inngangsparti', 'homedesign', 'hyttavår', 'inngangsdør', 'entrance', 'interior2you', 'hytteliv', 'whiteinterioryes', 'hytteinteriør', 'hallwayinspo', 'entrancehall', 'hytteinspirasjon']",1561097444
3,By8KhAdiQEq,casachicks,https://scontent-bom1-2.cdninstagram.com/vp/50da4571a897608c57d081075bee2841/5DA257B6/t51.2885-15/e35/p1080x1080/62402018_143517430128095_7951593029329156134_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3MDU3NjE3NzM4Njk0Njg1OA%3D%3D.2,3069,False,48,1308,1080,"Det gjelder å ta tak i de drømmene vi kan få tak i, ikke sant? Dette bildet fra dyktige @ranli_ har jeg beundret mange ganger. Og jeg har også drømt om en sånn favn med peoner. I dag gjorde jeg noe med den drømmen🌸 Foreløpig står de trygt plassert hos @lillesandblomster , men i morgen tar jeg med meg @ingerliselille og henter dem. En STOR favn med peoner, som jeg skal få leke meg med på låven! Vil du følge oss? Heng med på story i morgen🌸🌸🌸 ______________________________________________
#peoner #peony #peonybouquet #peonias #peonielove #blomster #blomsterglede #blomsterglädje #sommer #romance #summer #flowery #flowerpower #flowers #floweraddict #flower_daily #summervibes #summerday #landlig #landligstil #landliglykke","['sommer', 'peonybouquet', 'blomsterglädje', 'peoner', 'romance', 'flowery', 'peony', 'landliglykke', 'summerday', 'peonias', 'flowers', 'summervibes', 'floweraddict', 'flowerpower', 'landligstil', 'flower_daily', 'summer', 'peonielove', 'blomsterglede', 'blomster', 'landlig']",1561051936
4,By69uVFiVI8,casachicks,https://scontent-bom1-2.cdninstagram.com/vp/f859d132bcdd6b5af81098aa15679803/5DC4FED0/t51.2885-15/e35/p1080x1080/61903371_1089238107946561_1924023546858689562_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3MDIzODQ0MzMwNDczNTI5Mg%3D%3D.2,4980,False,103,1130,1080,"Det finnes alltid et nytt prosjekt i hodet mitt... og alltid før alle andre prosjekter er ferdige🤷🏼‍♀️😂 Her er et av bildene jeg har lagret lenge fra Pinterest! Det ligger klart og venter så fint😉 Si at vi er flere som har det sånn da?🙏🏻 _____________________________________________
#bad #baderom #baderomsinspo #baderomsinspirasjon #baderomsdetaljer #badekar #mikrosement #bath #bathroominspo #bathroom #bathtub #bathroomdesign #bathrooms #interiores #interior_delux #interior #interior123 #finahem #mittnordiskehjem #nordiskstil #nordiskdesign #nordiskerom #mittnordiskehjem #interiør #interiør4all #interior_magasinet","['interior', 'badekar', 'interiores', 'baderom', 'baderomsinspo', 'nordiskdesign', 'bathroominspo', 'bath', 'baderomsinspirasjon', 'interior_delux', 'nordiskerom', 'interior_magasinet', 'bathrooms', 'nordiskstil', 'bathroomdesign', 'bathtub', 'bathroom', 'interior123', 'interiør', 'interiør4all', 'bad', 'baderomsdetaljer', 'finahem', 'mittnordiskehjem', 'mikrosement']",1561011675
5,By4ZhzMCtOA,casachicks,https://scontent-bom1-2.cdninstagram.com/vp/6cfb0fc983aaf661c296bb9709ff9a4e/5DAADABB/t51.2885-15/e35/p1080x1080/64326710_119880992327657_3780271050302878890_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2OTUxNjMwMjY0NTEyMTkyMA%3D%3D.2,2820,False,47,1160,1080,"Tenk å kunne dekke slik UTE da💫
Cred: @gilbertiriccafotografi 
Men med denne sommeren er vel det så og si umulig, eller? Jeg er i hvert fall glad jeg kan dekke inne i dag, under tak, på låven💫👏🏻 Jeg deler sneakpeaks på story om du vil følge oss... _____________________________________________
#uterommet #terrasseliv #interiordesign #balconygarden #blomster #tablesetting #borddekor #borddekking #borddekoration #table #weedingtables #weddingdekorasi #interior_and_decor #interior_delux #luxuryevents #eventplaning #birthdaylove #easyinterieur #vakrehjemoginterior #interiores #interior #finahem #trädgård #tablesetup","['interior', 'interiores', 'luxuryevents', 'tablesetting', 'weddingdekorasi', 'borddekor', 'interior_delux', 'interiordesign', 'terrasseliv', 'birthdaylove', 'easyinterieur', 'weedingtables', 'vakrehjemoginterior', 'eventplaning', 'interior_and_decor', 'blomster', 'borddekoration', 'finahem', 'uterommet', 'trädgård', 'tablesetup', 'table', 'borddekking', 'balconygarden']",1560925589
6,By3GXz9C_Dy,casachicks,https://scontent-bom1-2.cdninstagram.com/vp/58e39cd4fa1297942fc81fb2f598e3b2/5DA0347D/t51.2885-15/e35/p1080x1080/62268815_1048274115383880_2147584615890218243_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2OTE1MDU3ODQxMjA4OTU4Ng%3D%3D.2,1860,False,45,1323,1080,"Jeg vil også finne en sånn eng🤷🏼‍♀️
Cred: @_foodstories_  Og etter det så ville jeg stylet og stylet og stylet og stylet😂 Har du sett noe så vakkert da? 
______________________________________________
#flower #blomster #blomsterglede #blomsterglädje #ourfoodstories #stemningsbillede #stemningsfullt #stemning #stemning_casachicks #sommer #sommerglede #sommerlykke #lykke #happy #happynorooz #lovefood #foodgasm #foodlover #flower_daily #flower_igers #flowery #borddekkingstips #sommerbord #inspir #inspire #inspiration","['sommerbord', 'sommer', 'lykke', 'stemningsbillede', 'blomsterglädje', 'stemning', 'inspire', 'flowery', 'foodgasm', 'happynorooz', 'flower', 'ourfoodstories', 'stemningsfullt', 'stemning_casachicks', 'happy', 'foodlover', 'flower_igers', 'borddekkingstips', 'flower_daily', 'inspir', 'lovefood', 'inspiration', 'blomsterglede', 'blomster', 'sommerlykke', 'sommerglede']",1560881992
7,By1zAVFCpfc,casachicks,https://scontent-bom1-2.cdninstagram.com/vp/d17c56bd16eefd13c75f330c37f4402d/5DB8C132/t51.2885-15/e35/p1080x1080/64368185_618085015352975_3805010597140754406_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2ODc4MzkyNjg1MTgzNTg2OA%3D%3D.2,1207,False,44,1350,1080,"Den beste starten☕️
|reklame Selv om hodet mitt er fullt av bursdags forberedelser og sommerfuglene danser i magen, har jeg absolutt tid til å nyte min daglige kaffe fra @moccamasternorge 🌸 Det er noe med roen den gir meg, og den gode starten på dagen☕️ Og jeg VET vi er flere som kjenner på nettopp det, eller hva?😉 ______________________________________________
#moccamasternorge #kaffe #kaffestund #kaffepause #morgenkaffe #utestue #uterom #uterom_inspo #sundaysdesign #terrasseliv #uterommet #interiordesign #lillesandblomster #blomster #blomsterglede #blomsterglädje #flowers #coffee #coffeeme #morningcoffee #morningcoffeebreak #summervibes #summercoffee #metime #interiores #kristinaj_inspo #whiteinterioryes #stemning_casachicks","['interiores', 'kaffestund', 'morgenkaffe', 'coffee', 'moccamasternorge', 'blomsterglädje', 'summercoffee', 'interiordesign', 'kristinaj_inspo', 'flowers', 'stemning_casachicks', 'summervibes', 'lillesandblomster', 'uterom', 'uterom_inspo', 'terrasseliv', 'morningcoffee', 'kaffe', 'utestue', 'metime', 'coffeeme', 'blomsterglede', 'blomster', 'whiteinterioryes', 'kaffepause', 'uterommet', 'morningcoffeebreak', 'sundaysdesign']",1560838283
8,Byx0JLICbdl,casachicks,https://scontent-bom1-2.cdninstagram.com/vp/b8ce494074585f9d71f3260797b5f5f9/5DAF0171/t51.2885-15/e35/p1080x1080/62470726_462327134586315_1613758792090347446_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2NzY2MzAzMjc3OTY1MDkxNw%3D%3D.2,3249,False,672,1317,1080,"Gratulerer så mye til @by_synnelindgrenhelle 🥂💫
Du har vunnet 6stk Odyssè Rosèvinsglass! Vennligst ta kontakt på dm🌸
______________________________________________
Vinneren annonseres under dette bildet i kveld. Masse lykke til🥂👏🏻 #terrasseliv #sommerfest #sommer #sommervin #rosèvin #rosèwine #wine #rosè #balconygarden #piknik #piknikbandung #summervibes #summerevening #sommerkveld #hadelandglassverk #romantic #interiør #interiores #fashionistas #interior_delux #skyporn #sunset #sunsets #lillesand #visitnorway","['fashionistas', 'skyporn', 'interiores', 'lillesand', 'sunset', 'sommer', 'sommerkveld', 'rosèwine', 'sunsets', 'romantic', 'sommervin', 'piknik', 'summerevening', 'piknikbandung', 'visitnorway', 'interior_delux', 'rosè', 'summervibes', 'terrasseliv', 'rosèvin', 'interiør', 'hadelandglassverk', 'sommerfest', 'wine', 'balconygarden']",1560704662
9,ByxRro0CtcQ,casachicks,https://scontent-bom1-2.cdninstagram.com/vp/308d5956dcd1edf65c8236258c686ed9/5DA011D0/t51.2885-15/e35/p1080x1080/62245729_376755092958483_2477400526620071542_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2NzUxMTQ2OTQ5MDc1NTM0NA%3D%3D.2,1276,False,59,1349,1080,"Gøy i går, ikke fullt så gøy i dag....
|reklame Stas å kunne bruke en av de herlige kjolene til @secretsbyb på låvefest i går. Vi startet med en forsiktig linedance, men fant vel ut at 90-talls musikken traff oss best. Låvedans ble det i hvert fall, og det kjennes i dag, for å si det sånn🤪  Håper DU har en en fin Søndag☀️ ______________________________________________
#secretsbyb #fashion #fashionistas #fashionblogger #dresses #womensclothes #kjole #sommerkjole #norskdesign #norwegiandesign #kjerlingland","['kjole', 'sommerkjole', 'fashionistas', 'dresses', 'kjerlingland', 'norskdesign', 'womensclothes', 'fashion', 'norwegiandesign', 'secretsbyb', 'fashionblogger']",1560686595
