,shortcode,username,display_url,edge_media_preview_like,comments_disabled,edge_media_to_comment,dimensions_height,dimensions_width,edge_media_to_caption,tags,taken_at_timestamp
0,BzOW6G9Iv_w,chiaraferragni,https://scontent-bom1-2.cdninstagram.com/vp/11d63f6d4f96ff951f7a18d43ffd0a6a/5DC1ED2A/t51.2885-15/e35/p1080x1080/65301657_120016075918183_5552199879380261854_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3NTY5NzIyODQ4NTQyNzE4NA%3D%3D.2,226221,False,754,1325,1080,"My @lancomeofficial beauty look for @glamourspain awards: 
Foundation - Teint idole ultrawear 03
Lipstick - Lancome x Chiara Ferragni palette - Ciao Berry 
On the cheeks - Lancome x Chiara Ferragni palette - blush me up and see kissed highlighter
Eyes - pencil crayon khol - 01 noire
Mascara - Lancome x Chiara Ferragni Hypnose drama
Eyeshadow - Hypnose palette - ST1 Brun adoré #adv 💘 #LancomexChiaraFerragni","['LancomexChiaraFerragni', 'adv']",1561662413
1,BzL057_olBp,chiaraferragni,https://scontent-bom1-2.cdninstagram.com/vp/e5fe554cb5201ac87045061624bba10d/5DA4E666/t51.2885-15/e35/p1080x1080/62262153_702911466833743_5970095784202032324_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3NDk4NDczMzE4MTM2NjM3Nw%3D%3D.2,337313,False,2699,1350,1080,Even in Germany my pizza regenerates itself 🤣,[],1561577477
2,BzLtB0GIONH,chiaraferragni,https://scontent-bom1-2.cdninstagram.com/vp/9be3afd913162eb653f61d4ff90bec88/5DBA3B28/t51.2885-15/e35/p1080x1080/64326715_324586071785082_3579212546479854557_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3NDk1MDA5MDA4NDExNTI3MQ%3D%3D.2,411375,False,883,1350,1080,❤️ #TheFerragnez,['TheFerragnez'],1561573347
3,BzLP91xoMpd,chiaraferragni,https://scontent-bom1-2.cdninstagram.com/vp/e31e750e75cf1f260c511bfdb059c2ea/5DC4514A/t51.2885-15/e35/p1080x1080/65304067_165049961197488_5703425471560681830_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3NDgyMjI3MzY2MDkzMDY1Mw%3D%3D.2,262140,False,1229,1350,1080,My look for my #LancomexChiaraFerragni launch and event in Germany 🌹,['LancomexChiaraFerragni'],1561558110
4,BzJSqF9oofv,chiaraferragni,https://scontent-bom1-2.cdninstagram.com/vp/eb726659338ddd8f7a7ad5b5ddfcc3c2/5DB48EE7/t51.2885-15/e35/p1080x1080/64746302_384917568823547_6124446508732731262_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3NDI3MTE2MDgzODgxNzc3NQ%3D%3D.2,584011,False,5512,1349,1080,We’re a family of all blondes now 👶🏼👱🏻‍♀️👱🏼‍♂️ @fedez #TheFerragnez,['TheFerragnez'],1561492413
5,BzJKe0UIFLo,chiaraferragni,https://scontent-bom1-2.cdninstagram.com/vp/a3d3c4657beb3fa00df89191fcfb42e3/5DB7C098/t51.2885-15/e35/p1080x1080/65305715_113157956630026_6980887979055700405_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3NDIzNTIwMTYwMjQ3NDcyOA%3D%3D.2,396365,False,1259,1350,1080,In Frankfurt in a total @balmain look 🔥 Shop this bag directly from my photo ❤️ #Balmainbbag #advertising,"['advertising', 'Balmainbbag']",1561488126
6,BzI7gbbo4Ov,chiaraferragni,https://scontent-bom1-2.cdninstagram.com/vp/d2392ebb32b4d4fb9ec54fa0aff8b2e1/5DA52EE1/t51.2885-15/e35/p1080x1080/64811506_467666130448317_8360468366818826938_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3NDE2OTM0MTYyNjI1NDI1NQ%3D%3D.2,736242,False,2504,1349,1080,Cutest boy on the beach 🥰,[],1561480275
7,BzIE3BnoFfb,chiaraferragni,https://scontent-bom1-2.cdninstagram.com/vp/73f3a4b9d8c1bf92316b3218711cf57c/5DB10701/t51.2885-15/e35/p1080x1080/64841476_560748687663370_2780366336598356893_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3MzkyOTAwMTg5OTkzOTgwMw%3D%3D.2,301300,False,1128,1350,1080,Going to Frankfurt and I have a free day today before my #LancomexChiaraFerragni event tomorrow.. Where should I go? What should I see? Never been there 🇩🇪,['LancomexChiaraFerragni'],1561451624
8,BzECEy-o_WP,chiaraferragni,https://scontent-bom1-2.cdninstagram.com/vp/9a17b609870f83dd50fd7ebfcfdabb61/5DA0849F/t51.2885-15/e35/p1080x1080/64478914_631002980716086_1085082793802209030_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3Mjc5MDg1NDIwNjIyMzc1OQ%3D%3D.2,348810,False,1145,1350,1080,Ciao Amsterdam 🚲,[],1561315946
9,BzDm4aGIFxa,chiaraferragni,https://scontent-bom1-2.cdninstagram.com/vp/d318064d06fae152d902544c0a6bf970/5DA81268/t51.2885-15/e35/p1080x1080/64241406_422440855267773_1167312827447552186_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3MjY3MTI1NTU5ODc1MDgxMA%3D%3D.2,268376,False,863,1350,1080,Next stop: Amsterdam for my #LancomexChiaraFerragni event 🥰,['LancomexChiaraFerragni'],1561301689
10,BzDDGMrINty,chiaraferragni,https://scontent-bom1-2.cdninstagram.com/vp/05bd2bfd8c96fbe0c11bd557d257df0a/5DB2EA5C/t51.2885-15/e35/p1080x1080/65517950_1338166189670631_1290269222922817988_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3MjUxMzg3MzU4NTQyOTM2Mg%3D%3D.2,416451,False,1848,1350,1080,Happy Sunday 💚 #SuppliedbyIntimissimi,['SuppliedbyIntimissimi'],1561282928
11,BzBZ5jboJp_,chiaraferragni,https://scontent-bom1-2.cdninstagram.com/vp/8529c25f72e28044892838915b3e4104/5DB3643C/t51.2885-15/e35/p1080x1080/62478881_171542763868987_2559812312066418694_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3MjA1MTIwOTc4NDU2NDM1MQ%3D%3D.2,486850,False,1076,1350,1080,"In every lifetime, I will find you 💘",[],1561227774
