,shortcode,username,display_url,edge_media_preview_like,comments_disabled,edge_media_to_comment,dimensions_height,dimensions_width,edge_media_to_caption,tags,taken_at_timestamp
0,BzOgXLNIMUT,cristiano,https://scontent-bom1-2.cdninstagram.com/vp/6ef74619b7d348abe1a3f2799bf1dda0/5DC614C5/t51.2885-15/e35/65395267_1143178809216595_2241845807316081231_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3NTczODgwODMzMjEwOTA3NQ%3D%3D.2,4954605,False,21138,736,1080,👆👆,[],1561667370
1,BzIi523gYA5,cristiano,https://scontent-bom1-2.cdninstagram.com/vp/a0ba3b3e0b8ac4384e3dcefa678b37f1/5DB4068E/t51.2885-15/e35/s1080x1080/64784392_344364719536528_4097908375758666163_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3NDA2MTEzNzkwODk1NzI0MQ%3D%3D.2,7627773,False,39988,813,1080,Enjoying the vacation ☀️⛴🤙🏻,[],1561467376
2,BzEbfqzADcN,cristiano,https://scontent-bom1-2.cdninstagram.com/vp/2b9a6678bdf46a34eed559e5601e5022/5DC2D793/t51.2885-15/e35/65215375_332525464314656_9036409975225864867_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3MjkwMjY1MjAwOTY1ODEyNQ%3D%3D.2,7124238,False,46067,720,1080,We made history ⚽️🏀🥇,[],1561329274
3,BzEB_TWAx0t,cristiano,https://scontent-bom1-2.cdninstagram.com/vp/b67f8c801f71a48beef14cc70aa596c7/5DAA9FFA/t51.2885-15/e35/s1080x1080/64655154_2357960464432494_2479886551157506701_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3Mjc5MDQ3NjY0MTIxMzc0MQ%3D%3D.2,9276533,False,56491,1080,1080,Amore mio 💏😘,[],1561315901
4,By-tdE4Ag5E,cristiano,https://scontent-bom1-2.cdninstagram.com/vp/50acbbc616a067a3b9bf954f02a228f9/5DC0591B/t51.2885-15/e35/s1080x1080/64403045_362882934425113_5782071135539805737_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3MTI5Mjc4ODgyOTQ1Nzk4OA%3D%3D.2,4898847,False,26084,720,1080,"Sit back and chill out, it's vacation time. @cr7_footwear #espadrilles #handmade","['espadrilles', 'handmade']",1561137363
5,By99b1Uoh31,cristiano,https://scontent-bom1-2.cdninstagram.com/vp/81f7a1a9ff2e3bcdfb5b90754cb7ada2/5DBC2AC6/t51.2885-15/e35/64338705_431530417691329_8152171116121829321_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3MTA4MTU5NzE3NzgzMDkwMQ%3D%3D.2,5867723,False,34047,1080,1080,As memórias nunca se apagam 🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹Campeões e ponto!!!!!!!!!!!,[],1561112187
6,Byzf6imgA6u,cristiano,https://scontent-bom1-2.cdninstagram.com/vp/f0701b6d4cf591961bf35719498d69fd/5DA0FE84/t51.2885-15/e35/62349361_145361333243025_4537646756152349782_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=8&ig_cache_key=MjA2ODEzNzAxNjIxNzgzMzEzNA%3D%3D.2,7646772,False,44277,1350,1080,"Muitos parabéns, filho! 🎂🎉🎊
Que continues a ser o lindo menino que tens sido até hoje, o papá tem muito orgulho em ti! 🙏
Que tenhas um dia muito feliz 🥳
O papá ama-te muito ❤️😘",[],1560761166
7,BymrpthoI8v,cristiano,https://scontent-bom1-2.cdninstagram.com/vp/7f5cbc5900f0d1786cb99e2ac3320dd1/5DBB4714/t51.2885-15/e35/62073302_358483028395822_5551119455340317772_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA2NDUyOTQ2MTU3NzAyNzM3NQ%3D%3D.2,5345458,False,32328,1350,1080,Em breve estará no meu Museu.  And still🇵🇹🇵🇹🇵🇹🇵🇹,[],1560331112
8,ByhrBYtAfYV,cristiano,https://scontent-bom1-2.cdninstagram.com/vp/2cb8a98747184ed9f24010668f66103d/5DB9F43E/t51.2885-15/e35/61613925_2520845537934483_2190027798653730359_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=8&ig_cache_key=MjA2MzExOTMxNTU1Njc1OTA2MQ%3D%3D.2,5726661,False,42320,1003,1080,"Bom dia 🌍, depois de conquistar a super copa de Itália, campeonato italiano, não poderia haver melhor maneira de terminar a época, com a conquista da #UefaNationsLeague 🏆🇵🇹 2+1= triplete 🤷🏻‍♂😀",['UefaNationsLeague'],1560163009
9,Byg76QzI2Fy,cristiano,https://scontent-bom1-2.cdninstagram.com/vp/67280f4fadb26c316ad94666fff23dab/5DAD845B/t51.2885-15/e35/61851739_467536937123141_3433549629044493978_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA2MjkxMjExNzg0NzMxODg5OA%3D%3D.2,6170128,False,47944,1080,1080,3 times in a row🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹,[],1560138309
