,shortcode,username,display_url,edge_media_preview_like,comments_disabled,edge_media_to_comment,dimensions_height,dimensions_width,edge_media_to_caption,tags,taken_at_timestamp
0,BzNstqEJ7X8,crystalsharma12,https://scontent-bom1-2.cdninstagram.com/vp/36423e616fb8955dbdb7064f67be1adb/5DB431EB/t51.2885-15/e35/65191524_474144663354220_3401702700091527926_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3NTUxMTY1NDg3NzQ3NjM0OA%3D%3D.2,4065,False,77,1081,1080,"Mja to us mukaam.ko hasil krne me h jhn apki jeet ki koi umeed hi na ho👍...
Thnq shiv g...",[],1561640291
1,By6erhaH9z5,crystalsharma12,https://scontent-bom1-2.cdninstagram.com/vp/599948b2e9e97ec16e63715489471a45/5DC6D123/t51.2885-15/e35/62265503_2287401421508459_8344804308700302799_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3MDEwMTkxMDkzNDc3Mjk4NQ%3D%3D.2,1498,False,26,750,750,"Epy bdy .....missew alot shorya.... Hr br apka bdy aajta h pr wsh kisko kru ap  sunte hi nhi ho 
Plz mko b apne ps bula lo.😢",[],1560995399
2,ByvPYSRHRuF,crystalsharma12,https://scontent-bom1-2.cdninstagram.com/vp/9c6ddaedd93e2b5cef5e629b5c21c477/5DA8CA77/t51.2885-15/e35/62077698_174327103594970_1463871650238447672_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2NjkzODM5MzU2NTkyODMyNQ%3D%3D.2,2368,False,42,641,640,She is  vry charming and cute😄lv u Ruhi😘😘,[],1560618279
3,Bykh-DnHUZp,crystalsharma12,https://scontent-bom1-2.cdninstagram.com/vp/fd069eff706aa089ae1e626a68f3539b/5DB113FC/t51.2885-15/e35/62452625_620575665104417_1615304767029161774_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2MzkyMzkyOTI2MjQwOTMyMQ%3D%3D.2,6328,False,207,750,750,Lv yourself,[],1560258927
4,ByePwx1nNWc,crystalsharma12,https://scontent-bom1-2.cdninstagram.com/vp/a4689679ed1c9954b78863bb17ffbde5/5DB19C98/t51.2885-15/e35/61226759_362307761088449_3241644662656847470_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2MjE1NTAwMjEyNzYzNTg2OA%3D%3D.2,5177,False,73,937,750,Friends,[],1560048054
5,ByblMoEnNxj,crystalsharma12,https://scontent-bom1-2.cdninstagram.com/vp/9acce44417cb07141e7bb85cccad16ea/5DC62BCA/t51.2885-15/e35/60783204_2493353454061316_5015226439261011802_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2MTQwNDg0OTgzMzgyNzQyNw%3D%3D.2,11597,False,325,768,750,"Puri dunia me tum logo k jesa koi nhi h ....
StiLL MiSs you all 
# bff",[],1559958629
6,ByNJlpyniJx,crystalsharma12,https://scontent-bom1-2.cdninstagram.com/vp/26bb535584ccbce67a3a1d6c9638d531/5DBD58F8/t51.2885-15/e35/60657059_176106590059256_2293880785736079462_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1NzM0Mjc3NDY5MDA2Mjk2MQ%3D%3D.2,9403,False,295,1350,1080,#lovepuran,['lovepuran'],1559474392
7,Bx3YHc5Hm4n,crystalsharma12,https://scontent-bom1-2.cdninstagram.com/vp/0dedbe272a44cccfa61f400a1b19d599/5DC170AE/t51.2885-15/e35/60353389_606930193133584_312345772086721267_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1MTIxNDIyMDQ2NjIyMDU4Mw%3D%3D.2,2649,False,63,753,750,Shankraaa....,[],1558743811
8,Bxzut3fHBps,crystalsharma12,https://scontent-bom1-2.cdninstagram.com/vp/84e7a426c89ee13b2b0af7f104d8aa84/5DAEB05D/t51.2885-15/e35/59939760_2383775215199695_3078279002554297313_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1MDE4NzcxNzQ3NzQwNzM0MA%3D%3D.2,2041,False,31,640,640,Shiv shambhu🙏🙏,[],1558621442
9,BxpbfvmHXXc,crystalsharma12,https://scontent-bom1-2.cdninstagram.com/vp/5cafaba7cd722ecac3e0fc8948321f9f/5DBE7690/t51.2885-15/e35/59772979_174599590208466_767110469632516996_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA0NzI4ODQzNDI4MTUxMDM2NA%3D%3D.2,4350,False,110,810,1080,Photoshoot😎,[],1558275821
10,Bxlh_rXHETU,crystalsharma12,https://scontent-bom1-2.cdninstagram.com/vp/e51bfb1f60ea8d01d1508a7f2d8dd8a4/5DA93B04/t51.2885-15/e35/58895254_742741776121422_2262350858009149918_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA0NjE5MTExNzEzMDI4NjI5Mg%3D%3D.2,8486,False,251,1350,1080,😍bandla dhar .....BiLaspur  Hp,[],1558145011
