,shortcode,username,display_url,edge_media_preview_like,comments_disabled,edge_media_to_comment,dimensions_height,dimensions_width,edge_media_to_caption,tags,taken_at_timestamp
0,ByDsOnaJXbt,dad_beets,https://scontent-bom1-2.cdninstagram.com/vp/62ac29c868fc2b2300be6ebc7f1c20fc/5DC432EF/t51.2885-15/e35/p1080x1080/61357182_458365178324846_8959797495419450350_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1NDY4MDM3MzQ0NDgzNTA1Mw%3D%3D.2,2461,False,160,1350,1080,"It’s a burrata-filled chile relleno, stuffed inside a breakfast burrito (with chorizo, home fries, eggs, salsa and other stuff). But Instagram is weird and people don’t read captions anymore and I’m too busy chasing my kids to care, so call it whatever you want and have a wonderful day.",[],1559157009
1,Bx0TwmcpjZJ,dad_beets,https://scontent-bom1-2.cdninstagram.com/vp/9a24d09121239594fa383db5232a1d68/5DB4447E/t51.2885-15/e35/p1080x1080/61021259_2215047042143286_8862124722541371639_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1MDM1MDYzMzA2MTg1Njg0MQ%3D%3D.2,1254,False,55,1350,1080,"One of my favorite childhood memories is coming home from school or soccer practice to the sound of metal utensils clanging and scraping against the sides of a wok as my dad cooked alongside recorded (VHS!) episodes of Martin Yan's ""Yan Can Cook."" My dad was an incredible cook, and obsessed with the flavors of Asian cuisine in particular (also, I was never allowed to touch his Chinese cleaver). So, in honor of him — and because grilling season has arrived and you're desperately in need of another go-to recipe — I partnered with @KikkomanUSA and @Allrecipes to make a dish I know my dad would love.
-
This Honey-Glazed Chinese Chicken is crazy delicious and the recipe, featuring the iconic Kikkoman® Teriyaki Marinade & Sauce, is so simple. I like to bake these drumsticks about 3/4 of the way through and then finish them on the grill just before serving. Serve with grilled veggies, on top of rice or noodles, or even pull off the chicken and use as a filling for tacos or lettuce wraps. Also can confirm: The marinade works just as well with wings or boneless chicken thighs.
-
Grab the recipe on Allrecipes.com
--> https://www.allrecipes.com/recipe/216966/honey-glazed-chinese-chicken/
-
#CookingWithKikkoman",['CookingWithKikkoman'],1558640864
2,BxK8FHXp_MU,dad_beets,https://scontent-bom1-2.cdninstagram.com/vp/fe89d4ba70da94c32055b77b3f4e5264/5DADA4EA/t51.2885-15/e35/p1080x1080/59709989_594926041003883_3884871137239688948_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjAzODcwNjAxNTYzOTY5NjE0OA%3D%3D.2,1074,False,28,1350,1080,"I used to think the Porchetta Melt (w/ rapini, caramelized onions and fontina) from @gjustabakery was the perfect sandwich. And then my wife brought one home and I added a fried egg and a lot of calabrian chili oil... and now my opinion has changed.",[],1557252717
3,BwAXUo_lo8v,dad_beets,https://scontent-bom1-2.cdninstagram.com/vp/ca9c75b4378d149d0a504e944b8bc9aa/5DC31E6B/t51.2885-15/e35/54731535_448983165870919_7003543643896410683_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjAxNzcxNTIwNjUzNzc3Njk0Mw%3D%3D.2,2075,False,51,1350,1080,"Pro tip: Don’t wait until your 30s (with two hyperactive kids) to get your wisdom teeth taken out. It’s just a terrible idea. My two saviors, however: The NCAA basketball tournament, and — after a couple days of yogurt, bone broth and applesauce — savory oatmeal. Honestly, it’s the only way I’ll eat oatmeal. My favorite version, pictured here, starts with steel cut oats and includes soy sauce (or liquid aminos), spicy chili crisp (or any type of chili oil), furikake, chives and an egg yolk. Once I was mostly recovered and graduated from baby food, I started adding vinegar-cooked greens like bok choy or Chinese mustard greens. And if you’re not cool with the raw yolk thing, a poached or fried egg works just as well.",[],1554750418
4,BvKVCMblmYo,dad_beets,https://scontent-bom1-2.cdninstagram.com/vp/ca10f35594286265583c074632ae758b/5DA4196A/t51.2885-15/e35/51910996_315853822455248_3421317161304613213_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjAwMjUwNTQ5NDA4MzAzNjcxMg%3D%3D.2,2888,False,61,1350,1080,"This is me — now a year older, perhaps a year wiser (debatable), and definitely more absent-minded than ever — overcompensating with an unusually large breakfast burrito cross section [scrambled egg, bacon, potato, jalapeño, elote, queso, avocado crema and charred tomato salsa].",[],1552937278
5,BusDTuGlD6o,dad_beets,https://scontent-bom1-2.cdninstagram.com/vp/0195a4f61c8b65ec521169105ec12e14/5DC5A22A/t51.2885-15/e35/51924980_375065659711768_3924031543973188595_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MTk5Mzk4MzI4NDMzMDM4MDk2OA%3D%3D.2,738,False,19,1349,1080,"Still in a food coma from last night's dinner that included this incredible spread (we also ate tacos like 2 hours before, so...) Special thanks to @infatuation and @bmwusa for the hospitality and for throwing a hell of a party — and also saving me a few bucks on my wife's birthday, which I'll need now that @mysequinlife is legitimately ready to trade in her car for a #BMWX7. Check out highlights (and some terrible #dadjokes) right now on my Stories 👆🏼","['dadjokes', 'BMWX7']",1551921352
6,BuogAJiFJbR,dad_beets,https://scontent-bom1-2.cdninstagram.com/vp/9e29c0ac5aad322d21e07e22bfbefa2e/5DB81D92/t51.2885-15/e35/51929272_326368868227488_8630842804853165750_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MTk5Mjk4MzU4MjgzNTI1MDg5Nw%3D%3D.2,482,False,10,1350,1080,"Things I will be celebrating today, in no particular order: 1) #TacoTuesday 2) My wife's birthday 3) Still not having a third child. Happy birthday to you, @mysequinlife ... 29 looks even better on you now than it did last year (or the year before that). I love you more than tacos — which is a lot — and you're easily a close second to queso. Really though, you inspire me every single day and I couldn't be more proud of the mom, wife, successful businesswoman and all-around badass you've become. I hope you have the very best day, and I promise the Uber driver will have us home by midnight. #notsponsored","['TacoTuesday', 'notsponsored']",1551802178
7,BuE5I2fFkwO,dad_beets,https://scontent-bom1-2.cdninstagram.com/vp/883e46594b382be809a0ba5d54d46214/5DA7CE84/t51.2885-15/e35/51567926_831011417239453_65459908638095152_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MTk4Mjk2MTAzMjg2MDQyMTEzNA%3D%3D.2,2210,False,73,1350,1080,"For Valentine’s Day, I made @mysequinlife a dish inspired by a Mario Batali recipe I saw back in the day... which is ironic considering he’s an all-around turd of a human being and treats women like shit. But anyway, this is a loose interpretation of “tortellini en brodo” w/ chicken sausage and kale. I cooked the tortellini in a Calabrian chili-tomato broth, tossed in a bunch of kale and the cooked/crumbled sausage and then finished it with pecorino, olive oil and more Calabrian chilis (because my wife is a spicy Italian and also likes her food that way). I took this pic during Round 3 of our leftovers, and as with most soups it gets better as it sits. So, make a large batch.",[],1550607397
8,BqaaUEulctU,dad_beets,https://scontent-bom1-2.cdninstagram.com/vp/c9d81a28f963436292eaa11ecf47b5d3/5DB8B40D/t51.2885-15/e35/42931837_196045614655865_4307996864031721037_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MTkxNjk2MDMyMDA3NDkyNjkzMg%3D%3D.2,2620,False,106,1078,1080,"2019... Year of the Fried Turkey Sandwich? Probably not. But here’s an idea for Friday morning if you decide to deep fry your bird this week: Buttermilk biscuit breakfast sandwich w/ spicy fried turkey thigh, hatch chile pimento cheese and a sunny-side up egg. Promise I won’t judge if you serve it with a side of leftover gravy for dipping.",[],1542739499
9,BpuycFmF0aK,dad_beets,https://scontent-bom1-2.cdninstagram.com/vp/2d0fd09e5876621f9c01eca8293c39a3/5DA24FDB/t51.2885-15/e35/42471602_247331922629351_2830856498378475714_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MTkwNDY4MTUyNDkwMjk3MTAxOA%3D%3D.2,2427,False,54,1080,1080,"It’s #NationalSandwichDay, which basically means every meal I prepare today will involve a waffle iron [grilled cheese with smoked provolone, maple turkey and macadamia nut pesto on a waffled @kingshawaiian sandwich roll]. #notsponsored","['NationalSandwichDay', 'notsponsored']",1541275753
