,shortcode,username,display_url,edge_media_preview_like,comments_disabled,edge_media_to_comment,dimensions_height,dimensions_width,edge_media_to_caption,tags,taken_at_timestamp
0,BzPMuxbhucy,daquan,https://scontent-bom1-2.cdninstagram.com/vp/1b0d5eb9bc551600fa9f5d3299a6fce0/5DC460AE/t51.2885-15/e35/65206149_131205761431471_3423048406535331078_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3NTkzMzk0Mzk3MDMyNjMyMg%3D%3D.2,397664,False,2057,1080,1080,"😪
👉🏽(via: restinpeacethot/twitter)",[],1561690632
1,BzMP7qmBjVC,daquan,https://scontent-bom1-2.cdninstagram.com/vp/8a490fd1a500609ed709ad099e1e3c04/5DC6C98E/t51.2885-15/e35/p1080x1080/65111876_456237981619861_8162841749583184388_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3NTEwMzU5OTE5Mjg0NzY4Mg%3D%3D.2,574220,False,3482,1349,1080,🤔,[],1561591647
2,BzMIbQAh4I1,daquan,https://scontent-bom1-2.cdninstagram.com/vp/763a9cd99c8c562a8dc54e381fd165ec/5DB1636D/t51.2885-15/e35/s1080x1080/64460245_296922101101038_7705685502747231676_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3NTA3MDU4NTI5NzY2NjYxMw%3D%3D.2,650680,False,5761,1080,1080,"Every time
👉🏽(via: strongdick/twitter)",[],1561587711
3,BzLyqRFhFDy,daquan,https://scontent-bom1-2.cdninstagram.com/vp/afc05d7a2d4eff2a4c1c67ef5f91fd06/5DB15057/t51.2885-15/e35/p1080x1080/64504356_388037961819876_3480145204974346194_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3NDk3NDg2MDIyMzk5MjA1MA%3D%3D.2,554353,False,4018,1311,1080,"Lmao
👉🏽(via: restinpeacethot/twitter)",[],1561576300
4,BzBi0p7hyoW,daquan,https://scontent-bom1-2.cdninstagram.com/vp/8c4290b59689d4bc50469f8b71053f44/5DAB0A46/t51.2885-15/e35/64597432_339467756719835_7185466214384907332_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3MjA5MDQ1NTU4MzQzNTI4Ng%3D%3D.2,216498,False,38246,1080,1080,7,[],1561232452
5,By_aZqjBtj4,daquan,https://scontent-bom1-2.cdninstagram.com/vp/1677262302a2930afa43268cfd44a5fc/5DC3E4BD/t51.2885-15/e35/s1080x1080/64997685_811891559207105_5542871207901442145_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3MTQ5MDQ2NjQ5NDczMjUzNg%3D%3D.2,671945,False,5184,1080,1080,"Still funny
👉🏽(via: @abdinooor)",[],1561160928
6,By2-BFOBQzC,daquan,https://scontent-bom1-2.cdninstagram.com/vp/cbff319d6ad7156637665803e01125b6/5DB59684/t51.2885-15/e35/p1080x1080/61825104_1936208039814134_409139465470999320_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2OTExMzgzMjAzMDQwNzg3NA%3D%3D.2,283858,False,2317,1194,1080,"Never forget 💯
👉🏽(via: @espn)",[],1560877611
7,By0sA-zBNgY,daquan,https://scontent-bom1-2.cdninstagram.com/vp/425732dcf36bd42113a459feca8dbb9e/5DC412B8/t51.2885-15/e35/p1080x1080/62572575_1332036186953985_8936486461277000316_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2ODQ3MTcxMDM0NDMzNzQzMg%3D%3D.2,474376,False,2366,1349,1080,"💀💀
👉🏽(via: @bwvisual @shady00018_)",[],1560801064
8,Bys_sC2hFm7,daquan,https://scontent-bom1-2.cdninstagram.com/vp/6cf95ca39a5a7cbf31043d74bc5bc456/5DC49ADB/t51.2885-15/e35/p1080x1080/62438418_356525758338643_2853001787605150530_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2NjMwNjQzMjcwNTUxODAxMQ%3D%3D.2,407674,False,2569,1349,1080,"💀💀
👉🏽(via: LokoAzze_man/twitter)",[],1560542943
9,ByrP8j6BYks,daquan,https://scontent-bom1-2.cdninstagram.com/vp/9dc4b4b22a9da72914aa925f1e172a64/5DA9F279/t51.2885-15/e35/p1080x1080/61761888_829499940759889_4343531952809036099_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2NTgxNDk4NjUwMDE4MDI2OA%3D%3D.2,370330,False,3652,1296,1080,🙌🏾🙌🏾🇨🇦,[],1560484358
