,shortcode,username,display_url,edge_media_preview_like,comments_disabled,edge_media_to_comment,dimensions_height,dimensions_width,edge_media_to_caption,tags,taken_at_timestamp
0,BziLEbYly6b,deepak_chahar9,https://scontent-bom1-2.cdninstagram.com/vp/d8b0dfbdf79b8f289f0dfb70c14f6661/5DB5A310/t51.2885-15/e35/s1080x1080/65055708_422134968635074_5310638820747839983_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA4MTI3NDY2MDU5MTcwOTg1MQ%3D%3D.2,78962,False,297,1080,1080,Same team same hairstyle ☺️ #westindies #tour #indiaA #bleedblue,"['indiaA', 'bleedblue', 'tour', 'westindies']",1562327295
1,BzDPSyuFBLg,deepak_chahar9,https://scontent-bom1-2.cdninstagram.com/vp/d46ed542b60a0159cad9d9a3a73566d2/5DBF49E5/t51.2885-15/e35/s1080x1080/64791514_108146427010152_8795149834056680339_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3MjU2NzUxNTYyODk2NjYyNA%3D%3D.2,86795,False,213,1066,1080,It was fun shooting with @kapilsharma  #mustwatchshow #comedy #fun #kapilsharmashow #enjoyed,"['mustwatchshow', 'comedy', 'enjoyed', 'fun', 'kapilsharmashow']",1561289322
2,Byw2zVsFk5D,deepak_chahar9,https://scontent-bom1-2.cdninstagram.com/vp/db42da2eec4f5403d4c3715bf88ef918/5DB2B747/t51.2885-15/e35/61520757_467177970713161_334089520653651042_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=8&ig_cache_key=MjA2NzM5MzI1MTQ1NjIwODQ1MQ%3D%3D.2,62467,False,170,1080,1080,Whatever I have achieved in my life is just because of my father . I thank god for giving me such a father who has given his life for me .  love u papa 🤗🤗🤗 . Happy Father’s Day #happyfathersday #inspiration #lifeline #mypowerbank #bestdadever,"['bestdadever', 'mypowerbank', 'happyfathersday', 'inspiration', 'lifeline']",1560672502
3,ByNcfBNFVo9,deepak_chahar9,https://scontent-bom1-2.cdninstagram.com/vp/7c0b3008b99a67cddbe23cb6985d9983/5DAC349B/t51.2885-15/e35/p1080x1080/60502796_160739078301870_7075314463145649637_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1NzQyNTg4MTY3NzUxOTQyMQ%3D%3D.2,82044,False,521,1350,1080,Light 💡 camera 📷 picture 😉 #UK #best #light #picture #dresswell #restday #sunday #weekend,"['restday', 'dresswell', 'sunday', 'best', 'weekend', 'light', 'UK', 'picture']",1559484299
4,ByFdxqsFoCn,deepak_chahar9,https://scontent-bom1-2.cdninstagram.com/vp/a16496e664ab7040e5790c4111dbfd75/5DAE7BB1/t51.2885-15/e35/p1080x1080/60258565_140446557027321_8497627362421791569_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1NTE3OTc2MTQwNDUxMDM3NQ%3D%3D.2,93373,False,420,1350,1080,Shopping 😬 🛍,[],1559216540
5,Bx5MLDlFPX0,deepak_chahar9,https://scontent-bom1-2.cdninstagram.com/vp/8077cbe3ea120fcf8fde523964f1c69c/5DAFC795/t51.2885-15/e35/p1080x1080/60164813_603299386828935_5786625630640610083_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1MTcyNDY0MTU1OTcwNTA3Ng%3D%3D.2,94857,False,542,1308,1080,😎.... #black #blue #favorite #london #class #picture #burinazarwaleteramuhkaala,"['london', 'favorite', 'blue', 'black', 'class', 'burinazarwaleteramuhkaala', 'picture']",1558804658
6,Bxy0rY4JWVJ,deepak_chahar9,https://scontent-bom1-2.cdninstagram.com/vp/88ce6799e5d52333450e909ccb40af7e/5DBFD132/t51.2885-15/e35/61210939_387952698471096_1169331494359510715_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA0OTkzMjQ2MDQ3NDg1MjY4MQ%3D%3D.2,93617,False,494,1351,1080,Always travel light 😉 #traveling #london #comfort #worldcup #cricket,"['london', 'worldcup', 'traveling', 'cricket', 'comfort']",1558591013
7,BxWyFymFRBI,deepak_chahar9,https://scontent-bom1-2.cdninstagram.com/vp/eb137fa361bb59c46676e0b30b22584c/5DBCD5E8/t51.2885-15/e35/s1080x1080/58410647_464760370928697_3160279234925069475_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA0MjAzOTc4MTMwODA0MzMzNg%3D%3D.2,113473,False,442,759,1080,Family lunch before the final clash 🤜🏻🤛🏻 #cskvsmi #finals #ipl #csk #mi #lunch,"['csk', 'finals', 'ipl', 'lunch', 'cskvsmi', 'mi']",1557650133
8,BxEr5I5FoqV,deepak_chahar9,https://scontent-bom1-2.cdninstagram.com/vp/81c2dec4fa19b5c375fb3e1fd3463cbf/5DA56A45/t51.2885-15/e35/58775463_376394516550085_6069373335293334061_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjAzNjk0NTk3NDAzNjE3MTQxMw%3D%3D.2,79275,False,384,1190,1080,Had a great time with @jassie.gill such a sweet guy with a lovely smile 😁,[],1557042904
9,Bw_C3nyled3,deepak_chahar9,https://scontent-bom1-2.cdninstagram.com/vp/6f81a4923ae62b1f80b7bfaf624b6a80/5DC4757C/t51.2885-15/e35/57390262_351798858810591_2617891799665637506_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjAzNTM1ODE3NDk4MzYxMjI3OQ%3D%3D.2,73240,False,671,1350,1080,😎,[],1556853623
