,shortcode,username,display_url,edge_media_preview_like,comments_disabled,edge_media_to_comment,dimensions_height,dimensions_width,edge_media_to_caption,tags,taken_at_timestamp
0,BzOj3yvlwsp,dennistheprescott,https://scontent-bom1-2.cdninstagram.com/vp/8761846418f72db3da39717f3df85ee7/5DA8F166/t51.2885-15/e35/p1080x1080/64654808_628930214253557_4176537160266599104_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3NTc1NDI0Mzk0OTAwNTYwOQ%3D%3D.2,8904,False,142,1350,1080,Noodles Are Happiness. 🍜🙌,[],1561669210
1,BzG1fIwlbuR,dennistheprescott,https://scontent-bom1-2.cdninstagram.com/vp/ff066e39bfc73c560b63105686271b65/5DC3E3BE/t51.2885-15/e35/p1080x1080/64275418_2399523700289016_7701866593856289043_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3MzU3OTkxNDYyNDYxMzI2NQ%3D%3D.2,13307,False,214,1350,1080,"Monday Dreams = Swedish Meatballs. Comfort at 10,000%. Recipe Link in Profile. Have a delicious day friends! 🔥🤘",[],1561410010
2,BzEQxaKFHP9,dennistheprescott,https://scontent-bom1-2.cdninstagram.com/vp/a84a37917a1546fd062e730aabba98fd/5DA78A5E/t51.2885-15/e35/p1080x1080/64686092_718298338627345_7406435772017634379_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3Mjg1NTQ5MjU4MjIwODUwOQ%3D%3D.2,8823,False,112,1350,1080,"Sunday Suppers = Sticky, Saucy, BBQ Rib Happiness on the @traegergrills. Hot Damn. Recipe Link in Profile. What’s everyone grilling today?? Have the best day. You’re awesome! 🤘🔥 #TraegerCulinary",['TraegerCulinary'],1561323652
3,By_HRVGlvi7,dennistheprescott,https://scontent-bom1-2.cdninstagram.com/vp/cbceada7519d43f2afd2aa5decb60039/5DAD2F63/t51.2885-15/e35/p1080x1080/64600884_2430956020513897_6035190675377790452_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3MTQwNjMzMDgyOTUzNTQxOQ%3D%3D.2,17131,False,346,1350,1080,Weekend Warm Weather Happiness. Blueberry Cheesecake Frozen Yogurt. YES PLEASE. Recipe Link in Profile. Happy Friday friends!!🍦🙌,[],1561150898
4,By8e4Q6lJUk,dennistheprescott,https://scontent-bom1-2.cdninstagram.com/vp/b3a81e8f0c61ee4604f2d8cafa55944e/5DA1118B/t51.2885-15/e35/p1080x1080/62263604_468199067275231_4265640226478425246_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3MDY2NTczNjUzMjMwMTA5Mg%3D%3D.2,5682,False,59,1350,1080,Warm Weather Happiness = Coconut Citrus Halibut Ceviche. Sunshine-Kissed SummerTime Deliciousness. So damn good. Recipe Link in Profile. Happy Thursday friends.,[],1561062613
5,By3YvqblYDc,dennistheprescott,https://scontent-bom1-2.cdninstagram.com/vp/980a46fd9b108124915f45deaf20a9ab/5DA9B43B/t51.2885-15/e35/p1080x1080/62496533_373576176619716_2469414610267290730_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2OTIzMTM4MjI5MTY0NDYzNg%3D%3D.2,13148,False,211,1350,1080,If Pasta Is Wrong I Don’t Want To Be Right. 🍝🙌 (Recipe Link in Profile),[],1560891624
6,ByvqYZKFvy9,dennistheprescott,https://scontent-bom1-2.cdninstagram.com/vp/080c7d7babe361125b3d9072ac5edc3d/5DAB1B7E/t51.2885-15/e35/p1080x1080/61583834_192919894984493_6037664834925665042_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2NzA1NzE0ODIyMDA3OTI5Mw%3D%3D.2,11984,False,337,1350,1080,"Another Year Around The Sun. A little older, (hopefully) a little wiser, and incredibly blessed. I love birthdays. Thanks for making every day incredible. You’re the best food community on the planet! 🎂🎉 #ItsMyBirthdayAndImmaEatEverything",['ItsMyBirthdayAndImmaEatEverything'],1560632435
7,BylXMtuFbHh,dennistheprescott,https://scontent-bom1-2.cdninstagram.com/vp/57b00676c727c1e06073c4b133eb8e6d/5DAF9BEF/t51.2885-15/e35/p1080x1080/61277786_170517163974299_510036370749189761_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2NDE1ODAzMzAxNDI3MjQ4MQ%3D%3D.2,10106,False,183,1350,1080,Tuesday Comfort = Handheld Beer-Caramelized Onion & Aged Cheddar Cheeseburger Happiness on the @traegergrills. Hot Damn! Yes please. Have the best day friends. You’re awesome.🤘🔥 #TraegerCulinary,['TraegerCulinary'],1560286834
8,BybD-2VFNUk,dennistheprescott,https://scontent-bom1-2.cdninstagram.com/vp/c9f073853261f485bfe301347cb2d66d/5DABEC9A/t51.2885-15/e35/p1080x1080/61907986_678694335934655_7188524306299908982_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2MTI1ODc2NzUzNDk3MDE0OA%3D%3D.2,12781,False,222,1350,1080,"Doughnuts Are Happiness In Food Form. Fun fact! My first job working for myself in the food world was running a coffee & doughnut shop. Made thousands of them/ate lots/hardest job, best job. So awesome. Happy Friday y’all! 🍩🔥 #nationaldonutday (Recipe in my cookbook)",['nationaldonutday'],1559941214
9,ByYfhH8lNVL,dennistheprescott,https://scontent-bom1-2.cdninstagram.com/vp/814d38b13becd29bb91cd0a4481d486e/5DAF035E/t51.2885-15/e35/p1080x1080/61561773_342326716457471_2383552976954448979_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2MDUzNTQ0NTIzOTE1ODA5MQ%3D%3D.2,15411,False,243,1350,1080,"Thursday Deliciousness = Grilled Jerk-Spiked Blackened Shrimp on the @traegergrills. Quick, Easy, Jam-Packed with goodness. Recipe Link in Profile. Have the best day friends. 🍤🤘 #TraegerCulinary",['TraegerCulinary'],1559854988
10,ByTVpqnFe7w,dennistheprescott,https://scontent-bom1-2.cdninstagram.com/vp/a34d340e78ceec7bf6d8c55ba8284f2b/5DC4D7FD/t51.2885-15/e35/p1080x1080/60572166_357211444820340_2163888327774970943_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1OTA4NDY3Njg2NjYzMzQ1Ng%3D%3D.2,12364,False,264,1350,1080,"National Cheese Day Vibes. Cheese hard today, friends. 🤘🔥 #NachosILoveYou",['NachosILoveYou'],1559682043
11,ByQwyAlFbxg,dennistheprescott,https://scontent-bom1-2.cdninstagram.com/vp/4448fe8a00a803967dbc7cbb40266622/5DAD5224/t51.2885-15/e35/p1080x1080/61017486_1323431707814108_7613605241444312815_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1ODM1OTU3MjUzNjg2NzkzNg%3D%3D.2,9457,False,120,1350,1080,Braised Beef + Pasta = Happiness. Monday goodness on the @traegergrills. Recipe Link in Profile. Have the best day friends. 🍝🙌 #TraegerCulinary,['TraegerCulinary'],1559595604
12,ByOTBcNl4ha,dennistheprescott,https://scontent-bom1-2.cdninstagram.com/vp/38baa36cc8ac92bbae5583a240fa0456/5DB72699/t51.2885-15/e35/p1080x1080/60838083_1091413924375218_6098450314930122426_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1NzY2NTc0MTY1MDg4ODc5NA%3D%3D.2,13591,False,210,1350,1080,Sunday Suppers. Hopes & Dreams. Have the best day everyone. You’re awesome. 🔥🤘,[],1559512892
