,shortcode,username,display_url,edge_media_preview_like,comments_disabled,edge_media_to_comment,dimensions_height,dimensions_width,edge_media_to_caption,tags,taken_at_timestamp
0,BzHHb01AEcH,detoxinista,https://scontent-bom1-2.cdninstagram.com/vp/ef43e6d39ed5d27a2177ce8de1b98c92/5DA6CAB8/t51.2885-15/e35/64780206_178007063210162_3878768730759701410_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3MzY1ODg1MTkwMjYzNzgzMQ%3D%3D.2,438,False,18,750,750,"Do you know a PUP who might like a summer treat?! If so, these 2-Ingredient Dog Treats are a big hit! 🐶
•
Because they’re made with human-grade ingredients, it’s also okay if your kids end up sneaking one from the freezer. They are delicious to everyone! 😂
•
Use the clickable link in my profile 👉 @detoxinista then click on this photo to go straight to the recipe!
•
•
•
https://detoxinista.com/2-ingredient-healthy-frozen-dog-treats/
•
#dogtreat #healthydog #healthydogfood #dogfood #healthydogtreats #healthydogs #glutenfreedogtreats #peanutbutterdogtreats #detoxinista","['healthydog', 'healthydogtreats', 'detoxinista', 'dogtreat', 'glutenfreedogtreats', 'peanutbutterdogtreats', 'healthydogs', 'dogfood', 'healthydogfood']",1561419420
1,BydO9G6ATsE,detoxinista,https://scontent-bom1-2.cdninstagram.com/vp/90a12160020d2fbfe6e972a85dc3739a/5DBE9D27/t51.2885-15/e35/62154378_2323778161227937_194345558468893168_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=8&ig_cache_key=MjA2MTg2OTk3NjM2MDQwMTY2OA%3D%3D.2,1883,False,1137,1080,1080,"When my website randomly breaks 😭, it’s SO nice to have my favorite recipes printed all in one place. And my first cookbook, Everyday Detox, turned 4 years old this week! ❤️
•
To celebrate, I’m giving away 4 copies of the book! Tag a friend who might need some delicious #glutenfree recipes, and I’ll pick two winners and their friends to send copies to. Tag as many friends as you like for extra entries! 📚
•
This book has a 7-day Jump Start meal plan (with 3 meals and 2 snacks for each day) and all of the recipes are clearly labeled for #foodcombining if you’re trying to reduce bloat, lose weight, or streamline your digestion.
•
Oh, and by the way— I think my website is back up and running after the temporary down time this morning. 🙏🏻
•
Tag a friend (or more) in the comments below to enter the giveaway! 👇👇
•
•
•
This giveaway is not sponsored, endorsed, or associated with Instagram. I’m buying these books myself to share with you, because I appreciate you being here! 😘","['foodcombining', 'glutenfree']",1560014076
2,ByRCHaIAp0Y,detoxinista,https://scontent-bom1-2.cdninstagram.com/vp/f0e5d5d32eb9b989753c63dfb0d87260/5DAEE694/t51.2885-15/e35/60718799_2263683580614358_8210737854010105383_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1ODQzNTgwOTg2NjA2MzEyOA%3D%3D.2,1118,False,30,1080,1080,"If you’re not a huge fan of zucchini noodles on their own (they can sometimes feel too light or a little watery as a main course), try mixing them in with real spaghetti! That’s exactly what I do in my Rainbow Lo Mein recipe (found in No Excuses Detox) and it’s such a big hit!
•
This is a great way to ease picky family members into eating more veggies, too.👌 When you peel the zucchini before spiralizing it, it blends right in with the other pasta and the texture is almost unnoticeable! Over time you can add more and more zucchini to see how much you can get away with. 😉
•
What’s YOUR favorite way to add more veggies to meals?
•
•
Photo: @erinscottstudio
•
#healthyrecipes #zucchininoodles #healthyeating #healthykidsfood #healthytakeout #healthytips #detoxinista","['healthykidsfood', 'healthytips', 'healthytakeout', 'healthyeating', 'zucchininoodles', 'healthyrecipes', 'detoxinista']",1559604692
3,BxlQQIXgi01,detoxinista,https://scontent-bom1-2.cdninstagram.com/vp/5963c9c8006df2ae1612ae94a4ff170c/5DA7C046/t51.2885-15/e35/59838608_165377711150872_735984643239420571_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=8&ig_cache_key=MjA0NjExMzA4Mjk0OTkwNTcxNw%3D%3D.2,1513,False,26,1350,1080,"If you’re planing to #mealprep this weekend, this Kale & Quinoa Salad is perfect for easy packed lunches! 🙌🏻
•
Kale is sturdy enough to be tossed in a dressing for up to 3 days without getting soggy, and the quinoa is a complete source of plant-based protein. (Though you can add even more with a scoop of chickpeas or any other protein you like!)
•
Get the full recipe on the blog today, or use the link in my profile 👉 @detoxinista
•
•
•
https://detoxinista.com/kale-quinoa-salad/
•
#kalesalad #quinoasalad #quinoa #quinoarecipes #kale #makeaheadmeals #easymealprep #healthymealprep #sundaymealprep #vegetarianmealprep #healthyrecipes #healthyrecipe #saladrecipe #detoxinista","['kale', 'vegetarianmealprep', 'healthyrecipes', 'quinoarecipes', 'healthymealprep', 'sundaymealprep', 'saladrecipe', 'makeaheadmeals', 'quinoasalad', 'easymealprep', 'quinoa', 'kalesalad', 'mealprep', 'healthyrecipe', 'detoxinista']",1558135708
4,BxSavZYg-IJ,detoxinista,https://scontent-bom1-2.cdninstagram.com/vp/8b2addff6407c6b660e3e38a5a17c1ef/5DA594C2/t51.2885-15/e35/59567102_133319134435333_7259370214442971169_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=8&ig_cache_key=MjA0MDgxMTE4NzQzMTc5MzE2MQ%3D%3D.2,1470,False,38,1299,1080,"Did you know that people who eat avocados tend to be healthier than people who don’t? I can’t think of a better reason to make this Chocolate Avocado Pudding! 🙌🏻
•
According to the results from the National Health & Nutrition Examination, which observed over 17,500 participants, avocado eaters tend to weigh less and and have a significantly lower risk of metabolic syndrome compared to those who don’t eat avocado. (This study also noted that people who eat avocados tend to eat more veggies than those who don’t, so I’m sure that has a lot to do with these results, too!)
•
I’ve been making this avocado pudding for nearly 10 years and I’m still surprised by how much I love it— and that’s coming from someone who doesn’t *love* avocados. In this updated post, I talk about more benefits of eating avocados and some alternative ways to sweeten it, too!
•
Check it out on the blog today, or use the link in my profile 👉 @detoxinista
•
•
•
https://detoxinista.com/detox-choco-cado-pudding/
•
#avocados #avocadopudding #vegandesserts #vegandessert #paleodessert #paleorecipes #veganrecipes #chocolatepudding #easyrecipes #blenderrecipes #vitamix #vitamixrecipes #healthyrecipes #dairyfreerecipes #glutenfreedesserts #dairyfreedessert #dairyfreekids #glutenfreekids #detoxrecipe #detoxinista","['chocolatepudding', 'detoxinista', 'paleodessert', 'glutenfreekids', 'healthyrecipes', 'avocados', 'glutenfreedesserts', 'veganrecipes', 'vegandessert', 'avocadopudding', 'dairyfreedessert', 'dairyfreekids', 'vegandesserts', 'easyrecipes', 'dairyfreerecipes', 'blenderrecipes', 'vitamix', 'paleorecipes', 'detoxrecipe', 'vitamixrecipes']",1557503673
5,Bw5h6q9g3RO,detoxinista,https://scontent-bom1-2.cdninstagram.com/vp/46b78a4a03571e3833acc7ccd9ea9835/5DA9D855/t51.2885-15/e35/57899686_2155050774560965_5600317607760350606_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=8&ig_cache_key=MjAzMzgwNTg3NDEyODE4ODQ5NA%3D%3D.2,1030,False,28,1350,1080,"With Cinco de Mayo coming up, I’m in the mood for this vegan queso! I like it even more than the version I grew up eating, and it takes just a few minutes to whip up in your blender!
•
Have YOU tried it yet?? If you’re nut-free, there are TWO other cheese dip recipes on my blog that don’t call for nuts, so be sure to check them out! 😘 (Sweet Potato Queso & Vegan Cheese Sauce)
•
Head to my profile 👉 @detoxinista for a direct link to the recipe!
•
•
•
https://detoxinista.com/healthy-queso-dip-dairy-free-soy-free/
•
#cashewcheese #veganqueso #plantbased #plantbaseddiet #plantbasedvegan #plantbasedpower #cashewsauce #cashews #veganrecipes #veganrecipeshare #veganfood #vegan #healthyrecipes #healthyrecipe #cincodemayo #cincodemayoparty #glutenfreerecipes #glutenfree #detoxinista #feedfeedvegan #yahoofood #buzzfeast #eeeeeats","['cashewcheese', 'cincodemayoparty', 'cashewsauce', 'buzzfeast', 'veganrecipeshare', 'veganqueso', 'cincodemayo', 'healthyrecipe', 'detoxinista', 'cashews', 'plantbased', 'plantbasedvegan', 'plantbasedpower', 'healthyrecipes', 'glutenfree', 'yahoofood', 'feedfeedvegan', 'veganrecipes', 'glutenfreerecipes', 'vegan', 'plantbaseddiet', 'veganfood', 'eeeeeats']",1556668575
6,Bw45H5og7lc,detoxinista,https://scontent-bom1-2.cdninstagram.com/vp/9ebef85e2e3c3f4b67cfe46508a2fb10/5DB0328D/t51.2885-15/e35/58409443_691488494601836_1364706378262012099_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=8&ig_cache_key=MjAzMzYyNjQ2MzMyODI1NDMwMA%3D%3D.2,772,False,31,1350,1080,"This Jackfruit “Pulled Pork” is a quick and easy vegetarian option for your next BBQ! ☀️
•
Jackfruit is a relatively new ingredient to me, but I love how it’s becoming more and more accessible in most grocery stores! Green jackfruit has a chewy texture and neutral flavor that absorbs whatever sauce you cook it with. When you toss it with my easy homemade BBQ sauce, it really does remind me of pulled pork! (Only not as chewy— so it’s easier to eat.)
•
Get this recipe today on the blog, or click on my profile link 👉 @detoxinista (after you click on my profile link, just click on the photo you want the recipe for)
•
Tell me— have YOU tried jackfruit yet?? Let me know what you’d like to see me make with it next!
•
•
•
https://detoxinista.com/jackfruit-pulled-pork/
•
#jackfruit #jackfruitbbq #veganbbq #vegetarianrecipes #vegetarianfood #vegetarian #veganfood #veganfoodporn #veganrecipes #vegan #summerrecipes #glutenfreerecipes #soyfreevegan #soyfree #glutenfreevegetarian #healthyrecipes #healthyrecipe #detoxinista","['veganfoodporn', 'jackfruitbbq', 'vegetarianfood', 'healthyrecipes', 'veganbbq', 'vegetarian', 'veganrecipes', 'soyfreevegan', 'jackfruit', 'summerrecipes', 'vegan', 'soyfree', 'detoxinista', 'glutenfreerecipes', 'glutenfreevegetarian', 'veganfood', 'healthyrecipe', 'vegetarianrecipes']",1556647187
7,Bw0id7hA1rA,detoxinista,https://scontent-bom1-2.cdninstagram.com/vp/7705d3942325e404e95073256cb1bedb/5DA5E4B1/t51.2885-15/e35/57284765_411664666315777_6734007441688040464_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjAzMjQwMDkyMjIwMTc3NDc4NA%3D%3D.2,2058,False,32,1080,1080,"It’s nearly impossible to bake with coconut flour without using eggs, but these Coconut Flour Banana Muffins are an exception to the rule! 🙌🏻
•
This recipe can be found in my first cookbook, Everyday Detox, and @lealoulemonade made this batch look extra beautiful! 😍
•
What are YOU meal prepping this weekend?
•
•
Photo credit: @lealoulemonade
•
#veganmuffins #coconutflour #coconutflourrecipes #eggfree #eggfreebaking #bananamuffins #grainfreebaking #grainfreevegan #glutenfreebaking #glutenfreemuffins #dairyfreebaking #everydaydetox #detoxinista","['dairyfreebaking', 'glutenfreemuffins', 'veganmuffins', 'grainfreebaking', 'coconutflour', 'grainfreevegan', 'glutenfreebaking', 'eggfreebaking', 'bananamuffins', 'eggfree', 'everydaydetox', 'coconutflourrecipes', 'detoxinista']",1556501091
8,BwvOHsEA6Ho,detoxinista,https://scontent-bom1-2.cdninstagram.com/vp/43fd7ce5352278f6698469b4652c1c46/5DA7F119/t51.2885-15/e35/56929169_1535035279966005_9145447996849587420_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=8&ig_cache_key=MjAzMDkwNDA1Nzk2Njg2MjgyNA%3D%3D.2,494,False,21,1350,1080,"When you have a picky eater, smoothies are a helpful way to get some leafy greens, or veggies that they wouldn’t otherwise eat, into their day. They don’t even have to know about it! •
My kids do help me add handfuls of fresh spinach to our smoothie most mornings, so they don’t seem to mind, but I think it helps that they know they won’t taste it! 😉
•
Other veggies that you can sneak in without detection? Frozen cauliflower and sometimes frozen broccoli (if the smoothie has a strong tropical flavor). Kale can NOT be “hidden” if you ask me. My kids can taste kale, and so can I. I don’t mind it, but it’s not fooling anyone. 😂
•
If you want one of my go-to recipes for kids, use the link in my profile to get it! Or you can use the search bar on my website to find my post on smoothies for babies and toddlers.
•
I’ve shared a link to this cute reusable pouch in my blog posts, too! I’ll put a swipe up link in IG stories if you want to check them out. They are BY FAR the best pouch we’ve ever used— going 5 years strong!
•
Tell me, do you try to sneak anything into your smoothies? I’ve gone through all sorts of supplement experiments, like spirulina and collagen, but right now our go-to protein addition is just plain hemp hearts! I love that they are a complete source of #plantbased protein, without a chalky texture.
•
•
•
https://detoxinista.com/smoothie-recipe-for-kids/
•
#healthysmoothies #smoothies #smoothieforkids #healthykidsfood #healthykid #healthykids #healthyrecipes #squeasygear #squeasy #vegansmoothies #healthysmoothie #smoothierecipes #greensmoothie #greensmoothies #glowinggreensmoothie #pickyeaters #detoxinista","['squeasy', 'plantbased', 'vegansmoothies', 'glowinggreensmoothie', 'pickyeaters', 'healthykidsfood', 'smoothies', 'smoothierecipes', 'smoothieforkids', 'squeasygear', 'healthysmoothies', 'healthykids', 'greensmoothies', 'healthykid', 'healthyrecipes', 'greensmoothie', 'detoxinista', 'healthysmoothie']",1556322651
9,BwdNxj_gQoo,detoxinista,https://scontent-bom1-2.cdninstagram.com/vp/1ca6bd2e88586ec639bd9b4c1c56f64a/5DBFC5F9/t51.2885-15/e35/56310414_158091361886573_1214402801884291183_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjAyNTgzNTk4Nzg5MTk4MDg0MA%3D%3D.2,748,False,69,1080,1080,"Up until this year, my kids would hunt for eggs, see the candy and try a piece, and then forget about it the next day. It was perfect! 😂🙌🏻
•
This year, my 5-year-old remembers everything, so I’m not getting off that easy. We let him choose ONE piece of candy each day, to avoid the “forbidden” appeal of it, but boy does it affect his behavior! 😭 He has had crazy mood swings this week and doesn’t want his usual meals, so we are going to conveniently RUN OUT of candy this weekend. I’m done!!
•
If you’re a parent, how do YOU handle Easter candy & egg hunts?🐣
•
I think stickers, slime, little toys, or even coins are the way to go for filling eggs! It would be so much more fun to make a healthy treat together in the kitchen, without crazy sugar crashes later. But maybe that’s just me?! 🤷‍♀️",[],1555718490
