,shortcode,username,display_url,edge_media_preview_like,comments_disabled,edge_media_to_comment,dimensions_height,dimensions_width,edge_media_to_caption,tags,taken_at_timestamp
0,BzO-wZph5cd,dollyandoatmeal,https://scontent-bom1-2.cdninstagram.com/vp/fea28d00cb5183ce6837bcc220dfe7f7/5DC0F4E4/t51.2885-15/e35/p1080x1080/65323222_2251886661526358_5289227524430502053_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3NTg3MjQ4MzIyMzI0NjYyMQ%3D%3D.2,1323,False,19,1349,1080,"Taking pasta night up a notch with this Broken Lasagna w/ (#vegan) White Pesto & Broccoli Rabe 💪🏼 While it may sound a little fancier than you’d like for a weeknight meal, it’s actually a 2-bowl deal that comes together in about 20 minutes 👊🏼 The vegan white pesto is a game changer (thanks @bonappetitmag for the inspiration ✨🙌🏼), where plant-based ricotta is at its base, along with some reliable pantry staples. One of our favorite summer meals to date!
(Recipe link in my profile 🍝💚) #foodandwine #FWhealthy #thekitchen #feedfeed #iamwellandgood #onthetable  #f52extra #f52grams #bareaders #plantstrong","['iamwellandgood', 'feedfeed', 'plantstrong', 'f52extra', 'vegan', 'foodandwine', 'thekitchen', 'f52grams', 'bareaders', 'onthetable', 'FWhealthy']",1561683305
1,BzMYTEJhSr-,dollyandoatmeal,https://scontent-bom1-2.cdninstagram.com/vp/6c01be7a92c27242c3b936e35f92be37/5DA66058/t51.2885-15/e35/p1080x1080/64743686_865308660492233_1095003603993947037_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3NTE0MDM5MTU1MTk3MDA0Ng%3D%3D.2,935,False,26,1349,1080,"A meal prep worthy jar of Garlic, Herb & Shallot Confit that can last up to a couple months in your fridge 👊🏼 (if you can make it last that long). I’m not sure if it’s all the summer bounty that’s making me want to preserve it all, or the very real nesting phase I’m going through at the moment (bc 8 months pregnant🤰🏻). Either way, making vegetable confit is one of my favorite ways of preserving the season, and using it for multiple meals throughout the week! 
Head over to the blog for the recipe and a whole host of recipes you can use the confit for 👌🏼✨(Link in my profile)",[],1561596033
2,BzJzegSBmfv,dollyandoatmeal,https://scontent-bom1-2.cdninstagram.com/vp/73d98a25ec987a68d6988a33db54bce1/5DC36C14/t51.2885-15/e35/p1080x1080/65202660_2388916491385921_3273910750757347598_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3NDQxNTQ5OTk5OTM0MDUyNw%3D%3D.2,788,False,16,1349,1080,When the process is prettier than the outcome 💞,[],1561509619
3,By6XS_QhL96,dollyandoatmeal,https://scontent-bom1-2.cdninstagram.com/vp/fdfb8817dbc3c21de891bf224b127641/5DBB31B6/t51.2885-15/e35/p1080x1080/61804919_368430270479039_6778390150016882043_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3MDA2OTQzODY3MzM3MTAwMg%3D%3D.2,1281,False,45,1349,1080,"Officially back on our feet after the stomach virus took us all out for the past week 😅🙃 I’ve never been sick while so pregnant, plus taking care of a wild little human (Amesy) - it all just about sent me over the edge. But we’re back! And things are normal-ish (even if frank and me are eating the worlds blandest foods at the moment), so I am very much grateful 🙏🏼 But! First thing I’m making when I’m fully functioning are these (#vegan #grainfree #glutenfree) frozen chocolate chip cookie dough balls 💃🏻 They chill in the freezer until you want one, then let it sit for about 5 mins and you’re good to go. Super easy, super delish, I know you’re gonna love them 💕 Go get the recipe link in my profile ✌🏼😘","['vegan', 'glutenfree', 'grainfree']",1560991528
4,ByltWhlhaAL,dollyandoatmeal,https://scontent-bom1-2.cdninstagram.com/vp/858bea1000726de01f56bf7d1dd6a7af/5DBADD9B/t51.2885-15/e35/p1080x1080/61593920_457689808135752_1420343485972406390_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2NDI1NTQ2NDIwMzcyMjc2Mw%3D%3D.2,2114,False,77,1349,1080,"Recently inhaled: @bufcreamery burrata broiled on (#glutenfree) @gjusta bread, topped with today’s shallot, garlic & herb confit (more in my stories), s & p, and thyme 👌🏼👌🏼👌🏼10/10 recommend this, or some form of it 🤤",['glutenfree'],1560298449
5,ByjPMPABB5R,dollyandoatmeal,https://scontent-bom1-2.cdninstagram.com/vp/fd03f8d8019254df7aaf7c8794aa56a8/5DAFEAE3/t51.2885-15/e35/p1080x1080/62268272_148711259602046_1568218671074252476_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2MzU1OTg2NTcwMzYwMzc5Mw%3D%3D.2,1058,False,50,1349,1080,Frozen chocolate cookie dough balls are where it’s at when temps are in the 90’s 😅🙌🏼🍪,[],1560215527
6,Bygpe3lBr-H,dollyandoatmeal,https://scontent-bom1-2.cdninstagram.com/vp/c67f2fefda4b7e260cbae374f297c7a6/5DC68D5D/t51.2885-15/e35/p1080x1080/61246361_148030933001483_1745944747660141111_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2MjgzMTA3MDUwMzk0NDA3MQ%3D%3D.2,793,False,10,1349,1080,"It’s Sunday, which means we’re prepping another sauce/dressing/dip/condiment for the week! This week it’s my everyday #vegan Caesar dressing, that takes maaaaaybe 5 minutes-ish to whip up 👌🏼 It’s a go-to prep sauce because it’s more than just a salad dressing. Use it to drizzle over diced up veg for snack (peep my previous IG post), or you can dip your grilled veg kabobs into it (like we did last night 🙌🏼). Better yet, toss it into your fave protein salad of choice for a creamy punch. Either way, this sturdy go-to will add a bit of ease to your weekly meals - promise 👍🏼😘
(Recipe link in my profile 💛)",['vegan'],1560128648
7,ByYxMBdhtV0,dollyandoatmeal,https://scontent-bom1-2.cdninstagram.com/vp/39dc9a1a7d126d3e7842ca6822a3ca1d/5DB55476/t51.2885-15/e35/p1080x1080/61090984_664756093945814_3442244493390524653_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2MDYxMzE2MDAwMzg4NDQwNA%3D%3D.2,1579,False,39,1349,1080,Righteous little nosh - cukes 🥒with a good dousing of a homemade vegan Caesar dressing 🙌🏼 I don’t know why I waited until now to use this dressing on more than just salad 🤷🏻‍♀️,[],1559864252
8,ByTxjhHB73G,dollyandoatmeal,https://scontent-bom1-2.cdninstagram.com/vp/db10ebe9c867f48c06ca97f8226e2cbe/5DA278DC/t51.2885-15/e35/p1080x1080/61144840_628342017666816_8894349155571028250_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1OTIwNzM5OTY1MDYwNjUzNA%3D%3D.2,1468,False,58,1349,1080,Creamy pesto pasta 🍝 The ultimate weeknight dinner go-to 💚 Also happens to be #vegan thanks to some 🥑 thrown in the pesto 👌🏼,['vegan'],1559696672
9,ByOnfhihWE-,dollyandoatmeal,https://scontent-bom1-2.cdninstagram.com/vp/67c0e8eca72fee3c6372319d1d52133b/5DC0A1B7/t51.2885-15/e35/p1080x1080/61406576_2255696457843666_7348279219064970455_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1Nzc1NTc2OTg4NTI1Mzk1MA%3D%3D.2,779,False,12,1349,1080,"This Sunday’s sauce happens to be my favorite flavor bomb: Garlicky Turmeric Sauce 💛⚡️✨ It’s also a great sauce to have on hand for meals throughout the week: drizzle over lunch/dinner bowls, jazz up your traditions potato salad, mixed into chicken or crushed chickpeas for a protein salad sitch, etc., etc! 
Recipe link in my profile ✌🏼💛",[],1559523625
