,shortcode,username,display_url,edge_media_preview_like,comments_disabled,edge_media_to_comment,dimensions_height,dimensions_width,edge_media_to_caption,tags,taken_at_timestamp
0,BzFXPo8pBzx,emmahill,https://scontent-bom1-2.cdninstagram.com/vp/e2bdfa49554ecd61446353ac202b77d6/5DC6B93B/t51.2885-15/e35/p1080x1080/62474363_145561263286736_4865807639969078931_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3MzE2NTQzMzMwMjk0OTEwNQ%3D%3D.2,9830,False,122,1350,1080,"Le cliche 😉
(Gifted items: sunglasses, blazer & necklace) #paris #sezane #cincopeople","['sezane', 'cincopeople', 'paris']",1561360600
1,BzDrezEpy6x,emmahill,https://scontent-bom1-2.cdninstagram.com/vp/6ba3e92fde9e0cb7483409839cc9f949/5DB550F4/t51.2885-15/e35/p1080x1080/65847363_145111933218359_6067377185990483383_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3MjY5MTQ4NTk0MzczODAzMw%3D%3D.2,9272,False,93,1350,1080,"There’s a new video over on my YT channel today with my travel style tips ✈️ #ehtravelstyle #traveloutfit #veja
(Gifted items: bag, suitcase & trousers)","['ehtravelstyle', 'traveloutfit', 'veja']",1561304101
2,BzBHIaPJK0s,emmahill,https://scontent-bom1-2.cdninstagram.com/vp/a95ee8db73d22af382788a296bc5c264/5DB69D7E/t51.2885-15/e35/p1080x1080/64477977_398216017449142_3815382427585772854_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3MTk2ODY2NzgxOTg3OTcyNA%3D%3D.2,15302,False,109,1350,1080,"I’d rather be scooting 🛴💨
For outfit deets, tap the link in my bio
(Gifted items: bag & jeans) #paris #andotherstories #loewe #basketbag #veja #vejawata","['loewe', 'veja', 'basketbag', 'andotherstories', 'paris', 'vejawata']",1561217934
3,BzAvFJipKlY,emmahill,https://scontent-bom1-2.cdninstagram.com/vp/1c171ba58d242c4663c47fdcfaf41aa7/5DAF5D0B/t51.2885-15/e35/p1080x1080/65210153_136753324186155_6074763081169944532_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3MTg2Mjg5MDYxODcyNjc0NA%3D%3D.2,8971,False,111,1350,1080,"Bathrooms this good were made for mirror selfies 🤳🏻🙊
(Find outfit details, including phone case, over on the link in my bio as usual)
#paris #vintagechanel #laclefchampselysees","['laclefchampselysees', 'paris', 'vintagechanel']",1561205324
4,By5XVBKpP-r,emmahill,https://scontent-bom1-2.cdninstagram.com/vp/ab12e797477a4e5a86a1567dbe6e263f/5DA6069A/t51.2885-15/e35/p1080x1080/61946975_1195389943966928_3503083795346886462_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2OTc4ODEwMzE4NDU0Nzc1NQ%3D%3D.2,5227,False,77,1349,1080,"AD | A square neckline and balloon sleeves, what’s not to love? @warehouseuk #warehousewornwell",['warehousewornwell'],1560957991
5,By0Pn-_JUrI,emmahill,https://scontent-bom1-2.cdninstagram.com/vp/b543cf0f65a34d420725ed452dc8d7e1/5DB98E13/t51.2885-15/e35/p1080x1080/62060543_673571289733256_993837832469717537_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2ODM0Njg0NzI1ODU2MTIyNA%3D%3D.2,8517,False,126,1350,1080,"AD | Just when you think @missomalondon can’t get any better, they go and release a new collection which is 🔥🙌🏼 See more on my stories #mymissoma",['mymissoma'],1560786179
6,Byxq1YEp4i5,emmahill,https://scontent-bom1-2.cdninstagram.com/vp/218c0c49ce59438cf51bdf820f7912aa/5DB28047/t51.2885-15/e35/p1080x1080/64603260_334366710588685_6416275465520467445_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2NzYyMjA4OTg3MzM5Mzg0OQ%3D%3D.2,10894,False,118,1350,1080,"‘How to Accessorise Basic Outfits’ - today on my YouTube channel ▶️
#bestofvest #louisvuitton #vintage #weekday #denim","['denim', 'bestofvest', 'louisvuitton', 'vintage', 'weekday']",1560699782
7,ByrlkA7pgv1,emmahill,https://scontent-bom1-2.cdninstagram.com/vp/55b9c38973957919008d55a87b4834a9/5DA0FFB6/t51.2885-15/e35/p1080x1080/61450123_142922836777487_4811218232619950596_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2NTkxMDA1NjcwMjMxNTUwOQ%3D%3D.2,8515,False,105,1350,1080,"Having a little mirror selfie break in between trying on all the awesomeness from @sezane 🙌🏼
- Find outfit details over on the link in my bio -
(Gifted items: jeans, ring & dress - all Sézane)
#sezane #london","['sezane', 'london']",1560495691
8,Byp77IkpxqV,emmahill,https://scontent-bom1-2.cdninstagram.com/vp/4b3e5b184917c2ec4199cdb45689fa52/5DA1A98B/t51.2885-15/e35/p1080x1080/61568487_392850884663967_3194827747871017387_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2NTQ0NTQ1MjUyNDIzMTMxNw%3D%3D.2,18487,False,354,1350,1080,"Basics and a damn good angle 😂👌🏼
(Gifted items: shirt, jeans & shoes)
#vintage #burberry #currentelliott #arket #charlesandkeith","['arket', 'burberry', 'charlesandkeith', 'vintage', 'currentelliott']",1560440306
9,BynWlRipu3a,emmahill,https://scontent-bom1-2.cdninstagram.com/vp/9b585515a9f385e9677c2574efc7ee22/5DBDFA92/t51.2885-15/e35/p1080x1080/62248919_124499065430563_5817371161158964519_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2NDcxODI3MjY1MTUyMTQ5OA%3D%3D.2,5881,False,70,1350,1080,"In search of Summer 👀🤷🏼‍♀️
(Gifted items: jewellery & sunglasses)",[],1560353620
