,shortcode,username,display_url,edge_media_preview_like,comments_disabled,edge_media_to_comment,dimensions_height,dimensions_width,edge_media_to_caption,tags,taken_at_timestamp
0,BxhOE1jA-BX,emmawatson,https://instagram.fdel3-1.fna.fbcdn.net/vp/d1f12fa8a6bb4a177cb52945718cca30/5DB9D33D/t51.2885-15/e35/60258372_135783164265287_8184228784670447102_n.jpg?_nc_ht=instagram.fdel3-1.fna.fbcdn.net&se=7&ig_cache_key=MjA0NDk3NzYxMDgyNzc1MTUxMQ%3D%3D.2,4299625,False,25649,1080,1080,"🌎💔🇺🇸 Last week, a bill was signed into law in Georgia that is a near-total ban on abortion. This marks the fourth “heartbeat” law to be passed in the United States in the last year - a name that is designed to be emotive. It refers to the first signs of the development of a heart in a fetus at 6 weeks of pregnancy, long before most people know they are pregnant.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
🍑💔 Georgia’s bill stands out for going one step further in including personhood language, criminalising not just abortion providers, but also pregnant people for having abortions or even miscarrying. Today, Alabama passed its own law banning abortion except when the health of the mother is at risk. We remember that Savita Halappanavar died in Ireland with the same law on the books.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
🇬🇧💔 Currently, women & pregnant people living in Northern Ireland are forced to travel to mainland Britain for abortion care that is illegal in their home country. There will always be people who cannot travel because of domestic violence, immigration status, and disability. People living in Northern Ireland and the USA deserve the dignity of accessing safe, legal & local reproductive healthcare at home. #nowforni

These laws won't stop women and pregnant people from having abortions, or from making the best decision for their bodies and families, it will just mean they are forced to do so unsafely and with stigma. #reproductiverightsforall ✊

Please join me in supporting @plannedparenthood @womenhelporg @all4choice @abortionsupportnetwork ⠀⠀⠀⠀⠀⠀⠀⠀⠀","['reproductiverightsforall', 'nowforni']",1558000349
1,Bxav92UgMD4,emmawatson,https://instagram.fdel3-1.fna.fbcdn.net/vp/eaf87daca377fe7062a680d596bed605/5DC59D30/t51.2885-15/e35/58729928_155356572175740_1103714888066124974_n.jpg?_nc_ht=instagram.fdel3-1.fna.fbcdn.net&se=7&ig_cache_key=MjA0MzE1NjMzOTM2NjA4NDg1Ng%3D%3D.2,2072056,False,5087,1080,1080,NEUTRAL,,1557783237
2,BxSV-Tqg78H,emmawatson,https://instagram.fdel3-1.fna.fbcdn.net/vp/170fbe416d7d2f325f2253ab14897c51/5DBF2FAD/t51.2885-15/e35/s1080x1080/58933513_762987604097935_7161075297849025661_n.jpg?_nc_ht=instagram.fdel3-1.fna.fbcdn.net&ig_cache_key=MjA0MDc5MDIyMTg1MDkxODY2Mw%3D%3D.2,2194186,False,6151,718,1080,"@teatumjones have joined @goodonyou_app ⭐️ allowing them to vocalise the work they’ve been doing to move towards being a better, pro-social, sustainable and modern brand.
✨ I love that their SS19 collection was inspired by interviews with activists & campaigners (including @jusmarai 💛) working to End Violence Against Women & Girls! Our collaboration for @g7 fit like a glove 🧤💚",[],1557501174
3,BwQP0AUg5XE,emmawatson,https://instagram.fdel3-1.fna.fbcdn.net/vp/79a74c6dd9873ca234397ae2eda1cd61/5DB7DCA2/t51.2885-15/e35/56410084_631770483962413_5375073326889098828_n.jpg?_nc_ht=instagram.fdel3-1.fna.fbcdn.net&se=8&ig_cache_key=MjAyMjE4NTc3NzE0Mzk3NzQxMg%3D%3D.2,4774169,False,47997,1349,1080,My dear friend @paris.reid painted this for my 29th birthday today ❤️ thank you for all the birthday wishes! I’ve had such a wonderful time already. xoxo,[],1555283351
4,Bvo0FyIAkzG,emmawatson,https://instagram.fdel3-1.fna.fbcdn.net/vp/eb905934e80e57bcd9d06096e60685b9/5DB40F6B/t51.2885-15/e35/54511102_404845923637649_7291795181768961897_n.jpg?_nc_ht=instagram.fdel3-1.fna.fbcdn.net&ig_cache_key=MjAxMTA4NjMyOTQ1ODM0NzIwNg%3D%3D.2,1062702,False,3358,750,750,"💖 Happy Mother’s Day weekend 💞 If you're in London, last day of Transparent Love exhibition at #BFIFlare is tomorrow. Love these photographs. #TransDayOfVisibility #MothersDay
📸 @amandas_photo","['TransDayOfVisibility', 'MothersDay', 'BFIFlare']",1553960194
5,BuvYl0fAwXY,emmawatson,https://instagram.fdel3-1.fna.fbcdn.net/vp/adc266616f85a5fbfb683e589ec8a30e/5DC3BD60/t51.2885-15/e35/52730226_393252691475098_2068454698467483052_n.jpg?_nc_ht=instagram.fdel3-1.fna.fbcdn.net&se=7&ig_cache_key=MTk5NDkyMTMxMjA0MDE5MTQ0OA%3D%3D.2,4513397,False,13719,1080,1080,"🆘 With the awareness generated by #metoo, there is an increased demand for support services as more people are emboldened to name what happened to them.❣️Rape Crisis Centres❣️offer much-needed support to people who have been assaulted across England and Wales (@rapecrisisew), but demand way outstrips supply.❗️This time last year, there were 6,355 survivors on Rape Crisis waiting lists and these can be as long as 14 months.‼️ This means that if a survivor calls to look for support they may be turned away...
⠀⠀⠀⠀⠀⠀⠀⠀⠀
⌛️💷 Successive UK governments have failed to fund life-saving services. There are just 44 Rape Crisis Centres in England and Wales. 🎯 But the Istanbul Convention (which our Government will soon ratify) sets out a minimum provision of support for victims of rape which would require that there be 150 Rape Crisis Centres in England and Wales. 🚨 It’s simply unacceptable that a country like mine falls so far short of the minimum standards set across Europe.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
📋❤️✍🏻 So on #IWD2019, I encourage you to sign Fern’s petition 👆🏻LINK IN BIO👆🏻and demand that Theresa May guarantees sustained 💰 funding for rape crisis support services, 💌 so the survivors of sexual violence can access the support they need. ⠀⠀⠀⠀⠀⠀⠀⠀⠀
🔗📋✍🏻 tinyurl.com/FernsPetition
⠀⠀⠀⠀⠀⠀⠀⠀⠀
💪🏻👩🏼 These are the words of 25-year-old Fern Champion, who was raped in 2016 and has launched a petition 💌 asking the Prime Minister to ensure that specialist rape counselling support is always available for everyone who seeks it:
⠀⠀⠀⠀⠀⠀⠀⠀⠀
🤲🏻 💔 “By not adequately funding support services this Government is telling survivors that their recovery does not matter and by extension that they do not matter. When you have been raped, the vital, life-saving counselling should just be there when you need it.” 🙌🏻❤️👏🏻
⠀⠀⠀⠀⠀⠀⠀⠀⠀
☎️ RAPE CRISIS NATIONAL HELPLINE: 0808 802 9999 (rapecrisis.org.uk)","['IWD2019', 'metoo']",1552033174
6,BuvQFD-Aoyg,emmawatson,https://instagram.fdel3-1.fna.fbcdn.net/vp/0e27685aaec8c9d258cbbc27e4782fba/5DAFCBB8/t51.2885-15/e35/52147161_569107583597526_2254441309534510120_n.jpg?_nc_ht=instagram.fdel3-1.fna.fbcdn.net&se=7&ig_cache_key=MTk5NDg4Mzg3NjU1MTU2MDM1Mg%3D%3D.2,3815100,False,9986,1080,1080,"Whether you’re 🥁marching, 💃🏻dancing, 🌹rising, ✊🏻resisting, 💥protesting, 🚫striking, ❤️uniting or 🎈celebrating, wishing you all a wonderful #internationalwomensday! 🥰 #IWD2019 #joyfulwarriors","['joyfulwarriors', 'IWD2019', 'internationalwomensday']",1552028711
7,BuuZgmoAGl_,emmawatson,https://instagram.fdel3-1.fna.fbcdn.net/vp/1a43c95f9646aec463ca52f62cccf61d/5DAB98D4/t51.2885-15/e35/53081202_363367570973683_6582520552339035378_n.jpg?_nc_ht=instagram.fdel3-1.fna.fbcdn.net&se=7&ig_cache_key=MTk5NDY0Mzg3NjYzMTA0NjUyNw%3D%3D.2,1825684,False,6610,1080,1080,"🛍 It's a minefield out there in the fashion world !! Fair trade, organic, sustainable, ethical, vegan, carbon neutral, artisanal, fast fashion, slow fashion. What does it all mean?! 🤷🏼‍♀️ Does it matter? What matters most? How do I choose? What is green washing? Which information or recommendations do I trust? 🥳 I was SO happy (and relieved!) to find the @goodonyou_app team because their app made the information easy and accessible for me.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
They take into account information from over 50 certification schemes, standard systems and NGO rating projects. Then they break down and rate brands based on their impact on 🧵 labour, 🌳 the environment and 🐑 animals, rating them either 'Great', 'Good', 'It's a Start', 'Not Good Enough' and 'We Avoid'. They also suggest ethical alternatives to anything you might be looking for.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
Their articles are also brilliant, up to date and on the button. You can also favourite any brands you want to remember. 🤳🏼👩🏼‍💻 Check them out 😎",[],1552000101
8,Bun4mbxApGg,emmawatson,https://instagram.fdel3-1.fna.fbcdn.net/vp/4f4fb56bc1bd6619c963eba887244e37/5DA6EF00/t51.2885-15/e35/53043903_1483868438417244_972208726915233022_n.jpg?_nc_ht=instagram.fdel3-1.fna.fbcdn.net&se=7&ig_cache_key=MTk5MjgxMDI5MTg5Mjc1MjgwMA%3D%3D.2,909709,False,1511,1083,1080,"🌻✨✌🏻 So honoured to be working alongside Nobel Peace Laureates @nadia_murad_taha, @drdenismukwege @ouidedbouchamaoui, and other 🧠 thought leaders, 🌈 creatives and 🌱💪🏻 campaigners such as @AranyaJohar Assia Benziane @missaissa as part of the Gender Equality Council advising the G7 this year during the French Presidency. 💐 It's a source of sadness to us all that Nasrin Sotoudeh can only participate in absentia. ⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀
🤲🏻💞 Together we’ll be continuing the work of the first Council convened last year in Canada and will be pushing G7 states and others to do more to make gender equality a reality at home and abroad. ⏰ At a time when many might feel a loss of confidence in politicians and the state, it's easy to forget how vital 🗳 national governments and👩🏼‍⚖️ legislation are in the ⚙️ wheel of factors that create meaningful and lasting change.♟📰 ⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀
❤️🚨 Disengaging is quite simply not an option when in many parts of the world, we're seeing roll-backs 🕰🔙 on women and girls' rights and 🚫💰 cutbacks and corrosions to the basic state services that guarantee these rights. ⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀
🙋🏼‍♀️ As a Council, we’ll be recommending ways that states can improve their laws 🔎📜✍🏻 to strengthen women’s rights and will be encouraging them to make new commitments to ensure accountability and access to justice. 🗣⚖️ ⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀
🏃🏼‍♀️💨 The clock is ticking though and we have a lot of work to do before the G7 meets in the summer, ⏳☀️ but I'm excited to work alongside so many experts I admire, and to learn from my Council colleagues and the civil society groups that come together as W7. ✊🏻💛
⠀⠀⠀⠀⠀⠀⠀⠀⠀
As one of the youngest members of the group, 🍃🌸 I hope to bring the perspective of different generations to the table, as well as ensuring that the voices of the many activists, campaigners, women's organisations and movements that I've spent the past years working with and👂🏻💓 listening to, reverberate through the Council's work. 🎶🌼
⠀⠀⠀⠀⠀⠀⠀⠀⠀
@g7 #g7biarritz",['g7biarritz'],1551781520
9,Bun4lYOgKqU,emmawatson,https://instagram.fdel3-1.fna.fbcdn.net/vp/64292a1afabc10718495d8df4dbe7168/5DC48BDF/t51.2885-15/e35/52504219_1230038173830197_1998405384902010984_n.jpg?_nc_ht=instagram.fdel3-1.fna.fbcdn.net&se=7&ig_cache_key=MTk5MjgxMDIxOTM3MzExMTk1Ng%3D%3D.2,1390995,False,1795,1080,1080,"🌻✨✌🏻 So honoured to be working alongside Nobel Peace Laureates @nadia_murad_taha, @drdenismukwege @ouidedbouchamaoui, and other 🧠 thought leaders, 🌈 creatives and 🌱💪🏻 campaigners such as @AranyaJohar Assia Benziane @missaissa as part of the Gender Equality Council advising the G7 this year during the French Presidency. 💐 It's a source of sadness to us all that Nasrin Sotoudeh can only participate in absentia. ⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀
🤲🏻💞 Together we’ll be continuing the work of the first Council convened last year in Canada and will be pushing G7 states and others to do more to make gender equality a reality at home and abroad. ⏰ At a time when many might feel a loss of confidence in politicians and the state, it's easy to forget how vital 🗳 national governments and👩🏼‍⚖️ legislation are in the ⚙️ wheel of factors that create meaningful and lasting change.♟📰 ⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀
❤️🚨 Disengaging is quite simply not an option when in many parts of the world, we're seeing roll-backs 🕰🔙 on women and girls' rights and 🚫💰 cutbacks and corrosions to the basic state services that guarantee these rights. ⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀
🙋🏼‍♀️ As a Council, we’ll be recommending ways that states can improve their laws 🔎📜✍🏻 to strengthen women’s rights and will be encouraging them to make new commitments to ensure accountability and access to justice. 🗣⚖️ ⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀
🏃🏼‍♀️💨 The clock is ticking though and we have a lot of work to do before the G7 meets in the summer, ⏳☀️ but I'm excited to work alongside so many experts I admire, and to learn from my Council colleagues and the civil society groups that come together as W7. ✊🏻💛
⠀⠀⠀⠀⠀⠀⠀⠀⠀
As one of the youngest members of the group, 🍃🌸 I hope to bring the perspective of different generations to the table, as well as ensuring that the voices of the many activists, campaigners, women's organisations and movements that I've spent the past years working with and👂🏻💓 listening to, reverberate through the Council's work. 🎶🌼
⠀⠀⠀⠀⠀⠀⠀⠀⠀
@g7 #g7biarritz",['g7biarritz'],1551781512
