,shortcode,username,display_url,edge_media_preview_like,comments_disabled,edge_media_to_comment,dimensions_height,dimensions_width,edge_media_to_caption,tags,taken_at_timestamp
0,BzIpOAYiwbx,expertvagabond,https://scontent-bom1-2.cdninstagram.com/vp/70f8c467c6fbda98ca789bbde7424d25/5DAF0FE5/t51.2885-15/e35/p1080x1080/65398505_143459843502676_8023379192126293391_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3NDA4ODkxMDc5NTUwNzQ0MQ%3D%3D.2,3551,False,60,1350,1080,"MOUNTAIN TOWNS 🏔
—
Italy’s South Tyrol region is full of idyllic little villages, old churches, fields of wildflowers and even the occasional castle. Framed by the incredible #Dolomites.
—
I climbed up a hill past flocks of sheep for the sunset, and was not disappointed! 🤗",['Dolomites'],1561470687
1,BzDSRIwipc2,expertvagabond,https://scontent-bom1-2.cdninstagram.com/vp/204ef23d1216857cc4f365550b335049/5DAB6704/t51.2885-15/e35/p1080x1080/62526825_364305504235606_7932548652553707241_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3MjU4MDU5NTk5MzE4ODE1MA%3D%3D.2,3145,False,66,1350,1080,"WHAT’S INSIDE MY CAMERA BAG? 🤷‍♂️
—
To help answer the questions about “what camera do you use”, I’ve put together a detailed list of all my travel photography gear!
—
Lenses, microphones, tripods, and more. There’s even a winter jacket for my camera! ⛄️
—
CLICK LINK IN BIO ⤴️ to read the full blog post. 👍🏼
—
What camera do YOU use? 😜",[],1561290882
2,By-1nWri7tE,expertvagabond,https://scontent-bom1-2.cdninstagram.com/vp/0148fd0fea69fe3bd07a91a97714d275/5DB96E97/t51.2885-15/e35/p1080x1080/64450898_2425404890814333_8713864180822519926_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3MTMyODY3OTUxNDU4NTkyNA%3D%3D.2,2888,False,45,1350,1080,"The morning fishing commute in #Mauritius. 🎣
—
How do you get to work? When I lived in Florida, my morning commute to Miami took 1-2 hours, depending on how many accidents there were that day. 😑
—
These days I just roll out of bed, make a coffee, and sit at my desk in pajamas for a few hours. It’s much nicer!
—
If I’m shooting photos though, I’m often up before sunrise to reach a location before the sun actually rises. 🌞
—
Early morning is my favorite time of day. Quiet, peaceful, and relaxing. Are you a morning person or night owl? 🦉
—
🚁 Shot on DJI Mavic 2 Pro",['Mauritius'],1561141642
3,ByvJGURCVVA,expertvagabond,https://scontent-bom1-2.cdninstagram.com/vp/4888f64f36d493415572ed1b9926116c/5DA15639/t51.2885-15/e35/p1080x1080/62184986_387617335187044_2341405795042641634_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2NjkxMDc3MDQ4MjQ2ODE2MA%3D%3D.2,4087,False,95,1350,1080,"UNDERWATER WATERFALL?! 🌴
—
This is one of the coolest things I’ve ever seen! On the Southwest corner of Mauritius there’s a beautiful turquoise lagoon. The ocean floor suddenly drops 13,000 ft (4000m) creating the optical illusion of a waterfall, underwater... 🤗
—
There are regular helicopter & seaplane flights that will give you this epic viewpoint. 🚁
—
#mauritius #opticalillusions","['mauritius', 'opticalillusions']",1560614986
4,ByqTkfsirZI,expertvagabond,https://scontent-bom1-2.cdninstagram.com/vp/08e112073cfdaf5a73ae3a89672a9912/5DC47C02/t51.2885-15/e35/p1080x1080/62457126_2130675893890949_4004312408856830471_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2NTU0OTQ0OTkyMDk1MTg4MA%3D%3D.2,3009,False,68,1350,1080,"DYLAN’s FIRST ADVENTURE
—
To celebrate 2 months with this little guy, @anna.everywhere & I took our first proper family vacation to the African island of #Mauritius! 🇲🇺
—
Traveling with a baby has been a learning experience for sure. But we’re getting the hang of it.
—
It takes a bit more planning, and we have to pack more stuff, but so far he’s been doing great!
—
#babytravel #adventurebaby","['babytravel', 'adventurebaby', 'Mauritius']",1560452704
5,BynShgciQ6f,expertvagabond,https://scontent-bom1-2.cdninstagram.com/vp/2e9143c438c51ba9a28c4bdd80e8d739/5DBCEBBE/t51.2885-15/e35/p1080x1080/62253743_368586057135808_6299344475776092888_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2NDcwMDQyMTU5MTA3NjUxMQ%3D%3D.2,5322,False,105,1350,1080,"VENICE BOOKSTORE 📚
—
This cramped little bookstore in Venice was one of my favorite stops.
—
Libreria Acqua Alta has books packed in every corner. There’s even tubs and boats full of books to protect them from the city’s constant flooding!
—
Keep an eye out for the store’s resident cats too. 🐈
—
Does that mannequin in the background seem especially excited about books to anyone? 🍆😆
—
#veniceitaly #bookstore","['veniceitaly', 'bookstore']",1560351492
6,ByK9WWsCKsx,expertvagabond,https://scontent-bom1-2.cdninstagram.com/vp/85bb4e592d610e5dcbb87338c830d8b1/5DA86447/t51.2885-15/e35/p1080x1080/60388143_188193348776935_2022187773690464212_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1NjcyNTk5Njg3NDgwNDAxNw%3D%3D.2,4971,False,91,1350,1080,"The massive Italian #Dolomites putting things into perspective. 🏔🤗
—
This is Chiesetta di San Giovanni in Ranui, a small private chapel hidden in Italy’s Val di Funes. ⛪️",['Dolomites'],1559400866
7,ByGLtjYiN0X,expertvagabond,https://scontent-bom1-2.cdninstagram.com/vp/88836f638649f3cf95c848706e462cb2/5DB443F9/t51.2885-15/e35/p1080x1080/62024413_888141121519414_7311625471906509871_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1NTM4MTc4ODgyMTg3MTg5NQ%3D%3D.2,3535,False,33,1350,1080,"A quiet morning in Venice -- Italy's floating city. 🇮🇹
—
Well, floating for now. A climate study has warned that #Venice will be underwater by 2100 because the Mediterranean Sea is expected to rise over four feet! 😲",['Venice'],1559240624
8,Bx7XBZRi-ob,expertvagabond,https://scontent-bom1-2.cdninstagram.com/vp/1e6ce81fba599b56275755b91e2de97a/5DA2AAA4/t51.2885-15/e35/p1080x1080/60801874_333904313941640_8046013019432750696_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1MjMzNTMwNjEyNDU1MjczMQ%3D%3D.2,4751,False,74,1350,1080,"Summer in Italy has officially begun! Before the crowds got too crazy, @anna.everywhere and I took a road trip up the Amalfi Coast.
—
This is #Positano, a former fishing village that has become one of the most photogenic places in Italy. 🇮🇹
—
You can rent small boats here  and cruise along the beautiful coastline (with or without a captain). It was super fun! 🚤",['Positano'],1558877455
9,Bw39yWtFtdN,expertvagabond,https://scontent-bom1-2.cdninstagram.com/vp/4e5332deb451755467b3df207af654a7/5DB9A0E2/t51.2885-15/e35/58468491_133242071079074_2739286300428372876_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjAzMzM2NTQ5Nzk3MDg3NDE4OQ%3D%3D.2,3912,False,72,1350,1080,"THE ALHAMBRA PALACE - SPAIN 🇪🇸
—
I once spent a few months living in the Spanish city of Granada. It’s a very pretty place with an interesting mix of Arabic & Renaissance architecture, the snow-covered Sierra Nevada mountains nearby, as well as a community of Roma (“gypsies”) who live in caves. In fact, I even spent a night squatting in one of those caves... 🕌
—
In my latest blog post, I share tips for fun things to do in Granada — go check it out using the link in my bio! 👍🏼",[],1556616078
