,shortcode,username,display_url,edge_media_preview_like,comments_disabled,edge_media_to_comment,dimensions_height,dimensions_width,edge_media_to_caption,tags,taken_at_timestamp
0,BzNx1BXpwX0,gypsea_lust,https://scontent-bom1-2.cdninstagram.com/vp/85cd12d7c4c5c462fc0004ef129c46ce/5DC4EB91/t51.2885-15/e35/p1080x1080/64596950_339648116710320_1270119185115690965_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3NTUzNDE1MTE2OTU0MTYyMA%3D%3D.2,45532,False,323,1350,1080,"Summer mood 🦎 
#Italy #Amalfi #doyoutravelpresets","['Amalfi', 'Italy', 'doyoutravelpresets']",1561642973
1,BzId2oSJ3Qv,gypsea_lust,https://scontent-bom1-2.cdninstagram.com/vp/6357211100d63ee10c270fd2ef3e6794/5DC07A6E/t51.2885-15/e35/p1080x1080/65021046_2587188584835478_7409301327398012058_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3NDAzODkyNTg1ODkyNzY2Mw%3D%3D.2,82323,False,982,1349,1080,"Hello European Summer 🇮🇹
It’s our first time exploring the Amalfi coast & we are also the first ones to be driving these vibey vintage Fiat 500 Jolly ‘Spiaggina’ Icon-e by @GarageItalia @Hertz
Couldn’t think of a better way to cruise this coastline, soaking up the Italian sun with Mio Amore ❤️ @hertz_it
#Hertz #HertzSelezioneItalia #SpiagginaOnTheRoad","['SpiagginaOnTheRoad', 'Hertz', 'HertzSelezioneItalia']",1561464728
2,BzBDKPjJBJ1,gypsea_lust,https://scontent-bom1-2.cdninstagram.com/vp/f104d9bca6e85664c0c2e9ac9094bfe7/5DA189FA/t51.2885-15/e35/p1080x1080/64864105_1878382652262005_2818839053536944743_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3MTk1MTIwMTU5NzEzMzQyOQ%3D%3D.2,34520,False,289,1350,1080,"Any guesses to who one was the ‘naughty’ and who was the ‘nice’ 👯‍♀️
#Bali #Twins #doyoutravelpresets","['doyoutravelpresets', 'Twins', 'Bali']",1561215852
3,By6PRtzJdOv,gypsea_lust,https://scontent-bom1-2.cdninstagram.com/vp/8b20cfa6a6a27f085ecf502659cecef1/5DAE6193/t51.2885-15/e35/p1080x1080/62585411_409822662949421_3214947014256222580_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3MDAzNDE2NjgzNTQzNDQxNQ%3D%3D.2,50532,False,429,1350,1080,"Havana; a place I can’t describe.. you have to go to feel it 🌙
@doyoutravelpresets #doyoutravelpresets 
Scrolling through my camera roll & I found this photo from Cuba, I edited it on my phone using LR mobile & our Summer Collection presets 👌🏼",['doyoutravelpresets'],1560987324
4,By2t56_pvs_,gypsea_lust,https://scontent-bom1-2.cdninstagram.com/vp/389350b28555e0acb9017063e7307ab4/5DAE9F8B/t51.2885-15/e35/p1080x1080/65009426_439275706803550_2761124110123130180_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2OTA0Mjk3MTI3MTQyODkyNw%3D%3D.2,52252,False,486,1349,1080,"After almost 3 years of living here, there’s still so much to explore.. my happy place🌜#doyoutravelpresets #Bali","['doyoutravelpresets', 'Bali']",1560869164
5,Byh41KnpUJZ,gypsea_lust,https://scontent-bom1-2.cdninstagram.com/vp/1966e3da6bbc9969799c61a46122844d/5DC62683/t51.2885-15/e35/p1080x1080/64590044_148708399589589_5879775720802518998_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2MzE4MDA0ODQ1MTg0Njc0NQ%3D%3D.2,62949,False,491,1350,1080,"Escaped to the jungle for the night 🦅
-
#doyoutravelpresets #Bali","['doyoutravelpresets', 'Bali']",1560170249
6,ByFy8ceJJFx,gypsea_lust,https://scontent-bom1-2.cdninstagram.com/vp/d63118cc522a87a7c160e60871a8f1d8/5DA49C7A/t51.2885-15/e35/p1080x1080/61552311_1393736790765094_4932678592995322188_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1NTI3Mjg2MTAyOTE0Mjg5Nw%3D%3D.2,51473,False,552,1350,1080,"That sun-kissed island life 😘
Pc- @josiahwg
#Coron #Philippines #Doyoutravelpresets","['Coron', 'Philippines', 'Doyoutravelpresets']",1559227639
7,ByDLxHjJYEI,gypsea_lust,https://scontent-bom1-2.cdninstagram.com/vp/5544fb06159da4106dc5149dca00b921/5D9FE3DD/t51.2885-15/e35/p1080x1080/60778657_135031654263953_5919236487885977350_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1NDUzNzYwODg4MjkxMzU0NA%3D%3D.2,37782,False,369,1311,1080,Island Puppa 🌴🐶,[],1559139990
8,Bx8sAMWJOw5,gypsea_lust,https://scontent-bom1-2.cdninstagram.com/vp/5e44751a1333dd5c2fd3e0a769aacda5/5DBE68DF/t51.2885-15/e35/p1080x1080/60586848_451976982247331_8794346326703604156_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1MjcwOTA1NzQ3NzAxMjUzNw%3D%3D.2,55847,False,488,1350,1080,"This is how we do Sundays in the Philippines 🥥🌴 #Coron #Philippines #doyoutravelpresets
📷 @josiahwg","['doyoutravelpresets', 'Coron', 'Philippines']",1558922010
9,Bx5GgQgpoB8,gypsea_lust,https://scontent-bom1-2.cdninstagram.com/vp/c88d4f96632bb5dc8cd4de2b66669684/5DB5C22D/t51.2885-15/e35/p1080x1080/60123916_335697237115371_3607217043494196598_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1MTY5OTcxMDI3Mzk0NTcyNA%3D%3D.2,82651,False,824,1221,1080,"You be the sun, & I’ll be the moon 🌕🌖🌗
Thank you @josiahwg for capturing moments perfectly 😚",[],1558801686
