,shortcode,username,display_url,edge_media_preview_like,comments_disabled,edge_media_to_comment,dimensions_height,dimensions_width,edge_media_to_caption,tags,taken_at_timestamp
0,BzObIFwA64N,hotravechicks,https://scontent-bom1-2.cdninstagram.com/vp/2597fb8137cc935b5ce0308458d2e147/5DA8F63F/t51.2885-15/e35/p1080x1080/64472852_430667514331034_6759008627958949472_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3NTcxNTc4MTQ1MDI0NzY5Mw%3D%3D.2,322,False,6,1209,1080,".
.
🍑💯🙌🏻🙏
.
.
‼️✅F*#!k yeah😮. Check out the 🍑 on @edcashly 😛😋😍. .
.
If would like to be featured on our page .....send us your best rave pics🍑🍭🦋",[],1561664625
1,BzIojrZARiw,hotravechicks,https://scontent-bom1-2.cdninstagram.com/vp/e51f25e32febadba7ce3f1349cfe23ba/5DA7A2D8/t51.2885-15/e35/s1080x1080/65635938_340667056824276_4920601095591986516_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3NDA4NjAwMjAzNjY0NDAxNg%3D%3D.2,289,False,3,1080,1080,".
.
🙌🏻💯Happy Tuesday😋🍑
.
.
😮‼️Some amazing 🍑from @koryowleyes 😍😛🙏.
.
.
If would like to be featured on our page .....send us your best rave pics🍑🍭🦋",[],1561470340
2,BzGTR8fAO76,hotravechicks,https://scontent-bom1-2.cdninstagram.com/vp/b0e7b2ad1e366f23301a07be50675df6/5DA0A525/t51.2885-15/e35/65387177_1020843424972771_7002710836184779972_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3MzQyOTQ3NDUxMDE3MTg5OA%3D%3D.2,305,False,7,1080,1080,".
.
☝🏻😍🍑😮
.
.
‼️✅Morning all... here is some stunning RAVE 🍑 from @savymeow 😛😋😋 @edc_lasvegas ‼️
.
.
If would like to be featured on our page .....send us your best rave pics🍑🍭🦋",[],1561392076
3,By50YNSABGz,hotravechicks,https://scontent-bom1-2.cdninstagram.com/vp/b68500be805a540a9d711cf5cf5448db/5DC6D7AA/t51.2885-15/e35/p1080x1080/64377464_605019129907205_5493534287711943102_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2OTkxNTg2NTcwMDExMDc3MQ%3D%3D.2,183,False,1,1350,1080,".
.
☝🏻🤗🍑🔥
.
.
✅😍Check out the 🍑 on @taylorsbruno 🙌🏻💯
.
.
If would like to be featured on our page .....send us your best rave pics🍑🍭🦋",[],1560973221
4,By0JaAdgC0-,hotravechicks,https://scontent-bom1-2.cdninstagram.com/vp/c40edcae1e547fb2d585717e341cf913/5DB638EC/t51.2885-15/e35/62375445_455314228366009_4204030305129330760_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2ODMxOTQ5ODQ4OTgzNDgxNA%3D%3D.2,202,False,1,1080,1080,".
.
😮☝🏻💯🙏
.
.
😉‼️Check out @hannahhderrick @edc_lasvegas ✅🙏
.
.
If would like to be featured on our page .....send us your best rave pics🍑🍭🦋",[],1560782919
5,BysUNi7gv2P,hotravechicks,https://scontent-bom1-2.cdninstagram.com/vp/308c31fcbc98e92d70e8503b8aede487/5DBD6E87/t51.2885-15/e35/61638430_119211519312675_1121145357882484190_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA2NjExNTIyMDg0NTI5NzAzOQ%3D%3D.2,26,False,2,1080,1080,"🚨 Giveaway Alert 🚨

We’ve teamed up with @escapademf to give away TWO 2-DAY GA WRISTBANDS to the festival and 2 FREE portable chargers for the weekend⚡️
Here’s how you can enter:

1. Follow @swftcharger & @escapademf
2. Tag your friends 
3. SHARE this post on your story

More entries = better chances!

Check out the link @swftcharger bio to stay charged up at your fav festivals and stay tuned for many more ticket giveaways this summer! 😍

Rules:
- No purchase necessary
- Winners announced June 19th",[],1560520149
6,Byk7a0rgCNh,hotravechicks,https://scontent-bom1-2.cdninstagram.com/vp/25cdc654ed1b39a95efab91884c451a9/5DC0DA9E/t51.2885-15/e35/p1080x1080/64560433_136392637549684_5014040452554478843_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2NDAzNTg1NzI1NzQ3Mjg2NQ%3D%3D.2,711,False,8,1089,1080,".
.
🍑🙌🏻✅😉
.
.
😍‼️Happy Tuesday💯. Some lovely RAVE 🍑 here for your day😮🙏
.
.
If would like to be featured on our page .....send us your best rave pics🍑🍭🦋",[],1560272269
7,ByiILHAAuMQ,hotravechicks,https://scontent-bom1-2.cdninstagram.com/vp/b84cd6a1c214dbcbf748fcb4587a23df/5DA63E87/t51.2885-15/e35/62629498_539574716575607_8300612662302733338_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=8&ig_cache_key=MjA2MzI0NzUyNzA5MTgyMzM3Ng%3D%3D.2,251,False,2,1080,1080,".
.
😮☝🏻🤗🍑
.
.
✅🙏Loving this gorgeous 🍑 from @chrisssymarie ‼️💯
.
.
If would like to be featured on our page .....send us your best rave pics🍑🍭🦋",[],1560178293
8,BydDiZOAlU-,hotravechicks,https://scontent-bom1-2.cdninstagram.com/vp/3bf7b6a3d58193c5be3c9de1ed9454e3/5DA0CA03/t51.2885-15/e35/61777355_495275511278307_750136533514988097_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2MTgxOTc2MjA4NTg3NzA1NA%3D%3D.2,369,False,6,750,750,".
.
😍🍑🍑😍
.
.
🙏✅What an amazing rave 🍑‼️💯. So, so 🔥 🔥 🔥🤗‼️. @mollyoceanseebeck .
.
Happy Saturday💙🙌🏻☝🏻
.
.
If would like to be featured on our page .....send us your best rave pics🍑🍭🦋",[],1560008090
9,ByaS9MVgsQy,hotravechicks,https://scontent-bom1-2.cdninstagram.com/vp/17ddf86d384c3cc7a5b8d63ba880cdd9/5DA41ED8/t51.2885-15/e35/62431106_412056219642295_4121524371049828332_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA2MTA0MzE0OTQ0NjQ5NzMzMA%3D%3D.2,453,False,7,1080,1080,".
.
😍‼️Look at these RAVE hotties😋💯
.
.
💙💯These beauties @dplurprincess ✅🤗
.
.
If would like to be featured on our page .....send us your best rave pics🍑🍭🦋",[],1559915511
