,shortcode,username,display_url,edge_media_preview_like,comments_disabled,edge_media_to_comment,dimensions_height,dimensions_width,edge_media_to_caption,tags,taken_at_timestamp
0,BzNos5EHtOy,juliahengel,https://scontent-bom1-2.cdninstagram.com/vp/adf842f645e17f61502696e7074a3836/5DAF0E53/t51.2885-15/e35/p1080x1080/62154564_382717775695410_552297601021990153_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3NTQ5NDAxMDA3NzUwMDMzOA%3D%3D.2,12039,False,68,1350,1080,"A little over a year ago, the four of us (us two plus husbands) sat in a small Italian restaurant in London drinking wine and chatting about life and friendship. We had a long conversation about how wonderful it would be to have children who could grow up together and even though living in separate countries, still become best friends, as we have. Fast forward to now, @rosielondoner and her husband with their sweet little Lily and our baby girl on the way...we never could have dreamed that in a year we’d be here! Such a special time to share together while we were in London at the end of last month. 🌿 More of our picnic in Hyde Park over on galmeetsglam.com today #hydepark #london #summertime #gmgonme #gmgcollection","['hydepark', 'london', 'gmgcollection', 'gmgonme', 'summertime']",1561638188
1,BzLNKywH_9E,juliahengel,https://scontent-bom1-2.cdninstagram.com/vp/bb6c3839c43bb86dfa7a85bacc7779af/5DADE418/t51.2885-15/e35/p1080x1080/61711955_239561483667628_4991431333029268706_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3NDgwOTk2OTYyODE1MTYyMA%3D%3D.2,12218,False,137,1350,1080,Brought out all the bright colors for our last night in Mallorca. I shared the rest of our photos from our babymoon in Spain over on galmeetsglam.com last week- link in my profile to the post! #mallorca #spain #summerbrights #pregnancystyle #belmondlaresidencia,"['summerbrights', 'pregnancystyle', 'spain', 'mallorca', 'belmondlaresidencia']",1561556644
2,BzF2ZsunmbC,juliahengel,https://scontent-bom1-2.cdninstagram.com/vp/009c166d96bbc9fabf35bc412f46ab29/5DC47E71/t51.2885-15/e35/p1080x1080/64412498_141851146919597_939242518639629952_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3MzMwMjQ2Mzk5OTI3MjY0Mg%3D%3D.2,21090,False,126,1350,1080,On our way home from the most wonderful week in Ireland celebrating my sister and brother in law! Now time to get ready for baby! (I’m wearing our @galmeetsglam Joanna dress) #justthethreeofus #32weeks #ireland #murloughbeach #gmgonme #gmgcollection,"['gmgcollection', 'gmgonme', 'ireland', 'murloughbeach', '32weeks', 'justthethreeofus']",1561376935
3,By-928kn9pO,juliahengel,https://scontent-bom1-2.cdninstagram.com/vp/c99cdeaa7c2d0ed9c0e4d3b31ced51f0/5DA463C1/t51.2885-15/e35/p1080x1080/62126599_121064572458779_1740664410839913451_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3MTM2NDkzNTM2NDg5MzI2Mg%3D%3D.2,21220,False,167,1350,1080,Happy first day of Summer 🌸☀️🌿🌼 Wildflowers after the rain in Ireland #firstdayofsummer #portrush #ireland #wildflowers #aftertherain,"['wildflowers', 'firstdayofsummer', 'aftertherain', 'ireland', 'portrush']",1561145964
4,By8wenBHYjr,juliahengel,https://scontent-bom1-2.cdninstagram.com/vp/9c976ff1053740803c8b555d45e8f89f/5DADED8A/t51.2885-15/e35/p1080x1080/62910027_385136962114334_7876554234233580725_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3MDc0MzEzODM5NTA2NDU1NQ%3D%3D.2,16294,False,88,1350,1080,They made me smile 🌼🌼🌼 #daisies #summertime #happinessinnature,"['summertime', 'happinessinnature', 'daisies']",1561071840
5,By5JOltnngg,juliahengel,https://scontent-bom1-2.cdninstagram.com/vp/4e795fb700a1edfc0440cd62c642a8f7/5DAB02AF/t51.2885-15/e35/p1080x1080/62422579_143023303430226_4195695723686789627_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2OTcyNjA4ODczODUzNTQ1Ng%3D%3D.2,13628,False,93,1350,1080,Jasmine everywhere! Recapping part two of our babymoon in Mallorca over on galmeetsglam.com today 🌼🌼🌼 link in my profile to the post! #babymoon #mallorca #deia #spain,"['deia', 'spain', 'babymoon', 'mallorca']",1560950598
6,By2Yt5Rn4fH,juliahengel,https://scontent-bom1-2.cdninstagram.com/vp/3242ef9d6addd8d40fd6ceafe2820584/5DC6C6CF/t51.2885-15/e35/p1080x1080/64573769_121227542440997_4160686491665034621_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2ODk0OTc4NTgxNDk5MjgzOQ%3D%3D.2,17578,False,147,1350,1080,Summertime toile 🧺 My uniform for the season: cotton maxi dresses and basket bags (and we might have picked up a few more here in Spain!) Sharing this look in Valldemossa over on galmeetsglam.com today - link in my profile. #summerstyle #toileprint #maxidresses #summerdresses #spain #valldemossa #mallorca #gmgonme #gmgcollection,"['toileprint', 'valldemossa', 'summerdresses', 'gmgcollection', 'maxidresses', 'spain', 'gmgonme', 'summerstyle', 'mallorca']",1560858055
7,ByxoWm8Hm_i,juliahengel,https://scontent-bom1-2.cdninstagram.com/vp/72f82813a1c909e6716efaead71e9d51/5DBBC500/t51.2885-15/e35/p1080x1080/61759298_2049630535344447_793987832595672142_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2NzYxMTE3OTQzOTUxNzY2Ng%3D%3D.2,18428,False,78,1350,1080,My everything. You’re going to be the most amazing father to our little girl. The both of us are so lucky to have you. @tberolz We love you! #mylove #soontobefather #gmgcollection #gmgonme,"['mylove', 'gmgcollection', 'gmgonme', 'soontobefather']",1560698481
8,BywFwFxnq0z,juliahengel,https://scontent-bom1-2.cdninstagram.com/vp/001fa417487bf1356a82bde09944fa90/5DB4E9C8/t51.2885-15/e35/p1080x1080/61621340_2315081615372100_2182666792527934633_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2NzE3NzUyMzkzMTY4ODI0Mw%3D%3D.2,19677,False,139,1350,1080,Saturday morning in Carmel 🌿 #carmelbythesea #summerincalifornia,"['carmelbythesea', 'summerincalifornia']",1560646785
9,Byt5hJGHQ5l,juliahengel,https://scontent-bom1-2.cdninstagram.com/vp/df9fbc447075849b41ad14614ede876d/5DA3DF25/t51.2885-15/e35/p1080x1080/61495161_171541453868742_357448952081479554_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2NjU2MDc3MDE5MzAzNDg1Mw%3D%3D.2,15090,False,76,1350,1080,"Back in one of our favorite places. Next time we’ll be here at the end of the year, we will have our new little travel buddy with us! #asilomarbeach #sunset #california","['sunset', 'california', 'asilomarbeach']",1560573262
