,shortcode,username,display_url,edge_media_preview_like,comments_disabled,edge_media_to_comment,dimensions_height,dimensions_width,edge_media_to_caption,tags,taken_at_timestamp
0,By2m5UoDNq5,kendalljenner,https://scontent-bom1-2.cdninstagram.com/vp/aaf000b267f6038bb8eb57e0c17f60c1/5DC5EC5B/t51.2885-15/e35/p1080x1080/62410083_451937462021396_5040203303969783054_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2OTAxMjE0Mzc0NzY4NTA0OQ%3D%3D.2,3762398,False,23157,1350,1080,++ One of my favorite @ksubi #ksubi,['ksubi'],1560865489
1,Byx-Muqjh2A,kendalljenner,https://scontent-bom1-2.cdninstagram.com/vp/35328dd8ea14f36fed3e35b020e66183/5DB1DD04/t51.2885-15/e35/p1080x1080/62029588_142433456833401_1859385476973059311_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2NzcwNzI1NzU2MzI1ODI0MA%3D%3D.2,1977825,True,1190,1329,1080,❤️,[],1560709934
2,BxzrO9ljj1O,kendalljenner,https://scontent-bom1-2.cdninstagram.com/vp/02316ba701ae2d3a869f19f5612d9f9c/5DBCE1F1/t51.2885-15/e35/p1080x1080/59935857_2300163656925481_3528370076353944939_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1MDE3MjM5OTU4NDY4OTQ4Ng%3D%3D.2,3987424,False,20219,1350,1080,cranberry legs,[],1558619616
3,BxuwKoIjOCB,kendalljenner,https://scontent-bom1-2.cdninstagram.com/vp/ab33a5c54283f8ceac25bf0a8d66ecf2/5DB4DE4D/t51.2885-15/e35/p1080x1080/59839864_322583315080115_3815808895171130868_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA0ODc4NjcxNzAyMDU3NzkyMQ%3D%3D.2,1848354,False,14224,1200,1080,I’ve been able to maintain clear skin thanks to Proactiv. I’m on the ProactivMD system. Try the one that’s right for you! link in my bio. #proactiv_ambassador,['proactiv_ambassador'],1558454430
4,Bxpoz9gnKGQ,kendalljenner,https://scontent-bom1-2.cdninstagram.com/vp/7ff09157b5fa8ddcaa951a4378815a2f/5DC45E21/t51.2885-15/e35/p1080x1080/61259026_170336757313657_679017925624925216_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA0NzM0Njk5ODIxNTc0NTkzNg%3D%3D.2,4547651,False,30125,1334,1080,throwback,[],1558282802
5,BxfM7vBjngc,kendalljenner,https://scontent-bom1-2.cdninstagram.com/vp/9e0a31cab374031fbff56ddcfc315a11/5DA33357/t51.2885-15/e35/p1080x1080/59633464_334098627281168_4553227932939575879_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA0NDQwOTYzNzM0ODczNTAwNA%3D%3D.2,1865655,False,7921,1350,1080,@voguemagazine by @oliverhadleepearch,[],1557932642
6,Bxct5afjoO3,kendalljenner,https://scontent-bom1-2.cdninstagram.com/vp/57a65f6c1b5e905a688eae600011f3d6/5DA3724A/t51.2885-15/e35/s1080x1080/59039760_608937066251576_9036571615037687697_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA0MzcxMDE4ODQ2OTI1NzE0Mw%3D%3D.2,4063322,False,22669,750,1080,"click bait? @calvinklein 
#MYTRUTH #MYCALVINS","['MYTRUTH', 'MYCALVINS']",1557849261
7,BxXf1O6jy0r,kendalljenner,https://scontent-bom1-2.cdninstagram.com/vp/bbf4ccef222d034b7addd721022ae25e/5DAFB32D/t51.2885-15/e35/p1080x1080/60421742_674144036362978_3728516449810917250_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA0MjI0MDk1MzYyNDc2Nzc4Nw%3D%3D.2,1658754,True,945,1350,1080,happy mother’s day,[],1557674114
8,BwsPnjwDRCk,kendalljenner,https://scontent-bom1-2.cdninstagram.com/vp/333cda1356c74b21433225002768b7e1/5DA3C2E2/t51.2885-15/e35/56718631_2332313243711182_4006609017178645533_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjAzMDA2NjIyMTE4MTYzNjc3Mg%3D%3D.2,4340103,False,22568,1349,1080,"Can’t stop using my new favorite thing, my @moon whitening pen. 
@moon #MOONbyKendall #moon_partner","['MOONbyKendall', 'moon_partner']",1556222773
9,BwXkMU3jtgZ,kendalljenner,https://scontent-bom1-2.cdninstagram.com/vp/fe820b9dc7c82092870560f14b96be28/5DB96E0D/t51.2885-15/e35/56415654_119442002572102_3227741078972852866_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjAyNDI0NTczNDI0MTM5MjY2NQ%3D%3D.2,2065762,False,16848,1080,1080,NEW 💎 @tiffanyandco campaign #TiffanyT,['TiffanyT'],1555528917
10,BwN_9R5D3RG,kendalljenner,https://scontent-bom1-2.cdninstagram.com/vp/d0c569ff62d316664029d781ab088195/5DB2C311/t51.2885-15/e35/56281740_119340245913533_8843290007729339413_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjAyMTU1MzA5NTc4ODQyNjMxMA%3D%3D.2,1478748,False,11169,1350,1080,@virgilabloh,[],1555207930
11,Bv9eNr5Do19,kendalljenner,https://scontent-bom1-2.cdninstagram.com/vp/1592359b30128554a15afc8a7683507a/5DA4CB6A/t51.2885-15/e35/54513863_818350128563499_6476868928213950605_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjAxNjkwMTA5MDAwODUzNDM5Nw%3D%3D.2,2746386,False,26349,1080,1080,Soho NYC @calvinklein,[],1554653367
12,Bv2hbj6DENV,kendalljenner,https://scontent-bom1-2.cdninstagram.com/vp/4d55c1dd9d38bb1ee0724ce53e140009/5DBE88E9/t51.2885-15/e35/55764837_165188874474025_6197962522068058042_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjAxNDk0NDkxMjgxMDQ1OTk4OQ%3D%3D.2,2485698,False,14449,1341,1080,last night in Sydney with @TiffanyAndCo 💕 #TiffanySydney #TiffanyT #ad,"['TiffanySydney', 'TiffanyT', 'ad']",1554420173
13,Bvjs4QOjJ1X,kendalljenner,https://scontent-bom1-2.cdninstagram.com/vp/8eedf6c2f13b6b52a30eda383e65eafe/5DB727C5/t51.2885-15/e35/54247237_2141909482568046_3880047863214236461_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjAwOTY0NzIzODQ5ODUyNDUwMw%3D%3D.2,1276330,False,12803,1350,1080,⚠️,[],1553788641
14,BvKFb3bDPJj,kendalljenner,https://scontent-bom1-2.cdninstagram.com/vp/53d0167225c3aadc5e4b31522155e76c/5DA28793/t51.2885-15/e35/53543374_637124953385020_1382713053870359463_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjAwMjQzNjg4OTQ4NzY2NzgxMQ%3D%3D.2,4958022,False,43727,1350,1080,sunday’s for the girls,[],1552929100
15,Bu6_Dg7Ddjo,kendalljenner,https://scontent-bom1-2.cdninstagram.com/vp/aa332c7def0e293cb7f0d4312b6ab90c/5DA6E1B2/t51.2885-15/e35/53593527_263411761229365_5657071618673097957_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MTk5ODE4NjcwMzEzMTM2NzY1Ng%3D%3D.2,3659507,False,47102,1350,1080,@kendallandkylie by @sashasamsonova 🐉,[],1552422438
16,BuwbEbzjtKK,kendalljenner,https://scontent-bom1-2.cdninstagram.com/vp/a117e103d6b59aff29e72fd218c5315a/5DADF3F4/t51.2885-15/e35/52925201_296062814411931_7962766625670069294_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MTk5NTIxMzY4NjkxNDg2Mzc1NA%3D%3D.2,579849,False,29446,1080,1080,"all new women’s day ep! @zazaworld LIVE NOW ft. @krisjenner @kourtneykardash @emrata @jessejostark @steph_shep 
link in bio ❤️",[],1552068027
17,BukMWptDD7a,kendalljenner,https://scontent-bom1-2.cdninstagram.com/vp/73bd2e6d79c5018a2d5a9f4b08c5cba2/5DAFB0A6/t51.2885-15/e35/53563184_2349580925325126_3220875330779748020_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MTk5MTc3MTI2ODM3MDQxNTMyMg%3D%3D.2,2184236,False,20762,810,1080,🧠,[],1551657659
18,BuWxLVbju91,kendalljenner,https://scontent-bom1-2.cdninstagram.com/vp/bf8b25e778c46a474454e6a0bb500160/5DB06CE4/t51.2885-15/e35/51570665_125570938504992_7121735834817236850_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MTk4Nzk5MjU2ODczNDg3MTQxMw%3D%3D.2,1323780,False,14772,1080,1080,Just some light stretching. Excited to share my latest for @stuartweitzman in the #ALANA stretch stilettos #SWSpring19 #SWWomen,"['SWWomen', 'SWSpring19', 'ALANA']",1551207203
19,BuNL54vjhuu,kendalljenner,https://scontent-bom1-2.cdninstagram.com/vp/b34c834f3efe8ed34e9bc7813ccdf2ed/5DC6F36C/t51.2885-15/e35/51414973_118666265895147_2416913718453744586_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MTk4NTI5NTM2NzE4OTQzNzM1OA%3D%3D.2,3104522,False,27888,1350,1080,"i’m not a spy, you’re a spy",[],1550885671
20,BuGy0FRhxL-,kendalljenner,https://scontent-bom1-2.cdninstagram.com/vp/55b747cdae774959bb554e4d1650a410/5DA1CD33/t51.2885-15/e35/52179422_608994889615296_5440903339336891627_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MTk4MzQ5NjE2NzMwNDQwMTY2Mg%3D%3D.2,5089773,False,35864,1350,1080,Excited to be a part of the new @calvinklein campaign celebrating what it means to live in the now. Thank you @_glen_luchford . #MYCALVINS,['MYCALVINS'],1550671190
21,Bt9DBZRj3va,kendalljenner,https://scontent-bom1-2.cdninstagram.com/vp/0cbb5844a6bc78d7f2b408a0658ea8fa/5DB5F59E/t51.2885-15/e35/50670642_323397758310855_8219654005194578602_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MTk4MDc1MjcwMTExMDA1Nzk0Ng%3D%3D.2,3701296,False,29489,931,1080,this Disney classic @voguemagazine by @cassblackbird,[],1550344143
22,BtzXufkjW8t,kendalljenner,https://scontent-bom1-2.cdninstagram.com/vp/67adec97087928f736a275a9867a5caf/5DBD6654/t51.2885-15/e35/51037687_508287029579123_209123735302471092_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MTk3ODAyOTAxMTQxMDcxMDMxNw%3D%3D.2,2121743,False,13618,1350,1080,tonight 🖤 @stuartweitzman,[],1550019454
23,BttujXmjHFe,kendalljenner,https://scontent-bom1-2.cdninstagram.com/vp/3b850480a47ffe4ff07b60608ca55310/5DB7061E/t51.2885-15/e35/51593925_383648692368631_7243134637825664697_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=8&ig_cache_key=MTk3NjQ0MDU1MjE0OTUxMjU0Mg%3D%3D.2,1441600,False,16462,933,1080,Excited to have celebrated the Modern Love exhibition with @TiffanyAndCo. And loved my custom #TiffanyT True choker! #BelieveInLove #Ad,"['BelieveInLove', 'TiffanyT', 'Ad']",1549830095
