,shortcode,username,display_url,edge_media_preview_like,comments_disabled,edge_media_to_comment,dimensions_height,dimensions_width,edge_media_to_caption,tags,taken_at_timestamp
0,BzGaM1Cl2Go,knu_komal,https://scontent-bom1-2.cdninstagram.com/vp/943270bef1542b1ce0061cf6f72da248/5DB17E0F/t51.2885-15/e35/64658222_919924131685389_5635291171701105854_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3MzQ1OTkwOTI0NTQ5MzY3Mg%3D%3D.2,5945,False,226,1350,1080,🌸,[],1561395704
1,BzBbFyglV46,knu_komal,https://scontent-bom1-2.cdninstagram.com/vp/685910b3eeb21b6677a9909c50d09b5a/5DA7315E/t51.2885-15/e35/64881638_367528493916350_7028220780729728713_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3MjA1NjQ0ODY1NDA3MzQwMg%3D%3D.2,2753,False,40,808,1080,Happy birthday dear god bless you 😊,[],1561228398
2,BzAAhDiFNPF,knu_komal,https://scontent-bom1-2.cdninstagram.com/vp/13eeaa06e5f81d71b96e10cb24a956da/5DB4D737/t51.2885-15/e35/64445805_355962788453024_6843787532926802649_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3MTY1ODEwMDEyNjE3NjE5Nw%3D%3D.2,4879,False,171,1350,1080,I don't know how to take pictures without a smile 😂😂,[],1561180912
3,By9mtmAFtZc,knu_komal,https://scontent-bom1-2.cdninstagram.com/vp/db4e16df7462fc9768badcb0236fbdca/5DA6A114/t51.2885-15/e35/62540742_420812035431266_394355837067258413_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3MDk4MTY2MjYwNzg1NzI0NA%3D%3D.2,3925,False,92,650,640,🌸,[],1561100274
4,BycSWXDljaw,knu_komal,https://scontent-bom1-2.cdninstagram.com/vp/4076f056c50f8d3e5dfbf5fa0426457d/5DBFB885/t51.2885-15/e35/62168717_306494386905412_6613685182738570762_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA2MTYwMzQzMDg1MDc3MDYwOA%3D%3D.2,4602,False,172,1080,1080,I m pretty sure I like food more than people 😂🌸,[],1559982302
5,ByFBjfIlAbx,knu_komal,https://scontent-bom1-2.cdninstagram.com/vp/73cf1e6301fab9aa808a320170392670/5DA3D5E1/t51.2885-15/e35/60854816_145650926571320_5344254950788865195_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA1NTA1NTY0MTYyMjYxMTY5Nw%3D%3D.2,7884,False,300,1350,1080,"Dear me, please learn to pose good 🤦😁",[],1559201744
6,Bx6XUWQl4uL,knu_komal,https://scontent-bom1-2.cdninstagram.com/vp/e94cae49f098a8a57b4c40c97b66d160/5DAF147D/t51.2885-15/e35/60612567_172565637080118_4419897322642594425_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1MjA1NTEzMzU4MDY1OTU5NQ%3D%3D.2,6696,False,219,937,750,Good morning 🌸,[],1558844056
7,Bx10a_GHj0S,knu_komal,https://scontent-bom1-2.cdninstagram.com/vp/4a5edbf3a8546eb64772e0264722fdbe/5DAEE9EC/t51.2885-15/e35/60626037_601591310328709_7186273512568514350_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA1MDc3NTc1ODIxMDQ4MTQyNg%3D%3D.2,6237,False,214,1080,1080,मुझे लगता है के बातें दिल की होती लफ़्ज़ों की धोखेबाज़ी 🌸,[],1558691542
8,BxexNSrH0hA,knu_komal,https://scontent-bom1-2.cdninstagram.com/vp/b2cc172280b370d24f09cb87d2b3db66/5DB1359B/t51.2885-15/e35/59204055_136298654105908_5807219587338931100_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA0NDI4NzY5ODU1NTg0ODc2OA%3D%3D.2,6924,False,239,1308,1080,Wo nazar chupke mujhe dekh rahii ho jaise🌸,[],1557918105
9,BxML6-4F0BF,knu_komal,https://scontent-bom1-2.cdninstagram.com/vp/5ac2aceab60bc046d695f60872b85e8d/5DAED76B/t51.2885-15/e35/59436452_374707849831282_7422904700857471532_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjAzOTA1NzE2MzA0NjMwNTg2MQ%3D%3D.2,6304,False,264,830,750,🌸,[],1557294577
10,BxKVhmmFrJl,knu_komal,https://scontent-bom1-2.cdninstagram.com/vp/3006733baf242b41068761a82dffe12d/5DB9E18E/t51.2885-15/e35/57840120_1279426578888891_8808242012462390344_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjAzODUzNjQ0OTQ5OTI0NzIwNQ%3D%3D.2,3029,False,93,1080,1080,"If you love life , life will love you back 🖤",[],1557232503
11,BxH3w-2FCVT,knu_komal,https://scontent-bom1-2.cdninstagram.com/vp/b5a73ac31859d458318c117efc1457f1/5DA8B386/t51.2885-15/e35/59884095_123622348826397_1486192055474511509_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjAzNzg0MjYxNDk4MDcxNTg1OQ%3D%3D.2,6273,False,241,1350,1080,She's Sky full of stars ❣️,[],1557149792
12,Bw88rccl7Cb,knu_komal,https://scontent-bom1-2.cdninstagram.com/vp/9024f87677d3b59a8989590f2e731f0b/5DA18898/t51.2885-15/e35/59289050_681988535554538_5429407825244531199_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjAzNDc2Nzk5OTkzNzI2MTcyMw%3D%3D.2,4454,False,144,750,750,"And we completed six years of friendship.❤️ lady love of mine, more than just a best friend she is family. Ilysm ❤️❤️",[],1556783269
13,Bwd_JvqFEvW,knu_komal,https://scontent-bom1-2.cdninstagram.com/vp/2c1857b872b3d3c869a730b719cfc1b3/5DAC6705/t51.2885-15/e35/56908094_2254889214773138_1557953870611011675_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjAyNjA1MzE1Mzk2MzkyMDM0Mg%3D%3D.2,6277,False,231,1350,1080,"Be happy, smile often ❣️",[],1555744378
14,BwbZ3y7lsNZ,knu_komal,https://scontent-bom1-2.cdninstagram.com/vp/6aa152172dd61c6ca94c0ce5e9ae3ae5/5DA390FA/t51.2885-15/e35/56497166_741286442939475_3837378273481162279_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjAyNTMyNjI0Mjg1Mzk5NTM1Mw%3D%3D.2,5010,False,165,920,750,Rise and shine 🌸,[],1555657724
15,BwZ-_M9l_sV,knu_komal,https://scontent-bom1-2.cdninstagram.com/vp/6cb1a4a88fd8eb47f8db33e58c95ca89/5DC0603E/t51.2885-15/e35/57488346_2353768764838009_8828505473137411556_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjAyNDkyNjUyOTYwODc0MzcwMQ%3D%3D.2,6845,False,203,1080,1080,Being someone's priority is the best feeling in the world❣️,[],1555610074
16,BwYzgArl8_o,knu_komal,https://scontent-bom1-2.cdninstagram.com/vp/f9f1b6ee15835b98c021c4a16bfb5ff5/5DAB50DA/t51.2885-15/e35/58410399_460011644771205_8057761802755931722_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjAyNDU5NDUzMjYyOTcyOTI1Ng%3D%3D.2,9905,False,356,937,750,Imagine being loved the way you love ❣️,[],1555570497
17,BwRvEa3l6_M,knu_komal,https://scontent-bom1-2.cdninstagram.com/vp/55a1a07aa225a4d02d9edb2b6e757470/5DB19C71/t51.2885-15/e35/56418390_656990681414994_2863740634026160246_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjAyMjYwNDcxOTU3OTk2NzQzNg%3D%3D.2,13171,False,633,1205,1080,"Raised, above and beyond 😊",[],1555333293
18,BwPASublMip,knu_komal,https://scontent-bom1-2.cdninstagram.com/vp/73b04cf528b25b97bd2ef8affa901300/5DC21BFF/t51.2885-15/e35/55942402_373364149934320_8853527666178571290_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjAyMTgzNjA0NDUxODA4MjcyOQ%3D%3D.2,7341,False,246,937,750,Happy face❣️,[],1555241660
19,BwH2QYrBzrk,knu_komal,https://scontent-bom1-2.cdninstagram.com/vp/243df42d57cda95bce69a48af93721ac/5DAA3DD4/t51.2885-15/e35/56819225_1241568476012472_2107068278025644391_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjAxOTgyMTU3ODQxMzg4MjA4NA%3D%3D.2,8661,False,313,937,750,"Darling, they can't break you ❣️",[],1555001517
