,shortcode,username,display_url,edge_media_preview_like,comments_disabled,edge_media_to_comment,dimensions_height,dimensions_width,edge_media_to_caption,tags,taken_at_timestamp
0,BzkAA03BIup,ktm_duke_love,https://scontent-bom1-2.cdninstagram.com/vp/2848348a04ab445387f1ecd82eb3a6d2/5DBDBD7B/t51.2885-15/e35/64775179_2588935114459502_7544975968773395717_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA4MTc4ODk4NDUwOTYzMTQwMQ%3D%3D.2,6589,False,13,1080,1080,#Ktm #ktmindia #ktmduke #ktmrc #ktmduke200 #ktmduke390 #ktmduke250 #ktmrc200 #ktmrc390 #bikes #photography #bikelove #love #instalike #instafollower,"['love', 'ktmduke390', 'ktmduke250', 'instalike', 'ktmduke200', 'bikelove', 'ktmduke', 'ktmrc390', 'ktmindia', 'bikes', 'ktmrc200', 'photography', 'instafollower', 'ktmrc', 'Ktm']",1562388607
1,Bzj5uXqBMl9,ktm_duke_love,https://scontent-bom1-2.cdninstagram.com/vp/8915969e4c28c49e5478273695a601ea/5DC11416/t51.2885-15/e35/65855025_429509324564803_3559087847087221464_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA4MTc2MTMyNzkyMzM4MjY1Mw%3D%3D.2,2293,False,4,425,640,#Ktm #ktmindia #ktmduke #ktmrc #ktmduke200 #ktmduke390 #ktmduke250 #ktmrc200 #ktmrc390 #bikes #photography #bikelove #love #instalike #instafollower,"['love', 'ktmduke390', 'ktmduke250', 'instalike', 'ktmduke200', 'bikelove', 'ktmduke', 'ktmrc390', 'ktmindia', 'bikes', 'ktmrc200', 'photography', 'instafollower', 'ktmrc', 'Ktm']",1562385310
2,BziKnI4hON6,ktm_duke_love,https://scontent-bom1-2.cdninstagram.com/vp/deff5f52126cc8057a992cd0a2bb48cf/5DA163EF/t51.2885-15/e35/p1080x1080/65134685_145554559928892_5928480870408955024_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA4MTI3MjY0Nzg2MTQ2MTg4Mg%3D%3D.2,7727,False,25,1350,1080,"DUKE 1290
Follow 👉@fashionvernissage
#Shell #burnrubbernotyoursoul  #bikersofindia #burnoutking #burnoutsfordays #Bajaj #PulsarRs200  #Duke200 #burnout #KTM #duke390 #duke125 #ktmduke200 #ktmduke390 #ktm200 #ktmduke #ktmrc390 #ktmworld8 #ktmracing #wanderer #explorer #tourer #biker #wanderersonwheels #pdarmy #imtheindianbiker #eatsleepshiftrepeat #goproindia #goproindianam","['burnoutking', 'ktmduke200', 'ktmworld8', 'burnrubbernotyoursoul', 'duke125', 'duke390', 'goproindia', 'pdarmy', 'burnout', 'explorer', 'biker', 'wanderersonwheels', 'Bajaj', 'PulsarRs200', 'wanderer', 'Shell', 'burnoutsfordays', 'bikersofindia', 'ktmrc390', 'tourer', 'eatsleepshiftrepeat', 'ktmduke390', 'KTM', 'Duke200', 'ktmduke', 'imtheindianbiker', 'goproindianam', 'ktm200', 'ktmracing']",1562327055
3,BzhUwlbBv9D,ktm_duke_love,https://scontent-bom1-2.cdninstagram.com/vp/09b782a15bce9d0b9f0415d7ff439ccc/5DB33B3D/t51.2885-15/e35/66357277_857720021252337_6469354541739236771_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA4MTAzNTgwMjQ2ODg3NjA5OQ%3D%3D.2,5435,False,12,1080,1080,#Ktm #ktmindia #ktmduke #ktmrc #ktmduke200 #ktmduke390 #ktmduke250 #ktmrc200 #ktmrc390 #bikes #photography #bikelove #love #instalike #instafollower,"['love', 'ktmduke390', 'ktmduke250', 'instalike', 'ktmduke200', 'bikelove', 'ktmduke', 'ktmrc390', 'ktmindia', 'bikes', 'ktmrc200', 'photography', 'instafollower', 'ktmrc', 'Ktm']",1562298821
4,Bzettfqhfbp,ktm_duke_love,https://scontent-bom1-2.cdninstagram.com/vp/85219b665256d549d254b5e960b8e5f7/5DB845B9/t51.2885-15/e35/s1080x1080/65159862_781588665571446_3131513095171143430_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA4MDMwMTExNjM2MDYxOTc1Mw%3D%3D.2,5029,False,12,1080,1080,#Ktm #ktmindia #ktmduke #ktmrc #ktmduke200 #ktmduke390 #ktmduke250 #ktmrc200 #ktmrc390 #bikes #photography #bikelove #love #instalike #instafollower,"['love', 'ktmduke390', 'ktmduke250', 'instalike', 'ktmduke200', 'bikelove', 'ktmduke', 'ktmrc390', 'ktmindia', 'bikes', 'ktmrc200', 'photography', 'instafollower', 'ktmrc', 'Ktm']",1562211239
5,BzcIw7aB9L2,ktm_duke_love,https://scontent-bom1-2.cdninstagram.com/vp/c14b2e2288d08e34024b7d6e5815f92a/5DA637D9/t51.2885-15/e35/64280623_179156619750108_2861247905823846696_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=8&ig_cache_key=MjA3OTU3NTY3NDYzMjc4NjY3OA%3D%3D.2,12067,False,31,1080,1080,#Ktm #ktmindia #ktmduke #ktmrc #ktmduke200 #ktmduke390 #ktmduke250 #ktmrc200 #ktmrc390 #bikes #photography #bikelove #love #instalike #instafollower,"['love', 'ktmduke390', 'ktmduke250', 'instalike', 'ktmduke200', 'bikelove', 'ktmduke', 'ktmrc390', 'ktmindia', 'bikes', 'ktmrc200', 'photography', 'instafollower', 'ktmrc', 'Ktm']",1562124760
6,BzX2LA5h0qx,ktm_duke_love,https://scontent-bom1-2.cdninstagram.com/vp/69199611086f14d0efa6643c4fe8e0d2/5DA3C382/t51.2885-15/e35/65200600_123451292220682_1445559009210465566_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3ODM2ODAwNDQ0NTc4NDc1Mw%3D%3D.2,7802,False,25,1080,1080,Never Go Faster than Your Angel Can Go!,[],1561980794
7,BzX0Vw1hsXn,ktm_duke_love,https://scontent-bom1-2.cdninstagram.com/vp/fd75e1403a9bb1755031597b0c0a72f7/5DA192AA/t51.2885-15/e35/65608374_112829703173612_564869235875191193_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3ODM1OTk0NzAxOTk5NDU5OQ%3D%3D.2,6306,False,19,818,1080,"Follow 👉@augersantics
#Shell #burnrubbernotyoursoul  #bikersofindia #burnoutking #burnoutsfordays #Bajaj #PulsarRs200  #Duke200 #burnout #KTM #duke390 #duke125 #ktmduke200 #ktmduke390 #ktm200 #ktmduke #ktmrc390 #ktmworld8 #ktmracing #wanderer #explorer #tourer #biker #wanderersonwheels #pdarmy #imtheindianbiker #eatsleepshiftrepeat #goproindia #goproindianam","['burnoutking', 'ktmduke200', 'ktmworld8', 'burnrubbernotyoursoul', 'duke125', 'duke390', 'goproindia', 'pdarmy', 'burnout', 'explorer', 'biker', 'wanderersonwheels', 'Bajaj', 'PulsarRs200', 'wanderer', 'Shell', 'burnoutsfordays', 'bikersofindia', 'ktmrc390', 'tourer', 'eatsleepshiftrepeat', 'ktmduke390', 'KTM', 'Duke200', 'ktmduke', 'imtheindianbiker', 'goproindianam', 'ktm200', 'ktmracing']",1561979834
8,BzXAgCVhfCB,ktm_duke_love,https://scontent-bom1-2.cdninstagram.com/vp/1f49e154bf2842e243f038632a3037d1/5DAC5FDB/t51.2885-15/e35/s1080x1080/65279325_178048579875357_3004467710776353110_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3ODEzMTk1NDU4NjYxMTg0MQ%3D%3D.2,5636,False,6,1080,1080,"Follow 👉@the_demonblack
#Shell #burnrubbernotyoursoul  #bikersofindia #burnoutking #burnoutsfordays #Bajaj #PulsarRs200  #Duke200 #burnout #KTM #duke390 #duke125 #ktmduke200 #ktmduke390 #ktm200 #ktmduke #ktmrc390 #ktmworld8 #ktmracing #wanderer #explorer #tourer #biker #wanderersonwheels #pdarmy #imtheindianbiker #eatsleepshiftrepeat #goproindia #goproindianam","['burnoutking', 'ktmduke200', 'ktmworld8', 'burnrubbernotyoursoul', 'duke125', 'duke390', 'goproindia', 'pdarmy', 'burnout', 'explorer', 'biker', 'wanderersonwheels', 'Bajaj', 'PulsarRs200', 'wanderer', 'Shell', 'burnoutsfordays', 'bikersofindia', 'ktmrc390', 'tourer', 'eatsleepshiftrepeat', 'ktmduke390', 'KTM', 'Duke200', 'ktmduke', 'imtheindianbiker', 'goproindianam', 'ktm200', 'ktmracing']",1561952655
9,BzQjK0ThOTz,ktm_duke_love,https://scontent-bom1-2.cdninstagram.com/vp/17618009dd4ccf69f5e640381ddf6fdc/5DBFC40A/t51.2885-15/e35/s1080x1080/61937581_839139673132338_7081876131701055998_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3NjMxNDEwMzIwMjUwNTk3MQ%3D%3D.2,5942,False,1187,1080,1080,Lets see 😂😂😂,[],1561735950
