,shortcode,username,display_url,edge_media_preview_like,comments_disabled,edge_media_to_comment,dimensions_height,dimensions_width,edge_media_to_caption,tags,taken_at_timestamp
0,Byp17fohThw,muradosmann,https://scontent-bom1-2.cdninstagram.com/vp/31c00b97352e41fb18f41eeaec452c88/5DBAA545/t51.2885-15/e35/p1080x1080/62444539_430880004159390_6172863933418850282_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2NTQxOTA4OTAwNjExNDkyOA%3D%3D.2,141336,False,1060,1191,1080,#followmeto Mauritius with @natalyosmann . Throwback to our collaboration with talented @nois7 🔥🔥🔥🔥 ◆◆◆𝙉𝙚𝙭𝙩 𝙬𝙚𝙚𝙠 𝙬𝙚 𝙖𝙧𝙚 𝙜𝙤𝙞𝙣𝙜 𝙩𝙤 𝙅𝙤𝙧𝙙𝙖𝙣 𝙖𝙣𝙙 𝙮𝙤𝙪 𝙘𝙖𝙣 𝙨𝙩𝙞𝙡𝙡 𝙟𝙤𝙞𝙣. 𝘿𝙈 𝙩𝙤 @followmeto . ◆◆◆🔥🔥🔥🔥Иордания уже на следующей неделе. Пишете в Директ @followmeto и присоединяйтесь к поездке.,['followmeto'],1560437163
1,Byfuzsthuht,muradosmann,https://scontent-bom1-2.cdninstagram.com/vp/89edb7a4219009a18f58bf05a318bc81/5DC68EDA/t51.2885-15/e35/61484779_2292990607632535_9209850893090759048_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=8&ig_cache_key=MjA2MjU3MzAxNzIwMDI1NzEzMw%3D%3D.2,185381,False,1857,1080,1080,"#followmeto Agrabah with @natalyosmann and the genie🧞‍♂️ @willsmith . Who has watched this @disney movie already? Yes I know that they should have casted me for the role of Aladdin. I am ready to cast for Aladdin 2!! :). If you had The Magic Lamp what would you wish? 🔥🔥🧞‍♂️🧞‍♂️𝕨𝕣𝕚𝕥𝕖 𝕪𝕠𝕦𝕣 𝕨𝕚𝕤𝕙𝕖𝕤 𝕚𝕟 𝕔𝕠𝕞𝕞𝕖𝕟𝕥𝕤 𝕒𝕟𝕕 𝔽𝕠𝕝𝕝𝕠𝕨𝕞𝕖𝕥𝕠 𝔾𝕖𝕟𝕚𝕖 𝕨𝕚𝕝𝕝 𝕘𝕣𝕒𝕟𝕥 𝕠𝕟𝕖!!! 🧞‍♂️🧞‍♂️🔥🔥
#следуйзамной в Аграбу с @natalyosmann и Джином. Кто уже смотрел этот фильм от @Disney? Да, знаю, что они должны были взять меня на роль Аладдина, но я готов на кастинг во вторую серию :). Окажись у вас в руках волшебная лампа, что бы загадали?🧞‍♂️🧞‍♂️н̲а̲п̲и̲ш̲и̲т̲е̲ ̲т̲у̲т̲ ̲в̲ ̲к̲о̲м̲м̲е̲н̲т̲а̲р̲и̲я̲х̲ ̲в̲а̲ш̲е̲ ̲ж̲е̲л̲а̲н̲и̲е̲ ̲и̲ ̲о̲д̲н̲о̲ ̲и̲з̲ ̲н̲и̲х̲ ̲м̲ы̲ ̲и̲с̲п̲о̲л̲н̲и̲м̲!̲!̲!̲🧞‍♂️🧞‍♂️","['followmeto', 'следуйзамной']",1560097885
2,ByaIYqOBXQw,muradosmann,https://scontent-bom1-2.cdninstagram.com/vp/a938888d48317c6a86e499137e0f9203/5DB14A3C/t51.2885-15/e35/s1080x1080/61097357_606628913160624_2810161286733671518_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2MDk5NjY1ODQ0NzM0ODc4NA%3D%3D.2,127335,False,803,1080,1080,"#FollowMeTo Jordan
We invite you to Jordan with us from 23 till 30 June.
We are going to visit the eighth wonder of the world, fly over the desert in a hot air balloon, spend a night with the bedouins, and experience weightlessness in the saltiest sea on the planet. Having spent a full week on this trip, you will be fully entitled to saying that you have seen everything in Jordan! Details and price -  the link in bio. Collaboration with the great @nois7 👆. #СледуйЗаМной в Иорданию.
Мы приглашаем вас с нами в путешествие по Иордании с 23 по 30 июня. Мы посетим восьмое чудо света, пролетим над пустыней на воздушном шаре, проведем ночь c бедуинами, испытаем невесомость в самом соленом море на свете – спустя неделю наших путешествий вы с полным правом сможете сказать, что видели в Иордании всё!
Подробности и цена -  по ссылке в био👆","['FollowMeTo', 'СледуйЗаМной']",1559909969
3,Bxc66PBhKr6,muradosmann,https://scontent-bom1-2.cdninstagram.com/vp/54e334018e198e5951813244ae11c3fd/5DA5316E/t51.2885-15/e35/s1080x1080/58468549_2236267783356333_3759179789848572341_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA0Mzc2NzQxOTQ3ODI1NjM3OA%3D%3D.2,166001,False,1392,1080,1080,#Followmeto the vibes of Mykonos caves with @natalyosmann 🇬🇷,['Followmeto'],1557856083
4,Bw4xk4ABrsg,muradosmann,https://scontent-bom1-2.cdninstagram.com/vp/2653680d185c417ce5613ae0c4872628/5DB89E2A/t51.2885-15/e35/57121114_2263541817266511_1036576723700573061_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjAzMzU5MzI3MDA2Nzk2ODgwMA%3D%3D.2,88429,False,945,1080,1080,"#Followmeto the little streets of Mykonos with @natalyosmann . Who loves Greece as we do? Went there for the first time ever last year. What are you favorite places in Greece?
❍❍❍❍❍
#следуйзамной по улочкам острова Миконос. Кто так же как и мы любит Грецию? В том году мы были первый раз. Какие ваши любимые места там?","['следуйзамной', 'Followmeto']",1556643230
5,Bwr-850hi96,muradosmann,https://scontent-bom1-2.cdninstagram.com/vp/1b652b7201c3a80224786ee61ae6377e/5DAF3237/t51.2885-15/e35/59106377_297292711202714_3633217627536311198_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjAyOTk5MjkyMTE5NzMyNjIwMg%3D%3D.2,90421,False,585,1080,1080,#followmeto 🇬🇷 Mykonos with @natalyosmann. Summer is approaching and we are remembering the vibes from the first time we went to this amazing island. Can’t wait to come back there. Thanks to the best hotel there for hosting us @cavotagoomykonos . This is not an ad - we really like this place :)!,['followmeto'],1556214035
6,Bv4MAxEh9YU,muradosmann,https://scontent-bom1-2.cdninstagram.com/vp/454c5c1757608174edd9b027a268076d/5DB1E539/t51.2885-15/e35/54511890_424500011633908_889237186115911668_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjAxNTQxMzY2MjQ5NTc5MDYxMg%3D%3D.2,103962,False,2282,1080,1080,"#Followmeto Charyn Canyon with @natalyosmann.  Continuing to share images from the amazing Qazaqstan. Any followers that are from there? 🇰🇿 🇰🇿🇰🇿🇰🇿🇰🇿🇰🇿🇰🇿🇰🇿🇰🇿
#следуйзамной в Чарынский Каньон в Казахстане. Продолжаем выкладывать наш проект из невероятного Казахстана. Кто из подписчиков у нас оттуда?","['следуйзамной', 'Followmeto']",1554476052
7,BvzMZKgBrIH,muradosmann,https://scontent-bom1-2.cdninstagram.com/vp/ccb694803db16dc537e04ed66c4bf983/5DA3BCE8/t51.2885-15/e35/54511757_148223589547859_1774580185031443027_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjAxNDAwNzk2NDE4NDUyMzI3MQ%3D%3D.2,91232,False,1158,1080,1080,"#Followmeto Qazaqstan Kaindy Lake. Love it’s blue colours and the trees sticking out of the cold water. Who has seen our video from Qazaqstan? Do you like it?
#Следуйзамной к озеру Каинды и утонувшему лесу. Каинды образовалось естественным путем в 1911 году, когда во время землетрясения ущелье было перекрыто оползнем. Постепенно образовавшееся пространство заполнилось водой и погрузило в свои пучины хвойный лес, росший в долине. Когда первый раз видишь озеро - то не веришь, что этот бюрюзовый цвет настоящий.. Ребят, кто смотрел наш ролик из Казахстана? Понравилось? :)","['Следуйзамной', 'Followmeto']",1554308480
8,BvrsJnYBRE_,muradosmann,https://scontent-bom1-2.cdninstagram.com/vp/1ceea9728bc4601ef00e33bc21e13563/5DC569F5/t51.2885-15/e35/54800695_400843050710928_4381895884459418459_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjAxMTg5NTgzMzM1MTc1NDA0Nw%3D%3D.2,102478,False,650,1350,1080,"#Followmeto Moscow which is our home, even though I was born in Dagestan (South of Russia)  and Nataly in Germany. Every time we try to show it differently. Tell us about your city and what do you like the most?
#seetheunseen #honorview20 @honorglobal 
Москва, наш дом, хоть родом я из Дагестана, а Наташа из Германии. И каждый раз хочется его показать особенным. Расскажи про свой город откуда ты и что ты любишь больше всего в нём.","['Followmeto', 'seetheunseen', 'honorview20']",1554056694
9,BvKGBW1hcVU,muradosmann,https://scontent-bom1-2.cdninstagram.com/vp/02128890ffdee6541175d29441594729/5DB98E8F/t51.2885-15/e35/53344744_338451836876726_979155668001543010_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjAwMjQzOTQ2NTgzODQyOTUyNA%3D%3D.2,123319,False,701,1192,1080,"#Followmeto Paris with @natalyosmann. No matter how many times we come to Paris, it opens itself up again and again from different sides and never leaves us indifferent. The city of contrasts, delicate taste and love mood. Do you like Paris?  # HonorView20
❍❍❍❍❍❍❍❍❍❍
#Следуйзамной в Париж. Сколько бы раз мы не приезжали в Париж, он открывается нам заново и никогда не оставляет равнодушным. Город контрастов, тонкого вкуса и всегда влюбленного настроения. А вы любите Париж? #Откройнеизведанное #honorview20","['Следуйзамной', 'Откройнеизведанное', 'Followmeto', 'honorview20']",1552929407
