,shortcode,username,display_url,edge_media_preview_like,comments_disabled,edge_media_to_comment,dimensions_height,dimensions_width,edge_media_to_caption,tags,taken_at_timestamp
0,By2f0UlFzIg,narendramodi,https://scontent-bom1-2.cdninstagram.com/vp/0a3caf55ba5c747fcda4b529dd0aceac/5DA7379B/t51.2885-15/e35/s1080x1080/64468826_1282114808611382_8531036422228225152_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2ODk4MTAxMzc3NTA2OTcyOA%3D%3D.2,896051,False,3020,960,1080,"While going through the letters penned by my fellow citizens, I came across this adorable photo album sent by young Vanisha.
⠀
Thank you Vanisha! Such gestures are extremely humbling and I thought I must share this feeling of happiness with you all.",[],1560861778
1,ByhO9sYFsFY,narendramodi,https://scontent-bom1-2.cdninstagram.com/vp/90fe7c8939bc20bcdf78499080d5e4ee/5DADB5E7/t51.2885-15/e35/s1080x1080/61609496_697238757394184_5957508826304205326_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2Mjk5NTkxNjUwMDQxODkwNA%3D%3D.2,1281384,False,5387,1041,1080,"From Tirumala. 
Prayed to Bhagwan Sri Venkateswara for the well-being of the people of India.",[],1560148299
2,BySgIvUFRYa,narendramodi,https://scontent-bom1-2.cdninstagram.com/vp/0acd93174fb2a6afc35fd3a94fdb6008/5DC0D7AD/t51.2885-15/e35/s1080x1080/61424295_138455583888216_2322112998990830902_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1ODg0OTMxNzcwODY5OTE2Mg%3D%3D.2,1526688,False,8343,953,1080,Paying homage to Mahatma Gandhi and Sardar Patel at the Prime Minister’s Office in South Block.,[],1559653986
3,ByKJU_alqZD,narendramodi,https://scontent-bom1-2.cdninstagram.com/vp/5a16c22eca9b9da95e224ffe0f1ab998/5DBDBEFD/t51.2885-15/e35/s1080x1080/60560066_395123314550222_3615706690238627313_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1NjQ5NzIwNDc0ODAwMjg4Mw%3D%3D.2,1878737,False,8166,1006,1080,"First Cabinet meeting. 
This is a team that will work hard to deliver. In the first meeting itself, we took many decisions for the welfare of farmers, traders and youngsters.",[],1559373592
4,ByIJgYBlpG0,narendramodi,https://scontent-bom1-2.cdninstagram.com/vp/b32b9a79d48a5eae5b1559561e11e57f/5DA793DA/t51.2885-15/e35/s1080x1080/61338869_207361343562225_7023819348566003832_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1NTkzNTAzNzEzMjkzNTYwNA%3D%3D.2,2631316,False,19356,838,1080,"Second term, first day. 
At the PMO in South Block. Our first decision pertains to the welfare of the brave police personnel who protect India and their families.",[],1559306576
5,ByGHibCFeMD,narendramodi,https://scontent-bom1-2.cdninstagram.com/vp/15aac05aa722109bc61373d1322a0b4b/5DA43ECD/t51.2885-15/e35/s1080x1080/61843613_138344310608635_7041706660667850251_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1NTM2MzQzMTc1NTAxNDkxNQ%3D%3D.2,2642859,False,22836,850,1080,Took oath as India’s Prime Minister. Thank you for the blessings. 🙏🏼,[],1559238436
6,ByE8N1lFGyh,narendramodi,https://scontent-bom1-2.cdninstagram.com/vp/14e5f1f7c4a3da05ba54ffe1580044ee/5DA87424/t51.2885-15/e35/p1080x1080/59830191_138966573921134_8102254791822740239_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1NTAzMjE2MzY2MjA2NDgwMQ%3D%3D.2,1614576,False,8275,1350,1080,"Before taking oath later today, I went to the National War Memorial  to pay tributes to the brave martyrs of India. Jai Hind. 🇮🇳",[],1559198945
7,ByAOm7pFMhr,narendramodi,https://scontent-bom1-2.cdninstagram.com/vp/4df4ed28df1b9210ac566a8718f855cf/5DC56EB1/t51.2885-15/e35/s1080x1080/61078267_2360148194023553_8955942700508863077_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1MzcwNTY3ODExMjIxMzA5OQ%3D%3D.2,2054113,False,8975,1059,1080,"Thank you for the blessings, Shri Pranab Mukherjee. He is a prolific statesman who has richly contributed to India’s progress.",[],1559040816
8,Bx8vE5-l2Vk,narendramodi,https://scontent-bom1-2.cdninstagram.com/vp/faff6080fcab22f471811b7a3aafb99e/5DAA7E12/t51.2885-15/e35/p1080x1080/60498523_380798122533561_3795265197196826634_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1MjcyMjU3NTQ5MTQyNTYzNg%3D%3D.2,3250802,False,25031,1350,1080,Spent time with my Mother and sought her blessings.,[],1558923621
9,Bx6kk67lWIP,narendramodi,https://scontent-bom1-2.cdninstagram.com/vp/9c12d83e7f1d274a7573059045fa025f/5DC625FE/t51.2885-15/e35/s1080x1080/60910393_452448985512599_7920694445785174194_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1MjExMzQ0NzA3MjkxNTk4Mw%3D%3D.2,1930279,False,10952,824,1080,Our only loyalty is to the Constitution and the values enshrined in it.,[],1558851007
10,Bx2MvX5lALV,narendramodi,https://scontent-bom1-2.cdninstagram.com/vp/2433b2a947b74afbd2060f0deb1d73f1/5DB67DCD/t51.2885-15/e35/s1080x1080/59757249_106094923970812_9198803164425524030_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1MDg4MjcxMjM0OTQ0Mjc3Mw%3D%3D.2,2161558,False,16390,589,1080,"Together we grow. 
Together we prosper. 
Together we will build a strong and inclusive India.",[],1558704292
11,Bxz0Z5bltae,narendramodi,https://scontent-bom1-2.cdninstagram.com/vp/ac399f652def19ddf7bba53f4a11bce6/5DBCAF8B/t51.2885-15/e35/p1080x1080/59894783_1041878536200225_2026676432544666773_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1MDIxMjczMzQ1NTM1NzU5OA%3D%3D.2,3853745,False,84284,1350,1080,Humbled by the affection. Thank you!,[],1558624425
12,BxzZiEuFnrQ,narendramodi,https://scontent-bom1-2.cdninstagram.com/vp/2b37694c03f359d395ab7e8ea79a37f4/5DAE4C1F/t51.2885-15/e35/s1080x1080/61180536_390188988247998_7776780903157473610_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1MDA5NDU0ODA3Njg4NjczNg%3D%3D.2,2502341,False,92590,1080,1080,Thank you India!,[],1558610336
13,Bxtz1awFVBg,narendramodi,https://scontent-bom1-2.cdninstagram.com/vp/0fabf949a5473a5318e462ee6d835c5f/5DB34891/t51.2885-15/e35/s1080x1080/59464861_2297357917143196_8974972386655147702_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA0ODUyMTM3Njc1MTc2NzY0OA%3D%3D.2,1731401,False,16333,771,1080,A picture from my recent #Kedarnath visit.,['Kedarnath'],1558422799
14,BxrIEkXFT1S,narendramodi,https://scontent-bom1-2.cdninstagram.com/vp/04011351e3c5264a16fa35bc81b392df/5D9FD6BB/t51.2885-15/e35/s1080x1080/59760753_336282423744721_2384363819677533020_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA0Nzc2NTk1Mzg2MTk5MTc2Mg%3D%3D.2,1280492,False,6638,747,1080,The #Badrinath Temple in #Uttarakhand has an important place in our culture. Joined the Puja at the temple.,"['Badrinath', 'Uttarakhand']",1558332746
15,Bxo7iBel1iT,narendramodi,https://scontent-bom1-2.cdninstagram.com/vp/3abe151c643b3795489743045a2d752f/5DA883DC/t51.2885-15/e35/s1080x1080/59811030_1534914849972240_1278681494036784462_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA0NzE0Nzg1MzQzMzIzMTUwNw%3D%3D.2,2350856,False,22022,997,1080,"Majestic and magnificent.
⠀
Serene and spiritual.
⠀
There is something very special about the Himalayas.
⠀
It is always a humbling experience to return to the mountains. 🏔",[],1558259062
16,BxSgtR1lfO0,narendramodi,https://scontent-bom1-2.cdninstagram.com/vp/40035d21cc82699df48f41776a79c5e8/5DBE0E88/t51.2885-15/e35/s1080x1080/58454072_425994611547723_1932481479120144924_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA0MDgzNzQzMDE2OTY5NTE1Ng%3D%3D.2,1825471,False,14688,1080,1080,Clicks during the campaign...took a few photographs of serene Himachal Pradesh during the rally in Mandi today.,[],1557506801
17,BxKW0OvlNwD,narendramodi,https://scontent-bom1-2.cdninstagram.com/vp/dd494979f581f4ac58ce494c2a883c5d/5DA7BC07/t51.2885-15/e35/57604491_312315216334465_6061237432784211366_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=8&ig_cache_key=MjAzODU0MjEyNzYwNTI3NTY1MQ%3D%3D.2,1231579,False,5067,1080,1080,This young friend joined our rally at Valmiki Nagar in #Bihar. Met him after the rally and had a delightful interaction. I am happy several youngsters are attending our rallies and supporting us.,['Bihar'],1557233180
