,shortcode,username,display_url,edge_media_preview_like,comments_disabled,edge_media_to_comment,dimensions_height,dimensions_width,edge_media_to_caption,tags,taken_at_timestamp
0,BzkjhCuA3vW,natgeotravel,https://scontent-bom1-2.cdninstagram.com/vp/7c37bd1aadd65e51a3cf2697ffdb52b3/5DA1DFF9/t51.2885-15/e15/65118503_469657096913837_1662312581760510394_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA4MTk0NTEzMDA0MjA5NjU5OA%3D%3D.2,7942,False,30,500,750,"Photo by @JeffMauritzen and words by Justin Kavanagh | Nobody knows when reindeer came to Svalbard. Nobody knows how long ago this hardy beast adapted to the high Arctic by donning a whiter pelt and morphing into the sub-species known as the Svalbard reindeer. Were these stocky, bovine-looking creatures introduced by Swedish trappers as a food source? All we know was that by 1925 they’d been hunted to near extinction. But mankind wised up, passed smarter laws, and Svalbard’s are now among the most protected reindeer in Europe: The archipelago embraces seven of Norway’s 47 national parks. The migrant Samí people hunted reindeer for centuries before they decided to herd them, feed them, and practice sustainable farming long before city scientists came up with the term. The Samí and their reindeer crossed the borders of Norway, Sweden and Finland, in search of lichen to feed the herd. The remains of many ancient reindeer traps still dot these northern landscapes. While no borders stop the migration of Arctic animals, we bipeds had our passports inspected in Tromsø on our way north. If you’re a reindeer of course, no passport required. #Svalbard #reindeer #Norway #arctic","['Svalbard', 'reindeer', 'Norway', 'arctic']",1562407221
1,BzkO65yA4HN,natgeotravel,https://scontent-bom1-2.cdninstagram.com/vp/380b9a5f9b3bb72794f1f1f4e4589d71/5DA633C5/t51.2885-15/fr/e15/p1080x1080/65691358_118241452774653_6448119974410897944_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA4MTg1NDU0ODE3NTE5MjUyNQ%3D%3D.2,45023,False,120,1347,1080,"Photo by @andrea_frazzetta | The Sule Pagoda of Yangon, Myanmar. Here a group of teenagers rustles up a night game of soccer in the streets of the city center. A nation long shrouded in mystery, Myanmar has only recently emerged from decades of isolation. Gilded stupas, stepped temples, and candlelit monasteries dot the landscape, revealing a long spiritual tradition that dates back to the first century C.E. To see more photos from my travels, follow me, @andrea_frazzetta. #myanmar #burma #asia","['burma', 'asia', 'myanmar']",1562396423
2,Bzj6YpADSb3,natgeotravel,https://scontent-bom1-2.cdninstagram.com/vp/6334aeae099595ae906b9bd56686230a/5DA48B8C/t51.2885-15/fr/e15/s1080x1080/66428890_148965509497456_2553592816557027085_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA4MTc2NDIzMjc2NDY2MzU0Mw%3D%3D.2,94237,False,187,707,1080,"Photo by Gerd Ludwig @gerdludwig | In 1930, Great Smoky Mountains National Park became one of the largest protected areas of the eastern United States. Spanning the borders of North Carolina and Tennessee, it encompasses roughly 525,000 acres of lush landscapes (more tree species than in all of northern Europe), abundant wildlife (65 mammal and 230 bird species), and spectacular scenic beauty.",[],1562385656
3,BzjlvX5jY4A,natgeotravel,https://scontent-bom1-2.cdninstagram.com/vp/91cdf69bb4915fc93d7536a95c5acee5/5DBB27B4/t51.2885-15/fr/e15/s1080x1080/65492370_145929446599211_8471319214977118042_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA4MTY3MzQzNTk3MzI1ODc1Mg%3D%3D.2,114249,False,205,718,1080,"Photo by @amivitale | Clouds are reflected in the early morning hours at Swan Lake, near Glacier National Park (@glaciernps). The park itself boasts over 700 lakes (only 130 of them are named) and their water can be considered the headwater for the entire continent of North America. From Glacier National Park 's Triple Divide Peak, water can reach the Atlantic, Pacific and Hudson Bay Watersheds. Follow me, @amivitale, for more photos of the wonders of nature around the world.",[],1562374833
4,BzjRJp-FBCa,natgeotravel,https://scontent-bom1-2.cdninstagram.com/vp/a37b85b2f096c53612dfcbd15b03ee5b/5DB9CE95/t51.2885-15/fr/e15/s1080x1080/65313158_397987061062888_383494228018293811_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA4MTU4Mjg4MzEwNjE5NzY1OA%3D%3D.2,127784,False,480,1079,1080,"Photo by @BabakTafreshi | A weasel stands next to a tree trunk in the Alborz Mountains. There are about 200 mammal species in Iran, ranging from whales, dugongs, and dolphins in the Persian Gulf to bears and leopards in the mountains. The wildlife of the country is largely unknown to the world, but most tourists are exploring the cultural and archeological wonders of ancient Persia. #iranwildlife #weasel #alborzmountains","['weasel', 'iranwildlife', 'alborzmountains']",1562364038
5,Bzi8lyGlZ-9,natgeotravel,https://scontent-bom1-2.cdninstagram.com/vp/1c85b4e64aa037844c37b374cda46312/5D9FF8DB/t51.2885-15/fr/e15/p1080x1080/66478884_2414804708845017_3931675435378500201_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA4MTQ5MjQ1NzAwNzQ1NjE4OQ%3D%3D.2,80178,False,188,1350,1080,"Photo by @drewtrush Drew Rush |  D-Rob and Dan enjoy an evening of flying at Curtis Canyon, Wyoming. The wind in the valley can make for ideal flying conditions for paragliding. For more images from this part of the world, follow along with me, @drewtrush.",[],1562353258
6,BzioBjLlBUV,natgeotravel,https://scontent-bom1-2.cdninstagram.com/vp/32be05c6ca375d39065c723f1fce44ea/5DB2349F/t51.2885-15/fr/e15/s1080x1080/65734592_387468942114285_148974395717888889_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA4MTQwMjAwNjE1MzcyOTMwMQ%3D%3D.2,70119,False,264,720,1080,"Photo by @kevinfaingnaert | The walls around Cartagena, Colombia, were built by the Spanish after Sir Francis Drake and other pirates raided the city for Inca gold. The historic center is surrounded by seven miles of these imposing stone walls, complemented by fortifications and bastions, from which you can watch the sunset over the Caribbean Sea.",[],1562342476
7,BziTXkrDcC3,natgeotravel,https://scontent-bom1-2.cdninstagram.com/vp/70f1bf2e8f3e406929708765243045dc/5DA441DD/t51.2885-15/fr/e15/s1080x1080/65228366_468784297248279_7863729659520190469_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA4MTMxMTE2MDYwNzI5MzYyMw%3D%3D.2,152001,False,446,864,1080,"Photo by @kahliaprilphoto | Watching a storm roll roll into view over turquoise lakes. There's no place like Lake O'Hara in British Columbia, Canada.",[],1562331646
8,Bzh-t2YAnkd,natgeotravel,https://scontent-bom1-2.cdninstagram.com/vp/bad5c274748b9ef8080f1898519acd7e/5DAF77A6/t51.2885-15/fr/e15/s1080x1080/66436307_643372589472514_6486452419199535520_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA4MTIyMDMzMjQ2Njg5NTEzMw%3D%3D.2,143601,False,291,864,1080,"A jaguar paces in tall grass at the Jaguar Reintroduction Center in the Esteros del Iberá, Corrientes Province in northeastern Argentina. The first two jaguars born in this vast wetlands in over seventy-five years mark their first birthday this month. They were born at the Center that is run by Conservation Land Trust Argentina (CLTA), the Argentine team of Tompkins Conservation, in the middle of the brand new Iberá National Park. The young jaguars will one day roam wild and free in Iberá, and that day will mark the return of the top predator to the ecosystem.  Jaguar reintroduction is only one aspect of a long term “re-wilding” project initiative in the region—CLTA is working to restore all the original species to Iberá and are also working with local communities to build a new, sustainable economy based around wildlife tourism.  For more photos of this unique & wild part of the world, follow me, @bethjwald #parqueiberacorrientes #rewilding #yaguarate #jaguar","['rewilding', 'jaguar', 'parqueiberacorrientes', 'yaguarate']",1562320818
9,BzhqLZ6AfeA,natgeotravel,https://scontent-bom1-2.cdninstagram.com/vp/1180ab14e4f576f33ea7bbdc0f56e9f9/5DC16C5C/t51.2885-15/fr/e15/p1080x1080/65215754_937464236605692_3676330342020685586_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA4MTEzMDAwNDUwNjM0MzI5Ng%3D%3D.2,138794,False,499,1350,1080,"Photo by Gabriele Galimberti @gabrielegalimbertiphoto and Paolo Woods @paolowoods | A man and his bride-to-be pose for their pre-wedding photos in front of the Marina Bay Sands Hotel in Singapore, host to one of the world’s biggest casinos. Pre-wedding photo shoots are common for people in this part of the world. #singapore #wedding","['wedding', 'singapore']",1562310051
