,shortcode,username,display_url,edge_media_preview_like,comments_disabled,edge_media_to_comment,dimensions_height,dimensions_width,edge_media_to_caption,tags,taken_at_timestamp
0,BzjnTzPB5v1,natgeoyourshot,https://scontent-bom1-2.cdninstagram.com/vp/de7e0c0997d498d79d691c7cbc5fbcf5/5DC133EF/t51.2885-15/e35/s1080x1080/66301087_383648475593760_4601768266646908826_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA4MTY4MDMzNzI3MjI4MjEwMQ%3D%3D.2,19859,False,99,753,1080,"Gold Run | Photograph by Elena Pochesneva
.
“This was one of my most impressive photo experiences, on the sea coast at sunset in Carargue Natural Park in Provence, France! It was like a dream, like a tale which became the reality,” writes #YourShotPhotographer Elena Pochesneva. “The white horseese living in Camargue Natural Park are really so beautiful, so free.”
—
“Great action image here. Capturing the water flying up into the air as the horses run through it makes for a great moment. I love how you framed this with the horses just off of the center of the frame and you have some nice space to the foreground of the image.” — @natgeo Senior Producer Matt Adams (@themattadams)",['YourShotPhotographer'],1562375655
1,Bzi3dfoh4yy,natgeoyourshot,https://scontent-bom1-2.cdninstagram.com/vp/1b0c4942f0d6e0af303b918d877e670c/5DC526FA/t51.2885-15/e35/s1080x1080/66342497_349809688991070_2028946129760942341_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA4MTQ2OTg5NzE4NzQ5NTA5MA%3D%3D.2,14312,False,53,720,1080,"Sundaes on Sunday | Photograph by Jessica Dalton (@travelologie_)
.
#YourShotPhotographer Jessica Dalton photographed two sisters enjoying a cool treat on a hot Father’s Day at Brent’s Drug, a diner and soda fountain in Jackson, Mississippi.
—
""Congrats on an amazing image, Jessica! This scene has that classic diner feel with the aqua colors, booth seating, and of course, the ice cream sundae. What a great moment to capture for your family. Great work!"" — #YourShotPhotographer Stephanie Thomson",['YourShotPhotographer'],1562350569
2,BziZA4RhPin,natgeoyourshot,https://scontent-bom1-2.cdninstagram.com/vp/b984024d7f3d622564a1fd89739c84fc/5DC3A1BF/t51.2885-15/e35/p1080x1080/65306275_652197985246512_662538966506688702_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA4MTMzNTk4OTM4NDgzNzI4Nw%3D%3D.2,33586,False,169,1326,1080,"Top Shot: Taking a Soak| Photograph by Susan E.
.
#YourShotPhotographer Susan E. documented this pyrrhuloxia, also known as a desert cardinal, as it took a soak on a hot day in southern Texas. This photo was selected for the Daily Dozen on July 3, 2019.
—
Top Shot features the photo with the most votes from the previous day’s Daily Dozen, 12 photos chosen by the Your Shot editors from thousands of recent uploads. Our community votes for their favorite photo from the selection, and the Top Shot is showcased on the @natgeoyourshot Instagram account.",['YourShotPhotographer'],1562334606
3,BzgxyuVBSXN,natgeoyourshot,https://scontent-bom1-2.cdninstagram.com/vp/de1067f445fde80e7a110a3fb24a312c/5DA1ED2E/t51.2885-15/e35/s1080x1080/65456654_2337364663200521_5141710177272126843_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA4MDg4MjAxNzg0MjgzMjg0NQ%3D%3D.2,25620,False,125,894,1080,"Roam Free | Photograph by Tomas Thibaud
.
A herd of vicuñas crosses the road in Catamarca, Argentina. The vicuña is related to the alpaca, and its warm wool is highly valuable and closely protected.
—
Today we are featuring @natgeoyourshot photographs selected for @natgeo “Photo of the Day.” To see more, go to natgeo.com/pod. #YourShotPhotographer",['YourShotPhotographer'],1562280488
4,BzgJXhSheBx,natgeoyourshot,https://scontent-bom1-2.cdninstagram.com/vp/c08a83d50809b29cc2b31e066381d0a8/5DA575AD/t51.2885-15/e35/s1080x1080/65913855_481471162656720_4177948305475021459_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA4MDcwNDIyNjU1NTk3Nzg0MQ%3D%3D.2,33348,False,195,856,1080,"Feeding Frenzy | Photograph by Jason Washington (@caymanjason)
.
In the Cayman Islands, a tarpon cuts through a school of fish, eating a few at a time in each bite. Tarpons can grow up to 8 feet long, and can tip the scales at 240 pounds.
—
Today we are featuring @natgeoyourshot photographs selected for @natgeo “Photo of the Day.” To see more, go to natgeo.com/pod. #YourShotPhotographer",['YourShotPhotographer'],1562259294
5,BzfvVYThFGf,natgeoyourshot,https://scontent-bom1-2.cdninstagram.com/vp/19a314ae444bbcd12a43b73a749d9508/5DA3890D/t51.2885-15/e35/s1080x1080/65609028_2148609235436466_4304906235406075190_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA4MDU4OTczMDI2MDczNDM2Nw%3D%3D.2,61907,False,420,719,1080,"Sail Away | Photograph by Kati Seiffer
.
A sailboat stands out against the white canvas of an iceberg. ""The peacefulness and beauty of a moment like was well worth being out on a sailboat for hours in Disko Bay in Greenland,"" says #YourShotPhotographer Kati Seiffer. ""I've never felt more relaxed.""
—
Today we are featuring @natgeoyourshot photographs selected for @natgeo “Photo of the Day.” To see more, go to natgeo.com/pod.",['YourShotPhotographer'],1562245645
6,Bzemth_BGSd,natgeoyourshot,https://scontent-bom1-2.cdninstagram.com/vp/93b2c9f2d697afa6e952f3d3c60cf140/5DC07923/t51.2885-15/e35/s1080x1080/65641928_141303520299194_6313165187370142595_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA4MDI3MDMzMjUyNjM1NTYxMw%3D%3D.2,24721,False,124,776,1080,"Ballerina | Photograph by Pascal Mueller
.
#YourShotPhotographer Pascal Mueller photographed a ballerina at the Academy of Fine Arts in Munich, Germany.
—
“This photo is fantastic — the light spotlights the ballerina perfectly. I love that you saw, and captured this moment... this frame feels so quiet. So intimate. I feel like I'm in the room — just me and her — watching warm-ups right before the performance. Well done!” — @natgeoyourshot Producer David Y. Lee (@davidylee)",['YourShotPhotographer'],1562207570
7,BzdvJPOh2g8,natgeoyourshot,https://scontent-bom1-2.cdninstagram.com/vp/de94a9761ffb6c8f6a840ea86fa02fe2/5DC6FA2F/t51.2885-15/e35/s1080x1080/62237606_489768651796923_1439004620140626684_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA4MDAyNTk0NTkyNjIzMjEyNA%3D%3D.2,13402,False,66,719,1080,"Morning Glide | Photograph by Tom Schifanella (@tom.in.abf)
.
#YourShotPhotographer Tom Schifanella photographed surfer Ross Loehr nosediving his new blue longboard at the Mayport Poles in Jacksonville, Florida on the morning of July 1, 2019.
—
""This image is absolutely breathtaking!! The glistening of the sun as it pierces through the water is magical! The angle showing just the feet really gives a sense of the momentum of the waves. You can really feel the adrenaline, surrealness, and even calmness in this capture happening all at once. Love, love, LOVE it!"" — #YourShotPhotographer Megan Garcia",['YourShotPhotographer'],1562178436
8,BzdbNHRh1_Z,natgeoyourshot,https://scontent-bom1-2.cdninstagram.com/vp/7f46c6b8838a007398e65bf5711edf8c/5DBE742C/t51.2885-15/e35/s1080x1080/65592810_2272856276138449_2694692193079498896_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3OTkzODI1MTMzNDMxMTg5Nw%3D%3D.2,19566,False,104,718,1080,"Saving Endangered Sea Turtles | Photograph by Esther Horvath (@estherhorvath)
.
“A rescued and endangered loggerhead named after an American state park in Virginia, ‘Hungry Mother’ gets pulled out of her tank by staff members of Marine Animal Care Center at the Virginia Aquarium for her every other day treatment,” writes #YourShotPhotographer Esther Horvath. “Hungry Mother is a cold-stranded sea turtle that washed ashore in North Carolina.”
—
""Great photo and narrative! What great women and what a wonderful work they're doing! I love the looks of caring on their faces and the trust the turtle is giving them."" — #YourShotPhotographer Tamra Ratieta",['YourShotPhotographer'],1562167982
9,BzdQDwCBzdR,natgeoyourshot,https://scontent-bom1-2.cdninstagram.com/vp/a9b7bac47e11b9931f76c7da92af1d0b/5DB923A9/t51.2885-15/e35/s1080x1080/65188531_121082948871362_4364816921483093814_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3OTg4OTIyOTM5MTI3OTk1Mw%3D%3D.2,65290,False,385,862,1080,"Top Shot: Shake it Off | Photograph by Christi Sanderson (@followyourartimages)
.
#YourShotPhotographer Christi Sanderson photographed this wild mare shaking herself off after a day of play and rolling around in the dust near Fort McDowell, Arizona. This photo was selected for the Daily Dozen on July 2, 2019.
—
Top Shot features the photo with the most votes from the previous day’s Daily Dozen, 12 photos chosen by the Your Shot editors from thousands of recent uploads. Our community votes for their favorite photo from the selection, and the Top Shot is showcased on the @natgeoyourshot Instagram account.",['YourShotPhotographer'],1562162139
