,shortcode,username,display_url,edge_media_preview_like,comments_disabled,edge_media_to_comment,dimensions_height,dimensions_width,edge_media_to_caption,tags,taken_at_timestamp
0,Bx9ZYs4h-ik,navya8528,https://scontent-bom1-2.cdninstagram.com/vp/edc1e30f64af141dad01dbb7a779329c/5DB2876D/t51.2885-15/e35/60016836_1504509363025381_7035281911526305321_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1MjkwODY1Mzc3NDEwNDc0MA%3D%3D.2,4286,False,106,819,750,❤😍😘 Love Life .. 😘 #animallovers #instagram #dogsofinstagram ❤😍,"['instagram', 'dogsofinstagram', 'animallovers']",1558945803
1,Bx9TQcyh0XW,navya8528,https://scontent-bom1-2.cdninstagram.com/vp/6c22d275e034212dc58e4ba619379859/5DA0DC16/t51.2885-15/e35/61169163_447231052705969_84458943965364736_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1Mjg4MTY5ODQ1ODY1MDA3MA%3D%3D.2,5386,False,160,641,640,❤❤❤❤❤,[],1558942590
2,BxHe_oYhJfR,navya8528,https://scontent-bom1-2.cdninstagram.com/vp/40f6d53c7d18a7c74d7d1c50267677c6/5DA50100/t51.2885-15/e35/56393276_136268224195025_5105620079138832066_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjAzNzczMzY3MDQ5MTgyMjAzMw%3D%3D.2,4910,False,153,750,750,NEUTRAL,,1557136804
3,BxF6bDfhsTr,navya8528,https://scontent-bom1-2.cdninstagram.com/vp/c2476f6b2c208a2aff9643e4703789e7/5DA4AF93/t51.2885-15/e35/59345522_335091133863689_763872822793127074_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjAzNzI5MTM1MjMyODY4NDc3OQ%3D%3D.2,6888,False,174,1080,1080,Suit lover ❤❤ #cute #instaqueen👑,"['cute', 'instaqueen']",1557084076
4,BxCFonhB213,navya8528,https://scontent-bom1-2.cdninstagram.com/vp/13936143a2a3ebdc89bb30055dfb6b53/5DAE66EB/t51.2885-15/e35/57402396_2239489899644911_3448671807727033377_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=8&ig_cache_key=MjAzNjIxNDc2Mjk2NjU3NjUwMw%3D%3D.2,2923,False,34,1080,1080,❤❤,[],1556955736
5,Bwpi662hOEn,navya8528,https://scontent-bom1-2.cdninstagram.com/vp/6b26748b2e9589ec560e6ac68cd620db/5DAC1677/t51.2885-15/e35/58468364_411331959421659_2622798468613933308_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjAyOTMwNjY4OTYwOTg1MTE3NQ%3D%3D.2,4037,False,69,1350,1080,random 💓💓❤,[],1556132230
6,BwkLpc8hO8z,navya8528,https://scontent-bom1-2.cdninstagram.com/vp/1744ce44adf283672642016020574463/5DA9BA07/t51.2885-15/e35/56775885_2223794374599448_8191530739335122279_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjAyNzc5Njk1OTMxMzg1MDE2Mw%3D%3D.2,7144,False,162,1080,1080,❤❤❤❤❤,[],1555952256
7,BwRjFvIhlgG,navya8528,https://scontent-bom1-2.cdninstagram.com/vp/ac6f7c40ef21b8ae0ea11ac5acc1d299/5DBBBFE4/t51.2885-15/e35/56189751_847756672252184_100986337709231137_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjAyMjU1MjAzMzUwMDIyMzQ5NA%3D%3D.2,4991,False,126,1237,1080,💓💓❤❤💓,[],1555327012
8,Bv8xe2dBkba,navya8528,https://scontent-bom1-2.cdninstagram.com/vp/0c2105d64b70e4cd4c95747a331b5bd5/5DA5DEAE/t51.2885-15/e35/54512811_171228677199826_8647973451012141520_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjAxNjcwNDM1NzQ4NzQ5NDg3NA%3D%3D.2,8199,False,337,1350,1080,❤❤❤,[],1554629915
9,Bvg6EEHhhYQ,navya8528,https://scontent-bom1-2.cdninstagram.com/vp/6aa73dad5164850d57d40688bd535f3f/5DBDAE3A/t51.2885-15/e35/54266346_631107810672819_3372130734189469387_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjAwODg2MDc5OTgwMzk4NzQ3Mg%3D%3D.2,6176,True,0,785,750,NEUTRAL,,1553694890
