,shortcode,username,display_url,edge_media_preview_like,comments_disabled,edge_media_to_comment,dimensions_height,dimensions_width,edge_media_to_caption,tags,taken_at_timestamp
0,BzN-qCXnbUj,nickiminaj,https://instagram.fdel3-1.fna.fbcdn.net/vp/2c295b3a0773b5d5395e4f74da9b8ec8/5DA2FA3C/t51.2885-15/e35/s1080x1080/64838148_1174313052751904_2703783224457742885_n.jpg?_nc_ht=instagram.fdel3-1.fna.fbcdn.net&ig_cache_key=MjA3NTU5MDU3MDkzMzA3MzE4Nw%3D%3D.2,1772019,False,22293,1080,1080,#BaddieBaddie I keep it tight for zaddy,['BaddieBaddie'],1561649699
1,BzLeqNCnnCQ,nickiminaj,https://instagram.fdel3-1.fna.fbcdn.net/vp/e80cf67279b2fe7db06e1d88d1c0d746/5DA7D4F8/t51.2885-15/e35/s1080x1080/64461192_1072361132973872_1741406012656070765_n.jpg?_nc_ht=instagram.fdel3-1.fna.fbcdn.net&ig_cache_key=MjA3NDg4Njg5NDk1MDE4MzA1Ng%3D%3D.2,2503348,False,40040,1080,1080,💋,[],1561565814
2,BzB8h9yHFbB,nickiminaj,https://instagram.fdel3-1.fna.fbcdn.net/vp/29530b8f1eb0afcaf630877dd0e55fae/5DC5C680/t51.2885-15/e35/p1080x1080/62267788_2381233275230271_4236360537411960038_n.jpg?_nc_ht=instagram.fdel3-1.fna.fbcdn.net&ig_cache_key=MjA3MjIwMzUyMDQzOTUwNjYyNQ%3D%3D.2,2148509,False,24367,1350,1080,NEUTRAL,,1561245931
3,BzBlVzHn7X7,nickiminaj,https://instagram.fdel3-1.fna.fbcdn.net/vp/da7e8b8050823607255dfaf0a58e3127/5DB3B8BA/t51.2885-15/e35/64476667_111783010101302_6421360834236898950_n.jpg?_nc_ht=instagram.fdel3-1.fna.fbcdn.net&se=7&ig_cache_key=MjA3MjEwMTUyOTI4NTgwMTQ2Nw%3D%3D.2,1065431,False,6943,1080,1080,#Brrratatatat EPISODE 13 of #QueenRadio is now up on demand on #AppleMusic S/O to all my guests for coming thru yesterday & thx to u for making it another record breaking show 🙏🏽 @djclue @blacchyna,"['QueenRadio', 'AppleMusic', 'Brrratatatat']",1561233772
4,By-XL_gnhPj,nickiminaj,https://instagram.fdel3-1.fna.fbcdn.net/vp/1fedda1b786ae959a2f3e02eb9e47092/5DA46A1F/t51.2885-15/e35/s1080x1080/62398515_2270983019664887_1223519953427186676_n.jpg?_nc_ht=instagram.fdel3-1.fna.fbcdn.net&ig_cache_key=MjA3MTE5NDg1NzgxMzk3MTkzOQ%3D%3D.2,1243287,False,31844,1080,1080,"#Megatron — first solo song by a female rapper to go #1 on US iTunes since Chun-Li. Thank you 🙏🏽♥️‼️💋🎉🦄 #1 overall, #1 HipHop, #1 Video (link in bio) — #QueenRadio in 7 hours!!! 2PM PST ❣️❣️❣️❣️","['Megatron', '1', 'QueenRadio']",1561125689
5,By8G2vKHk8P,nickiminaj,https://instagram.fdel3-1.fna.fbcdn.net/vp/7bdc357b94e0c6895a60a7dea978ecb4/5DB78789/t51.2885-15/e35/s1080x1080/62004244_426267441551577_3393625654231668081_n.jpg?_nc_ht=instagram.fdel3-1.fna.fbcdn.net&ig_cache_key=MjA3MDU2MDA3ODQ1MDAyMDExMQ%3D%3D.2,1150768,False,20218,1080,1080,"#Megatron VIDEO @ MIDNIGHT EST
#QueenRadio tmrw @ 2PM PST 🦄","['Megatron', 'QueenRadio']",1561050017
6,ByqIlixHM87,nickiminaj,https://instagram.fdel3-1.fna.fbcdn.net/vp/634f5f83dd0549443257953ea287f627/5DAB07FE/t51.2885-15/e35/s1080x1080/61879669_138568173995088_3525244491898280707_n.jpg?_nc_ht=instagram.fdel3-1.fna.fbcdn.net&ig_cache_key=MjA2NTUwMTE0MzQyNjcxNTQ1MQ%3D%3D.2,2503363,False,78921,1080,1080,#Megatron 6|21,['Megatron'],1560446945
7,BxsZcMZn8mA,nickiminaj,https://instagram.fdel3-1.fna.fbcdn.net/vp/f3673f6334a711d4a3063824e91b3f0a/5DAD2415/t51.2885-15/e35/s1080x1080/61103851_162184611477915_5099226445423248053_n.jpg?_nc_ht=instagram.fdel3-1.fna.fbcdn.net&ig_cache_key=MjA0ODEyMzgxOTE2OTY2MzM2MA%3D%3D.2,1619945,False,42804,1080,1080,#WobbleUpVIDEO out now 🎀🍭🧁,['WobbleUpVIDEO'],1558375407
8,BxsZDs3HVzM,nickiminaj,https://instagram.fdel3-1.fna.fbcdn.net/vp/e47b68bb75bf96e83cbb561fd0b30b68/5DB1623E/t51.2885-15/e35/s1080x1080/59927953_336524593720710_1252222485808359263_n.jpg?_nc_ht=instagram.fdel3-1.fna.fbcdn.net&ig_cache_key=MjA0ODEyMjEzNjAzNzI1MjMwMA%3D%3D.2,1427363,False,32801,1080,1080,#WobbleUpVIDEO OUT NOW,['WobbleUpVIDEO'],1558375206
9,BxK7m0rH4ty,nickiminaj,https://instagram.fdel3-1.fna.fbcdn.net/vp/2e55c78a6a3b6473ce5157d98e6ab402/5DC591DA/t51.2885-15/e35/s1080x1080/59405744_441441869999015_5777455855438028698_n.jpg?_nc_ht=instagram.fdel3-1.fna.fbcdn.net&ig_cache_key=MjAzODcwMzkzMzk4MDkwNDMwNg%3D%3D.2,2109928,False,35010,1080,1080,🌷@prabalgurung @troublewithprabal 🌷,[],1557252469
