,shortcode,username,display_url,edge_media_preview_like,comments_disabled,edge_media_to_comment,dimensions_height,dimensions_width,edge_media_to_caption,tags,taken_at_timestamp
0,BzPAAH0hQEA,nicolettemason,https://scontent-bom1-2.cdninstagram.com/vp/4b64c4189f94d34cc52c9d1c59742763/5DBA6DA6/t51.2885-15/e35/p1080x1080/62140709_115107529762596_6403244158429204901_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3NTg3Nzk2MTYzODQxMjU0NA%3D%3D.2,4617,False,212,1350,1080,"pride 🌈 love to love you, love to be loved by you 💞",[],1561683958
1,BzOg554B8ZZ,nicolettemason,https://scontent-bom1-2.cdninstagram.com/vp/67b80eb908d811cb9e7efefc16e84741/5DA5932C/t51.2885-15/e35/p1080x1080/64525584_1096807933847513_5376149015474862880_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3NTc0MTE5NDkwNjIyNDIxNw%3D%3D.2,1029,False,27,1350,1080,"Back to wearing a variation of this basically every day 😎 BRING ON THE HUMIDITY, I have @megababe and hairspray and I’m ready. @lydiahudgensphoto",[],1561667654
2,BzGaJHpBpO5,nicolettemason,https://scontent-bom1-2.cdninstagram.com/vp/ddadfd9bf34f59d2425b64eac6f1f1c3/5DB5826A/t51.2885-15/e35/p1080x1080/62618168_2232345566860944_8230490581230574771_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3MzQ1OTY1NDMzOTc2MTA4MQ%3D%3D.2,797,False,61,1349,1080,"Make love fun, personal and playful! Whether you're playing solo, with a partner, or with partners, @koparibeauty's new love melt can be a fun addition, made with 100% clean ingredients including coconut oil, aloe vera, and a touch of chamomile (for anti-inflammatory and anti-microbial qualities), and it's free of petroleum, parabens, and fragrances. It melts on contact, so you can squeeze it out, rub it all over, and go coconuts 🥥🥥🥥 #makelovemelt #koparibeauty #ad","['koparibeauty', 'ad', 'makelovemelt']",1561395674
3,BzEs4echnAy,nicolettemason,https://scontent-bom1-2.cdninstagram.com/vp/983341856129df4e1550af20ff146638/5DA70489/t51.2885-15/e35/p1080x1080/65301649_154132172417175_8429788335028373794_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3Mjk3OTEyMzUyNTI4Mzg5MA%3D%3D.2,1499,False,50,1350,1080,"Yes, I DID pop out of the car on the way to a baby shower just to snap this quick photo. Can you blame me? LA has some really good cars.",[],1561338390
4,By8_YY6BEbg,nicolettemason,https://scontent-bom1-2.cdninstagram.com/vp/74fee0688abf35c603060cf9673b518d/5DB41B87/t51.2885-15/e35/p1080x1080/64664900_2280858998797687_2058844463539163191_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3MDgwODY4MTYyNDM4OTM0NA%3D%3D.2,1665,False,46,1349,1080,“Am I depressed or do I just need a haircut?” The Nicolette Mason story 💇🏻 Rectified my morning hair woes by immediately making an appointment with @nicolasfloreshair then spending the afternoon playing with new @oribe products (their anti-humidity spray is part of my holy grail)!! Will update you all on the state of my mental health after this bang trim!! #oribeobsessed,['oribeobsessed'],1561079653
5,By1PpEthc8d,nicolettemason,https://scontent-bom1-2.cdninstagram.com/vp/2f23ef6ae72672b4f611c728a914e907/5DB0C5A0/t51.2885-15/e35/s1080x1080/62007000_176427990027429_6283661519042404249_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2ODYyODM5NzEwMTUzNTAwNQ%3D%3D.2,623,False,19,1080,1080,"I remember my first time I felt like I had found queer community: it was the summer before my senior year of high school, and I went to New York to study art at Parsons. The Sunday that I arrived in NYC, June 29 2003, was coincidentally the same day as New York City pride. The first person I met, Joe, and I decided to walk over to 5th Avenue and watch as the parade came down the street. More than anything, that summer served as an intensive in giving me understanding, language, and a sense of belonging in my own identity. I learned about and fell in love with the work of Catherine Opie, I spent afternoons at the piers with friends, I went to see Rent on Broadway with my friend Ojay, and knew that I was just beginning to figure out how expansive queer culture, and love, and relationships, and community can all be. I was enormously privileged to have that experience at 17 years old, and I know first hand how powerful and transformative it can be to have a supportive network of peers and mentors as we navigate our individual identities. In the spirit of that discovery, I'm proud to work with @fossil in support of #HMIxFossil #MakeTimeForGood. This pride month, Fossil is supporting the Hetrick Martin Institute with 100% of proceeds on the sale of their Live in Color watch going to HMI - the largest organization supporting LGBTQ youth and their families. As we celebrate 50 years since Stonewall, and 40 years since HMI opened it's doors, I want to aim the spotlight on the important organizations doing this work not just during Pride month, but all year long 🌈❤","['MakeTimeForGood', 'HMIxFossil']",1560819743
6,By0nioJBDes,nicolettemason,https://scontent-bom1-2.cdninstagram.com/vp/24484b3b192f60c80b96876a15897c23/5DBD6A2A/t51.2885-15/e35/p1080x1080/62134890_197377411245188_3371488876794984116_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2ODQ1MjAzMjI0Njk4NjY2OA%3D%3D.2,2923,False,156,1325,1080,"Okay, so... I’ve been getting a LOT of questions lately talking about what many have affectionately referred to as “the girls” or 🍒 or 🍈🍈 — so, let’s talk about it! They appeared basically over night when I was in the 5th grade and I genuinely never had a “training bra phase” because I went from pre-pubescent and flat chested to a D cup before I could even really understand what these body changes meant. I now wear a 36H and while I like my body on most days, I’ve also thought about breast reduction since I was a teenager, and still wonder how it might change my life. As for bras - I have and love SO MANY and am so grateful there are more beautiful options now than there ever have been in my lifetime. And finally, going braless (like I am here) is very, very new to me - and to be honest, I kind of love it, even though it’s also a bit intimidating and I feel like I’m breaking a LOT of rules, (and maybe those rules are kind of oppressive and rooted in respectability politics, anyways). Lots of tangents, here, but I get so many DMs about bras and cleavage and what to wear with XYZ that I figure, why not talk about it all in one place? Anyways, if you need bra recs, or tips on how to ditch them, or are struggling with boob sweat or something, leave a comment below and I’ll do my best to share my not-so-secrets with you, cause boobs are great (if you want them!) 📸 @taylorkrausecreative",[],1560798718
7,ByqJ3fqBF2K,nicolettemason,https://scontent-bom1-2.cdninstagram.com/vp/0e2c049c17d77a4645fda12365349d37/5DAECAE7/t51.2885-15/e35/p1080x1080/62538720_2583204338371020_3684811553420670666_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2NTUwNjc3NTA4MzUzOTg1MA%3D%3D.2,2314,False,121,1350,1080,"It’s all in the details 💎 in love with these sparkling lab-grown diamond stackable rings from @lightboxjewelry. I almost never see hands or bodies that look like mine with fine jewelry, and it always makes me think of who or what gets to be deemed “aspirational,” so this ones for all my other chubby finger babes with champagne taste 🥂 #lightboxjewelry #ad 📸 @taylorkrausecreative","['lightboxjewelry', 'ad']",1560447616
8,ByT78PChrOr,nicolettemason,https://scontent-bom1-2.cdninstagram.com/vp/2c8c0f29722f2b7c048d09e5fd92d1b2/5DBB0772/t51.2885-15/e35/s1080x1080/61919536_459489851464648_4866848427533505523_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1OTI1MzA3ODY5OTcxNzU0Nw%3D%3D.2,5987,False,298,1080,1080,"“A Taurus getting ready to stay in”.... BUT ACTUALLY. Just laying low with this lingering summer cold, and thought I’d take at least one decent pic in this dress before I send it back to it’s home 😂",[],1559702118
9,ByETFbVh33W,nicolettemason,https://scontent-bom1-2.cdninstagram.com/vp/9d4390f0e275dbeaf466ebaa133a8923/5DB8D4D6/t51.2885-15/e35/p1080x1080/61133735_701344683652016_3718872778827725646_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1NDg1MTI2NTgyMTExMzgxNA%3D%3D.2,1619,False,94,1350,1080,"In subtle and not-so-subtle ways, I wear my pride and identity on my sleeve every day; learning what ""femme"" identity was and the many ways that it can look, and that my femininity can be intentional and subversive, has liberated me to be my truest self in ways I never imagined. I'm so grateful to just... be ME, and have space to celebrate that -- not just during pride month, but all year round. I'm excited to partner with @fossil in support of their limited edition Live in Color watch, with 100% of proceeds going to @hetrickmartin, the largest LGBTQ youth organization in the country. #HMIxFossil #MakeTimeForGood #ad","['MakeTimeForGood', 'ad', 'HMIxFossil']",1559177381
10,Bx5JGOKhAIh,nicolettemason,https://scontent-bom1-2.cdninstagram.com/vp/c63a821e09a4e39c9cd81d2b0f0451b9/5DA83C48/t51.2885-15/e35/p1080x1080/60922320_2279786445577770_709883296949946254_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1MTcxMTExNTE4ODI0MDkyOQ%3D%3D.2,4957,False,210,1233,1080,I’ve got 99 problems but literally none of them fit into my tiny bag 👛 #miami,['miami'],1558803046
11,Bx235u_BvC0,nicolettemason,https://scontent-bom1-2.cdninstagram.com/vp/59787345d1ffa33f2e848cf20d3c1f53/5DB82D64/t51.2885-15/e35/p1080x1080/60823301_105404537293813_8211073750674754363_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1MTA3MjU0MDMzMTY2NzYzNg%3D%3D.2,5126,False,228,1349,1080,"Cellu-LIT in Miami 🔥 living my best life in this look except I will warn that I did get a literal “no shirt, no service” and had to walk to a liquor store and buy a tank top just to have lunch 😂😂",[],1558726922
12,Bxve81AlWMA,nicolettemason,https://scontent-bom1-2.cdninstagram.com/vp/942fba507b26af7b9a495329f21d0ea6/5DBF6385/t51.2885-15/e35/p1080x1080/60252808_632874710510444_2643688413611841583_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA0ODk5MjQ3Njk1ODkwOTE4NA%3D%3D.2,1740,False,63,1349,1080,"Tiny bag, big dreams, bigger boobs. 🍒 
@lydiahudgensphoto",[],1558478959
