,shortcode,username,display_url,edge_media_preview_like,comments_disabled,edge_media_to_comment,dimensions_height,dimensions_width,edge_media_to_caption,tags,taken_at_timestamp
0,BzkKtvdBCAd,rdchahar1,https://scontent-bom1-2.cdninstagram.com/vp/b923608eeb93074e8ef658b991c4422e/5DAE3F91/t51.2885-15/e35/p1080x1080/65269331_150366399470636_4608746957357303588_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA4MTgzNjA1MTU0NjI1MTI5Mw%3D%3D.2,14819,False,72,1350,1080,Off to #WestIndies with my brother @deepak_chahar9 ✈️ #IndiaA #bleedblue #chahars,"['IndiaA', 'bleedblue', 'WestIndies', 'chahars']",1562394218
1,BzTNhsIh9_2,rdchahar1,https://scontent-bom1-2.cdninstagram.com/vp/f08905c4d374d114e074c5024ab17ee9/5DB6803A/t51.2885-15/e35/65927277_2351323898244767_8734778401113150609_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=8&ig_cache_key=MjA3NzA2MzM0Mjg4MzA2OTk0Mg%3D%3D.2,20253,False,75,1080,1080,"Sky above, Sand below, Peace within 🏝 #majormissing @kayak",['majormissing'],1561825267
2,By4wzDKBHRK,rdchahar1,https://scontent-bom1-2.cdninstagram.com/vp/178dde3eb8f77144c7797c675015e2ca/5DBB5DBE/t51.2885-15/e35/62266408_870010056687298_601259606908311384_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2OTYxODY0MzA5MTg3ODk4Ng%3D%3D.2,32843,False,76,640,640,"The fighter, the Legend! A true inspiration to every cricketer. Thank you for all the memories and  entertaining all the 90’s kids. You will definitely be in our hearts forever paaji. You retire, but your records don’t. 💪🏻 @yuvisofficial",[],1560937789
3,Byw-kKGBuEW,rdchahar1,https://scontent-bom1-2.cdninstagram.com/vp/6de615fc8063c152c34f2f6736485123/5D9FE1B2/t51.2885-15/e35/p1080x1080/62130450_472623250167027_6925461489477505431_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2NzQyNzM5MjU4NjQ0MDk4Mg%3D%3D.2,22592,False,38,1350,1080,Life is clearer when you stay above the clouds ☁️ Holiday well-spent at the @grandhyatterawan . Who will not love this! #travelasia,['travelasia'],1560676572
4,Byc-3LfBvCc,rdchahar1,https://scontent-bom1-2.cdninstagram.com/vp/2fe5865f3312ce4ce4b81203754db291/5DAD57C2/t51.2885-15/e35/s1080x1080/62262168_304731970412862_5403140788072010244_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2MTc5OTIwMDIxNTQ2MjA0NA%3D%3D.2,46925,False,99,951,1080,#chahars,['chahars'],1560005639
5,ByUy6RtBSGA,rdchahar1,https://scontent-bom1-2.cdninstagram.com/vp/d2d373de302712b1c30bd193f3e79758/5DB41658/t51.2885-15/e35/p1080x1080/61243351_280084992781439_2895756490238479935_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1OTQ5NDgzNjY3OTI4NzE2OA%3D%3D.2,21074,False,97,1197,1080,Catch me if you can 😉,[],1559730938
6,ByKtfMDh3CU,rdchahar1,https://scontent-bom1-2.cdninstagram.com/vp/ce0c399b1817f92e399fccf05e710892/5DC323BE/t51.2885-15/e35/60308413_116426016254784_6106334871761325211_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=8&ig_cache_key=MjA1NjY1NjIzNTE4ODk0MDk0OA%3D%3D.2,22887,False,62,1080,1080,Back in my Whites #IndiaA #Test,"['IndiaA', 'Test']",1559392550
7,Bxhzc8NhEfV,rdchahar1,https://scontent-bom1-2.cdninstagram.com/vp/49acb33ae15d70d7769b54913f30826c/5DAA032D/t51.2885-15/e35/59404086_2257221664606303_2044987735023121535_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=8&ig_cache_key=MjA0NTE0MTk5NDk3MTYxMzE0MQ%3D%3D.2,44758,False,181,1080,1080,"A perfect end to this IPL. Holding the trophy as high as I can
Thank you #mipaltan #keepsuporting  #duniyahiladengehum","['keepsuporting', 'mipaltan', 'duniyahiladengehum']",1558019945
8,BxX_ie4hxLd,rdchahar1,https://scontent-bom1-2.cdninstagram.com/vp/4d6c4190ab9a95515bb1ed8898753653/5DA489E3/t51.2885-15/e35/58423653_659762897800165_2852942752835626666_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=8&ig_cache_key=MjA0MjM4MDQwMjU4ODg0ODg2MQ%3D%3D.2,114497,False,658,1269,1080,"🏆 Champions IPL 2019 🏆
 #duniyahiladengehum #onefamily #mumbaiindians","['onefamily', 'duniyahiladengehum', 'mumbaiindians']",1557690738
9,BxUaJ1_hypx,rdchahar1,https://scontent-bom1-2.cdninstagram.com/vp/e25c801aa625a37cf62e10cc2ec6a50d/5DB48BF5/t51.2885-15/e35/59888015_114117119802112_3994516474137568099_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=8&ig_cache_key=MjA0MTM3MTU1Njc2NDM5NjE0NQ%3D%3D.2,37157,False,151,1330,1080,"Today we head for the last practice session for this @iplt20 before the Big Game tomorrow 🏆💙 Keep supporting @mumbaiindians 
#mivscsk #finals","['finals', 'mivscsk']",1557570474
10,BxPD1oBhD-D,rdchahar1,https://scontent-bom1-2.cdninstagram.com/vp/334c5090518e7d1cf2a1ceb4260f03db/5DBD4631/t51.2885-15/e35/58454152_635274290268855_132679481174793367_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjAzOTg2NjAzNTQ2OTA0MTUzOQ%3D%3D.2,44150,False,145,640,640,"My communication skills are getting better 😉
#playoffs #ipl2019","['ipl2019', 'playoffs']",1557391002
11,BxK9n7IB4zB,rdchahar1,https://scontent-bom1-2.cdninstagram.com/vp/358d73321aa33c006cb508a6f2fe671f/5DBF59F4/t51.2885-15/e35/p1080x1080/58409632_444399533002117_1780220892875774345_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjAzODcxMjgwNTcyMDgyMDkyOQ%3D%3D.2,50333,False,340,1224,1080,Definitely a great feeling contributing in such crucial matches #mivscsk,['mivscsk'],1557253526
12,Bw_UZaJhmfw,rdchahar1,https://scontent-bom1-2.cdninstagram.com/vp/6f28714a27ed2af45464e6486ece7f4b/5DBF9190/t51.2885-15/e35/59129622_578999082594200_4058885388687629930_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjAzNTQzNTI2MzU4ODk4NDgxNg%3D%3D.2,40678,False,117,480,480,The way everyone was looking at @jaspritb1 after last nights performance 🙌🏻 #playoffs  #wemadeit #ipl2019,"['ipl2019', 'playoffs', 'wemadeit']",1556862813
13,Bw4CmiwB75v,rdchahar1,https://scontent-bom1-2.cdninstagram.com/vp/dced939625a93d928a10801f6578943d/5DBF1042/t51.2885-15/e35/57343641_591311441363870_7143349074698659867_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjAzMzM4NjY3NjUwMzk1MzAwNw%3D%3D.2,38126,False,138,647,640,Happy Birthday Hitman. You definitely give all the bowlers a hard time. Thank god we are on the same side 😅,[],1556618602
14,Bwtf4yNB7sk,rdchahar1,https://scontent-bom1-2.cdninstagram.com/vp/fd5fea7912329f4548360fe7fd1d639d/5DAF8662/t51.2885-15/e35/57221553_2294076144200254_8072548969994054027_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=8&ig_cache_key=MjAzMDQxOTI0ODY1MjIwNDgzNg%3D%3D.2,52594,False,205,1080,1080,"My Brother is always on my side, But not today. Best of luck @deepak_chahar9 💪🏻 #mivscsk #brothervsbrother","['brothervsbrother', 'mivscsk']",1556264857
15,BwmZIKsBVuh,rdchahar1,https://scontent-bom1-2.cdninstagram.com/vp/d4520ee4df54610fb71306344ec817cb/5DB53D20/t51.2885-15/e35/58468648_168009807536246_1438706555818045632_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjAyODQxOTE5NDU3MTU0NTUwNQ%3D%3D.2,27041,False,132,1346,1080,"Making the most of my rest day ☀️🏝
#restday",['restday'],1556026432
16,BwUuyYkBOA1,rdchahar1,https://scontent-bom1-2.cdninstagram.com/vp/ab50dc2fb0a8bb01c017704b1bb83d29/5DC18B1B/t51.2885-15/e35/55947349_402147443941403_873831197949745754_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjAyMzQ0NzkwNTA4MzY0NjAwNQ%3D%3D.2,147799,False,713,1106,1080,I Love blue and You 💙,[],1555433808
17,BwHM3oGhsV8,rdchahar1,https://scontent-bom1-2.cdninstagram.com/vp/6018cf15d1ac530947dd03c638443441/5DBA9449/t51.2885-15/e35/54247893_450933578978075_4761730345132187134_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjAxOTYzOTU1NzA4NzQ3OTE2NA%3D%3D.2,29097,False,61,750,750,What a thriller last night at Mumbai. Would definitely not have been possible without the unstoppable @kieron.pollard55 💪🏻 #mumbaiindians #onefamily #ipl2019,"['ipl2019', 'onefamily', 'mumbaiindians']",1554979818
18,Bv_z2Y2B5sK,rdchahar1,https://scontent-bom1-2.cdninstagram.com/vp/4e7c15a12755d1af9c16e06d2d109fc1/5DAAC413/t51.2885-15/e35/56218127_327559911293449_588281722122863485_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=8&ig_cache_key=MjAxNzU1OTE5NTk4NTM1MzQ4Mg%3D%3D.2,16057,False,65,864,1080,"The stadium is LIT 🔥 
@mumbaiindians 
#srhvsmi #onefamily 
#ipl2019 #mipaltan","['ipl2019', 'onefamily', 'mipaltan', 'srhvsmi']",1554731820
19,BvyyvJ4BvdV,rdchahar1,https://scontent-bom1-2.cdninstagram.com/vp/05bb6b8501d078778dbd5aee6cac4467/5DB5AED6/t51.2885-15/e35/54431947_399363604181790_4344227431656812691_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjAxMzg5NTEyNjEzMjY1MTg2MQ%3D%3D.2,39305,False,283,1194,1080,"So our family is divided today. Who are you supporting? 😉
#CSKvsMI #brothervsbrother","['brothervsbrother', 'CSKvsMI']",1554295028
20,BvJftghhly8,rdchahar1,https://scontent-bom1-2.cdninstagram.com/vp/8b0d9126df38a5ed385a6394255e0697/5DB9C6E3/t51.2885-15/e35/53720137_2250844351835342_52187549246697734_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjAwMjI3MDk3NjA4MzM4NTUzMg%3D%3D.2,11165,False,43,810,1080,"Super excited to be back with my @mumbaiindians family. Looking forward to a great season ahead 💙
#mumbaiindians #ipl2019","['ipl2019', 'mumbaiindians']",1552909322
21,BvEibz4hwi0,rdchahar1,https://scontent-bom1-2.cdninstagram.com/vp/a957cdf71fd3ddb53c56e670785efb16/5DBA7D27/t51.2885-15/e35/53435587_122235738919042_4847948973181746826_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjAwMDg3NTU3OTE3NTc5ODk2NA%3D%3D.2,7671,False,23,1080,1080,Enjoying myself at the #scapesvilla.,['scapesvilla'],1552742977
22,Bu1oLZnBibv,rdchahar1,https://scontent-bom1-2.cdninstagram.com/vp/016024f915a9103f7dedad0cf17ab034/5DB7AA48/t51.2885-15/e35/54264016_630833190692865_917884823603824487_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MTk5NjY3ODcxNTA4MTYzMTQ3MQ%3D%3D.2,20397,False,49,1350,1080,"Finally got the opportunity to spend some time with @sachintendulkar Sir. I have always been inspired by him and it’s definitely a dream come true for me. #sachintendulkar #akashshlokareception 
#mumbaiindians💙","['sachintendulkar', 'mumbaiindians', 'akashshlokareception']",1552242672
23,BuEHBRxhdlE,rdchahar1,https://scontent-bom1-2.cdninstagram.com/vp/c95226b1172e18d8b4d0d1587eaa0532/5DA73E10/t51.2885-15/e35/51117058_408562943035705_6481321761055756371_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MTk4Mjc0MDYxMDA3OTM4MTgyOA%3D%3D.2,6677,False,30,743,750,"People will stare 🤟🏻
#easylife",['easylife'],1550581121
24,BuA_uLlBCJ2,rdchahar1,https://scontent-bom1-2.cdninstagram.com/vp/ac1ba261b52c88eb4ea10e8369fee714/5DA617C7/t51.2885-15/e35/52337635_167316844252415_5125676469371174375_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MTk4MTg2NDA4NjUwMTMzNTY3MA%3D%3D.2,9604,False,16,750,750,"Irani trophy 🏆 2019
#restofindia",['restofindia'],1550476631
25,Bt3RlNABp1b,rdchahar1,https://scontent-bom1-2.cdninstagram.com/vp/772319927e013b80d002858cbce4bf6c/5DB83450/t51.2885-15/e35/51863910_1752829491484670_5432905492852993494_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MTk3OTEyNzg4NDYyMzAyNzU0Nw%3D%3D.2,27058,False,101,750,750,"Forever My Valentine ❤️
♥️Ishani",[],1550150450
26,BtS9-HWhCYR,rdchahar1,https://scontent-bom1-2.cdninstagram.com/vp/4367a3f16b292a6e37cbe6c7183b0ef6/5DAA7238/t51.2885-15/e35/50602408_322950898324739_1446154428002172632_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=8&ig_cache_key=MTk2ODkwODUzNjQ1MzAxNTA1Nw%3D%3D.2,20932,False,57,1080,1080,So glad to be back in blue💙 and share this platform with my elder brother who has been a big influence in my cricket journey. Hope to make our family and everyone else proud. #chaharbrothers #bleedblue💙 #indiaa,"['chaharbrothers', 'bleedblue', 'indiaa']",1548932209
27,BsiaxEIBUm9,rdchahar1,https://scontent-bom1-2.cdninstagram.com/vp/37d4191d6c3bc9eb60ec09c15c56675e/5DB724E1/t51.2885-15/e35/47690061_466027344225113_6394158256566032417_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MTk1NTI0MjkwOTEyNTM5NjkyNQ%3D%3D.2,21284,False,100,1350,1080,Chilling with my Love ♥️,[],1547303139
28,BsaiwihhQip,rdchahar1,https://scontent-bom1-2.cdninstagram.com/vp/01a16638ddd364fbf4f6ac29e5165f16/5DB0BF06/t51.2885-15/e35/49690937_246381026281882_3727253303665109404_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=8&ig_cache_key=MTk1MzAyNjI1NzYwNDM4MDg0MQ%3D%3D.2,8007,False,27,1080,1080,NEUTRAL,,1547038894
29,BsKirHohNTZ,rdchahar1,https://scontent-bom1-2.cdninstagram.com/vp/6b0cad862f0faa8ca9afa33bee55e9df/5DA01523/t51.2885-15/e35/46881411_234516427471980_1984382370836215962_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MTk0ODUyMjI4NTUwNjAyNDY2NQ%3D%3D.2,5123,False,19,1350,1080,Sunsets are proof that endings can be beautiful too #beachlife #bestlife,"['bestlife', 'beachlife']",1546501979
30,Bq_4mCthjFo,rdchahar1,https://scontent-bom1-2.cdninstagram.com/vp/bddc8c587b7c08ba43cb3491d6f2e68a/5DA5B72A/t51.2885-15/e35/47224169_598445027277183_6317022455293261530_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MTkyNzUwODA3MDM5Mzg1MjI2NA%3D%3D.2,7714,False,14,1160,1080,"Going to be playing with the best 
Thank you @jatin_sareen 
#sston",['sston'],1543996889
31,BqO_0KThUk_,rdchahar1,https://scontent-bom1-2.cdninstagram.com/vp/bad962bb0aab67b466680a851a9d5d8b/5DB42A22/t51.2885-15/e35/44518849_439756603221647_3798621530024073444_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MTkxMzc0NzU1MzA4Njk0OTY5NQ%3D%3D.2,9946,False,37,758,750,"Looking forward to another great year with MI @mumbaiindians 
#ipl2019 #duniyahiladengehum","['ipl2019', 'duniyahiladengehum']",1542356507
32,BpmpGa7FWC7,rdchahar1,https://scontent-bom1-2.cdninstagram.com/vp/520de4cf3e0a3bc1005ce0eb7d0bffac/5DA30CC7/t51.2885-15/e35/44580651_2315097305379010_4104614994447888682_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MTkwMjM4ODY1Mzc0Mjk3MzExNQ%3D%3D.2,20974,False,82,1133,1080,It’s been 4 years Ishani♥️ Long way to go 🌍,[],1541002421
33,Bpgra2qBcc8,rdchahar1,https://scontent-bom1-2.cdninstagram.com/vp/c410f3a5b6f14e82cc0ee273a1303be8/5DADA9A4/t51.2885-15/e35/43126957_179105642994043_3224586806499027179_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MTkwMDcxMDAwNDE0MzgwMjE3Mg%3D%3D.2,6108,False,15,1080,1080,Deodhar trophy champions🏆,[],1540802310
34,BoRLH-Ch5Z0,rdchahar1,https://scontent-bom1-2.cdninstagram.com/vp/395f4af78913685d4ffc04236c46d3f0/5DBDFACB/t51.2885-15/e35/41709725_322678968312039_1976277108481546264_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MTg3ODMzMTQ0NTc1MjYwMDE4MA%3D%3D.2,4966,False,29,1080,1080,"What does the world need more of? People who do good for others, without expectations. It makes the world a more loving place. #MeetMeInTheGap this Fall with @GapIndia’s #GoodCreatesGood campaign","['MeetMeInTheGap', 'GoodCreatesGood']",1538134578
35,BoGwYEMhoCf,rdchahar1,https://scontent-bom1-2.cdninstagram.com/vp/fc3be31b92015dbebfdb1837458a30b7/5DB00E65/t51.2885-15/e35/41173534_391405151394525_3474944917983441405_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MTg3NTM5OTA1NDg1MTQ3MzU2Nw%3D%3D.2,4977,False,40,1318,1080,"After all Chennai  isn’t that bad 😉 
#foundmyspot #beachday #easylife","['beachday', 'easylife', 'foundmyspot']",1537785010
36,Bl7SJtYDOzc,rdchahar1,https://scontent-bom1-2.cdninstagram.com/vp/68f57523df2c7e2304ae864cfde16ef7/5DC394E4/t51.2885-15/e35/37923896_1507711169334639_4080624947343392768_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=8&ig_cache_key=MTgzNjE0MTEwNTExNzk4MTkxNg%3D%3D.2,6144,False,68,1080,1080,"Only those who risk going too far, can possibly find out how far they can go💫
#traveldiaries #newlook","['newlook', 'traveldiaries']",1533105098
37,Blk0oc5hLMu,rdchahar1,https://scontent-bom1-2.cdninstagram.com/vp/8c74ae33477c2b986f645e6c15a5f0a1/5DB3C24E/t51.2885-15/e35/37180194_424212034730290_2330871871001591808_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=8&ig_cache_key=MTgyOTgxODgyNjg0NjY3OTg1NA%3D%3D.2,8436,False,37,1350,1080,"When you focus on what you want 
Everything falls away 💫
#mumbaiindians #bowlingrunup #miforever #cricketmerijaan","['bowlingrunup', 'cricketmerijaan', 'mumbaiindians', 'miforever']",1532351424
