,shortcode,username,display_url,edge_media_preview_like,comments_disabled,edge_media_to_comment,dimensions_height,dimensions_width,edge_media_to_caption,tags,taken_at_timestamp
0,Bziyaypn2Uu,retrieverpuppies,https://scontent-bom1-2.cdninstagram.com/vp/7bd779d7ee2bdaee939fab557a7bc6df/5DB132FF/t51.2885-15/e35/65385786_380876382559724_4283527393387024618_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA4MTQ0NzcyMTIxNTk0Mzk4Mg%3D%3D.2,27857,False,132,1349,1080,"She makes a pretty country girl 😍🌼
@lizzie.bear",[],1562347925
1,BzeFIlrndPz,retrieverpuppies,https://scontent-bom1-2.cdninstagram.com/vp/04467afb5afe5aecfeeab8e900db8401/5DA85AC5/t51.2885-15/e35/64499845_613510169159834_6127312652616862068_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA4MDEyMjY1ODM0MDMyODQzNQ%3D%3D.2,4696,False,24,1350,1080,"Paw pads are naturally thick, but they should not be overly dry. Dry & chapped skin is more prone to injury from splitting and cracking. Healthy, moisturized paws are flexible and actually allow for dogs to get a better grip. All-natural #PawSoother is deeply moisturizing to mend chapped paws and make them healthy again. You can see a difference after just one use!
.
⭐ SAVE 20% off @naturaldogcompany with code RPUPPIES  at NaturalDog.com | worldwide shipping | ad 📷: @coopiethegoldenboy",['PawSoother'],1562189966
2,BzXLpveHEhd,retrieverpuppies,https://scontent-bom1-2.cdninstagram.com/vp/5bbbd18a4a9b22ac30de536cfd11632a/5DC24FD3/t51.2885-15/e35/64948767_153472289113570_4686576393898145418_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=8&ig_cache_key=MjA3ODE4MTAwMDAzNTk3NzMwOQ%3D%3D.2,46234,False,425,1349,1080,"What wud you name him? 😍💝
@norby_bear",[],1561958502
3,BzRptu6HV_j,retrieverpuppies,https://scontent-bom1-2.cdninstagram.com/vp/f9f2a2157edc37a6f25ff052bf154c62/5DA24EBB/t51.2885-15/e35/64834596_447016972795341_2787526343886334788_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3NjYyNDM2NTg0NTA0NTIxOQ%3D%3D.2,47138,False,245,1234,1080,"So cute 😍😴
@goldenuniversecanil",[],1561772937
4,BzMEJx3Hlvz,retrieverpuppies,https://scontent-bom1-2.cdninstagram.com/vp/450b3c36c11e0036a20df56d635425cd/5DB7357F/t51.2885-15/e35/65423739_655537121628772_2089234803323165654_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3NTA1MTc5MjUxMDM3Njk0Nw%3D%3D.2,10021,False,5,1080,1080,"Extra sensitive pups need extra sensitive care. #WrinkleBalm from @naturaldogcompany is made with 100% natural ingredients that are antibacterial and antifungal for treating skin irritations, wounds and infections. This balm is specially formulated to be extra gentle, so you can use it on sensitive pups and on sensitive areas like around the face and eyes.
.
⭐ SAVE 20% off @naturaldogcompany with code RPUPPIES at NaturalDog.com | worldwide shipping | ad 📷: @jackthegoldenboy",['WrinkleBalm'],1561585471
5,BzJIFflnf_e,retrieverpuppies,https://scontent-bom1-2.cdninstagram.com/vp/b473c971f439613e7db87c9e93ec61c3/5DA25AD5/t51.2885-15/e35/64437540_206793033618445_8820226321080750714_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3NDIyNDY2NTI2NzQwNDc2Ng%3D%3D.2,46552,False,364,1350,1080,"🤪
@charleemoose",[],1561486870
6,BzHc-s5neWl,retrieverpuppies,https://scontent-bom1-2.cdninstagram.com/vp/21268700dd79db991183ea5480ed2c18/5DBBADC7/t51.2885-15/e35/62472184_456406181851027_1690939256243259618_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3Mzc1MzYwNzU0ODU2MDgwNQ%3D%3D.2,46886,False,292,1350,1080,"😍🍑
@benjy_thegolden",[],1561430715
7,BzEw1CSHYFc,retrieverpuppies,https://scontent-bom1-2.cdninstagram.com/vp/fa27b55bb63e00bd3ef273636a579b82/5DC54673/t51.2885-15/e35/65300401_890732524628063_2736324245274883420_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3Mjk5NjQ3OTMxMzQ3Nzk4MA%3D%3D.2,42446,False,475,1262,1080,"Tag ya Bae 😍💕
@matteo.goldenretriever",[],1561340459
8,By_y4gMH-nO,retrieverpuppies,https://scontent-bom1-2.cdninstagram.com/vp/9cf2ae1fa1e85301af92d134d1a83ace/5DC3EA21/t51.2885-15/e35/64677691_2315527621857147_4717016085216254319_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3MTU5ODEzODc5MzEyNjM1MA%3D%3D.2,82280,False,572,1350,1080,"That smile 😍😊
@honeyandbentley_",[],1561173764
9,By9LWvhHcAV,retrieverpuppies,https://scontent-bom1-2.cdninstagram.com/vp/546243c798369a9a4786f6e97dfffe5f/5DB4BAE6/t51.2885-15/e35/64325340_313092309571702_5906030392134383877_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3MDg2MTM0NTAyMTg3MDEwMQ%3D%3D.2,66121,False,475,1080,1080,"Family 👨‍👩‍👧‍👦❤
@waterfrontgoldens",[],1561085931
10,By6B4GTH5BY,retrieverpuppies,https://scontent-bom1-2.cdninstagram.com/vp/196fc405b5b763bc53905a64a339ab33/5DAAE600/t51.2885-15/e35/61982760_132407737959838_4369338735291996837_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA2OTk3NTIzMTgzMDY1OTE2MA%3D%3D.2,8714,False,8,1350,1080,"Soothe your dog’s dry, itchy skin with this all-natural Spruce Up Pup shampoo bar from @naturaldogcompany. It has natural antifungal, antibacterial, and anti-inflammatory properties that will help treat infection, soothe the skin and calm the irritation. Pairs pawfectly with #SkinSoother for spot treatments. .
⭐ SAVE 20% off @naturaldogcompany with code RPUPPIES  at NaturalDog.com | worldwide shipping | ad 📷: @big_wan1",['SkinSoother'],1560980298
11,By0p64inH12,retrieverpuppies,https://scontent-bom1-2.cdninstagram.com/vp/291a9f4e4e31b9ee8ad8f0b800a6eca1/5DA781D2/t51.2885-15/e35/60789581_451745388947138_2738251552856400038_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA2ODQ2MjQ5NTIxNjcyOTQ2Mg%3D%3D.2,39470,False,382,1350,1080,"What wud you name him? 😍❤
@cooperlifetime",[],1560799966
12,Byys9hYn42Y,retrieverpuppies,https://scontent-bom1-2.cdninstagram.com/vp/94e7d03a09bf03d86f0201a3c8996208/5DA0B445/t51.2885-15/e35/61758786_193101621637122_587470794031664416_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA2NzkxMjkyMDY5NzYzODI5Ng%3D%3D.2,67594,False,1014,1080,1080,"Tag ya partner 😍💕
@goldenboybear_
@thegoldenboyremi",[],1560734451
13,ByoAbcxH8nT,retrieverpuppies,https://scontent-bom1-2.cdninstagram.com/vp/8aa1db0a83b03b1dfe1f857076f4905d/5DA5F0A8/t51.2885-15/e35/61874717_127097991833771_963949502384348344_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA2NDkwMjMxNTQ2NDE4MjIyNw%3D%3D.2,57400,False,543,1080,1080,"Kisses 😍😘
Tag ya partner 
@lizzie.bear 
#GoldenRetriever",['GoldenRetriever'],1560375559
14,BylTWK5HPJX,retrieverpuppies,https://scontent-bom1-2.cdninstagram.com/vp/1164257069c33767fb868b811356cddc/5DBD2136/t51.2885-15/e35/62194290_432724184193117_1323181180022869274_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA2NDE0MTA5MDYyNzA1NjIxNQ%3D%3D.2,46637,False,512,1080,1080,"Tag ya person 😍💕
@goldensrubyandbear 
#GoldenRetriever 
#goldenretrievers","['goldenretrievers', 'GoldenRetriever']",1560284814
15,ByipF3pnnZp,retrieverpuppies,https://scontent-bom1-2.cdninstagram.com/vp/2cc99ca876ae505c0f38d65c7353d812/5DAD225E/t51.2885-15/e35/61825634_2307741712826646_8785499105896770702_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2MzM5MjMwMjU0NzQ5ODYwMQ%3D%3D.2,51341,False,627,1331,1080,"Minion 😍😂
@masontheretriever_ 
#GoldenRetriever",['GoldenRetriever'],1560195552
16,Byfv9-6HHDx,retrieverpuppies,https://scontent-bom1-2.cdninstagram.com/vp/c14519084e759d252f7dbdc8c8adc12f/5DB1E070/t51.2885-15/e35/62134706_2394480640789147_5025089605705941323_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA2MjU3ODEyMTk4MDAxNDgzMw%3D%3D.2,53855,False,248,1350,1080,"Puppy eyes 😍
@arrowwoodretrievers 
#GoldenRetriever 
#goldenretrievers","['goldenretrievers', 'GoldenRetriever']",1560098494
17,Bya9QMdnYWp,retrieverpuppies,https://scontent-bom1-2.cdninstagram.com/vp/2a9368890e0b0b7bd60180114a321667/5DADE897/t51.2885-15/e35/60941462_840671289664725_5212781268492055575_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA2MTIyOTE3MzIwNTk5Mjg3Mw%3D%3D.2,70150,False,350,1080,1080,"Puppy goals 😍😴
@waterfrontgoldens 
#GoldenRetriever",['GoldenRetriever'],1559937687
18,ByYcc6-HHrx,retrieverpuppies,https://scontent-bom1-2.cdninstagram.com/vp/48aadc1fea85bf167b59d7a6771fb35f/5DB88646/t51.2885-15/e35/61857783_328432747827759_4709692310273922222_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA2MDUyMTk2MjI4ODc0MTEwNQ%3D%3D.2,67369,False,515,1080,1080,"Henlo 😍😁
@goldenuniversecanil 
#GoldenRetriever",['GoldenRetriever'],1559853380
19,ByV0xDZHjhs,retrieverpuppies,https://scontent-bom1-2.cdninstagram.com/vp/dae06e366d2b2df93f8c2845cb6fdc1e/5DA5C7E4/t51.2885-15/e35/60765074_2284283128318431_3495446167009698496_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA1OTc4NDQ3MzkwNzQ0MzgyMA%3D%3D.2,54018,False,412,1350,1080,"Mommy love 😍👩‍👦
@nicholberrygoldens 
#GoldenRetriever",['GoldenRetriever'],1559765465
20,ByOJkIrHr77,retrieverpuppies,https://scontent-bom1-2.cdninstagram.com/vp/5200f134f95ec89af005ecc88b78485b/5DC6CF28/t51.2885-15/e35/61272895_315495089342697_5137393344010015755_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA1NzYyNDE0NTM4ODAyNzY0Mw%3D%3D.2,73617,False,369,1080,1080,"Cutest Puppy transformation 😍❤
@maui_thegoldenpup 
#GoldenRetriever",['GoldenRetriever'],1559507934
21,ByI98JGHmh2,retrieverpuppies,https://scontent-bom1-2.cdninstagram.com/vp/780685ee207d78777f36764b950f7da6/5DA03F32/t51.2885-15/e35/60291475_715781158840105_4249359251643782012_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA1NjE2NTY0MzY2Njc0NTQ2Mg%3D%3D.2,94921,False,553,1350,1080,"When senior met junior 😍👨‍👦
@gill_thegolden 
#GoldenRetriever 
#goldenretrievers","['goldenretrievers', 'GoldenRetriever']",1559334067
22,ByGJQhgH3Dj,retrieverpuppies,https://scontent-bom1-2.cdninstagram.com/vp/dc0111514a95e5e04836c4d72dd825d3/5DAEFCB6/t51.2885-15/e35/61244974_1106216226228294_5917661140002655922_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA1NTM3MDk5Nzg0Mzg0OTQ0Mw%3D%3D.2,63163,False,625,809,1080,"Proud parents 👨‍👩‍👧‍👦❤
@narjanemoura
#GoldenRetriever 
#goldenretrievers","['goldenretrievers', 'GoldenRetriever']",1559239338
