,shortcode,username,display_url,edge_media_preview_like,comments_disabled,edge_media_to_comment,dimensions_height,dimensions_width,edge_media_to_caption,tags,taken_at_timestamp
0,BzjUiyYF6Af,sadcasm.co,https://scontent-bom1-2.cdninstagram.com/vp/302f60431a0c1b03abf62ca102442cd0/5DA49C15/t51.2885-15/e35/p1080x1080/65494695_340034096948782_7177419864825247824_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA4MTU5NzgwNDI1OTAyNDkyNw%3D%3D.2,16184,False,113,1239,1080,NEUTRAL,,1562365817
1,BzbTpIHhXcp,sadcasm.co,https://scontent-bom1-2.cdninstagram.com/vp/b49164f225a01bc58e8a07fd6111cdea/5DA4E239/t51.2885-15/e35/p1080x1080/64782001_123705522193721_2573185355263025315_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3OTM0MjA0MjA1OTk5NDkyMQ%3D%3D.2,29645,False,244,1212,1080,NEUTRAL,,1562096909
2,BzVe04dFofq,sadcasm.co,https://scontent-bom1-2.cdninstagram.com/vp/ced13e4326c150176a3e59820b85a4a3/5DB665D7/t51.2885-15/e35/p1080x1080/66121348_579182672485982_2812358028592712079_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3NzcwMjM3ODUyNzAzMzMyMg%3D%3D.2,23457,False,511,1346,1080,NEUTRAL,,1561901446
3,BzUHXeIlMGI,sadcasm.co,https://scontent-bom1-2.cdninstagram.com/vp/f329fa666444f6eeb0e5ee781ebb4a67/5DB9A9CA/t51.2885-15/e35/p1080x1080/65304077_2765383740203297_9110977857796488794_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3NzMxNzcyNzM1NDQwNTI1Ng%3D%3D.2,31337,False,423,1349,1080,NEUTRAL,,1561855592
4,BzTFhf8F3Fw,sadcasm.co,https://scontent-bom1-2.cdninstagram.com/vp/482f50949c9fc0aa79c17df133b17340/5DA9A933/t51.2885-15/e35/p1080x1080/65121312_154744298909908_8847377416304971832_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3NzAyODE0NTQxNzM4NDMwNA%3D%3D.2,32540,False,286,1120,1080,NEUTRAL,,1561821071
5,BzNgcIDlv_H,sadcasm.co,https://scontent-bom1-2.cdninstagram.com/vp/1f99e25f861190206ee61ed9d5a59ae7/5DC33B6A/t51.2885-15/e35/s1080x1080/65170770_333432210891938_1706285827876773718_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3NTQ1NzY3MzU3MTUzMjc0Mw%3D%3D.2,29675,False,247,1062,1080,NEUTRAL,,1561633856
6,BzIl7fHl9gH,sadcasm.co,https://scontent-bom1-2.cdninstagram.com/vp/b70b7a7cde3edb0b26647a51c2cad6e6/5DAC6467/t51.2885-15/e35/64111646_124095785485481_8440600299078476040_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=8&ig_cache_key=MjA3NDA3NDQ0Mzk4NzUzOTk3NQ%3D%3D.2,34499,False,314,1258,1080,NEUTRAL,,1561468962
7,BzIf4G_FsQC,sadcasm.co,https://scontent-bom1-2.cdninstagram.com/vp/c9707bd64863c48b528d1a7b665f20a4/5DBA8C2B/t51.2885-15/e35/p1080x1080/65264299_2334880430068444_3910339333343329155_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3NDA0NzgyMzYzNzU2MjM3MA%3D%3D.2,27433,False,253,1350,1080,NEUTRAL,,1561465789
8,BzIWw_bF2Xi,sadcasm.co,https://scontent-bom1-2.cdninstagram.com/vp/7d516b7e4e786c1dc989a8d439aeddfd/5DB5DA02/t51.2885-15/e35/p1080x1080/64623612_144568846630439_1274669216183815008_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3NDAwNzc1MjA2MjQ5NDE3OA%3D%3D.2,20686,False,106,1350,1080,NEUTRAL,,1561461012
9,BzGMLW4F0kD,sadcasm.co,https://scontent-bom1-2.cdninstagram.com/vp/9c393d9d376f76a102c3d5b35901dd76/5DA1F3CA/t51.2885-15/e35/s1080x1080/64671012_115197483083068_6007349725739999862_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3MzM5ODIzNTQ4NjQzOTY4Mw%3D%3D.2,23029,False,309,1002,1080,NEUTRAL,,1561388352
10,BzFHiqXFFvu,sadcasm.co,https://scontent-bom1-2.cdninstagram.com/vp/0f7a412846f19ea44961708a4a2e9dc8/5DA9AE3C/t51.2885-15/e35/s1080x1080/64298342_864973593879692_2345579690894931464_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3MzA5NjM3MTc0NjEzNTAyMg%3D%3D.2,23391,False,243,981,1080,NEUTRAL,,1561352367
11,BzEQ2dfleSk,sadcasm.co,https://scontent-bom1-2.cdninstagram.com/vp/eb05104a7d3ba06b4e2d47dbd54c082c/5DA3E307/t51.2885-15/e35/64409810_446047489513125_631458601283872840_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=8&ig_cache_key=MjA3Mjg1NTgzOTc2MTYyMjE4MA%3D%3D.2,24869,False,167,1202,1080,NEUTRAL,,1561323693
12,BzCbZHfFzsV,sadcasm.co,https://scontent-bom1-2.cdninstagram.com/vp/eaa58827ab3152a13657939e229d01df/5DA2EF78/t51.2885-15/e35/p1080x1080/64245338_436908117147530_8327945339125625186_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3MjMzOTI1MTgyNDM3NjU5Nw%3D%3D.2,34163,False,392,1134,1080,NEUTRAL,,1561262111
13,By__JTvldmr,sadcasm.co,https://scontent-bom1-2.cdninstagram.com/vp/8a0c6073db24d1f57ff34ffe8d6d1b80/5DA794AA/t51.2885-15/e35/s1080x1080/64357817_385541198758354_1348537078617588536_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3MTY1MjA3MDIxODY1MjA3NQ%3D%3D.2,25651,False,159,989,1080,#Memes,['Memes'],1561180193
