,shortcode,username,display_url,edge_media_preview_like,comments_disabled,edge_media_to_comment,dimensions_height,dimensions_width,edge_media_to_caption,tags,taken_at_timestamp
0,BzPPLbIhPdS,sarcasm_only,https://scontent-bom1-2.cdninstagram.com/vp/8e45faef8002169165e3988444a58759/5DA4714E/t51.2885-15/e35/65145706_156105198862104_4020607038092178836_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3NTk0NDcwODk4Njk1OTY5OA%3D%3D.2,140962,False,4745,1080,1080,#SarcasmOnly,['SarcasmOnly'],1561691915
1,BzPHEo9BxvZ,sarcasm_only,https://scontent-bom1-2.cdninstagram.com/vp/9c502f6dbb899340baa689dd77199b0a/5DC1B22D/t51.2885-15/e35/s1080x1080/64348539_2314100761991213_2285298088927296869_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3NTkwOTA1ODQxODEyMTY4OQ%3D%3D.2,112173,False,6421,1080,1080,#SarcasmOnly,['SarcasmOnly'],1561687665
2,BzO-s_EBrQJ,sarcasm_only,https://scontent-bom1-2.cdninstagram.com/vp/8dfdf530d45b20270517b99bb213b6f1/5DC431E6/t51.2885-15/e35/s1080x1080/65097510_2125392290891709_1436017856824070684_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3NTg3MjI0ODUxODMyNTI1Nw%3D%3D.2,106473,False,1731,1080,1080,(via twitter/treyvstrumaine),[],1561683277
3,BzOwWwphEQA,sarcasm_only,https://scontent-bom1-2.cdninstagram.com/vp/bd92855cba7762bad99a65b65ea430b9/5DA8DD21/t51.2885-15/e35/65307468_637757456737411_1767241827654014212_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=8&ig_cache_key=MjA3NTgwOTE0ODU2MTU0MDA5Ng%3D%3D.2,10661,False,88,1080,1080,"@FashionNova has the ladies slaying the perfect summer vibes 😍 Shop @FashionNova for all summer exclusives 🔥
✨Link In Bio✨",[],1561675755
4,BzOsV_aBpUT,sarcasm_only,https://scontent-bom1-2.cdninstagram.com/vp/3e24d18fa51260981dd50798a7503193/5DC5E8B1/t51.2885-15/e35/64686092_431860987663964_3731967244303434094_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=8&ig_cache_key=MjA3NTc5MTUwMzUwMjI1MTI4Mw%3D%3D.2,82223,False,840,1080,1080,#SarcasmOnly,['SarcasmOnly'],1561673652
5,BzOlDjXBxsj,sarcasm_only,https://scontent-bom1-2.cdninstagram.com/vp/df9de127132fcf1cadba1a00e8108f42/5DBC924D/t51.2885-15/e35/65426175_407317263205288_2139138787250632878_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=8&ig_cache_key=MjA3NTc1OTQ1MDExMTAyMzkwNw%3D%3D.2,157750,False,2970,1080,1080,(via twitter/lorenaxcomas),[],1561669831
6,BzOZi05hz1_,sarcasm_only,https://scontent-bom1-2.cdninstagram.com/vp/b02cd274dcb3a7fb9f73507dd9691ccf/5DA5CEA1/t51.2885-15/e35/62571506_476484199801650_7241592856944388943_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=8&ig_cache_key=MjA3NTcwODgyMjY4OTEwMzIzMQ%3D%3D.2,159205,False,2764,1080,1080,#SarcasmOnly,['SarcasmOnly'],1561663795
7,BzOZb9QBCEl,sarcasm_only,https://scontent-bom1-2.cdninstagram.com/vp/a1af7c1941d2135697e3a9f15eae1b31/5DAF09E8/t51.2885-15/e35/65740327_323841025190776_6368675849876965371_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=8&ig_cache_key=MjA3NTcwODM1MDYxOTk4NDE2NQ%3D%3D.2,117928,False,3164,1080,1080,#SarcasmOnly,['SarcasmOnly'],1561663739
8,BzOZWY9Bu_c,sarcasm_only,https://scontent-bom1-2.cdninstagram.com/vp/5d71ba99b1f40bc48b168096ca2665a2/5DB7C843/t51.2885-15/e35/64416196_451320418990693_5126414941162533002_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3NTcwNzk2ODA0OTMxMTcwOA%3D%3D.2,6501,True,0,1080,1080,@sarah.b.skinny 𝗦𝗛𝗢𝗖𝗞𝗜𝗡𝗚 𝗱𝗶𝘀𝗰𝗼𝘃𝗲𝗿𝘆 𝗶𝘀 𝗵𝗲𝗹𝗽𝗶𝗻𝗴 𝗴𝗶𝗿𝗹𝘀 𝗹𝗼𝘀𝗲 𝟮𝟱 𝗹𝗯𝘀. 𝘀𝗮𝗳𝗲𝗹𝘆! 👀🔥👏🏻,[],1561663693
9,BzOQIHEBR6c,sarcasm_only,https://scontent-bom1-2.cdninstagram.com/vp/fb5dfe02132396f8f76c764b4c386bc5/5DAA9B0B/t51.2885-15/e35/64726879_895358950803778_2840837354141232206_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=8&ig_cache_key=MjA3NTY2NzQwNDM0ODAwNjA0NA%3D%3D.2,137652,False,3837,1080,1080,(via twitter/prinnyteee),[],1561658858
