,shortcode,username,display_url,edge_media_preview_like,comments_disabled,edge_media_to_comment,dimensions_height,dimensions_width,edge_media_to_caption,tags,taken_at_timestamp
0,BzLwmtNDDxD,selenagomez,https://scontent-bom1-2.cdninstagram.com/vp/59724e0538e4a3970b8fe7786b86eb05/5DAC6D13/t51.2885-15/e35/p1080x1080/64356411_923293298011367_8887055500260673641_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3NDk2NTgxOTQ0NDE4MjA4Mw%3D%3D.2,5355649,False,47248,1349,1080,Living in my Cali Bolds for summer. @pumasportstyle,[],1561575222
1,Bx201VODYoW,selenagomez,https://scontent-bom1-2.cdninstagram.com/vp/c7071de2fce1c8aa29f101e8d6710cbf/5DA2D3B9/t51.2885-15/e35/s1080x1080/61259024_425480018031747_400970724956781101_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1MTA1OTA0MzY0OTAzMDY3OA%3D%3D.2,3707685,False,38333,1080,1080,All @Coach combo -biker jacket and butterfly parker bag #CoachNY,['CoachNY'],1558725313
2,Bxmx4CijCXC,selenagomez,https://scontent-bom1-2.cdninstagram.com/vp/ed9fcf4e6c6f61fa97e5c187fca1075b/5DB468D4/t51.2885-15/e35/59432847_211634263137357_4237446988260686950_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA0NjU0MjQzNTk4MzMwNDEzMA%3D%3D.2,2978221,False,61142,640,640,"To see what is happening right now in Alabama, Georgia, Mississippi and several other states in our country is not only deeply upsetting but seems that it can’t possibly be real in 2019.  It’s no one’s business what a woman chooses to do with her body. End of story. If you want to help fight this, click on the link in my bio to find out how you can volunteer or make a donation.",[],1558186891
3,BxfMWtOAC_d,selenagomez,https://scontent-bom1-2.cdninstagram.com/vp/6e50a548e3f8f6448650be059f7f1d88/5DB8FDE0/t51.2885-15/e35/s1080x1080/59575510_2321177051487506_5470081956268357012_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA0NDQwNzA5Mjc4OTM5MTMyNQ%3D%3D.2,5418770,False,36751,1080,1080,Been working hard on a new collection with my @PUMA fam. Launches today ✈️ #SGxPUMA,['SGxPUMA'],1557932338
4,BxYfWLaAMnM,selenagomez,https://scontent-bom1-2.cdninstagram.com/vp/b35eca0e271d01f6c4f18b313d8fd2e6/5DC66DD4/t51.2885-15/e35/60409194_375486519841057_5808483245243894808_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA0MjUyMDI5NDUzMDI3MTY5Mg%3D%3D.2,5469852,False,31291,480,480,I owe my life to you momma,[],1557707414
5,BxOLH2ZgbV2,selenagomez,https://scontent-bom1-2.cdninstagram.com/vp/5a202ebe41306896e2a504ab5ec8a9b2/5DB88880/t51.2885-15/e35/s1080x1080/59335095_368853033732361_7929636131028787151_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjAzOTYxNjU5OTIwMzM2MjE2Ng%3D%3D.2,5900063,False,60849,810,1080,studio diva,[],1557361267
6,Bw9_ilQAOWM,selenagomez,https://scontent-bom1-2.cdninstagram.com/vp/758497b3336de5e97a273dcf2340d28b/5DB7C670/t51.2885-15/e35/58613100_865688237119134_2209925435577469187_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjAzNTA2MjA2MDAzMDY4MjUwOA%3D%3D.2,11824836,False,158285,1350,1080,NEUTRAL,,1556818324
7,Bw7MF0yAnHZ,selenagomez,https://scontent-bom1-2.cdninstagram.com/vp/3d2f3329ebd62249dc4a1234d2c50fd9/5DBC55F1/t51.2885-15/e35/59550072_303778160518884_145315947438670874_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjAzNDI3MjgzMzUxNzAyMzcwNQ%3D%3D.2,3727759,False,23088,640,640,"Yesterday at the @hollywoodreporter Empowerment in Entertainment event, I had the honor to meet some of the brightest students who might never have imagined a career in Hollywood as they were given the opportunity to go to college and work with mentors in the industry. 
Thank you to the most courageous, brave, intellectual, strong, beautiful spirit that is Oprah for caring so much about empowering all walks of life but more importantly for being the action and not just standing behind the word. You DO it. Thank you for continually inspiring us to be kinder, greater and stretching all the boundaries for the better. “From everyone to whom much has been given, much will be required.”",[],1556724240
8,Bw2Q-cxANIV,selenagomez,https://scontent-bom1-2.cdninstagram.com/vp/ece1a4e15c84c08aeca00fa58461b123/5DC24C47/t51.2885-15/e35/57156388_336104693730618_3894241048974895012_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjAzMjg4Njk0MjA0MzAwMTM2NQ%3D%3D.2,5505464,False,25304,633,750,"I met Theresa 5 years ago. We worked together and became best friends. She has taught me how to see life in a fun, carefree and uplifting way. She has shown me how to be a strong and fearless woman. She is beautiful, kind and smart. I saw how capable she was of achieving her dreams. I wanted nothing more than to see her pursue them and soar. 
And here you are making it happen T. I love you and I am so proud of you.",[],1556559029
9,BwNMDqvAQ7_,selenagomez,https://scontent-bom1-2.cdninstagram.com/vp/1bbf21f0c89979cd21023792d3dc73a0/5DC5F61A/t51.2885-15/e35/56549562_121897132318173_5953905101272473121_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjAyMTMyNDgzNjM2MTUzOTMyNw%3D%3D.2,6914181,False,69185,1080,1080,Coachella for the night with T,[],1555180719
10,Bv4q6GPAeML,selenagomez,https://scontent-bom1-2.cdninstagram.com/vp/ae20be3b2b41a39885d31ae97a067f2a/5DC11E75/t51.2885-15/e35/54514038_572244179950388_5777561790886845775_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjAxNTU0OTU0MzYyNTY0Njg1OQ%3D%3D.2,12043339,False,186313,860,1080,NEUTRAL,,1554492250
11,BvpKdVmggr4,selenagomez,https://scontent-bom1-2.cdninstagram.com/vp/3710d457d2e7621e7ceb779ec5636d24/5DB82AD7/t51.2885-15/e35/54800564_443389556399868_3702372289201945478_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjAxMTE4NDcwNTEyMjIwODUwNA%3D%3D.2,4452694,False,44749,1080,1080,Loving my new Dreamer @Coach bag. #CoachNY,['CoachNY'],1553971921
12,Bvkm1bkAfWv,selenagomez,https://scontent-bom1-2.cdninstagram.com/vp/cfe557163a2c702072379adcecd8c18b/5DBAEFD3/t51.2885-15/e35/54731696_423772815037902_3205972681597830099_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjAwOTkwMjEzMTIwODkxMDI1NQ%3D%3D.2,6047439,False,73756,1080,1080,throw b,[],1553819026
13,BvSAdFYAEau,selenagomez,https://scontent-bom1-2.cdninstagram.com/vp/fd439b2eac21c9967965e44dc03f1528/5DA16B7A/t51.2885-15/e35/54277610_297826497550515_6628214880411617187_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjAwNDY2Njc4Mjc2OTQ5Nzc3NA%3D%3D.2,6312802,False,81946,1080,1080,New season. New Parker. Same @Coach Fam. #CoachNY,['CoachNY'],1553194924
14,Bu6um0bg4c2,selenagomez,https://scontent-bom1-2.cdninstagram.com/vp/6e5b04738d8c16a3426b95b266a80d89/5DBD432D/t51.2885-15/e35/53836891_300486417309206_4120129145009454272_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MTk5ODExNDM2MjQ2ODA0MjU1MA%3D%3D.2,5807553,False,46063,1080,1080,"I Can’t Get Enough video is out now. Can’t believe we pulled it off in one take- even if I did fall once or twice trying.
@itsbennyblanco @tainy @jbalvin",[],1552413815
15,BuuOdfrgu3t,selenagomez,https://scontent-bom1-2.cdninstagram.com/vp/c03e577f73f5d6192f045e866b400b37/5DC2550B/t51.2885-15/e35/52434298_2654543814588079_6368764259460963174_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MTk5NDU5NTI4NDUwMzY4NjYzNw%3D%3D.2,4139906,False,35449,721,1080,familia,[],1551994308
16,Bubv5TggD0v,selenagomez,https://scontent-bom1-2.cdninstagram.com/vp/16365ba5dc0aff9e8bcd048e784cea04/5DC58D38/t51.2885-15/e35/51567913_251644109120890_2156811890120848582_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MTk4OTM5NDMwNjU1Njc3MTYzMQ%3D%3D.2,9270924,False,95673,722,1080,I Can’t Get Enough is out now! Link in bio @itsbennyblanco @tainy @jbalvin,[],1551374303
17,Bt35UNMAhm7,selenagomez,https://scontent-bom1-2.cdninstagram.com/vp/0dd490f607d06295ad25f66b31e02938/5DBAD256/t51.2885-15/e35/50682952_613741552385869_6020950337689177795_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MTk3OTMwMjYzODQ1MzM5Nzk0Nw%3D%3D.2,6238981,False,69005,1080,1080,Back on set with @PUMA. Always in my Cali. @pumasportstyle,[],1550171283
18,BtBuE0Hg-6j,selenagomez,https://scontent-bom1-2.cdninstagram.com/vp/ee7fbbd87d4b1c2c59a2529cdf7f66f0/5DBEFEE0/t51.2885-15/e35/49847792_597699860653600_849202166984790089_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MTk2NDA1MzU1MzQ4ODMyNjMwNw%3D%3D.2,10277043,False,95033,1078,1080,My sweet soul sister. Julia you have been a huge part of my life. You have taught me how to have courage when I have self doubt. This song is extremely close to my heart as I’ve experienced anxiety and know a lot of my friends do too. You’re never alone if you feel this way. The message is much needed and I really hope you guys like it!,[],1548353450
19,BoFlrM7gwnK,selenagomez,https://scontent-bom1-2.cdninstagram.com/vp/a9ab20cbb63f2a0316fa7a10ed8776d7/5DBF09A3/t51.2885-15/e35/41336761_1894527800635629_8319378785315342685_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MTg3NTA3MDUxNjQxMTQzNTQ2Ng%3D%3D.2,9909341,False,443580,1080,1080,"Mood lol (I was looking at myself in the mirror -like an idiot!) Update: taking a social media break. Again. As much as I am grateful for the voice that social media gives each of us, I am equally grateful to be able to step back and live my life present to the moment I have been given. Kindness and encouragement only for a bit! Just remember- negative comments can hurt anybody’s feelings. Obvi.",[],1537745845
20,Bnja9NvAWUg,selenagomez,https://scontent-bom1-2.cdninstagram.com/vp/45bd47b06e9938893bb1e33f5fbda0e4/5DAAFB50/t51.2885-15/e35/40298720_253387241983693_8441750239643411867_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MTg2NTQ1MzIyNjUwNjE1MTIwMA%3D%3D.2,9033921,False,81428,1324,1080,NEUTRAL,,1536599375
