,shortcode,username,display_url,edge_media_preview_like,comments_disabled,edge_media_to_comment,dimensions_height,dimensions_width,edge_media_to_caption,tags,taken_at_timestamp
0,BzCaB2fFNqv,semu_dogra,https://scontent-bom1-2.cdninstagram.com/vp/d9716f858aa007bf26a6b20d0e08dabd/5DB0B295/t51.2885-15/e35/64357228_121733419073016_4683912366248867112_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3MjMzMzI1NDk3NjEzMzgwNw%3D%3D.2,8462,False,250,1080,1080,Love you😘 dadi 😍😘😘#dadiloveyou❤️,['❤️'],1561261396
1,BzAw7kLFX5_,semu_dogra,https://scontent-bom1-2.cdninstagram.com/vp/c8486d5a67e144504a70ae9f0f198edd/5DB8872B/t51.2885-15/e35/61969776_890638941270901_3339440831790095895_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3MTg3MTAyODExMjc1MjI1NQ%3D%3D.2,7270,False,301,1080,1080,😘😘😘,[],1561206295
2,By4EsY-l3gf,semu_dogra,https://scontent-bom1-2.cdninstagram.com/vp/f162310bb0416a6c03f0b64f761ec0ac/5DB27FB1/t51.2885-15/e35/65222196_467255857150191_1893876676373758761_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2OTQyNDY3MTQzOTY4MTU2Nw%3D%3D.2,916,False,33,480,480,Kisi ne fake I'd bnai h or semu bn k bt kr rha h mere frds se so kisi ko isne follow kiya h ya isne kiya h to block kr dena plzzzz meri pic lga kr mere frds se bt kr rha h so plz block kr dena isko,[],1560914666
3,Bytwbw7FWwr,semu_dogra,https://scontent-bom1-2.cdninstagram.com/vp/a32c702b568800b230697e02458698ea/5DAA8262/t51.2885-15/e35/64272006_438085870308204_3092129862827630495_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA2NjUyMDgxODIyMjE5NzgwMw%3D%3D.2,6035,False,188,1350,1080,😞😞,[],1560568500
4,ByRbQV-Fbs5,semu_dogra,https://scontent-bom1-2.cdninstagram.com/vp/288080f5edb799578d8ba9d403a45764/5DBAA780/t51.2885-15/e35/61408858_599525523864675_9215178037699445001_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1ODU0NjM3NTA0MjY0NDc5Mw%3D%3D.2,7704,False,329,480,480,#usne bola ja tere jese #36 milege humne b#😊muskrakr kha #hamare  jese hi ku chahiye😊😊,"['36', 'hamare', 'usne']",1559617872
5,ByQIGw2F-Q_,semu_dogra,https://scontent-bom1-2.cdninstagram.com/vp/ec77aa33fb6b50452f1d8dfa941540f4/5DA7FD19/t51.2885-15/e35/61400278_646880512404025_5951795386174317755_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1ODE4MDY3ODg0NDQwODg5NQ%3D%3D.2,15032,False,777,600,480,NEUTRAL,,1559574278
6,ByIhCnOlCCg,semu_dogra,https://scontent-bom1-2.cdninstagram.com/vp/8ff1c3faf28d245d7f99ecb87b58e969/5DBA974E/t51.2885-15/e35/60801377_560750387783185_8353172319765436865_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1NjAzODU0NDk4ODk3MTE2OA%3D%3D.2,16112,False,872,1080,1080,Me and my sis 😘😘,[],1559318915
7,ByEhqrblzkX,semu_dogra,https://scontent-bom1-2.cdninstagram.com/vp/82a8fff0da8c73e76e4b98e129155d38/5DA5C116/t51.2885-15/e35/60805370_835387903483519_8884553649801682225_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA1NDkxNTM5ODM3NDQ3MTk1OQ%3D%3D.2,16589,False,916,1350,1080,NEUTRAL,,1559185026
8,Bx5D5pfFYNw,semu_dogra,https://scontent-bom1-2.cdninstagram.com/vp/28feffee9537e8660e6be0439b0d302d/5DC4BBBE/t51.2885-15/e35/60747571_441382513090305_1979907911625482780_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1MTY4ODI2MDkzODU5NzIzMg%3D%3D.2,7992,False,370,532,480,Khte h phla pyr aksr glt insan se hota h tu Mila to ykin ho gya @dogra6005,[],1558800321
9,BxpAByGHGgk,semu_dogra,https://scontent-bom1-2.cdninstagram.com/vp/1d1aa4aa50b4bc103e280008d6ebf18f/5DA431CC/t51.2885-15/e35/59656258_372664383351911_994876725797354159_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA0NzE2NzYyODEyNTY5Mzk4OA%3D%3D.2,7012,False,234,600,480,#_first_vote,['_first_vote'],1558261420
