,shortcode,username,display_url,edge_media_preview_like,comments_disabled,edge_media_to_comment,dimensions_height,dimensions_width,edge_media_to_caption,tags,taken_at_timestamp
0,BzON_jIA5Rp,shakira,https://scontent-bom1-2.cdninstagram.com/vp/bc6a41c1872d469ed2ce056b2b7ee2ca/5DA642BD/t51.2885-15/e35/65309989_123768592190323_5479728878768366836_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3NTY1ODAxOTkxMTQ3MjIzMw%3D%3D.2,1000564,False,9561,1349,1080,"Picture taken by Sasha Piqué Mebarak my new 4-year-old photographer! Foto tomada por Sasha Piqué Mebarak, mi nuevo fotógrafo de 4 años! Shak",[],1561657739
1,BysX-gegKRj,shakira,https://scontent-bom1-2.cdninstagram.com/vp/40dc1d1c039bb60b59768af8d3d33f09/5DBD365B/t51.2885-15/e35/62194078_449328582532819_4067277506269519135_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2NjEzMTc3OTYwNTAxMzYwMw%3D%3D.2,3062323,False,32487,1348,1080,"Ok... última foto en vestido de baño... por ahora 😜... Solo una pregunta: quién quiere que le diseñe uno? 
Ok last bathing suit pic for now 😜... Only one question: who wants me to design a bathing suit for you girls? Shak",[],1560522123
2,ByfrrSJgTlo,shakira,https://scontent-bom1-2.cdninstagram.com/vp/0fca17ea04eb94b40d74e19ef243947c/5DB8D04E/t51.2885-15/e35/61680705_450932062141977_6250031093057411939_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=8&ig_cache_key=MjA2MjU1OTI0NDc4MzI3MDI0OA%3D%3D.2,1204909,False,8952,1350,1080,En paz / peace. Shak,[],1560096243
3,Bye4eTVA1Xb,shakira,https://scontent-bom1-2.cdninstagram.com/vp/e1d5e5f8fa00621172a34d59102d08f1/5DB3B941/t51.2885-15/e35/62268272_400559637202679_2925216833080374363_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=8&ig_cache_key=MjA2MjMzNDA1MjMyNDgyNDUzOQ%3D%3D.2,827987,False,4341,1350,1080,Esta es la pose de “miren mis flecos” Shak,[],1560069398
4,BydyJi8AY_T,shakira,https://scontent-bom1-2.cdninstagram.com/vp/5e0ae7410c3770cf813613dcfdbea7b7/5DAC5BD7/t51.2885-15/e35/61021790_2382199165336677_2525088675616383762_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=8&ig_cache_key=MjA2MjAyNDc2MjcyMDM1ODM1NQ%3D%3D.2,852491,False,3394,1350,1080,"Minutos antes de salir con @alejandrosanz esta noche, a última hora cortando flecos y agregando flecos! Shak",[],1560032528
5,ByLAHR5ggE9,shakira,https://scontent-bom1-2.cdninstagram.com/vp/2d1ea72b647dac7e8759689fa768df0a/5DAAB37D/t51.2885-15/e35/59602014_351655175544939_440279998012793062_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA1NjczODE1NTA3OTUzMjg2MQ%3D%3D.2,2558268,False,11905,810,1080,Soy un koala! I’m a koala! Shak,[],1559402315
6,ByDkmdBAXlx,shakira,https://scontent-bom1-2.cdninstagram.com/vp/a8415670c97e40df02d205b267b64708/5DC04A5B/t51.2885-15/e35/p1080x1080/61749121_368666673996035_2953212624785215536_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1NDY0NjgyNzE4MDk4MDU5Mw%3D%3D.2,912957,False,5089,1350,1080,"Gracias Adrián!!! Increíble! 
Shak 
#Repost @adriantorres_art
・・・
Mi último retrato, ""Shakira"", 200x140 cm. Acrílico sobre lienzo. #2019","['Repost', '2019']",1559153010
7,BxxJ7PpD5fM,shakira,https://scontent-bom1-2.cdninstagram.com/vp/6042829ca8fb4cabf19a741b6769870d/5DC54FCE/t51.2885-15/e35/60594408_669188363551382_8748385555079207899_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA0OTQ2Mjk1OTA5MzAyODgxMg%3D%3D.2,853260,False,6550,1080,1080,Cherries!! Cerezas!! Shak,[],1558535045
8,BxZ_9M4HLTD,shakira,https://scontent-bom1-2.cdninstagram.com/vp/3046e8ce7936cc2bb41068354c84ae55/5DBB7A7D/t51.2885-15/e35/58800465_441560956602683_5058171108317610500_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA0Mjk0NTE4ODYzMzgxODMwNw%3D%3D.2,330360,False,1424,732,750,"Con  los estudiantes emprendedores de nuestras escuelas de la @fpiesdescalzos que han viajado de Colombia a Barcelona gracias a @fundlacaixa, @fpiesdescalzos, @fundaciofcb @fcbarcelona y @fundaciontelefonica_co, a contarnos los proyectos innovadores que han desarrollado para mejorar las condiciones de pobreza y vulnerabilidad de sus comunidades.
Shak",[],1557758066
9,BxYQjC2HKRD,shakira,https://scontent-bom1-2.cdninstagram.com/vp/cd5e5d5d7523ba8b08cbbcdb7bc4cebc/5DC39256/t51.2885-15/e35/59422548_889234398101629_8787270986019513586_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA0MjQ1NTIwNzk5MzcxMzczMQ%3D%3D.2,1004815,False,5555,1064,1080,"Felicidades a la mía y a todas nuestras madres;
Por creer, cuidarnos, enseñarnos, y por el amor que nos han dado desde siempre y que durará por siempre!
Shak",[],1557699656
10,BwmwOShnB3u,shakira,https://scontent-bom1-2.cdninstagram.com/vp/900d765ffddb9041bf8ee1ef1a59dbcc/5DBC1358/t51.2885-15/e35/58468819_133345144473488_5609890443932444614_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjAyODUyMDc3MDM3MzQyNjY3MA%3D%3D.2,354559,False,2636,721,1080,"My team at  @sonymusiclatin... Best team in the world, better than Barça 😜 Shak",[],1556038541
11,BwhYMetH8KX,shakira,https://scontent-bom1-2.cdninstagram.com/vp/5883c91795db58d060c17506ad061866/5DB69094/t51.2885-15/e35/56702413_431793030724295_4408804963818773231_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=8&ig_cache_key=MjAyNzAwNzcxODAxMjczMjA1NQ%3D%3D.2,411610,False,2414,1350,1080,Hay que ver sus caritas de felicidad! To see their happy faces is priceless! Shak,[],1555858171
