,shortcode,username,display_url,edge_media_preview_like,comments_disabled,edge_media_to_comment,dimensions_height,dimensions_width,edge_media_to_caption,tags,taken_at_timestamp
0,BzO9G4pgKrS,shitheadsteve,https://scontent-bom1-2.cdninstagram.com/vp/cf342e5bd90774c9d4b519f5f822d606/5DA6BCB5/t51.2885-15/e35/64872059_446648235882739_1053675527883224930_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3NTg2NTIzMjI0NDI1NTQ0Mg%3D%3D.2,79036,False,798,746,750,it do be like that,[],1561682441
1,BzOvTp4AOpQ,shitheadsteve,https://scontent-bom1-2.cdninstagram.com/vp/39bba57b85385d0f7b37affa1fa24dec/5DB8B87A/t51.2885-15/e35/65486274_416659138924872_7616313378724674364_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3NTgwNDUzNzA4MzQ1NjA4MA%3D%3D.2,70594,False,1136,640,640,who knew,[],1561675205
2,BzOWItlA_Ra,shitheadsteve,https://scontent-bom1-2.cdninstagram.com/vp/9a6d77cefb54089a9b0784c3424da862/5DA865B1/t51.2885-15/e35/s1080x1080/64517145_348257899190318_2621205706475828904_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3NTY5MzgzMzk4MjgzMzc1NA%3D%3D.2,28805,False,586,1080,1080,It's an investment. Get your budget in order by downloading the Cleo app from the Link in Bio. @meetcleo #ad,['ad'],1561662008
3,BzN3kQOAXR6,shitheadsteve,https://scontent-bom1-2.cdninstagram.com/vp/0c3a3f2272c5d17ddee97e254eb0f54a/5DA46841/t51.2885-15/e35/65296897_481789119062011_5977193584613904765_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3NTU1OTM4NzE2MTc4NTQ2Ng%3D%3D.2,127593,False,1727,561,640,makes a lot of sense,[],1561645981
4,BzL7MJlAvPb,shitheadsteve,https://scontent-bom1-2.cdninstagram.com/vp/d4ef0a6a0dea459f33900d0de8415aa1/5DB47043/t51.2885-15/e35/62038869_361041314444284_7573207182728914146_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3NTAxMjM3Mjk5Njc0ODI1MQ%3D%3D.2,85438,False,1220,1038,1080,@nathanielknows is a must follow 😂,[],1561580772
5,BzL1I4UAoya,shitheadsteve,https://scontent-bom1-2.cdninstagram.com/vp/e3f56ac7917caf4807267199da695989/5DC3188E/t51.2885-15/e35/64944711_867809226932786_4241439169286681720_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3NDk4NTc2MDAyMDQwMTMwNg%3D%3D.2,107008,False,2578,723,750,Fun for the whole family (@thebabylonbee),[],1561577600
6,BzLu4YKAfKo,shitheadsteve,https://scontent-bom1-2.cdninstagram.com/vp/eec96865a8ccd29dd86865f32a780400/5DBA86F8/t51.2885-15/e35/62609991_362252507811891_6662064684247522008_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=8&ig_cache_key=MjA3NDk1ODIzNzcwMjE1Njk2OA%3D%3D.2,95744,False,4754,1032,1080,survive,[],1561574319
7,BzLlmubgXSv,shitheadsteve,https://scontent-bom1-2.cdninstagram.com/vp/d6a4a09ac0f754c2f95d99364490276d/5DA28685/t51.2885-15/e35/62488372_450822442362718_4215702809206790986_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=8&ig_cache_key=MjA3NDkxNzQ0MjI0ODg2NDk0Mw%3D%3D.2,94173,False,1469,1080,1080,toy story 4 was dope,[],1561569455
8,BzLjT50gfpf,shitheadsteve,https://scontent-bom1-2.cdninstagram.com/vp/1325f931269e1801a5d9206d2c5bb5ac/5DC22713/t51.2885-15/e35/64581263_145035943237806_4661083170439515248_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3NDkwNzM1MjcxNjQwOTQzOQ%3D%3D.2,73026,False,564,435,480,good times,[],1561568253
9,BzLLh9fAt6l,shitheadsteve,https://scontent-bom1-2.cdninstagram.com/vp/a4461521b23f9a9fa52077bdca11e866/5DB53CC0/t51.2885-15/e35/64220424_466322877524661_3314738962278449458_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3NDgwMjc2NTYwNzEzMjgzNw%3D%3D.2,72589,False,1239,431,750,"He’s in shock, get him out of here (twitter: unionlib)",[],1561555785
10,BzJlPZLg8GF,shitheadsteve,https://scontent-bom1-2.cdninstagram.com/vp/85fe2afd66325559aacfb3aa61385c06/5DA3C3CB/t51.2885-15/e35/64360364_868736543486023_2881723985999333481_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3NDM1Mjg4ODkzMDYxNTY4NQ%3D%3D.2,157437,False,2636,1327,1080,@saul_malone,[],1561502155
11,BzJLDGhApF7,shitheadsteve,https://scontent-bom1-2.cdninstagram.com/vp/00cc8c35b167e9f53e7a4ee24e15aaf5/5DB7898A/t51.2885-15/e35/65214733_371167946921825_4056835064041362252_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3NDIzNzY5NTA0NzE0MzgwMw%3D%3D.2,106578,False,1239,720,640,"i still do this
-
credit: u/lgspmrk546",[],1561488423
12,BzJE78igbdD,shitheadsteve,https://scontent-bom1-2.cdninstagram.com/vp/50523d34a6023a7531fa27c1d959fc11/5DC63107/t51.2885-15/e35/65208889_884617721898210_1589095921339446689_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=8&ig_cache_key=MjA3NDIxMDgxNTAxOTQzMTc0Nw%3D%3D.2,83073,False,1487,1035,1080,it was a calculated risk,[],1561485219
13,BzI2bBWArLj,shitheadsteve,https://scontent-bom1-2.cdninstagram.com/vp/57a3f1f394f4036f02515e7e5364533f/5DC71B64/t51.2885-15/e35/65223321_154931088972886_3274473426610465946_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=8&ig_cache_key=MjA3NDE0Njk3OTc4NDYwMjMzOQ%3D%3D.2,95878,False,1042,981,1080,Karen has been defeated,[],1561477609
14,BzIszfMAw6j,shitheadsteve,https://scontent-bom1-2.cdninstagram.com/vp/d147515969d0bc7f030a5319faea8180/5DB804F8/t51.2885-15/e35/65088367_164737774569805_1693891008580582021_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3NDEwNDY4MDYzMTQzOTAxMQ%3D%3D.2,110648,False,2495,701,750,prepare yourselves,[],1561472567
15,BzGveFHAh3y,shitheadsteve,https://scontent-bom1-2.cdninstagram.com/vp/bdbb58dfbb22f185f2a311c97a0655c8/5DC519C1/t51.2885-15/e35/62024408_317883652456314_5438138260722964320_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3MzU1MzQ1MzcwNzMwNDQzNA%3D%3D.2,98417,False,2289,538,750,👏 (@itsallabouttheaesthetic),[],1561406855
16,BzGkAI1g7DM,shitheadsteve,https://scontent-bom1-2.cdninstagram.com/vp/2623042c20b5b8796e08ba3e4af8e43d/5DBE1BC1/t51.2885-15/e35/64433280_2365897887066639_1077881875651647313_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=8&ig_cache_key=MjA3MzUwMzAxNzYxMjg0OTM1Ng%3D%3D.2,118597,False,2297,1237,1080,👀🤔 (@dream.cvlt),[],1561400843
17,BzGdetygJQa,shitheadsteve,https://scontent-bom1-2.cdninstagram.com/vp/e9af0a215a5fc53042673e712341bf45/5DAAC10E/t51.2885-15/e35/64519363_1795694840533848_3733496047607016310_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3MzQ3NDMzMjU0OTQ4NTU5NA%3D%3D.2,76720,False,2291,1080,1080,Crystal & Brandon (@mo_wad),[],1561397423
18,BzGV66XAirr,shitheadsteve,https://scontent-bom1-2.cdninstagram.com/vp/0a6996a88be93b69a6bcbfa5f36e13ac/5DB57E17/t51.2885-15/e35/64345886_477928179622800_8120569268783028394_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3MzQ0MTA4NTgyMDExOTc4Nw%3D%3D.2,95877,False,2416,750,750,Classic,[],1561393460
