,shortcode,username,display_url,edge_media_preview_like,comments_disabled,edge_media_to_comment,dimensions_height,dimensions_width,edge_media_to_caption,tags,taken_at_timestamp
0,BzPVNKLJrjT,spronik_,https://scontent-bom1-2.cdninstagram.com/vp/8156aef55abd040ebd417cd4de895300/5DA65522/t51.2885-15/e35/65196445_145680396543408_7380516397942967710_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3NTk3MTIxNjQ5NTUyNDA1MQ%3D%3D.2,2170,False,4,1080,1080,The launch of UPI-based WhatsApp Payments is delayed because the Indian government demanded  to store all payments-related data within the country to comply with NPCI guidelines.,[],1561695075
1,BzN6mk_JLOP,spronik_,https://scontent-bom1-2.cdninstagram.com/vp/ec7d3ed8594f7301f170be4ca577b50e/5DC33CD0/t51.2885-15/e35/64974879_141280023629631_891585582256746635_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3NTU3Mjc0MTAzOTUwMjIyMw%3D%3D.2,1569,False,3,1080,1080,"The ads won’t appear on the Explore grid itself, but they’ll appear once a user taps on an Explore post and begins scrolling through that discovery feed.

Ads everywhere 🤷🏻‍♂️",[],1561647573
2,BzNIGCMpRwQ,spronik_,https://scontent-bom1-2.cdninstagram.com/vp/9c0ba78a3f37a99eddcb91a6a48806b2/5DB9A3A4/t51.2885-15/e35/64587833_673798696415891_7569766115162561871_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3NTM1MDYwMjMzNjI0NjgwMA%3D%3D.2,2052,False,3,1080,1080,"It’s not doing anything to link your accounts on the two services. Instead, it’s making use of the same iOS and Android data-sharing APIs as every other app, meaning data is transferred between the apps on-device. Even if you share data to another Facebook-owned service like Instagram, WhatsApp says the two posts will be separate events in Facebook’s systems, and they will not be linked. There is also no option to have your WhatsApp status automatically shared to another service.",[],1561621092
3,BzLYJ7NJuMF,spronik_,https://scontent-bom1-2.cdninstagram.com/vp/a3aa602588f357a7701e9cbf31cce624/5DB59D55/t51.2885-15/e35/65015293_137297560799015_3471029750318496423_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3NDg1ODI4ODQ5NzIyMjQwNQ%3D%3D.2,3419,False,5,1080,1080,NEUTRAL,,1561562404
4,BzK4y7eJqkK,spronik_,https://scontent-bom1-2.cdninstagram.com/vp/75a63e841cf8b1b278c5025d92c09d1c/5DAFC77E/t51.2885-15/e35/64382155_218268999148239_2274610196424096588_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3NDcyMDM2ODc5MjYxMTA4Mg%3D%3D.2,3677,False,12,1080,1080,"Oppo unveiled its new under-screen camera at the Mobile World Congress 2019 event in Shanghai, China.

The under-screen camera itself also packs a larger sensor with bigger pixels, along with a larger aperture to get as much light as possible.",[],1561545962
5,BzI9tfWJ5LE,spronik_,https://scontent-bom1-2.cdninstagram.com/vp/454324718b7edf109ea2f0c63b0ec50d/5DA81961/t51.2885-15/e35/62613383_348305009192136_3455229998553380658_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3NDE3OTAzNTI3NTQzMjY0NA%3D%3D.2,3313,False,11,1080,1080,"BSNL is the second operator to gain subscribers with a figure of 2,32,487. That said, these two are the only operators that have gained any subscriber in April 2019.

The rest of the industry has only lost subscribers. Vodafone-Idea manages to lose an average of 1.5 million subscribers in April",[],1561481430
6,BzGamKxpUXw,spronik_,https://scontent-bom1-2.cdninstagram.com/vp/9bfb157fe2050ebf44b0ee8fcdf00907/5DA644D1/t51.2885-15/e35/64465716_2268541733228466_402061258150923934_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3MzQ2MTY1MDU3MDQyOTkzNg%3D%3D.2,3392,False,8,1080,1080,"It now comes with up to 4GB of RAM (four times that of any previous Pi), a faster CPU and GPU, faster Ethernet, dual-band Wi-Fi, twice the amount of HDMI outputs, and two USB 3 ports.",[],1561395911
7,BzGN0AwpEzn,spronik_,https://scontent-bom1-2.cdninstagram.com/vp/1f27402c7bb191c97e478e3a57e170fc/5DA6F72A/t51.2885-15/e35/64898696_2195030783928095_1693464199688612270_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3MzQwNTQyNzI4NDIwMDY3OQ%3D%3D.2,4863,False,36,1080,1080,NEUTRAL,,1561389209
8,BzFLTJBpemu,spronik_,https://scontent-bom1-2.cdninstagram.com/vp/e528af6658d0bb1804f19825fa514202/5DB054D8/t51.2885-15/e35/64466029_2450371415013190_2088476058436990464_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3MzExMjg5NzM0Njk4ODQ2Mg%3D%3D.2,3351,False,5,1080,1080,"The UPI platform was developed by the National Payments Corporation of India (NPCI). PhonePe has so far been downloaded over 10 crore times from Google Play.

Google Pay, which uses the NPCI’s BHIM UPI, has also been downloaded over 10 crore times from Google Play so far.",[],1561354337
9,BzDzsW5pPlc,spronik_,https://scontent-bom1-2.cdninstagram.com/vp/29d618d8241cebca81b966db4178f232/5DA17EA4/t51.2885-15/e35/65259603_2268454899898696_6213603863219884496_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3MjcyNzYwMjEzOTAzNTk5Ng%3D%3D.2,3518,False,2,1080,1080,The deal with Volvo is a particular boost for Nvidia and its AI technology for self-driving cars after Tesla ditched the firm last year.,[],1561308406
10,BzDmA05J-n_,spronik_,https://scontent-bom1-2.cdninstagram.com/vp/da43e0523ad3365441d74a4c73a7f1e5/5DC59DD4/t51.2885-15/e35/65113468_901107353563448_1742032741818630500_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3MjY2NzQzNjA4MTQ3NDA0Nw%3D%3D.2,3446,False,3,1080,1080,A report published this week by the NASA Office of Inspector General reveals that in April 2018 hackers breached the agency's network and stole approximately 500 MB of data related to Mars missions.,[],1561301234
11,BzC5eS5pJLe,spronik_,https://scontent-bom1-2.cdninstagram.com/vp/1801381c39fdc32fad42012047ae2083/5DB31E6A/t51.2885-15/e35/62186614_877591189240687_2418989545125686246_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3MjQ3MTU0OTA3MzcyNDEyNg%3D%3D.2,3262,False,15,1080,1080,"People were forced to find the episode via piracy sites.

Because of United States  ongoing trade disputes with the china.",[],1561277882
12,BzCkkg-piVG,spronik_,https://scontent-bom1-2.cdninstagram.com/vp/1459b180d952ced2d9b28c785e952027/5DAE558B/t51.2885-15/e35/64671913_510747096333222_1735838772465031306_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3MjM3OTYxNzUzMDIyNTk5MA%3D%3D.2,4630,False,22,1080,1080,‘Central Equipment Identity Register’ (CEIR) -- a huge database of IMEI numbers of devices active in India.,[],1561266923
13,BzBI9KcJPYH,spronik_,https://scontent-bom1-2.cdninstagram.com/vp/8b68303ba4f38a2494a97ddb4a1eefe3/5DC4A21E/t51.2885-15/e35/65394465_112983293122688_7092866299995404876_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3MTk3NjY5MTAzNjkxMTExMQ%3D%3D.2,2094,False,6,1080,1080,You can register from its official site,[],1561218891
