,shortcode,username,display_url,edge_media_preview_like,comments_disabled,edge_media_to_comment,dimensions_height,dimensions_width,edge_media_to_caption,tags,taken_at_timestamp
0,By3C5Irjvw0,taylorswift,https://instagram.fdel3-1.fna.fbcdn.net/vp/79f83cf9f2879e8b72e158ebab238d16/5DC26AF0/t51.2885-15/e35/p1080x1080/62400262_357234481655124_4043860500416785169_n.jpg?_nc_ht=instagram.fdel3-1.fna.fbcdn.net&ig_cache_key=MjA2OTEzNTI3NjIyMzk1Mzk3Mg%3D%3D.2,1307812,False,0,1349,1080,Some of us had champagne on set and it shows 🥂,[],1560880167
1,Byv1dDujOeM,taylorswift,https://instagram.fdel3-1.fna.fbcdn.net/vp/45a7c3f661c31cdc40af27937ae09d2e/5DBE97CF/t51.2885-15/e35/p1080x1080/64338705_652303968618965_5108390842849875713_n.jpg?_nc_ht=instagram.fdel3-1.fna.fbcdn.net&ig_cache_key=MjA2NzEwNTg0NzMxODQ3MjU4OA%3D%3D.2,730798,False,0,1349,1080,Tea time! Monday morning! 💕,[],1560638241
2,ByvOI2BDD3P,taylorswift,https://instagram.fdel3-1.fna.fbcdn.net/vp/01e5a6a0ce25da19945ccad40ac776e6/5DB576F9/t51.2885-15/e35/s1080x1080/62501400_2065115123794408_237324385641559711_n.jpg?_nc_ht=instagram.fdel3-1.fna.fbcdn.net&ig_cache_key=MjA2NjkzMjkzNDM5Mjk1NDMxOQ%3D%3D.2,889612,False,0,1080,1080,We all got crowns 👑 💕,[],1560617628
3,Byt3hIlj--k,taylorswift,https://instagram.fdel3-1.fna.fbcdn.net/vp/de552f333089e42513adf696b847b484/5DA3383B/t51.2885-15/e35/64225761_544353429432547_6859878598148149849_n.jpg?_nc_ht=instagram.fdel3-1.fna.fbcdn.net&se=8&ig_cache_key=MjA2NjU1MTk3MzU1Mzg5MzI4NA%3D%3D.2,768709,False,0,1080,1080,Can you just not step on our gowns? 💃,[],1560572214
4,Bysi0ZpjlYr,taylorswift,https://instagram.fdel3-1.fna.fbcdn.net/vp/c237d5e4c9a4af3e011ddf47dfcc26f9/5DC58512/t51.2885-15/e35/p1080x1080/62434730_409494552976661_5748831747876085907_n.jpg?_nc_ht=instagram.fdel3-1.fna.fbcdn.net&ig_cache_key=MjA2NjE3OTQ2MzU5MTEyMjQ3NQ%3D%3D.2,914902,False,0,1349,1080,A delicious new video comes out Monday morning...💗🎂💗,[],1560527807
5,ByrRby7Di60,taylorswift,https://instagram.fdel3-1.fna.fbcdn.net/vp/36abd32af8f4663b77ed687505d7b1c0/5DAF5DD2/t51.2885-15/e35/s1080x1080/61909579_1095512460836364_4998575579970968207_n.jpg?_nc_ht=instagram.fdel3-1.fna.fbcdn.net&ig_cache_key=MjA2NTgyMTUzMDk3Mzk0MTQyOA%3D%3D.2,1489957,False,0,1080,1080,Gxgjxkhdkdkydkhdkhfjvjfj,[],1560485138
6,ByrJOqGj8Zz,taylorswift,https://instagram.fdel3-1.fna.fbcdn.net/vp/48523d39c4a2f3dce2631f95fd80042d/5DB51E96/t51.2885-15/e35/s1080x1080/62558313_578563175883611_828326550503306044_n.jpg?_nc_ht=instagram.fdel3-1.fna.fbcdn.net&ig_cache_key=MjA2NTc4NTQ0Mzc3ODAyMDk3OQ%3D%3D.2,736212,False,0,760,1080,There were five posts in the fence.,[],1560480836
7,Byqi9nGD8gb,taylorswift,https://instagram.fdel3-1.fna.fbcdn.net/vp/ebe5f8212483a817825c1e8031092508/5DAB5191/t51.2885-15/e35/s1080x1080/61212031_322470095341997_6408411387922360655_n.jpg?_nc_ht=instagram.fdel3-1.fna.fbcdn.net&ig_cache_key=MjA2NTYxNzE0NjU0OTg4MDg1OQ%3D%3D.2,2026176,False,0,1080,1080,"Lover, album out August 23. Cover shot by the artistic genius that is @valheria123 💗 Pre-add, pre-save, pre-order (all the pre stuff you feel like doing) Can’t wait for you to hear this.",[],1560460774
8,ByEj_bWji-x,taylorswift,https://instagram.fdel3-1.fna.fbcdn.net/vp/b054f19f8e56e645eb78eb59a7bf1dcb/5DA3BEEE/t51.2885-15/e35/p1080x1080/60235451_778271919234437_2090293505145356262_n.jpg?_nc_ht=instagram.fdel3-1.fna.fbcdn.net&ig_cache_key=MjA1NDkyNTYyMDMxMjE1ODEyOQ%3D%3D.2,1635497,False,0,1350,1080,😻,[],1559186244
9,Bw76TISDiTG,taylorswift,https://instagram.fdel3-1.fna.fbcdn.net/vp/b1997e8f9bd83b79a397c7d7b134c919/5DA663E6/t51.2885-15/e35/58408928_579930099172385_7878679846421325033_n.jpg?_nc_ht=instagram.fdel3-1.fna.fbcdn.net&se=7&ig_cache_key=MjAzNDQ3NjA1Nzk0ODQ2NDMyNg%3D%3D.2,1858311,False,0,1350,1080,I’m trying to give them a normal upbringing but when the little ones and I ran into the flawless @paulaabdul on the way to red carpet we STRAIGHT UP had to get a pic.,[],1556748467
10,Bw0ENivhFnv,taylorswift,https://instagram.fdel3-1.fna.fbcdn.net/vp/52a18f40741a11502cf19d5b99d28837/5DAAE70B/t51.2885-15/e35/58411023_402641780321722_5874259628334411803_n.jpg?_nc_ht=instagram.fdel3-1.fna.fbcdn.net&se=7&ig_cache_key=MjAzMjI2Nzg1NDY5NDYwMzI0Nw%3D%3D.2,1502923,False,0,788,1080,"Because of you guys, this video broke the @vevo record and WE ARE NOT CALM.",[],1556485228
11,BwxLnI0jy7Y,taylorswift,https://instagram.fdel3-1.fna.fbcdn.net/vp/3324aec273262ca50c737829d6af5b00/5DB5B10A/t51.2885-15/e35/58410215_321813321818776_2848517688222967653_n.jpg?_nc_ht=instagram.fdel3-1.fna.fbcdn.net&se=7&ig_cache_key=MjAzMTQ1NTk3NDk2Mzc1MjY2NA%3D%3D.2,1496812,False,0,973,1080,💕💗 A huge thank you to the incredible dancers for making the video so magical and for keeping the secret for so long!!💕💗,[],1556388445
12,BwuN0aEjHu9,taylorswift,https://instagram.fdel3-1.fna.fbcdn.net/vp/902dbb5176797e9321f13f958d2c9240/5DAEED57/t51.2885-15/e35/57156362_145857656465170_5683176998819422424_n.jpg?_nc_ht=instagram.fdel3-1.fna.fbcdn.net&se=7&ig_cache_key=MjAzMDYyMTI1ODAwMTcxMDAxMw%3D%3D.2,2597361,False,0,1080,1080,And then there were three…,[],1556288939
13,BwtG0fiDeA_,taylorswift,https://instagram.fdel3-1.fna.fbcdn.net/vp/50f1ad8900aa61868ecdcab62b3665e5/5DC054EC/t51.2885-15/e35/57674287_2348130742096309_5625192116385414087_n.jpg?_nc_ht=instagram.fdel3-1.fna.fbcdn.net&se=7&ig_cache_key=MjAzMDMwOTAwMjU2MzE0OTg4Nw%3D%3D.2,2444778,False,0,763,1080,ME! Out now! Made this song with @BrendonUrie and @iamJoelLittle. @Davemeyers and I co-directed the video. And everyone knows you can’t spell awesome without DAVEBRENDONJOEL. Oh wait...,[],1556251715
14,BwszXGwjBI6,taylorswift,https://instagram.fdel3-1.fna.fbcdn.net/vp/daaa914e0b06038f62d9072660059fba/5DBD28F5/t51.2885-15/e35/57572890_2246182195428268_7253023210913066938_n.jpg?_nc_ht=instagram.fdel3-1.fna.fbcdn.net&se=7&ig_cache_key=MjAzMDIyMzQyMDIxNDIxOTMyMg%3D%3D.2,1747924,False,0,1080,1080,"WELL GUYS 4.26 is gonna be here in a few hours and my new song “ME!” featuring the extraordinarily talented and awesome @brendonurie of @panicatthedisco will be out tonight at midnight eastern. In other exciting news, the VIDEO will be out then too and I can’t wait to watch live with you (and answer some questions) as it premieres on @YouTube 🎥Click the link in my bio and I’ll meet you there a little later!! 😺",[],1556241513
15,BwsfIhoDLoj,taylorswift,https://instagram.fdel3-1.fna.fbcdn.net/vp/b9c6441c17165c63732fc913426d437e/5DB6CF6B/t51.2885-15/e35/57552107_124959408684406_5158185906085577167_n.jpg?_nc_ht=instagram.fdel3-1.fna.fbcdn.net&se=7&ig_cache_key=MjAzMDEzNDQ1NzM0MDMxMjA5OQ%3D%3D.2,2229476,False,0,863,1080,🦋,[],1556230908
