,shortcode,username,display_url,edge_media_preview_like,comments_disabled,edge_media_to_comment,dimensions_height,dimensions_width,edge_media_to_caption,tags,taken_at_timestamp
0,BzVcWpehHuW,thasvy,https://scontent-bom1-2.cdninstagram.com/vp/37d557e17f01e941360c87b4572658a0/5DB7AB35/t51.2885-15/e35/64818426_481491569276961_9196148478717195087_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3NzY5MTUwNDc2NzU2NDY5NA%3D%3D.2,38957,False,374,720,1080,"Most of the important things are always taken for granted. Mostly Neglected. Rarely Appreciated.

Right now, being thankful for being blessed with another sunset. 💛.
.
PC. : @shamim_photography",[],1561900149
1,BzQU6mZh0TW,thasvy,https://scontent-bom1-2.cdninstagram.com/vp/8c55cd761a74f71b48d92cbd64dbe221/5DB3C3C8/t51.2885-15/e35/65221166_103213284250290_1720949557026541672_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3NjI1MTQxNjEwODE1NjExOA%3D%3D.2,48531,False,440,864,1080,"If everything stuck to the easier side, none of the boats would leave the coast. 
You are 'You' for a reason. Get out there and do justice to the life you've been gifted!
.
.
PC : @arif_ak_photography",[],1561728477
2,BzLFvlOBRev,thasvy,https://scontent-bom1-2.cdninstagram.com/vp/6c337457609a4efe87a3d59d9719e79c/5DA10A50/t51.2885-15/e35/62572575_1225065487671734_854943990958348530_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3NDc3NzMxMzM0NTg2OTc0Mw%3D%3D.2,38280,False,216,1350,1080,"Happiest birthday to one of my dearest of dearest! 
The one who helped me get back in frame and still remains the same. 💞

#Friendsforlife",['Friendsforlife'],1561552751
3,BzGBhTAh5d2,thasvy,https://scontent-bom1-2.cdninstagram.com/vp/000a1e90375c43479c6200da3a3378d0/5DA93D2C/t51.2885-15/e35/65040777_347293825956795_6612950011770434630_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3MzM1MTM2NDY0OTkxNjI3OA%3D%3D.2,40624,False,356,720,1080,"For once, try to let it just be and cherish beauty in it's purest form. ✨ #FreeSpirited",['FreeSpirited'],1561382764
4,BzA7yySBf9I,thasvy,https://scontent-bom1-2.cdninstagram.com/vp/c2ecdd6462e95f04aa8339dd6fc59f3d/5DBAA1B9/t51.2885-15/e35/65300387_114675893130020_901468185594586305_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3MTkxODgwMzI5Nzg5NDIxNg%3D%3D.2,45828,False,397,776,1080,"The smell of the earth, the touch of the wind, the sight of the trees; brings out the feeling of being fully alive ! #FreeSpirited
.
.
An @aravindphotography 
Retouch: @akhil_s_narayan",['FreeSpirited'],1561211990
5,By7qwzKBGYH,thasvy,https://scontent-bom1-2.cdninstagram.com/vp/1b39f0a0eb07a397fc35ee2b624c7a14/5DBF9D0E/t51.2885-15/e35/65388480_165728534464798_1075388084524834324_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3MDQzNjUyNTEyNDExODAyMw%3D%3D.2,54762,False,561,720,1080,"Lake amidst the woods, fire and a cup of tea to set the mood just right! #FreeSpirited 🍃

PC: @aravindphotography
Retouch: @akhil_s_narayan",['FreeSpirited'],1561035288
6,ByxfYlnBGsC,thasvy,https://scontent-bom1-2.cdninstagram.com/vp/4b79ead572acc5fe0048d702849a22ae/5DB75098/t51.2885-15/e35/61748344_142932326819100_6953433499255412174_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA2NzU3MTczMzAzMjEwMjY1OA%3D%3D.2,57811,False,724,720,1080,"An @aravindphotography 
Retouch : @akhil_s_narayan",[],1560693779
7,BypjF6_Bhq5,thasvy,https://scontent-bom1-2.cdninstagram.com/vp/8a0593728acb32c3ac87d3d931df85ce/5DB0F219/t51.2885-15/e35/62426866_336298360396724_8132023720909394169_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA2NTMzNjI0MjY4NTc0NTg0OQ%3D%3D.2,51715,False,462,1350,1080,"The Chase for Perfection, it's neverending..
Until you choose to accept yourself just the way you are.
Perfectly you.
.
.
PC : @benzy_areekal",[],1560427287
8,BykRgYCBrgT,thasvy,https://scontent-bom1-2.cdninstagram.com/vp/46e6bf1dca73b63075eec1be03e799b8/5DC5FC50/t51.2885-15/e35/62126599_438843390269948_1626058924137737844_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA2Mzg1MTUyMDg2MDI3MjY1OQ%3D%3D.2,43606,False,522,1351,1080,"Bringing up yourself to be the hero of your own life
.
.
.Pic courtesy: @shamim_photography

#createstyle #dressup #photoshoot #itsmylife #staystrong #dontgiveup #goodvibe #dayout #dressup #vsco #vscocam #fashionaddict #fashionista #shadeson #bearded #mystyle #evening #amputee #amputeelife #strongleg #thasvy #storiesofindia #streetfashion #menfashion #fashion #fashionblogger #styleiswhat #menfashionstyle #menstreetstyle","['styleiswhat', 'menfashionstyle', 'menstreetstyle', 'dressup', 'goodvibe', 'staystrong', 'fashionblogger', 'thasvy', 'storiesofindia', 'fashionaddict', 'strongleg', 'photoshoot', 'itsmylife', 'menfashion', 'dayout', 'evening', 'vscocam', 'fashion', 'mystyle', 'amputee', 'shadeson', 'streetfashion', 'vsco', 'bearded', 'fashionista', 'amputeelife', 'createstyle', 'dontgiveup']",1560250295
9,ByfWf8vBAnL,thasvy,https://scontent-bom1-2.cdninstagram.com/vp/d330080b4722b3e7f4eca022b4b654cb/5DC390CC/t51.2885-15/e35/61843268_2531389676884750_3093916574713377743_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA2MjQ2NjEwNjg5OTMwMjg1OQ%3D%3D.2,70613,False,825,1350,1080,"Often, just take a walk. 
Destress yourself from the worldly things to restore and replenish your mind.!!
.
.
PC : @benzy_areekal
.
.
#dubaidiaries #travel #travelblogger #streetfashion #streetstyle #mywalkoflife #dubai #mydubai @visit.dubai","['dubaidiaries', 'streetstyle', 'mydubai', 'mywalkoflife', 'streetfashion', 'travel', 'travelblogger', 'dubai']",1560085141
10,ByaNR_chzlA,thasvy,https://scontent-bom1-2.cdninstagram.com/vp/f35cb0bc9ebadd9e25e7757d8c6018e7/5DB4809F/t51.2885-15/e35/62175861_449206415909426_6857097971286647364_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA2MTAxODE5MDQzNTUzMTA3Mg%3D%3D.2,50541,False,484,1350,1080,"Who you are is entirely upto you!
Be real & own it.

PC : @benzy_areekal
.
.
#dubailife #mydubai #dubaifashion #lifestyle #unlimitedpossibilities @mydubai #fashion #fashionblogger #streetfashion #wanderer #wanderlust #travel #travelphotography #travelgram #photography #explorer #adventure #explore #travelblogger #instatravel #traveller #travelling #wander  #igtravel #exploring #love #landscape #travelblog #trip #wandering #bhfyp","['travelgram', 'unlimitedpossibilities', 'instatravel', 'fashionblogger', 'igtravel', 'trip', 'love', 'explorer', 'wander', 'travelling', 'dubailife', 'wandering', 'wanderer', 'explore', 'bhfyp', 'fashion', 'landscape', 'lifestyle', 'travelblogger', 'wanderlust', 'photography', 'exploring', 'mydubai', 'travelphotography', 'streetfashion', 'travel', 'dubaifashion', 'travelblog', 'traveller', 'adventure']",1559912535
11,ByXqt0lBHWp,thasvy,https://scontent-bom1-2.cdninstagram.com/vp/33e46c2c0bbef890467508ce9fad73cb/5DA4E82E/t51.2885-15/e35/61449203_1255629387934261_8887624490310541429_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA2MDMwMzIyMTMzMDgzNDg1Nw%3D%3D.2,61251,False,579,1350,1080,"Instead of searching for cheerful people to surround you, Be that person everyone wants to be surrounded by.

#sharelaughter #spreadsmiles","['spreadsmiles', 'sharelaughter']",1559827304
