,shortcode,username,display_url,edge_media_preview_like,comments_disabled,edge_media_to_comment,dimensions_height,dimensions_width,edge_media_to_caption,tags,taken_at_timestamp
0,BzkYLhOAxb1,the.real.indian_stories,https://scontent-bom1-2.cdninstagram.com/vp/be3f6771f0f59f9a0fddd73f3acd2453/5DB5E4FE/t51.2885-15/e35/65777911_350629375613215_5074746373599937083_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA4MTg5NTI3MjQ1MTA4NjA2OQ%3D%3D.2,4017,False,25,1203,1080,Restuarant Location: Nidamnuru,[],1562401278
1,BzkJ0P2gifK,the.real.indian_stories,https://scontent-bom1-2.cdninstagram.com/vp/a5ae76efc45b8f11063cc1f1d0daba1a/5DB52CB3/t51.2885-15/e35/61816945_594895277699652_6755596304908937654_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA4MTgzMjEwMDYwNDAyODg3NA%3D%3D.2,8628,False,11,1304,1080,NEUTRAL,,1562393747
2,Bzj8CEOgRct,the.real.indian_stories,https://scontent-bom1-2.cdninstagram.com/vp/008071534dc7c0e36d8199519fb07d08/5D9FD70D/t51.2885-15/e35/65945824_347473675934687_4806410751375220991_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA4MTc3MTQ3NzU0MzIyOTIyOQ%3D%3D.2,6952,False,13,860,1080,"No need to convert! Now, you can shop with Indian rupee in Dubai duty free❤️",[],1562386520
3,BzisdOjgHCx,the.real.indian_stories,https://scontent-bom1-2.cdninstagram.com/vp/26c28516a8fccdd3f1ca0a6eaba51411/5DB201AA/t51.2885-15/e35/66142525_177977856554129_6278219859840114865_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA4MTQyMTUwMDMzNzkwOTkzNw%3D%3D.2,8223,False,29,1078,1080,NEUTRAL,,1562344800
4,BzidyHHgFht,the.real.indian_stories,https://scontent-bom1-2.cdninstagram.com/vp/c3ef1e1b0d70465230559d885114a16a/5DB9C130/t51.2885-15/e35/65302421_851479761905126_5409567394612456063_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA4MTM1Njk2NDc2MzI5MzgwNQ%3D%3D.2,12754,False,26,1138,1080,NEUTRAL,,1562337106
5,BziPGa5A9KH,the.real.indian_stories,https://scontent-bom1-2.cdninstagram.com/vp/bbf3901f27bee97ac82fac15a515250d/5DABF022/t51.2885-15/e35/66275582_408935519831302_6043688415109315038_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=8&ig_cache_key=MjA4MTI5MjM4OTY4Njk1NjY3OQ%3D%3D.2,7000,False,9,953,1080,NEUTRAL,,1562329408
6,Bzh0ZengyOo,the.real.indian_stories,https://scontent-bom1-2.cdninstagram.com/vp/d85c818e2a504510edc3a2ea87929763/5DC44022/t51.2885-15/e35/65085191_656757004736094_1269281467982455879_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA4MTE3NDk1MjEwMjUzNjEwNA%3D%3D.2,20186,False,128,753,1080,#Budget2019,['Budget2019'],1562315409
7,BzhjWHdAAbh,the.real.indian_stories,https://scontent-bom1-2.cdninstagram.com/vp/f6d3ada3b526c4be08278b96eadf9890/5DA4F854/t51.2885-15/e35/65564498_146811773097645_447637368218747944_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA4MTA5OTk1NDI4MDk5MDQzMw%3D%3D.2,9435,False,30,1298,1080,NEUTRAL,,1562306468
8,BzhWrX9AHgp,the.real.indian_stories,https://scontent-bom1-2.cdninstagram.com/vp/5d7d89798ce79b9f5dd1b72a6887c7ef/5DC6E860/t51.2885-15/e35/64860100_149708886214479_5596487857545343969_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA4MTA0NDI0MDUwMjEyNjYzMw%3D%3D.2,11578,False,51,917,750,NEUTRAL,,1562299827
9,BzgIQHaAxKA,the.real.indian_stories,https://scontent-bom1-2.cdninstagram.com/vp/ced1c39ba11bf72e3cd6176b3a76dd66/5DBE0583/t51.2885-15/e35/66614623_222380522056628_6017712321120430895_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA4MDY5OTMxOTY4MTQ4NzQ4OA%3D%3D.2,15891,False,141,1350,1080,👏👏👏👏,[],1562258709
