,shortcode,username,display_url,edge_media_preview_like,comments_disabled,edge_media_to_comment,dimensions_height,dimensions_width,edge_media_to_caption,tags,taken_at_timestamp
0,BzLZRQLAXv8,theblondeabroad,https://scontent-bom1-2.cdninstagram.com/vp/999dda0005fcf457f8aae3d44f908ff4/5DAAC8FC/t51.2885-15/e35/p1080x1080/62456133_2077783542523921_3433419000540564418_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3NDg2MzE5MDA5MjY0MzMyNA%3D%3D.2,9770,False,185,1350,1080,"The Wild Atlantic Way 💙
••••••••••••••••••••••••••••••••••••••••••••••••
Fun fact: Ireland’s “Wild Atlantic Way” is the world’s longest coastal road trip! While we didn’t have time to do the entire length of the country, as it would take weeks, we slowly explored the southern coast and stumbled upon countless beaches, tiny villages, and, often times, more sheep than people. Even in the summer months, when tourism is at its peak, there are still parts of this country where you can feel completely alone with nature. It’s truly something special. ☘️
••••••••••••••••••••••••••••••••••••••••••••••••
#ireland #wildatlanticway #countycork","['ireland', 'countycork', 'wildatlanticway']",1561562988
1,BzI4CI4ALj8,theblondeabroad,https://scontent-bom1-2.cdninstagram.com/vp/824596363fa282bfd11cbb47a36d7bc0/5DC2E5BD/t51.2885-15/e35/p1080x1080/65307984_118886119366738_8671392799059506902_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3NDE1NDA2NTk3NzE5NDc0OA%3D%3D.2,9508,False,191,1350,1080,"Fierce warm weather we’ve been having ☀️☘️
••••••••••••••••••••••••••••••••••••••••••••••••
I was warned about the crazy weather in Ireland and that it’s often so rainy and windy it makes sightseeing nearly impossible. So, I’m feeling the “luck of the Irish” in a big way with so much sunshine on our trip. We’ve had relatively no wind and mostly clear sunny days — my farmer’s tan is now undeniable. Aside from weather like hen’s teeth (did I say that right? lol), the views in the south of Ireland have blown my mind (and so has the crazy driving)! We’ve driven on two-way roads (barely wide enough for one car) winding through massive farm lands, densely forested areas, and jagged and dramatic coastlines.

We visited Mizen Head, the most southwesterly point of Ireland, and I have to say I thought it was even more breathtaking than the Cliffs of Moher (with WAY less tourists)!
••••••••••••••••••••••••••••••••••••••••••••••••
#ireland #mizenhead #tbapresets","['mizenhead', 'ireland', 'tbapresets']",1561478454
2,By-WUE6g548,theblondeabroad,https://scontent-bom1-2.cdninstagram.com/vp/e1cf2b3f650d31e5128c3e02a32aa31b/5DA9A496/t51.2885-15/e35/p1080x1080/62223080_134257321106063_6035250808960350844_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3MTE5MTAxNTMyNjQ1NzQwNA%3D%3D.2,13049,False,321,1350,1080,"Summer solstice ☀️☘️🇮🇪
••••••••••••••••••••••••••••••••••••••••••••••••
I’m two weeks into my big European adventure and couldn’t be more excited! It’s my first big trip to #Ireland in over a decade. We’re spending our time in the south and I’ve never seen more castles or cows 🏰🐮😍
••••••••••••••••••••••••••••••••••••••••••••••••
Where is everyone spending their summer?

#summersolstice #summer #solstice #adaremanor","['adaremanor', 'summersolstice', 'Ireland', 'summer', 'solstice']",1561125231
3,Byi4Ur2gr_k,theblondeabroad,https://scontent-bom1-2.cdninstagram.com/vp/474aa58903a618cba6b65a9b486fa574/5DA3EE14/t51.2885-15/e35/p1080x1080/61182678_438546983641589_9152928466004890828_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2MzQ1OTI5MTM2ODcwMTkyNA%3D%3D.2,20336,False,486,1350,1080,"Ready or not, London, here I come! 🇬🇧
••••••••••••••••••••••••••••••••••••••••••••••••
Tomorrow kicks off 6 weeks of summer travels! First up, London for the Spice Girls 🧂👯‍♀️! Then, I’m off to Ireland for a road trip with my girlfriends 🚘🇮🇪! I’ll be pit-stopping in Boston to speak at @travel_con 🎤, then spending the month of July in Greece 🇬🇷 and Italy 🇮🇹! Phew! Bags are packed! Here we GO! ✈️
••••••••••••••••••••••••••••••••••••••••••••••••
Would love your tips on any of the destinations above! 🌎

#Europe #london #bigben #tbapresets","['tbapresets', 'london', 'bigben', 'Europe']",1560203537
4,ByN5h08AsYF,theblondeabroad,https://scontent-bom1-2.cdninstagram.com/vp/4dbc6e1a96a372422ea3287c8abad4f8/5DC46AFF/t51.2885-15/e35/p1080x1080/60620094_1046207758907204_8986766560423476217_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1NzU1MzYxODAxMzQzOTQ5Mw%3D%3D.2,16513,False,347,1350,1080,"Another spin around the sun 🎂🎈
••••••••••••••••••••••••••••••••••••••••••••••••
Nothing like a birthday to remind you to count your blessings. Truly grateful for this life, the amazing souls I get to share it with, the beautiful places I’ve been able to see, and for another year on this incredible earth. 🥰
••••••••••••••••••••••••••••••••••••••••••••••••
#positano #italy #tbapresets","['italy', 'tbapresets', 'positano']",1559499526
5,BxN9K6XH5XW,theblondeabroad,https://scontent-bom1-2.cdninstagram.com/vp/34c1ffe63fb0337da99711e2b84387b3/5DC37348/t51.2885-15/e35/p1080x1080/58766200_136545204154864_5496248977566477848_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjAzOTU1NTIzNjk2NTYxOTE1OA%3D%3D.2,13193,False,341,1349,1080,"Say “Sphinx!” 📸😬
••••••••••••••••••••••••••••••••••••••••••••••••
#egypt #sphinx #gizapyramids","['gizapyramids', 'egypt', 'sphinx']",1557353952
6,BxDoALJH3_6,theblondeabroad,https://scontent-bom1-2.cdninstagram.com/vp/bc33a026c32763b8b060c721ad892894/5DA27C5C/t51.2885-15/e35/58454084_557460941446036_2521468612073777784_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjAzNjY0NzM5MDMyNjI1OTcwNg%3D%3D.2,14774,False,367,1350,1080,"Enjoys archeological digs and long walks in the desert 💁🏼‍♀️🐪
••••••••••••••••••••••••••••••••••••••••••••••••
I recently returned from a solo trip to #Egypt and have SO much to say about it (I’ll do my best to break it up over the next few days lol)! I’ll be honest, I’d been holding off on traveling to Egypt for YEARS. A big part of that had to do with the stories I’d heard of women having negative experiences there. There’s no wrong or right way to travel—that’s for sure. And one person’s experience doesn’t automatically mean that it’s going to be the same for someone else. Good or bad. I appreciate honest accounts of travel experiences, because it helps me understand when I really need to do my research and decide if it’s the right destination for me or not. Some destinations I feel totally comfortable traveling to on a whim without doing an ounce of research. But, even with so much confidence in myself traveling on my own, there are still some places I research tirelessly, and make plans to ensure my safety. This was one of those places. I’m so happy that I had such a positive experience, met so many insanely friendly locals (a total stranger literally handed me their baby), and got to live out my lifelong dream of seeing the creations of Ancient Egyptians with my own two eyes.
••••••••••••••••••••••••••••••••••••••••••••••••
Do you want to visit Egypt? #gizapyramids #tbapresets","['gizapyramids', 'tbapresets', 'Egypt']",1557007310
7,Bw57tTCH_zT,theblondeabroad,https://scontent-bom1-2.cdninstagram.com/vp/76ee6555b8f08beeadc20629922256aa/5DB504DA/t51.2885-15/e35/57156428_335548010481980_3238454518298837392_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjAzMzkxOTMwNDI5MTg0MzI4Mw%3D%3D.2,26589,False,586,1226,1080,"Have you ever heard people talk about traveling the world for free with ‘points?’ ✈️ •••••••••••••••••••••••••••••••••••••••••••••••
In all honestly, I didn’t really start getting into “travel hacking” and points travel until a few years ago. However, it’s completely changed the way I see the world!

I’m able to upgrade my flights and book hotel stays entirely on points. I’ve racked up nearly 1,000,000 points simply by being strategic about the credit cards I use for business expenses and everyday purchases. 
Using a credit card is an important step in building a strong credit history and score, so why not earn travel rewards while paying for things like groceries and gas?

There are countless credit cards that offer some pretty awesome perks—but how do you know which one to pick? Check out some of my favorite travel reward credit cards and use my handy MATCH tool to find which card is best for you! >>>LINK IN BIO!<<<
••••••••••••••••••••••••••••••••••••••••••••••• PS What’s your favorite travel reward credit card and what’s the best thing you’ve redeemed your points for? 💺🗺🛩",[],1556682096
8,BwkdQmyn8UF,theblondeabroad,https://scontent-bom1-2.cdninstagram.com/vp/b3e634d15ba6329ef855cc46c71568e9/5DC1EBEA/t51.2885-15/e35/56679663_786030481779962_5044375842026365_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjAyNzg3NDQxNjczNTUzNjM4OQ%3D%3D.2,12124,False,287,1350,1080,"Our amazing Earth 🌏💚
••••••••••••••••••••••••••••••••••••••••••••••••
For seven years, I’ve been sharing on this platform, encouraging others to get out and see the world. However, this #EarthDay, I am struggling to limit my message to “let’s take better care of our planet” when I’m well aware of the contradiction that is my life. Sure, I “refuse the straw,” haven’t eaten meat in over 10 years, carry a re-usable water bottle and shopping bags, and try to live as green as I can. But, how can I sit here and encourage people to explore our world when the issue of air travel is that, on an individual level, it accounts for more carbon emissions than any other human activity? I have to take accountability for my actions and the real issues of an “extreme” travel lifestyle. I have flown nearly 1,000,000 air miles in my lifetime. I can’t even do the math on the impact that has had on our environment. A few years ago, I was flying nearly every week for a YEAR. Instagram is an easy place to glamorize this lifestyle and I would be a hypocrite in not admitting that I’ve played a big role in contributing to it. Posting pretty pictures of exotic destinations and saying how much I love our planet is one thing. But then opting to jump on 10 flights a month is a very different reality. Actionable change to reduce your emissions by traveling smarter is the only way to truly decrease your carbon footprint as a traveler. While I can’t promise that I’ll never take another flight, I feel that accountability is the first step in becoming a more conscious traveler. Last year, I proactively cut my flying from the previous year in half, and I am committed to continuing to fly less and more consciously for years to come. I put together a blog post on how I'm flying less this year, and how I'm pledging to offset my carbon footprint for EVERY flight I take. This isn’t for praise, but rather, to share the knowledge I’ve acquired through countless hours of research so that we can all become better travelers, and to help support causes that make a difference like reforestation and ocean conservation.
••••••••••••••••••••••••••••••••••••••••••••••••
Check out the post >> LINK IN BIO",['EarthDay'],1555961490
9,Bwc2kbNHUPp,theblondeabroad,https://scontent-bom1-2.cdninstagram.com/vp/c9344d6ca4f337c4ed153b7003e2714d/5DAD31D2/t51.2885-15/e35/56350864_292071221725762_8251062471907617852_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjAyNTczMzkzMDAzMzY5MzY3Mw%3D%3D.2,16681,False,345,1350,1080,"Pool with a view 🐘🐘🐘
••••••••••••••••••••••••••••••••••••••••••••••••
To say that my stay at @cheetahplains was incredible would be a serious understatement. Each day, we’d find new animals at the watering hole outside our villa. One day, just when I thought I’d go change for our game drive, a massive elephant herd came through and put on quite the show. Between ultra-luxurious accommodation, chef-prepared food and intimate game viewing, this property is something seriously special!
••••••••••••••••••••••••••••••••••••••••••••••••
#cheetahplains #sabisands #southafrica #krugernationalpark","['sabisands', 'krugernationalpark', 'cheetahplains', 'southafrica']",1555706324
10,BvwbbLuHOGt,theblondeabroad,https://scontent-bom1-2.cdninstagram.com/vp/be63f34e93bf04e5f478086da1db4975/5DB1CB64/t51.2885-15/e35/54277521_400254747460251_2944535158874831022_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjAxMzIyOTY0ODcwMTA4ODE3Mw%3D%3D.2,11119,False,404,1350,1080,"This was the last morning of a week-long road trip along the Garden Route of South Africa. I was taking my parents across the country, showing them some of the highlights of this beautiful place I’ve been calling home for over 2 years.
 My dad had been dreaming of visiting Jeffrey’s Bay since he was a kid. He grew up in Southern California, part of the “Endless Summer” generation forever chasing the perfect wave. Our road trip soundtrack of classic rock — Led Zeppelin, Pink Floyd and the Rolling Stones — played on repeat as we drove through landscapes of mountain passes, massive canyons, epic coastlines, and finally ending in J Bay.

It’s an amazing feeling to give your parents some of their “firsts.” I think that’s one of the craziest parts of adulthood — realizing that you can eventually teach your parents things.

In case you missed it, my dad had to get his passport for this trip and this was his first time out of the US in 50 years. It took me TEN YEARS to finally get him on a plane.

The trip was amazing, but not without some serious hiccups. On day 2 of our road trip, while we were cycling around the beautiful Knysna lagoon, my mom fell and broke her collarbone.

Despite months of planning so that their trip would be perfect, it felt like everything was falling apart. I was dreading for my dad to say something along the lines of “I knew we shouldn’t have come.” But, those words never came. Low and behold, we finished our entire road trip, my mom bandaged up like a bird fallen from the nest. (The good news is she was out of pain in a few days and she’s having her surgery here with one of the best surgeons in South Africa.) We reached the southernmost tip of Africa, felt the chill of the Indian Ocean, tried new foods, and drove on the left side of the road. And, we watched the sun rise in the east and the sun set in the west in the same day.  This may seem like just another pretty beach sunrise photo on IG. But, on this morning, my dad said to me, “I finally understand why you travel.” And perhaps that’s why it’s one of the most significant photos I’ve ever posted. x",[],1554215697
11,BuPuiB9HW78,theblondeabroad,https://scontent-bom1-2.cdninstagram.com/vp/8b76bbbb691dc856fbf81cf0b5d15fc3/5DB2F492/t51.2885-15/e35/51403802_305060570197346_7881946692646569396_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MTk4NjAxMDYwOTM5NDQ3ODg0NA%3D%3D.2,7793,False,147,1350,1080,"I 💙 this city!
••••••••••••••••••••••••••••••••••••••••••••••••
So excited to be back in #Sydney shooting with @HonorGlobal for the new #HONORView20 phone (with a 45MP camera 😱)!
•••••••••••••••••••••••••••••••••••••••••••••••• #HONORMade #SeeTheUnseen","['HONORMade', 'SeeTheUnseen', 'HONORView20', 'Sydney']",1550970935
12,Bt9XBJUH8Lh,theblondeabroad,https://scontent-bom1-2.cdninstagram.com/vp/75b29f61a7de72b8fc3a9492441ea80f/5DBC59F3/t51.2885-15/e35/52781162_103210890751689_2665428814363440881_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MTk4MDg0MDY0NDkwMzQyMDY0MQ%3D%3D.2,7991,False,173,1350,1080,"Nature is pretty neat ⛰ ••••••••••••••••••••••••••••••••••••••••••••••••
Edited with @tbapresets | #tbapresets #capetown #stellenbosch #southafrica","['stellenbosch', 'southafrica', 'capetown', 'tbapresets']",1550354627
13,Bt6i9xmHSCH,theblondeabroad,https://scontent-bom1-2.cdninstagram.com/vp/f60ac62ce43322d042544f65241ccbf6/5DBE56A1/t51.2885-15/e35/51842480_537846843403212_7863670626436807316_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MTk4MDA0ODc2NDkwNTAwNTE5MQ%3D%3D.2,10653,False,201,1350,1080,"Cheers to the weekend! 🥂
••••••••••••••••••••••••••••••••••••••••••••••••
#capetown #tablemountain #southafrica","['tablemountain', 'capetown', 'southafrica']",1550260228
14,Btycbv9Hxn5,theblondeabroad,https://scontent-bom1-2.cdninstagram.com/vp/e3d72a8f949fb61d7f47c8cb70edbf3e/5DBF5CDC/t51.2885-15/e35/51949647_341660426559220_6053826299978581295_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MTk3Nzc2ODIzODU4ODU2NjAwOQ%3D%3D.2,9333,False,143,1350,1080,"A little slice of summer 🍕☀️
••••••••••••••••••••••••••••••••••••••••••••••••
Yesterday was national pizza day— a random made-up American holiday. Regardless, I love an excuse to celebrate. 😋
••••••••••••••••••••••••••••••••••••••••••••••••
#nationalpizzaday #campsbay #capetown #southafrica","['campsbay', 'nationalpizzaday', 'capetown', 'southafrica']",1549988368
15,BtwgMU7n8-O,theblondeabroad,https://scontent-bom1-2.cdninstagram.com/vp/45e85d2c504e86ec61cf0b58f62675ae/5DB53B1D/t51.2885-15/e35/50699359_539115113278512_3191853837086135259_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MTk3NzIyMTgyMTAxMjg4OTQ4Ng%3D%3D.2,18963,False,456,1350,1080,"Local is lekker ⛱⛺️ ••••••••••••••••••••••••••••••••••••••••••••••••
For those of you that have been following my journey for a while, you know that I love attending festivals around the world. Big or small. Musical or cultural. I want to experience it all. This weekend, I went to @upthecreek_festival, a small, very local music festival about 3 hours outside of Cape Town. This 4-day festival is based on a river, where bands play on a stage on the water, and attendees BYO-floaties! I mean, how cool?! The festival is also all about supporting local musicians and over 50 South African artists performed! We spent the weekend floating, singing, dancing, and camping. It was such a fun time and I can’t wait to make it an annual tradition! ✌🏼♥️🍩
••••••••••••••••••••••••••••••••••••••••••••••••
Shot on my @djiglobal #mavicpro2 | #upthecreek","['upthecreek', 'mavicpro2']",1549923230
16,BttofKtnGct,theblondeabroad,https://scontent-bom1-2.cdninstagram.com/vp/398fa03a0373f82183d317cc179b53a3/5DB8C7FC/t51.2885-15/e35/50540178_189204185373698_4005809920121147245_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MTk3NjQxMzg3NTE1MjM4MTc0MQ%3D%3D.2,15685,False,292,1350,1080,"Summertime and the living’s easy ☀️
••••••••••••••••••••••••••••••••••••••••••••••••
#capetown #seapoint #southafrica #tbapresets","['tbapresets', 'capetown', 'seapoint', 'southafrica']",1549826915
17,Btn322CHZ-R,theblondeabroad,https://scontent-bom1-2.cdninstagram.com/vp/0457f15496403dcfb107792f99210a27/5DA1820D/t51.2885-15/e35/50481125_2126450990763902_1904982342768620625_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MTk3NDc5MjYyMzA1MjY2MDYyNQ%3D%3D.2,11938,False,235,1350,1080,"Ain’t she purdy? 💙
••••••••••••••••••••••••••••••••••••••••••••••••
No bad angles from the sky in #CapeTown! Shot on my @djiglobal #Mavic2Pro!
••••••••••••••••••••••••••••••••••••••••••••••••
#SeeTheBiggerPicture | Edited with @tbapresets for mobile | #southafrica #lionshead","['lionshead', 'southafrica', 'SeeTheBiggerPicture', 'CapeTown', 'Mavic2Pro']",1549633647
