,shortcode,username,display_url,edge_media_preview_like,comments_disabled,edge_media_to_comment,dimensions_height,dimensions_width,edge_media_to_caption,tags,taken_at_timestamp
0,ByONWxygH18,thefatjewish,https://scontent-bom1-2.cdninstagram.com/vp/e6d3dcf554bfc404e48d7e5d2af64b9b/5DC73B36/t51.2885-15/e35/s1080x1080/61492114_2344902665785566_3411686484082305760_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1NzY0MDgxOTY0ODY1ODgxMg%3D%3D.2,451292,False,4287,1080,1080,"FUCK YES SUCK DICKS! Shouts to all my bears, wolves, otters, rats, pandas, bulls, cubs, circuit boys, closet jocks, twinks, twunks, drag queens, soft butches, stone butches, high femmes, lipstick lesbians, celesbians, diesel dykes, power bottoms, classic tops, verse boiiiis, leather daddys and everyone else in the rainbow THESE COLORS DON’T RUN #pride",['pride'],1559509921
1,BxikaOrgXGm,thefatjewish,https://scontent-bom1-2.cdninstagram.com/vp/3f4c30469871871d2f2c1a0fcf100892/5DADCBD5/t51.2885-15/e35/58755285_412953295923779_5453336707809998495_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA0NTM1NzMxMjkyMjcxMDQzOA%3D%3D.2,620628,False,8806,640,640,"YOU’D BE ABLE TO POSTMATES IT AND HAVE IT DELIVERED WITH A PINT OF ICE CREAM, GUARANFUCKINGTEED.",[],1558045613
2,BxgQXezAlcN,thefatjewish,https://scontent-bom1-2.cdninstagram.com/vp/5107d3ea15252bd2bbeaadcb4d119c97/5DB629B3/t51.2885-15/e35/p1080x1080/59677688_663883850732862_4313207922324894702_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA0NDcwNjIxMzE4NjM5Mzg2OQ%3D%3D.2,513884,False,13745,1185,1080,MY MOM HAS BEEN DOING THIS PASSIVE AGGRESSIVELY FOR FREE FOR 40 FUCKING YEARS,[],1557967996
3,Bwci6FhgDUl,thefatjewish,https://scontent-bom1-2.cdninstagram.com/vp/125b9cdd9aa94a92b22b79235e17d066/5DA0E560/t51.2885-15/e35/57328225_620233311723816_439107235125302581_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjAyNTY0NzQ1NzY1MTY2ODI2MQ%3D%3D.2,439676,False,13549,722,750,I RECENTLY MET AN INFLUENCER MOM WHO IS PROMOTING “CBD EDAMAME FOR KIDS” AND AT THAT MOMENT I TRULY WISHED I HAD ALZHEIMER’S AND WOULD FORGET EVERYTHING I’VE EVER KNOWN (@cxcope),[],1555696016
4,BwQcYoJg_66,thefatjewish,https://scontent-bom1-2.cdninstagram.com/vp/d55eb71f6e11ccf0e063eb4bf18c062f/5DB31BFE/t51.2885-15/e35/56209794_273402110234028_3684858886765863259_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjAyMjI0MTA3MDM2ODQyMzYxMA%3D%3D.2,528454,False,21631,1080,1080,"I'm wayyyy too consistently stoned to keep all this fucking information straight, like TARMARIUS LONGNATHINGHAM, BROTHER AND UNCLE OF BARMARIUS LONGNATHINGHAM THE THIRD, RIGHTFUL HEIR TO THE THRONE OF THE SECOND KINGDOM OF DRAGONWIG, OKKKK NERDS (@eliasswakim)",[],1555289943
5,BwN1wuogfM_,thefatjewish,https://scontent-bom1-2.cdninstagram.com/vp/4e04b8d447d2cf75df54f2ee5bb4a17e/5DA22529/t51.2885-15/e35/56268794_347443159213059_890858799893148565_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjAyMTUwODI1MjgzMDkyMTUzNQ%3D%3D.2,516322,False,9108,1080,1080,PLEASE REMEMBER THAT THE PLANS YOU MAKE WHILE PEAKING ON MOLLY AT SUNRISE DURING A DIPLO SET AREN’T ACTUALLY GOING TO HAPPEN AND THAT YOU’LL PROBABLY NEVER SEE ANY OF THOSE PEOPLE EVER AGAIN. (Twitter: @hipstermermaid),[],1555202584
6,BvvEo-mHleg,thefatjewish,https://scontent-bom1-2.cdninstagram.com/vp/79a6dae6f56beb897104cfc53b183337/5DA4D837/t51.2885-15/e35/54511917_263062201313946_5580643922971980610_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjAxMjg0Nzk2NjYzNDUzMDcyMA%3D%3D.2,387906,False,7890,1080,1080,"I’m garbage at listening, but I’m honestly amazing at guessing a white girl’s name. I can pick a Lauren out of a lineup. I can spot a Lindsay/Lindsey from a block away. I CAN CALL AN ALLIE/ALLY/ALY/ALI BY ONLY SEEING THE BACK OF HER FUCKING HEAD. It’s truly a gift. (@saradesdinn)",[],1554170197
7,BvRwX0yA_UZ,thefatjewish,https://scontent-bom1-2.cdninstagram.com/vp/62ed7b3354960e9c203a66d9ae7acf5e/5DC3FFE2/t51.2885-15/e35/53423920_1924445444333104_8665769307541118669_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=8&ig_cache_key=MjAwNDU5NjA1MjYxMDc3NDI5Nw%3D%3D.2,60060,False,788,1349,1080,"MY WINE COMPANY @DRINKBABE IS CONSCIOUSLY COUPLING WITH THE FUCKING QUEEN, MY DEAR FRIEND/ BUSINESS GURU @EMRATA. LOOK FOR HER ON BILLBOARDS NATIONWIDE, STOMPING THROUGH CITIES LIKE GODZILLA IF GODZILLA HAD A MUCH BETTER BUTT",[],1553186492
8,BvP_NGSHf2l,thefatjewish,https://scontent-bom1-2.cdninstagram.com/vp/d98148847b7eac23c1e27218c75139e4/5DB0F3FF/t51.2885-15/e35/53727102_262878491286422_8393468691146838103_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjAwNDA5ODMzNjIzMjk2MzQ5Mw%3D%3D.2,490300,False,27994,744,750,"*Names children Kayden, Jayden, Brayden, Ayden, Kaylen, Jadyn, Hayden, Peyton, Braedynn, Caiden, Zaidyn, Mackenzie, McKenna, Makayla, Jordynn and Kayleigh* (@versace_tamagotchi)",[],1553127160
9,BvCq65SAT4a,thefatjewish,https://scontent-bom1-2.cdninstagram.com/vp/16b7ad4ff4a063e3e5d33c00d1bbbdd3/5DC1908B/t51.2885-15/e35/52740146_573466463172289_1248819056627317276_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjAwMDM0OTk0OTY5NDM5Mzg4Mg%3D%3D.2,489239,False,8081,523,750,HIM AND GWYNETH ON THE BOTTOM LEFT AS A LESBIAN COUPLE IN BROOKLYN WHO OWN A STORE THAT ONLY SELLS SCARVES FOR DOGS IS MY FAVE,[],1552680318
