,shortcode,username,display_url,edge_media_preview_like,comments_disabled,edge_media_to_comment,dimensions_height,dimensions_width,edge_media_to_caption,tags,taken_at_timestamp
0,BzkdqEindeZ,thegoodquote,https://scontent-bom1-2.cdninstagram.com/vp/9eb1bd060e57411ac60174f9d1f549d8/5DB4013F/t51.2885-15/e35/66059309_149328999546567_7533656631190197445_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA4MTkxOTM2MjE5NDU5MzY4OQ%3D%3D.2,18154,False,48,1080,1080,"Author: Rudy Francisco
#thegoodquote 🌻",['thegoodquote'],1562404149
1,BzkW4NNnXN6,thegoodquote,https://scontent-bom1-2.cdninstagram.com/vp/47b3b4ff4ae52015a2e1a3de163be3ba/5DA88946/t51.2885-15/e35/65420895_1304309153079323_3706499126323533122_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA4MTg4OTU0NzI1MzAxOTUxNA%3D%3D.2,65005,False,271,1080,1080,#thegoodquote 🌻,['thegoodquote'],1562400595
2,BzkI_cgHawt,thegoodquote,https://scontent-bom1-2.cdninstagram.com/vp/fb95afb9a3bede42023e6f050165453f/5DB55B86/t51.2885-15/e35/65188131_2275089172752010_8222907317028675239_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA4MTgyODQ3MjA1NDcyMTU4MQ%3D%3D.2,110746,False,348,984,1080,Source: @sylvestermcnutt,[],1562393314
3,BzkBadmnNz3,thegoodquote,https://scontent-bom1-2.cdninstagram.com/vp/623188b5bf991e0158ea4a72e6edd574/5DAB31C7/t51.2885-15/e35/65455860_687914711652905_2091498498138103406_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA4MTc5NTE0NDI5MTI0NTMwMw%3D%3D.2,162451,False,4739,1080,1080,#thegoodquote 🌻,['thegoodquote'],1562389341
4,Bzjz6A_HfhC,thegoodquote,https://scontent-bom1-2.cdninstagram.com/vp/ebd0dd74d2ad6891fbbd4e5a61e4ec68/5DC30A45/t51.2885-15/e35/64821758_2317363828580166_5705447301593940111_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA4MTczNTczOTkzNTk0NjgxOA%3D%3D.2,52007,False,118,1080,1080,"Author: Michelle K.
#thegoodquote 🌻",['thegoodquote'],1562382260
5,BzjmHevHeud,thegoodquote,https://scontent-bom1-2.cdninstagram.com/vp/e3b88ec8790367af6e274d6811b5ba4e/5DBDD3EA/t51.2885-15/e35/65615989_620160528484761_9132650119767576087_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA4MTY3NTA5MjU4MTgwNDk1Nw%3D%3D.2,42671,False,109,1080,1080,"Author: Matt Kahn
#thegoodquote 🌻",['thegoodquote'],1562375030
6,BzjgI3Vn3Zr,thegoodquote,https://scontent-bom1-2.cdninstagram.com/vp/d0292d676b53255a14532846e0c97177/5DB58A23/t51.2885-15/e35/65410727_861596200883453_4834046348973397218_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA4MTY0ODc5OTQzODA0MjczMQ%3D%3D.2,101780,False,439,750,750,#thegoodquote,['thegoodquote'],1562371896
7,BzjZtsCH-Bm,thegoodquote,https://scontent-bom1-2.cdninstagram.com/vp/53c79126de7dd76c2624c4bc491581b8/5DA46262/t51.2885-15/e35/65310000_147078283033466_7667000791731331274_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA4MTYyMDU0MzU5NDgxNTU5MA%3D%3D.2,122788,False,319,1080,1080,"Author: Judah Smith
#thegoodquote 🌻",['thegoodquote'],1562368527
8,BzjKqJXnWsr,thegoodquote,https://scontent-bom1-2.cdninstagram.com/vp/dc2bfc9c102506416f4bf8ece8875515/5DA20E2F/t51.2885-15/e35/65121004_3410309112328529_571372654479619318_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA4MTU1NDMyOTUxODMwNDA0Mw%3D%3D.2,103536,False,305,1080,1080,#thegoodquote 🌻,['thegoodquote'],1562360634
9,BzjFCmOnH13,thegoodquote,https://scontent-bom1-2.cdninstagram.com/vp/2cecfa4db8a6abb67539ce8e7e60e5d6/5DC51E6D/t51.2885-15/e35/65787659_524698328277268_1266072377084626008_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA4MTUyOTYyMTQ5NDEzNjE4Mw%3D%3D.2,110636,False,325,1080,1080,#thegoodquote 🌻,['thegoodquote'],1562357689
