,shortcode,username,display_url,edge_media_preview_like,comments_disabled,edge_media_to_comment,dimensions_height,dimensions_width,edge_media_to_caption,tags,taken_at_timestamp
0,BzNzywHg1_f,theplanetd,https://scontent-bom1-2.cdninstagram.com/vp/7ad3689defdc2c38d4230e4e77a8774c/5DAC4F78/t51.2885-15/e35/p1080x1080/64373420_321906855405668_3051089652850699708_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3NTU0Mjc5MTI5OTIyNzYxNQ%3D%3D.2,4406,False,46,1349,1080,"Reflection perfection at Hintersee in Bavaria.
—-
In the far south of Bavaria is a place called Berchtesgaden. It is probably one of the most beautiful places we have ever visited.
Nestled in the Alps, it offers stunning view after stunning view.
This morning was perfect.
No wind and a beautiful sunrise.
——
Sony A7RIII
16mm
F/11 
3 seconds 
ND 9 soft grad and polarizer filters.
—-
#visitbavaria #germanytourism #germany🇩🇪","['visitbavaria', 'germany', 'germanytourism']",1561644003
1,BzDgnHmgwuy,theplanetd,https://scontent-bom1-2.cdninstagram.com/vp/ac1b2244dea449beb77d0cf512cca99d/5DB598C6/t51.2885-15/e35/p1080x1080/64410959_363857270937710_3206461969276720961_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3MjY0MzY3OTIzMDgyMzM0Ng%3D%3D.2,3843,False,70,1349,1080,"The hourglass shape of Lake Eibsee in Bavaria, Germany.
—-
Lake Eibsee is one place you cannot miss when you visit Bavaria.
Not only is it a beautiful backdrop for Germany’s highest peak but the colours from above are just stunning.
—-
You can hike around the lake and get so many different views. There is something jaw dropping around every corner.
—-
One tip I would suggest is to get there early for the best light. When the lift hits the mountains you feel like you are in a dream.
——
#visitbavaria #germanytourism #germany🇩🇪","['visitbavaria', 'germany', 'germanytourism']",1561298402
2,By5NblfgBvT,theplanetd,https://scontent-bom1-2.cdninstagram.com/vp/1712b3e10fbde5de6fa87bea914c5353/5DBE1E9D/t51.2885-15/e35/p1080x1080/65193870_321392078771578_942112683488591571_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2OTc0NDU3NDA0MDkwNjcwNw%3D%3D.2,3383,False,41,1349,1080,"Hiking in the Bavarian Alps!
——
It's that time of year again to get out and explore. ——
Travel often inspires us to try new adventures and hobbies, but it's important to make sure we are protected as we head into the summer travel season. 
We've teamed up with @medjetassist to remind everyone about the importance of medical evacuation coverage. 
We have it, and we don't travel without it. Accidents can happen anytime, anywhere. 
You don't have to be climbing a mountain to have an unexpected emergency, but it helps to know that even if you are doing something extreme, and land yourself in the hospital, Medjet is there to get you medically transferred to your own hospital at home (regardless of medical necessity, which is an important differentiator from insurance). We learned all this THE HARD WAY…when Dave broke his back in the Amazon…  Find out more in the link in our bio.",[],1560952801
3,Byfdey8gQDH,theplanetd,https://scontent-bom1-2.cdninstagram.com/vp/089c03801f07856814732404e8e6a037/5DA2A87F/t51.2885-15/e35/p1080x1080/64368411_128258038378184_1130101150761444556_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2MjQ5NjgxMzk5NDI3OTExMQ%3D%3D.2,6050,False,128,1350,1080,"Morning light on Neuschwanstein Castle in Bavaria, Germany.
—-
We got up super early to drive from Munich to Neuschwanstein and were rewarded with several beautiful views of this castle.
—-
The first was from Marienbruke where we had the usually busy bridge all to ourselves.
The second was this stunning view from a little further away.
—-
If I had one tip it would be to be there for around sunrise. The peacefulness of the castle and its surroundings is worth the early wake up call. (At this time of year it is about 4am).
—-
What I love about this photo is that you get the true view of how much land King Ludwig II ruled over.
—-
#germanytourism #visitbavaria #germany #castles","['visitbavaria', 'castles', 'germany', 'germanytourism']",1560088801
4,ByVKnBtA_Y-,theplanetd,https://scontent-bom1-2.cdninstagram.com/vp/75dc604e47b98358f342e9149d8e49be/5DB24CF3/t51.2885-15/e35/p1080x1080/62027653_479452639261431_2471135955794567874_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1OTU5OTA2Njk0NTU0OTg4Ng%3D%3D.2,4550,False,57,1349,1080,"Sunset at Dunguaire Castle in Ireland.
—
As we were driving along the Wild Atlantic Way we came across this castle.
The sun was low and a lone swan was floating out front.
It seemed like the perfect scene.
——
Where have stumbled across an amazing scene?
——
#wildatlanticway #ireland #irelandtravel","['wildatlanticway', 'irelandtravel', 'ireland']",1559743363
5,ByNb661A7P8,theplanetd,https://scontent-bom1-2.cdninstagram.com/vp/b133c74ab90f79cdace752b3ea3353ac/5DC1E64E/t51.2885-15/e35/p1080x1080/61635257_2245491708832486_2136336401552440216_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1NzQyMzQwMDkzMDA5NjEyNA%3D%3D.2,4668,False,71,1349,1080,"The beautiful reflections of Suzhou at night.
——
Suzhou really surprised me. Not only is it full of beautiful gardens but the way the old town lights up at night is just spectacular.
——
The colours are mesmerizing and when you combine that with the excitement of the people, public Karaoke and the water that flows through the city you have a unique experience.
——
Make sure to check out our stories for the wide version of this scene.
——
Sony A7RIII
Sony 16-35 F/4
30 seconds
6 stop ND filter.
——
#suzhou #travelsuzhou #sonyartisan #sonyalpha","['travelsuzhou', 'sonyartisan', 'sonyalpha', 'suzhou']",1559484003
6,Bx9_Jafg1gj,theplanetd,https://scontent-bom1-2.cdninstagram.com/vp/d83842f68af7bc982c41d51b911bdf67/5DBDF6AD/t51.2885-15/e35/p1080x1080/61131025_354232905451786_2685392309618217462_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA1MzA3NDcyOTAwMjI5MzI4Mw%3D%3D.2,6184,False,59,1349,1080,"The beauty of the Humble Administrators Garden in Suzhou, China.
——
Suzhou is well known for its beautiful gardens and this one was one of the most stunning.
Filled with rocks, ponds, flowers and beautiful architecture I can see why people travel from miles around to visit these gardens.
The peace and tranquility was a stark contrast to the hustle and bustle of Shanghai.
If you are visiting Shanghai I highly recommend a trip out to Suzhou.
We loved it here and would definitely come back.
——
#travelsuzhou #suzhou #humbleadministratorsgarden","['travelsuzhou', 'humbleadministratorsgarden', 'suzhou']",1558965601
7,BxuiYQsnhlo,theplanetd,https://scontent-bom1-2.cdninstagram.com/vp/cfaacde443bca71e99fd01e03a70ce7a/5DA234C8/t51.2885-15/e35/59464501_2287429591508925_3614250847437782001_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA0ODcyNjA4MTI3NzQwMTQ0OA%3D%3D.2,5707,False,84,1350,1080,"Beautiful reflections at Nioushu Mountain in Nanjing, China.

When we were heading to this mountain I was not expecting this. The Usnisa Palace is probably one the most unique places I have ever seen. 
This space age building houses a huge reclining Buddah and a collection of thousands of small buddahs that will blow your mind.

This place is definitely worth a visit if you are in Nanjing and make sure to bring your camera.
-----
Shot on my @huaweimobilecan
 P30 Pro
#gotonanjing #nanjing #nanjingchina #china","['nanjingchina', 'nanjing', 'china', 'gotonanjing']",1558447202
8,BxZ8A8lB3zB,theplanetd,https://scontent-bom1-2.cdninstagram.com/vp/dbf88f8f44ff821843cea1865ec3c79a/5DB6119C/t51.2885-15/e35/60268945_461583524610444_5876649288027072984_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA0MjkyNzg1MzgyNTY1Mzk1Mw%3D%3D.2,5621,False,64,1350,1080,"Into the Abyss at the Jin Mao Tower in Shanghai.
----
The Jin Mao Tower is the third highest tower in Shanghai and the only one that offers 360 degree views 
While the skyline views are awesome, it was the incredible view down the center of the tower from the 88th floor.
it looks like something out of a science fiction movie.
If you ever get to Shanghai, don't miss this.
Shot on my Huawei P30 Pro.
----
#shanghai #shanghailife_ #jinmaotower #architecturephotography #rewritetherules","['jinmaotower', 'shanghai', 'shanghailife_', 'rewritetherules', 'architecturephotography']",1557755999
9,BxKfQj-gCJb,theplanetd,https://scontent-bom1-2.cdninstagram.com/vp/3ef6c67684d359a4a261007e3bce8190/5DBC7734/t51.2885-15/e35/p1080x1080/57751229_136091234213553_4648193449699130778_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjAzODU3OTI1ODkyMTU5MTM4Nw%3D%3D.2,4355,False,66,1350,1080,"Some Koala cuteness from South Australia.
—-
One of the things I loved most about our time in South Australia was gett to see Koala Bears up close.
They just have the most animated faces and cool personalities.
They don’t move very much or very fast, so they are easy to photograph.
—-
Have you seen a Koala Bear in the wild?
——
#seeaustralia #southaustralia #koalabear #koalas","['southaustralia', 'koalas', 'koalabear', 'seeaustralia']",1557237606
