,shortcode,username,display_url,edge_media_preview_like,comments_disabled,edge_media_to_comment,dimensions_height,dimensions_width,edge_media_to_caption,tags,taken_at_timestamp
0,BzkIzbMHZMf,vikaskhannagroup,https://scontent-bom1-2.cdninstagram.com/vp/61091317a0b5a7eabc6fb9a7676fca9b/5DC6C32D/t51.2885-15/e35/s1080x1080/64985803_2499863550233022_2991928479342348893_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA4MTgyNzY0NjAxMTcwODE5MQ%3D%3D.2,7928,False,62,1080,1080,Sun. Summer. Saturday.,[],1562393216
1,BzUvvPpHTKG,vikaskhannagroup,https://scontent-bom1-2.cdninstagram.com/vp/04ad1db2a83368180eed4ba687fc324a/5DB2D5A0/t51.2885-15/e35/65195647_401359630481211_2144259310013277256_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3NzQ5NTI4MjkyMTk3NjQ1NA%3D%3D.2,33664,False,261,1080,1080,"🐘 👩‍🍳 📖 ❤️
Her name is Hema and has the most beautiful hairstyle. 😮",[],1561876758
2,BzPfbKwH3wi,vikaskhannagroup,https://scontent-bom1-2.cdninstagram.com/vp/17db08bbedab25dc48011061d08cc926/5DC5DB06/t51.2885-15/e35/s1080x1080/64896365_126341888603487_1439801263447913318_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3NjAxNjE1OTY1MzU5MjA5OA%3D%3D.2,24689,False,88,1080,1080,"Some days are unforgettable. 
First time cooked at the prestigious @beardfoundation 
Aug 23. 2004.",[],1561700433
3,BzKRgfxnXCz,vikaskhannagroup,https://scontent-bom1-2.cdninstagram.com/vp/6f371e8aaaf8dd8cf97d272eb2ae498a/5DB6092A/t51.2885-15/e35/p1080x1080/61216552_177388489934775_8489665457636653428_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3NDU0NzU3ODI4OTg3NzE3MQ%3D%3D.2,11739,False,76,1296,1080,"Inspired by my favorite Kashmiri Tea Specialty (Kahwah, qehwa, kehwa or kahwa)
.
Kashmiri Green Tea | Cardamom | Cinnamon | Dried Rose Petals (Optional) | Saffron | Almonds | Sugar",[],1561525364
4,BzGQ8NrHI3m,vikaskhannagroup,https://scontent-bom1-2.cdninstagram.com/vp/d89931620c2da33a2ea634cbeb7df2b0/5DAB9521/t51.2885-15/e35/p1080x1080/64376872_324093931854448_6951020102631763282_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3MzQxOTE4NTA0NTQwOTI1NA%3D%3D.2,4499,False,36,1350,1080,"As an artist, it is very humbling when your creation becomes a symbol of social reform. 
This is the “biggest compliment ever”
#TheLastColor will have a Special Screening at The United Nations Headquarters, NY on July 12 by Society for Promotion of Indian Culture and Experience. .
A simple story of friendship and promise could have such an impact. My ❤️ is full. 
The Screening is free and has limited seats. Please fill the form in bio for the pass. 
Splashing Colors Worldwide. .
@neena_gupta thank you for believing in me.",['TheLastColor'],1561390849
5,BzBIjzkHWD-,vikaskhannagroup,https://scontent-bom1-2.cdninstagram.com/vp/2bbc785675b6076307b61b3bbc41de20/5DAB92A9/t51.2885-15/e35/p1080x1080/65316536_159837545063689_287309610205421448_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3MTk3NDk0ODQ4NzY1MTU4Mg%3D%3D.2,16847,False,104,1349,1080,"New Project Begins This Weekend. 
#CeremonyOfAromas",['CeremonyOfAromas'],1561218683
6,By1pZoJHZLg,vikaskhannagroup,https://scontent-bom1-2.cdninstagram.com/vp/158f958c4d518e97ab87d2437e75027c/5DAEB1CC/t51.2885-15/e35/p1080x1080/62382266_466344234115675_5266844054898011066_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2ODc0MTY4NDg0MzA5MDY1Ng%3D%3D.2,9627,False,57,1255,1080,Jewels.,[],1560833248
7,ByzIKdYn0D2,vikaskhannagroup,https://scontent-bom1-2.cdninstagram.com/vp/dc5ecbdb30a9241377110db4fd6ebb64/5DB7BE7D/t51.2885-15/e35/p1080x1080/64685435_2430144533889282_8327423176385725539_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2ODAzMjU1NzAxMTY0ODc1OA%3D%3D.2,13403,False,46,1188,1080,"Happy Golden Anniversary to my 2 favoritest people in the World. 
Mrs. Sunil Shah and Mr. Ramesh Shah are the owners and my former employers of Salaam Bombay Restaurant in TriBeCa, NY. I always take my newly released books and seek their blessings before launching any big projects. 
My Gujurati parents, as I call them. 
I’m forever indebted, thankful and honored for all the opportunities they gave me. 
Congrats on your big day, many more to celebrate. ❤️",[],1560748713
8,Bywpi0bnNka,vikaskhannagroup,https://scontent-bom1-2.cdninstagram.com/vp/95e2149193701517b5cc32ebfe4c246a/5DC17FD9/t51.2885-15/e35/64518957_2389425991314781_7326539347542772083_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=8&ig_cache_key=MjA2NzMzNDk0MTYzMDA2MDgyNg%3D%3D.2,31106,False,280,1078,1080,"You will always be my hero who said, “Just remember, that you are my lion.” Happy Fathers Day. Everyday. .
.
Please read my life’s biggest lesson. 
On Jan 31, 2015, as a morning ritual I called home and to speak to my Mom and Dad. Dad was super excited for 2 reasons, Serena Williams was playing Finals for Australian Open and Mercedes had signed me up for their association. He told me that it was his dream to drive his son’s Merc. I laughingly said that why didn’t you tell me before, he joked and said “you had never asked.” We laughed as usual and disconnected.
At noon on the same day, he passed away. No child can ever be ready for this loss; it leaves a hole in your heart. Makes you feel empty, betrayed by Gods and unprotected to the World.
I still wonder about the line he said “you had never asked.”
So many times since that unfortunate day, I wish I could have done more for him, made him proud, and fulfill all his wishes.
Life lesson - Don’t wait for a single more moment. Our parents might never ask for anything and just give all their lives for us. 
Surprise them, spoil them, hug them, ask them about their dreams, and loveeee them. Because one day you might be able to buy a fleet of cars, but you cant buy time. 
Love You Papa. Miss You. ❤️",[],1560665551
9,Byt41oDHFj_,vikaskhannagroup,https://scontent-bom1-2.cdninstagram.com/vp/5cbd52c865b8afdff9cd7619df14ce9b/5DB70D40/t51.2885-15/e35/s1080x1080/61625197_602478903566482_2229471052074452880_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA2NjU1Nzc3OTc3MTY3NjkyNw%3D%3D.2,29873,False,219,1080,1080,"Almost 2 decades ago, I started working at The United Nations. I used to help my chef friends for dishwashing, cooking and service at the banquets. 
In 2006, I started my own catering company (more than 50 events, including Indian PM Modi’s Trillion Dollar Dinner and hosted several global dignitaries). ⁣⁣ On July 12th, at 6PM, my movie #TheLastColor will have a special screening at The 𝘜𝘯𝘪𝘵𝘦𝘥 𝘕𝘢𝘵𝘪𝘰𝘯𝘴 𝘏𝘦𝘢𝘥𝘲𝘶𝘢𝘳𝘵𝘦𝘳𝘴, NY hosted by 𝘚𝘰𝘤𝘪𝘦𝘵𝘺 𝘧𝘰𝘳 𝘗𝘳𝘰𝘮𝘰𝘵𝘪𝘰𝘯 𝘰𝘧 𝘐𝘯𝘥𝘪𝘢𝘯 𝘊𝘶𝘭𝘵𝘶𝘳𝘦 𝘢𝘯𝘥 𝘌𝘹𝘱𝘦𝘳𝘪𝘦𝘯𝘤𝘦. (SPICE- Indian Club) ⁣⁣
This is a miracle when your art is referred to as a ""revolution"" and people from 193 Countries are invited to celebrate it. ⁣⁣
𝘛𝘩𝘪𝘴 𝘱𝘰𝘴𝘵 𝘪𝘴 𝘧𝘰𝘳 𝘢𝘭𝘭 𝘵𝘩𝘰𝘴𝘦 𝘱𝘦𝘰𝘱𝘭𝘦 𝘸𝘩𝘰 𝘧𝘦𝘦𝘭 𝘭𝘦𝘧𝘵𝘰𝘶𝘵 𝘰𝘳 𝘭𝘦𝘴𝘴. 𝘛𝘩𝘪𝘴 𝘪𝘴 𝘧𝘰𝘳 𝘶𝘴; 𝘸𝘩𝘰 are 𝘵𝘩𝘦 𝘰𝘶𝘵𝘤𝘢𝘴𝘵𝘴 in many ways. 𝘞𝘦 𝘤𝘢𝘯 𝘥𝘰 𝘪𝘵, 𝘢𝘭𝘭 𝘵𝘩𝘢𝘵 𝘪𝘴 𝘳𝘦𝘲𝘶𝘪𝘳𝘦𝘥 𝘪𝘴 𝘢 𝘥𝘳𝘦𝘢𝘮, 𝘱𝘢𝘴𝘴𝘪𝘰𝘯, 𝘤𝘰𝘮𝘮𝘪𝘵𝘮𝘦𝘯𝘵 𝘢𝘯𝘥 𝘮𝘰𝘴𝘵 𝘪𝘮𝘱𝘰𝘳𝘵𝘢𝘯𝘵𝘭𝘺 𝘱𝘰𝘴𝘪𝘵𝘪𝘷𝘪𝘵𝘺. ⁣⁣
⁣⁣
See you at the @unitednations 💗
#SplashingColors @thelastcolorfilm 
Photo - @alenkaslavinec 
Thank you all for believing in me. 
THE SCREENING IS FREE. BUT YOU MUST REGISTER WITH THE LINK IN BIO. 🙏🏼","['TheLastColor', 'SplashingColors']",1560572906
