,shortcode,username,display_url,edge_media_preview_like,comments_disabled,edge_media_to_comment,dimensions_height,dimensions_width,edge_media_to_caption,tags,taken_at_timestamp
0,BzhnToHnQuq,walkwithindia,https://scontent-bom1-2.cdninstagram.com/vp/c35b50f78291fa39866af75c65465a6e/5DA02903/t51.2885-15/e35/64461490_225599995086567_9052388327999037615_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=8&ig_cache_key=MjA4MTExNzM3NTM4MzI3NjQ1OA%3D%3D.2,9029,False,23,1306,1080,"Plan a visit to #Kerala for this one! 😍pc : @jonny.melon 
Ever so magnificent Jadayupara - a mythical eagle that just so happens to be the largest bird sculpture in the world! 🦅

#kerala #incredibleindia #architecture #design #art #monument #amazing #architectural #unesco #delhi #mumbai #india #welltraveled #roamtheplanet #adventurethatislife #delhiweather #beautifuldestinations #travelphoto #wanderlust #travelbug #traveladdict #traveltheworld #discover","['mumbai', 'Kerala', 'architectural', 'delhiweather', 'architecture', 'unesco', 'art', 'monument', 'traveltheworld', 'beautifuldestinations', 'amazing', 'adventurethatislife', 'traveladdict', 'travelphoto', 'design', 'wanderlust', 'discover', 'india', 'incredibleindia', 'travelbug', 'kerala', 'roamtheplanet', 'welltraveled', 'delhi']",1562308545
1,Bzfwnh6Hspr,walkwithindia,https://scontent-bom1-2.cdninstagram.com/vp/d37ee34d7718a30307e971e4818ee24f/5DAD86D0/t51.2885-15/e35/65698482_2103057226660929_1535128310327727225_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA4MDU5NTM3NTU2OTE2MDgxMQ%3D%3D.2,5073,False,11,750,750,Love chicken 65 ? Comment below😀 @trippy_yippy_tales #walkwithindia,['walkwithindia'],1562246318
2,BzfEHQnHDXp,walkwithindia,https://scontent-bom1-2.cdninstagram.com/vp/177790ea8395ee1b894dbccd41e54e22/5DBEC919/t51.2885-15/e35/65706337_118663436068709_8066151908071027661_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=8&ig_cache_key=MjA4MDM5OTY0MzkyNjg2OTQ4MQ%3D%3D.2,8467,False,79,1325,1080,"Tag a biryani lover ❤️ 🔥 We are craving. Are you? 
@walkwithchennai 
#chennaifoodspots #foodblogfeed #foodiesofinstagram #chicken65 #chicken #chickenpakoda #foodofchennai #chennaifoodscenes #goodfood #googlelocals #indianfoodieez #walkwithindia #sochennai #walkwithchennai #chennaifoodblogger #foodtalk #discoverchennai #foodtalkindia","['foodtalkindia', 'goodfood', 'walkwithindia', 'chicken', 'foodofchennai', 'foodblogfeed', 'googlelocals', 'sochennai', 'foodtalk', 'chickenpakoda', 'chennaifoodblogger', 'indianfoodieez', 'chennaifoodspots', 'walkwithchennai', 'foodiesofinstagram', 'discoverchennai', 'chicken65', 'chennaifoodscenes']",1562222985
3,BzawRx5nfD5,walkwithindia,https://scontent-bom1-2.cdninstagram.com/vp/d20714bc552a010c371f21a39eb900a1/5DC0BFAF/t51.2885-15/e35/65313164_462529134315558_1169906448501614520_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=8&ig_cache_key=MjA3OTE4NjUwNjAyODU0NDI0OQ%3D%3D.2,13262,False,268,1306,1080,"Tag that parotta veriyan 😂
#walkwithindia 
@salmanthefoodie 
Follow our page @walkwithchennai",['walkwithindia'],1562078367
4,BzavnUsnBiD,walkwithindia,https://scontent-bom1-2.cdninstagram.com/vp/a156b86dbd3dac4bbab134f8de5e4848/5DC3208E/t51.2885-15/e35/64903910_146906366387320_3824131934446038959_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=8&ig_cache_key=MjA3OTE4MzU4ODQ1Mzc4MzY4Mw%3D%3D.2,8524,False,14,1335,1080,"#repost @jayanth_md #walkwithindia BE UNATTACHED.
Let things work, let brain centres work, work incessantly, but let not a ripple conquer the mind. Work as if you were a stranger in this land, work incessantly, but do not bind yourselves; bondage is terrible. This world is not our habitation, it is only one of the many stages through which we are passing. 🕉","['repost', 'walkwithindia']",1562078020
5,BzauFD8HoAP,walkwithindia,https://scontent-bom1-2.cdninstagram.com/vp/f0185358c53b9f39ca3d7fed01068792/5DAC8625/t51.2885-15/e35/65044626_118242389436423_7786512194566275474_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=8&ig_cache_key=MjA3OTE3NjgzNTk1MTY1Njk3NQ%3D%3D.2,8078,False,33,1293,1080,If this didn’t tempt you nothing else can :p @soomeenofficial #walkwithindia,['walkwithindia'],1562077215
6,BzU1228H0TR,walkwithindia,https://scontent-bom1-2.cdninstagram.com/vp/03447ecf4011aa906cadd506c2cf5ba0/5DBD1ED4/t51.2885-15/e35/64584849_378202876164419_6377568059855441849_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3NzUyMjE5NDQzMjIxNDIyNQ%3D%3D.2,6049,False,26,750,750,"Spiced guava 😋😋 Tag that Guava lover 😍
Credits @spoonsofspices_07",[],1561879966
7,BzU1n1XHo4L,walkwithindia,https://scontent-bom1-2.cdninstagram.com/vp/0de6b34b6f06261f7a95a0d95928ae93/5DB2D649/t51.2885-15/e35/65158178_318013199141718_6115421021318651939_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjA3NzUyMTE2MTk0NTUxNzU3OQ%3D%3D.2,3074,False,2,1121,1080,"Starting the Sunday just like this, ""MANGO MILKSHAKE ""
Topped with chopped mangoes and fresh cream, it was delicious and just traveled a long distance to taste this mango milkshake 😍🤩😋😇 @spoonsofspices_07 .
.
Place: Sagar Restaurant
Rajaji Nagar, Bengaluru
Price: 140 /-",[],1561879843
8,BzUnpRKnDf_,walkwithindia,https://scontent-bom1-2.cdninstagram.com/vp/fdde286ee0c73a0f597afa8efd10866f/5DA7417C/t51.2885-15/e35/64591300_322020268674644_2628530700130663151_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=8&ig_cache_key=MjA3NzQ1OTY4Nzg2ODc0MTYzMQ%3D%3D.2,5966,False,15,1316,1080,"Podi Idly ❤️
Nothing comes close to mom making suda suda ildlies and being a little lavish on the ghee and the podi side!. Antha gamama vasam ké nan vilunthuruven 🥴
|
Courtesy : @soul.some 
Happy Women's Day 💃🏼
.
.
.
#Foodofchennai #Chennaifood #Chennaidiaries #foodtalkindia #foodmaniacindia #trellfood #maanga #foodaholic #foodielife #foodinsta #eeeeats #streetfood #fooddiaries #localeats #food🍴 #tasteofhome #streeteats #forkyea #tastelikeheaven #letsblogsomefood #chennaifoodie #singarachennai #nammachennai","['nammachennai', 'forkyea', 'streeteats', 'foodmaniacindia', 'letsblogsomefood', 'maanga', 'tastelikeheaven', 'foodinsta', 'foodielife', 'chennaifoodie', 'singarachennai', 'foodaholic', 'eeeeats', 'foodtalkindia', 'Foodofchennai', 'Chennaidiaries', 'localeats', 'fooddiaries', 'streetfood', 'tasteofhome', 'Chennaifood', 'trellfood', 'food']",1561872515
9,BzQUsNFnN9r,walkwithindia,https://scontent-bom1-2.cdninstagram.com/vp/74e56b8478863d639f55f1734ea3e003/5DA6034D/t51.2885-15/e35/65053346_471821940247415_2422880638899992767_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=8&ig_cache_key=MjA3NjI1MDQyNjg1NzgwNzcyMw%3D%3D.2,7626,False,21,1250,1080,"Located amidst imposing mountains in Karnataka with a perpetually misty landscape, Coorg is the place to be in to soak in the bounties of nature. 
Misty hills, lush forest, tea and coffee plantations, orange groves, undulating streets and breathtaking views have made Coorg an unforgettable destination. Coorg, officially known as Kodagu, is the most affluent hill station in Karnataka and you'll see streams cutting right through the beautiful green hills. It also stands as a popular destination because of its culture and people. The Kodavas, a local clan specialising in martial arts, are especially known for their keen hospitality. This is the hanging bridge inside the Kaveri Nisargadhama Forest Park.
Photograph By - @mac_snerus .
#coorg #kodagu
#coorgdiaries
#karnataka #karnataka_ig #karnatakaphotographershub #nammakarnatakaphotographers #karnatakadiaries #nammakarnataka #karnatakatourism #karnatakafocus #vsco #indianphotography #travelkarnataka #karnataka_one 
#indiatravel #mypixeldairy","['nammakarnatakaphotographers', 'karnatakafocus', 'coorg', 'karnataka_ig', 'indiatravel', 'karnatakadiaries', 'karnatakatourism', 'vsco', 'indianphotography', 'coorgdiaries', 'karnataka', 'karnatakaphotographershub', 'karnataka_one', 'kodagu', 'mypixeldairy', 'travelkarnataka', 'nammakarnataka']",1561728360
